Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
3.8098101449908984e-06,1.0595772680478116e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0595772680478116e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0595772680478116e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5430712174983975e-22,2.4651690413620977e-19
4.210491375633498e-06,6.524658043714906e-19,6.217724199292771e-19,0.0,1.1532576271449154e-32,0.0,1.6155015684403767e-20,0.0,7.223321362952521e-36,0.0,7.338053736185081e-33,0.0,7.697473799012886e-63,6.298711257796193e-19,5.985196418106665e-19,0.0,3.4578705128510463e-23,0.0,1.6939848870661945e-20,0.0,2.2451672708759386e-26,0.0,2.0742053356019178e-23,0.0,2.2385699739663637e-53,6.524658043714906e-19,6.217724199292771e-19,0.0,1.1532576271449154e-32,0.0,1.6155015684403767e-20,0.0,7.223321362952521e-36,0.0,7.338053736185081e-33,0.0,7.697473799012886e-63,4.5430712174983975e-22,2.4651690413620977e-19
4.653312619158477e-06,9.281611878428263e-19,8.867691531789172e-19,0.0,1.6394903741204162e-32,0.0,2.177213482266144e-20,0.0,1.0263931938447475e-35,0.0,1.0297104431333032e-32,0.0,1.17196848703547e-62,8.966946410500114e-19,8.543102425725344e-19,0.0,4.9198635486343345e-23,0.0,2.2883207014057025e-20,0.0,3.1934470963845793e-26,0.0,2.913047656684826e-23,0.0,3.411487442951727e-53,9.281611878428263e-19,8.867691531789172e-19,0.0,1.6394903741204162e-32,0.0,2.177213482266144e-20,0.0,1.0263931938447475e-35,0.0,1.0297104431333032e-32,0.0,1.17196848703547e-62,4.5430712174983975e-22,2.4651690413620977e-19
5.142705779408359e-06,1.3158025803969037e-18,1.2602170892846227e-18,0.0,2.32149178092889e-32,0.0,2.920341530575628e-20,0.0,1.4518944043117919e-35,0.0,1.4383711299430519e-32,0.0,1.7773155232105636e-62,1.2723223896849555e-18,1.2152491142960897e-18,0.0,6.973104992011369e-23,0.0,3.077099811222485e-20,0.0,4.522579978117089e-26,0.0,4.0730757901345115e-23,0.0,5.179231567275137e-53,1.3158025803969037e-18,1.2602170892846227e-18,0.0,2.32149178092889e-32,0.0,2.920341530575628e-20,0.0,1.4518944043117919e-35,0.0,1.4383711299430519e-32,0.0,1.7773155232105636e-62,4.5430712174983975e-22,2.4651690413620977e-19
5.683568867621683e-06,1.8581330156818632e-18,1.7838567705724883e-18,0.0,3.272531710563229e-32,0.0,3.896170832768818e-20,0.0,2.0433133732438524e-35,0.0,1.999208370203023e-32,0.0,2.6833274243718143e-62,1.798582977277829e-18,1.7220896306289294e-18,0.0,9.84042875145784e-23,0.0,4.116445306218639e-20,0.0,6.37335521145966e-26,0.0,5.667483753999536e-23,0.0,7.829270467168796e-53,1.8581330156818632e-18,1.7838567705724883e-18,0.0,3.272531710563229e-32,0.0,3.896170832768818e-20,0.0,2.0433133732438524e-35,0.0,1.999208370203023e-32,0.0,2.6833274243718143e-62,4.5430712174983975e-22,2.4651690413620977e-19
6.281315023375634e-06,2.612606950311653e-18,2.5139347328374125e-18,0.0,4.589931868358607e-32,0.0,5.1665794170598354e-20,0.0,2.858953131217537e-35,0.0,2.7635275281896404e-32,0.0,4.03076057396131e-62,2.5318662459251404e-18,2.4299122354074382e-18,0.0,1.3818686413924495e-22,0.0,5.474623869697984e-20,0.0,8.931078349429251e-26,0.0,7.844089214362435e-23,0.0,1.177774226466264e-52,2.612606950311653e-18,2.5139347328374125e-18,0.0,4.589931868358607e-32,0.0,5.1665794170598354e-20,0.0,2.858953131217537e-35,0.0,2.7635275281896404e-32,0.0,4.03076057396131e-62,4.5430712174983975e-22,2.4651690413620977e-19
6.941926691106392e-06,3.655502492970797e-18,3.525325592532065e-18,0.0,6.400872284541181e-32,0.0,6.804059523504774e-20,0.0,3.9737380410057667e-35,0.0,3.797089931111684e-32,0.0,6.020122997127777e-62,3.5472859984210775e-18,3.4122859891269112e-18,0.0,1.9297103272023708e-22,0.0,7.232398956420958e-20,0.0,1.243500010661658e-25,0.0,1.0793090377397164e-22,0.0,1.7619574570845604e-52,3.655502492970797e-18,3.525325592532065e-18,0.0,6.400872284541181e-32,0.0,6.804059523504774e-20,0.0,3.9737380410057667e-35,0.0,3.797089931111684e-32,0.0,6.020122997127777e-62,4.5430712174983975e-22,2.4651690413620977e-19
7.672015494423905e-06,5.086590524347126e-18,4.916460216357855e-18,0.0,8.868248126363775e-32,0.0,8.889934497527107e-20,0.0,5.481393401448054e-35,0.0,5.18287982180993e-32,0.0,8.932617732949733e-62,4.943465768484438e-18,4.7663199198863295e-18,0.0,2.677612620175685e-22,0.0,9.481473330110155e-20,0.0,1.7185985570997418e-25,0.0,1.475564450419289e-22,0.0,2.6192664057446937e-52,5.086590524347126e-18,4.916460216357855e-18,0.0,8.868248126363775e-32,0.0,8.889934497527107e-20,0.0,5.481393401448054e-35,0.0,5.18287982180993e-32,0.0,8.932617732949733e-62,4.5430712174983975e-22,2.4651690413620977e-19
8.478888407463043e-06,7.033950481922622e-18,6.813443195339707e-18,0.0,1.2195225501128528e-31,0.0,1.1512482321393455e-19,0.0,7.496896563149227e-35,0.0,7.022275626492347e-32,0.0,1.3155051827658362e-61,6.8475796139780006e-18,6.616941187420483e-18,0.0,3.6882756266445793e-22,0.0,1.2322859083524728e-19,0.0,2.355522918283236e-25,0.0,2.0027812904108995e-22,0.0,3.865481220920118e-52,7.033950481922622e-18,6.813443195339707e-18,0.0,1.2195225501128528e-31,0.0,1.1512482321393455e-19,0.0,7.496896563149227e-35,0.0,7.022275626492347e-32,0.0,1.3155051827658362e-61,4.5430712174983975e-22,2.4651690413620977e-19
9.37062088553691e-06,9.65797747535371e-18,9.375641366380344e-18,0.0,1.6627330251544223e-31,0.0,1.4758694284184554e-19,0.0,1.0154609824152944e-34,0.0,9.437065969567887e-32,0.0,1.920746487964712e-61,9.41973484587858e-18,9.122918416857864e-18,0.0,5.037859292765485e-22,0.0,1.5858160039655502e-19,0.0,3.1979247179506807e-25,0.0,2.696774478686815e-22,0.0,5.657106840467367e-52,9.65797747535371e-18,9.375641366380344e-18,0.0,1.6627330251544223e-31,0.0,1.4758694284184554e-19,0.0,1.0154609824152944e-34,0.0,9.437065969567887e-32,0.0,1.920746487964712e-61,4.5430712174983975e-22,2.4651690413620977e-19
1.0356137687007682e-05,1.3152968344752254e-17,1.2796988015339502e-17,0.0,2.2449215126471684e-31,0.0,1.8707717426683026e-19,0.0,1.3606433874224678e-34,0.0,1.2566467850883948e-31,0.0,2.776998395167694e-61,1.2855058942983008e-17,1.2478651115933048e-17,0.0,6.815150480911569e-22,0.0,2.0182311404948886e-19,0.0,4.2954449162348955e-25,0.0,3.598812420737758e-22,0.0,8.199937803186115e-52,1.3152968344752254e-17,1.2796988015339502e-17,0.0,2.2449215126471684e-31,0.0,1.8707717426683026e-19,0.0,1.3606433874224678e-34,0.0,1.2566467850883948e-31,0.0,2.776998395167694e-61,4.5430712174983975e-22,2.4651690413620977e-19
1.1445302195268066e-05,1.774457747625396e-17,1.730427389260385e-17,0.0,2.9975995639422967e-31,0.0,2.3421949608400413e-19,0.0,1.8016561415223505e-34,0.0,1.6561121836820426e-31,0.0,3.970629415421239e-61,1.738160616204937e-17,1.6912996078604043e-17,0.0,9.118955746440263e-22,0.0,2.5373247324056204e-19,0.0,5.7020076195410865e-25,0.0,4.753966694445181e-22,0.0,1.1756635320503506e-51,1.774457747625396e-17,1.730427389260385e-17,0.0,2.9975995639422967e-31,0.0,2.3421949608400413e-19,0.0,1.8016561415223505e-34,0.0,1.6561121836820426e-31,0.0,3.970629415421239e-61,4.5430712174983975e-22,2.4651690413620977e-19
