Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
5.707213173096741e-06,8.497911544334737e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.497911544334737e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.497911544334737e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36792712788101e-21,5.002317861507875e-19
6.307446022164741e-06,1.5832014748571807e-16,1.588161212706988e-16,0.0,5.111232371658079e-32,0.0,1.3033906656221424e-21,0.0,4.028713156698322e-36,0.0,2.95771422692277e-30,0.0,8.874928568124779e-63,1.5840629031023242e-16,1.588185163555413e-16,0.0,1.4170567000435566e-21,0.0,1.4178626767229984e-21,0.0,1.121365581495537e-25,0.0,8.086358240104093e-20,0.0,2.562705448859933e-52,1.5832014748571807e-16,1.588161212706988e-16,0.0,5.111232371658079e-32,0.0,1.3033906656221424e-21,0.0,4.028713156698322e-36,0.0,2.95771422692277e-30,0.0,8.874928568124779e-63,6.36792712788101e-21,5.002317861507875e-19
6.97080591102841e-06,1.8095322033643904e-16,1.815208854698284e-16,0.0,5.835575356424499e-32,0.0,1.47122937901853e-21,0.0,4.6058858419398195e-36,0.0,3.276625116269268e-30,0.0,1.0847831554046288e-62,1.8104851613254332e-16,1.815236320206206e-16,0.0,1.6178222058287286e-21,0.0,1.598616371670853e-21,0.0,1.2820142273739738e-25,0.0,8.958257736763446e-20,0.0,3.1323660797090957e-52,1.8095322033643904e-16,1.815208854698284e-16,0.0,5.835575356424499e-32,0.0,1.47122937901853e-21,0.0,4.6058858419398195e-36,0.0,3.276625116269268e-30,0.0,1.0847831554046288e-62,6.36792712788101e-21,5.002317861507875e-19
7.703931968418402e-06,2.0678812613335767e-16,2.0743759978908326e-16,0.0,6.661552743489038e-32,0.0,1.6601879470981185e-21,0.0,5.265283454173117e-36,0.0,3.626975885783957e-30,0.0,1.3257820035598944e-62,2.0689353332997606e-16,2.0744074624357186e-16,0.0,1.8467491943869187e-21,0.0,1.8018951644629414e-21,0.0,1.4655491440931569e-25,0.0,9.916113535204921e-20,0.0,3.828230702443254e-52,2.0678812613335767e-16,2.0743759978908326e-16,0.0,6.661552743489038e-32,0.0,1.6601879470981185e-21,0.0,5.265283454173117e-36,0.0,3.626975885783957e-30,0.0,1.3257820035598944e-62,6.36792712788101e-21,5.002317861507875e-19
8.514161566329309e-06,2.362768906912758e-16,2.3701971833133727e-16,0.0,7.603376736758478e-32,0.0,1.8728780021415843e-21,0.0,6.018633902424097e-36,0.0,4.011980244571286e-30,0.0,1.6201674294251234e-62,2.3639346891701225e-16,2.3702331986408267e-16,0.0,2.107774271000825e-21,0.0,2.030459205051083e-21,0.0,1.675234632042714e-25,0.0,1.0968711885728218e-19,0.0,4.678243609239759e-52,2.362768906912758e-16,2.3701971833133727e-16,0.0,7.603376736758478e-32,0.0,1.8728780021415843e-21,0.0,6.018633902424097e-36,0.0,4.011980244571286e-30,0.0,1.6201674294251234e-62,6.36792712788101e-21,5.002317861507875e-19
9.40960375490457e-06,2.699349571512514e-16,2.7078431283685154e-16,0.0,8.677234550826645e-32,0.0,2.1122270333322084e-21,0.0,6.879337475342834e-36,0.0,4.435232277755571e-30,0.0,1.97976024555911e-62,2.700638778554705e-16,2.707884322708921e-16,0.0,2.405380868264767e-21,0.0,2.2873996516215796e-21,0.0,1.9148004730580466e-25,0.0,1.2125878982917743e-19,0.0,5.7165361558328265e-52,2.699349571512514e-16,2.7078431283685154e-16,0.0,8.677234550826645e-32,0.0,2.1122270333322084e-21,0.0,6.879337475342834e-36,0.0,4.435232277755571e-30,0.0,1.97976024555911e-62,6.36792712788101e-21,5.002317861507875e-19
1.0399220420535922e-05,3.0834999624558866e-16,3.093209107305669e-16,0.0,9.901560798902805e-32,0.0,2.38151566267143e-21,0.0,7.86270529671873e-36,0.0,4.900740890780984e-30,0.0,2.4189984670953353e-62,3.0849255443179463e-16,3.0932561956867954e-16,0.0,2.7446746270346528e-21,0.0,2.576177441902765e-21,0.0,2.188508300582759e-25,0.0,1.3398575136009225e-19,0.0,6.98479659386519e-52,3.0834999624558866e-16,3.093209107305669e-16,0.0,9.901560798902805e-32,0.0,2.38151566267143e-21,0.0,7.86270529671873e-36,0.0,4.900740890780984e-30,0.0,2.4189984670953353e-62,6.36792712788101e-21,5.002317861507875e-19
1.1492915979434723e-05,3.521919216988644e-16,3.5330154206148885e-16,0.0,1.1297347107115302e-31,0.0,2.6844192008510066e-21,0.0,8.986231783784695e-36,0.0,5.412962850690916e-30,0.0,2.9555167675785364e-62,3.5234954888583714e-16,3.533069216518351e-16,0.0,3.1314690738264377e-21,0.0,2.9006664878864997e-21,0.0,2.501227433888331e-25,0.0,1.4798985103412014e-19,0.0,8.533943188421857e-52,3.521919216988644e-16,3.5330154206148885e-16,0.0,1.1297347107115302e-31,0.0,2.6844192008510066e-21,0.0,8.986231783784695e-36,0.0,5.412962850690916e-30,0.0,2.9555167675785364e-62,6.36792712788101e-21,5.002317861507875e-19
1.2701636504358127e-05,4.022242712585648e-16,4.0349215625095835e-16,0.0,1.2888493983501266e-31,0.0,3.0250539588252478e-21,0.0,1.0269905955716634e-35,0.0,5.976835106797911e-30,0.0,3.6108542280929094e-62,4.0239854979635413e-16,4.0349829910350574e-16,0.0,3.572382984583387e-21,0.0,3.2652017831929125e-21,0.0,2.8585215255307404e-25,0.0,1.634060645709201e-19,0.0,1.042616776888517e-51,4.022242712585648e-16,4.0349215625095835e-16,0.0,1.2888493983501266e-31,0.0,3.0250539588252478e-21,0.0,1.0269905955716634e-35,0.0,5.976835106797911e-30,0.0,3.6108542280929094e-62,6.36792712788101e-21,5.002317861507875e-19
1.4037479276584651e-05,4.593171332660713e-16,4.607655899938612e-16,0.0,1.4702210639863946e-31,0.0,3.408028841797739e-21,0.0,1.1736567130862997e-35,0.0,6.597807895588257e-30,0.0,4.41131878415895e-62,4.595098121466985e-16,4.607726012656719e-16,0.0,4.074951009767803e-21,0.0,3.674632964548089e-21,0.0,3.2667475635842683e-25,0.0,1.8038340091045216e-19,0.0,1.2737431728037686e-51,4.593171332660713e-16,4.607655899938612e-16,0.0,1.4702210639863946e-31,0.0,3.408028841797739e-21,0.0,1.1736567130862997e-35,0.0,6.597807895588257e-30,0.0,4.41131878415895e-62,6.36792712788101e-21,5.002317861507875e-19
