Energy,Flux Value,Flux Error,Is Upper Limit
3.060393827838086e-07,1.5984e-15,1.85e-16,0.0
6.244857675723662e-07,2.5821e-15,5.134e-16,0.0
6.244857675723662e-07,2.5821e-15,5.134e-16,0.0
7.361487856151071e-07,3.56e-15,0.0,0.0
1.344091883847808e-06,6.2075e-15,1.235e-15,0.0
1.344091883847808e-06,6.2075e-15,1.235e-15,0.0
1.5095185772444614e-06,6.3875e-15,4.745e-16,0.0
1.5095185772444614e-06,7.008e-15,1.387e-15,0.0
1.5095185772444614e-06,7.008e-15,1.825e-16,0.0
1.5095185772444614e-06,7.008e-15,1.387e-15,0.0
1.5095185772444614e-06,6.6795e-15,3.285e-16,0.0
1.5095185772444614e-06,7.008e-15,0.0,0.0
1.5880962566078716e-06,7.9181e-15,0.0,0.0
1.6873522726458637e-06,7.3848e-15,0.0,0.0
1.6873522726458637e-06,8.8128e-15,8.568e-16,0.0
1.6873522726458637e-06,7.4256e-15,7.752e-16,0.0
1.6873522726458637e-06,7.2216e-15,0.0,0.0
3.1017505011872493e-06,1.3725e-14,8.25e-16,0.0
3.4863675633344683e-06,1.3151e-14,0.0,0.0
4.549234068407966e-06,1.98e-14,0.0,0.0
5.7899342688828654e-06,2.282e-14,0.0,0.0
5.7899342688828654e-06,1.988e-14,3.92e-15,0.0
5.7899342688828654e-06,2.184e-14,0.0,0.0
5.7899342688828654e-06,2.184e-14,0.0,0.0
5.7899342688828654e-06,2.282e-14,0.0,0.0
5.7899342688828654e-06,1.9885e-14,4.228e-18,0.0
5.7899342688828654e-06,2.184e-14,0.0,0.0
5.7899342688828654e-06,2.184e-14,0.0,0.0
5.7899342688828654e-06,2.1821e-14,6.5466e-16,0.0
5.7899342688828654e-06,2.184e-14,4.34e-15,0.0
5.7899342688828654e-06,2.184e-14,0.0,0.0
5.7899342688828654e-06,2.184e-14,0.0,0.0
5.7899342688828654e-06,1.988e-14,0.0,0.0
5.7899342688828654e-06,1.988e-14,0.0,0.0
5.7899342688828654e-06,2.184e-14,0.0,0.0
5.7899342688828654e-06,2.0202e-14,0.0,0.0
5.7899342688828654e-06,2.184e-14,7e-16,0.0
5.7899342688828654e-06,1.946e-14,0.0,0.0
5.7899342688828654e-06,2.184e-14,7e-16,0.0
5.7899342688828654e-06,1.946e-14,0.0,0.0
5.8312909422320285e-06,2.1996e-14,1.41e-16,0.0
5.8519692789066105e-06,2.731e-14,0.0,0.0
6.137330325015837e-06,2.0331e-14,1.0388e-15,0.0
6.199365335039582e-06,2.2335e-14,0.0,0.0
6.199365335039582e-06,2.1286e-14,0.0,0.0
