Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
5631067961.165049,1.9469950213310908e-30,1.9469950213310908e-30,7.333667312771047e-20
6223292548.387142,2.3780391677488887e-30,2.3780391677488887e-30,8.957228242694094e-20
6877801939.154355,2.9045079658847453e-30,2.9045079658847453e-30,1.0940199534001479e-19
7601146683.437688,3.54752498708003e-30,3.54752498708003e-30,1.3362136072917166e-19
8400566258.562493,4.332889170612132e-30,4.332889170612132e-30,1.6320198661057855e-19
9284061524.330818,5.2921093833327545e-30,5.2921093833327545e-30,1.993304886166388e-19
10260474798.315489,6.463667796072242e-30,6.463667796072242e-30,2.434560486386458e-19
11339578352.746374,7.894562637907101e-30,7.894562637907101e-30,2.973484843949903e-19
12532172218.69545,9.642192041260791e-30,9.642192041260791e-30,3.6316914909561015e-19
13850192276.417776,1.1776654293380051e-29,1.1776654293380051e-29,4.435574903927061e-19
15306829713.652876,1.4383556397633143e-29,1.4383556397633143e-29,5.417367192449063e-19
16916663047.465353,1.7567443070891907e-29,1.7567443070891907e-29,6.616427961948057e-19
18695804030.94367,2.1455982949523972e-29,2.1455982949523972e-29,8.080818639273563e-19
20662058905.040405,2.6205078802492165e-29,2.6205078802492165e-29,9.86922375943529e-19
22835106609.41662,3.2005105114063557e-29,3.2005105114063557e-29,1.205329534084722e-18
25236695735.884247,3.9088520902010436e-29,3.9088520902010436e-29,1.472051303436784e-18
27890862195.62298,4.773915917829577e-29,4.773915917829577e-29,1.7977672372805e-18
30824169778.658024,5.830355454917419e-29,5.830355454917419e-29,2.1955133419035535e-18
34065976013.199116,7.120478038779296e-29,7.120478038779296e-29,2.6812014794474125e-18
37648725985.65026,8.695930502409969e-29,8.695930502409969e-29,3.2742509108037864e-18
41608277061.93958,1.0619756702609105e-28,1.0619756702609105e-28,3.9983591370506734e-18
45984257760.08969,1.296890305691187e-28,1.296890305691187e-28,4.882438995610575e-18
50820464365.745544,1.5837275685699614e-28,1.5837275685699614e-28,5.9617616229381924e-18
56165299260.12174,1.9339460106975865e-28,1.9339460106975865e-28,7.279344410648348e-18
