Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
5.408286967059343e-06,6.66025918018117e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.283212214495833e-22,6.458191989248486e-19,6.66025918018117e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66025918018117e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.977081472601521e-06,3.246227650091888e-16,3.2462326224020606e-16,0.0,2.3162886286113288e-32,0.0,2.0740947925714723e-21,0.0,2.2432142666079467e-36,0.0,2.008449059796222e-31,0.0,1.2132251792909727e-62,8.283212214495833e-22,6.458191989248486e-19,3.246049549532106e-16,3.245953617099616e-16,0.0,8.191534014260887e-22,0.0,2.8874228818201794e-21,0.0,7.960611997474618e-26,0.0,6.820598086637021e-21,0.0,4.74122755422652e-52,3.246227650091888e-16,3.2462326224020606e-16,0.0,2.3162886286113288e-32,0.0,2.0740947925714723e-21,0.0,2.2432142666079467e-36,0.0,2.008449059796222e-31,0.0,1.2132251792909727e-62
6.605696618487977e-06,4.278449527677993e-16,4.278472789274916e-16,0.0,3.1088188627783294e-32,0.0,2.7441940805214492e-21,0.0,3.014534541492579e-36,0.0,2.613752118927257e-31,0.0,1.746998513329122e-62,8.283212214495833e-22,6.458191989248486e-19,4.2782164398366126e-16,4.278108079101851e-16,0.0,1.0992022416264124e-21,0.0,3.798132666480449e-21,0.0,1.0696173369080275e-25,0.0,8.876204329930143e-21,0.0,6.825074047029409e-52,4.278449527677993e-16,4.278472789274916e-16,0.0,3.1088188627783294e-32,0.0,2.7441940805214492e-21,0.0,3.014534541492579e-36,0.0,2.613752118927257e-31,0.0,1.746998513329122e-62
7.300423796383542e-06,5.6278544898975115e-16,5.627910900662014e-16,0.0,4.169668558231054e-32,0.0,3.626403324518398e-21,0.0,4.0477945120322254e-36,0.0,3.4001855195233956e-31,0.0,2.514710630867491e-62,8.283212214495833e-22,6.458191989248486e-19,5.627551526189418e-16,5.627436366364421e-16,0.0,1.4739505698679722e-21,0.0,4.990027459413542e-21,0.0,1.435977291983059e-25,0.0,1.1546940298741085e-20,0.0,9.820713621294639e-52,5.6278544898975115e-16,5.627910900662014e-16,0.0,4.169668558231054e-32,0.0,3.626403324518398e-21,0.0,4.0477945120322254e-36,0.0,3.4001855195233956e-31,0.0,2.514710630867491e-62
8.068216069390515e-06,7.386866171055666e-16,7.386980442301028e-16,0.0,5.587870044511786e-32,0.0,4.785388459077363e-21,0.0,5.429819016754897e-36,0.0,4.42113801487764e-31,0.0,3.6181342274145153e-62,8.283212214495833e-22,6.458191989248486e-19,7.386475510634754e-16,7.386366340181604e-16,0.0,1.974762491674644e-21,0.0,6.546528702711486e-21,0.0,1.9258487180976844e-25,0.0,1.501412297858588e-20,0.0,1.412374759201215e-51,7.386866171055666e-16,7.386980442301028e-16,0.0,5.587870044511786e-32,0.0,4.785388459077363e-21,0.0,5.429819016754897e-36,0.0,4.42113801487764e-31,0.0,3.6181342274145153e-62
8.916757760641023e-06,9.672442021018624e-16,9.672654807233291e-16,0.0,7.480781985555591e-32,0.0,6.3040556865203856e-21,0.0,7.274790029524179e-36,0.0,5.7451920865055215e-31,0.0,5.202662563167625e-62,8.283212214495833e-22,6.458191989248486e-19,9.67194292821587e-16,9.671865051873366e-16,0.0,2.6429501979904895e-21,0.0,8.573807504536493e-21,0.0,2.579585106915448e-25,0.0,1.9510672168703082e-20,0.0,2.0298580259522525e-51,9.672442021018624e-16,9.672654807233291e-16,0.0,7.480781985555591e-32,0.0,6.3040556865203856e-21,0.0,7.274790029524179e-36,0.0,5.7451920865055215e-31,0.0,5.202662563167625e-62
9.854541360585774e-06,1.263137568223389e-15,1.2631753347519324e-15,0.0,1.0002258910870965e-31,0.0,8.287789054195431e-21,0.0,9.731904124594179e-36,0.0,7.460077706550632e-31,0.0,7.475434635021924e-62,8.283212214495833e-22,6.458191989248486e-19,1.263074491891844e-15,1.2630745018355273e-15,0.0,3.53262691946436e-21,0.0,1.1205777780705485e-20,0.0,3.4498699264838862e-25,0.0,2.533453970786947e-20,0.0,2.914802572708288e-51,1.263137568223389e-15,1.2631753347519324e-15,0.0,1.0002258910870965e-31,0.0,8.287789054195431e-21,0.0,9.731904124594179e-36,0.0,7.460077706550632e-31,0.0,7.475434635021924e-62
1.0890952522693036e-05,1.644608124635283e-15,1.6446730249958508e-15,0.0,1.3352503574182881e-31,0.0,1.0868968436878042e-20,0.0,1.299439896913654e-35,0.0,9.67739417268398e-31,0.0,1.0730481400115061e-61,8.283212214495833e-22,6.458191989248486e-19,1.6445294099766357e-15,1.6445453538307657e-15,0.0,4.714137003370238e-21,0.0,1.4609248280712485e-20,0.0,4.60487032911132e-25,0.0,3.2864747909990934e-20,0.0,4.180945737569608e-51,1.644608124635283e-15,1.6446730249958508e-15,0.0,1.3352503574182881e-31,0.0,1.0868968436878042e-20,0.0,1.299439896913654e-35,0.0,9.67739417268398e-31,0.0,1.0730481400115061e-61
1.2036363998222927e-05,2.1340473527851793e-15,2.1341558947276398e-15,0.0,1.7789389946156337e-31,0.0,1.421103659491154e-20,0.0,1.7309461705616412e-35,0.0,1.2538061246444593e-30,0.0,1.5383174807623385e-61,8.283212214495833e-22,6.458191989248486e-19,2.133950571916874e-15,2.1339957864469578e-15,0.0,6.277975686553497e-21,0.0,1.8988190066651394e-20,0.0,6.131674364883822e-25,0.0,4.257990573774089e-20,0.0,5.988572338097582e-51,2.1340473527851793e-15,2.1341558947276398e-15,0.0,1.7789389946156337e-31,0.0,1.421103659491154e-20,0.0,1.7309461705616412e-35,0.0,1.2538061246444593e-30,0.0,1.5383174807623385e-61
1.3302239450208724e-05,2.7585228886056954e-15,2.7587038451947624e-15,0.0,2.364334027457994e-31,0.0,1.8516432915632468e-20,0.0,2.2992770646793116e-35,0.0,1.621857165297538e-30,0.0,2.20171020022577e-61,8.283212214495833e-22,6.458191989248486e-19,2.758405963437956e-15,2.7585051957262912e-15,0.0,8.34000402128832e-21,0.0,2.4593404775567498e-20,0.0,8.14142494641008e-25,0.0,5.50794460467294e-20,0.0,8.562391800027322e-51,2.7585228886056954e-15,2.7587038451947624e-15,0.0,2.364334027457994e-31,0.0,1.8516432915632468e-20,0.0,2.2992770646793116e-35,0.0,1.621857165297538e-30,0.0,2.20171020022577e-61
