Energy,Flux Value,Flux Error,Is Upper Limit
3.0521224931682534e-07,7.53e-16,1.11e-16,0.0
3.060393827838086e-07,7.548e-16,1.11e-16,0.0
6.244857675723662e-07,1.18e-15,0.0,0.0
1.5095185772444614e-06,3.12e-15,1.39e-16,0.0
1.5095185772444614e-06,3.32e-15,3.28e-16,0.0
1.5095185772444614e-06,3.3215e-15,3.285e-16,0.0
1.5880962566078716e-06,3.5174e-15,0.0,0.0
1.6873522726458637e-06,3.06e-15,1.02e-16,0.0
1.6873522726458637e-06,5.8752e-15,8.568e-16,0.0
3.1017505011872493e-06,6.225e-15,0.0,0.0
3.1017505011872493e-06,6.6e-15,6.75e-16,0.0
3.1017505011872493e-06,6.22e-15,6e-16,0.0
3.1017505011872493e-06,6.6e-15,6.75e-16,0.0
5.7899342688828654e-06,1.148e-14,0.0,0.0
5.7899342688828654e-06,9.198e-15,0.0,0.0
5.7899342688828654e-06,1.37e-14,4.83e-16,0.0
5.7899342688828654e-06,1.15e-14,7e-16,0.0
5.7899342688828654e-06,1.552e-14,7.728e-18,0.0
5.7899342688828654e-06,1.51e-14,7.54e-16,0.0
5.7899342688828654e-06,9.2e-15,0.0,0.0
5.7899342688828654e-06,1.56e-14,0.0,0.0
5.7899342688828654e-06,1.3682e-14,4.8258e-16,0.0
5.8312909422320285e-06,1.2972e-14,1.41e-16,0.0
5.8312909422320285e-06,1.3e-14,1.41e-16,0.0
5.8519692789066105e-06,1.1037e-14,0.0,0.0
6.120787655676172e-06,7.4e-15,4.44e-16,0.0
1.1145623467599516e-05,2.9106e-14,5.39e-16,0.0
1.1145623467599516e-05,3.1801e-14,1.078e-15,0.0
1.1145623467599516e-05,2.2099e-14,8.085e-16,0.0
1.1145623467599516e-05,2.695e-14,1.078e-15,0.0
1.1166301804274097e-05,2.91e-14,5.39e-16,0.0
1.1166301804274097e-05,2.7e-14,1.08e-15,0.0
1.1166301804274097e-05,2.484e-14,5.4e-16,0.0
1.1166301804274097e-05,3.294e-14,5.4e-16,0.0
1.1166301804274097e-05,2.916e-14,0.0,0.0
1.9975273227645886e-05,5.86e-14,0.0,0.0
2.0057986574344214e-05,6.14e-14,9.21e-15,0.0
2.0057986574344214e-05,5.4174e-14,4.8015e-15,0.0
2.0057986574344214e-05,6.23e-14,7.61e-15,0.0
2.0057986574344214e-05,8.4948e-14,4.85e-17,0.0
2.0264769941090028e-05,5.64e-14,4.9e-16,0.0
2.0264769941090028e-05,1.96e-14,9.8e-16,0.0
2.0264769941090028e-05,5.635e-14,4.9e-16,0.0
2.067833667458166e-05,4.92e-14,0.0,0.0
2.067833667458166e-05,6.5e-14,0.0,0.0
2.067833667458166e-05,6.33e-14,0.0,0.0
2.067833667458166e-05,5.8e-14,0.0,0.0
2.7295404410447793e-05,1.1088e-13,6.6e-15,0.0
2.7295404410447793e-05,8.052e-14,5.94e-15,0.0
3.2175491865649064e-05,6.7686e-14,1.556e-15,0.0
3.256838026246612e-05,1.4569e-13,9.45e-15,0.0
3.3436870402798545e-05,1.3583e-13,5.6595e-15,0.0
3.3436870402798545e-05,9.4594e-14,4.0425e-15,0.0
3.473960561329719e-05,1.3867e-13,0.0,0.0
3.473960561329719e-05,1.39e-13,0.0,0.0
3.473960561329719e-05,1.49e-13,0.0,0.0
3.498774565339217e-05,1.4856e-13,3.384e-17,0.0
3.498774565339217e-05,1.481e-13,3.384e-17,0.0
3.498774565339217e-05,1.4022e-13,3.384e-17,0.0
3.498774565339217e-05,1.2175e-13,3.384e-17,0.0
4.3424507016621493e-05,2.0895e-13,7.35e-15,0.0
4.3424507016621493e-05,3.255e-14,5.25e-15,0.0
4.425164048360476e-05,1.8404e-13,0.0,0.0
4.425164048360476e-05,1.84e-13,5.35e-15,0.0
4.425164048360476e-05,1.84e-13,5.35e-15,0.0
4.425164048360476e-05,1.8395e-13,5.3475e-15,0.0
6.203501002374499e-05,1.2e-13,6e-15,0.0
6.203501002374499e-05,2.4e-13,0.0,0.0
6.203501002374499e-05,1.19e-13,0.0,0.0
6.203501002374499e-05,1.17e-13,5.85e-15,0.0
6.203501002374499e-05,1.37e-13,2.1e-15,0.0
6.203501002374499e-05,2.41e-13,0.0,0.0
6.203501002374499e-05,2.42e-13,0.0,0.0
6.368927695771152e-05,1.36e-13,0.0,0.0
9.098468136815932e-05,7.7e-14,2.42e-14,0.0
9.098468136815932e-05,1.672e-13,5.28e-14,0.0
9.181181483514258e-05,3.13e-13,2.66e-14,0.0
9.181181483514258e-05,3.11e-13,2.22e-14,0.0
9.925601603799198e-05,2.18e-13,0.0,0.0
0.00012407002004748998,1.84e-13,7.5e-15,0.0
0.00012985995431637285,1.1304e-13,3.454e-14,0.0
0.00012985995431637285,1.13e-13,1.88e-14,0.0
0.00012985995431637285,1.1304e-13,1.884e-14,0.0
0.00015219255792492102,3.68e-13,2.94e-14,0.0
0.00015219255792492102,5.74e-13,4.05e-14,0.0
0.00015219255792492102,4.34e-13,0.0,0.0
0.0001778336954014023,2.45e-13,0.0,0.0
0.0003556673908028046,4.3e-13,0.0,0.0
0.0003556673908028046,2.84e-13,1.72e-14,0.0
0.00041356673349163324,3.8509e-13,9.0623e-14,0.0
0.00041356673349163324,5.9297e-13,5.0345e-14,0.0
0.0005914004288930355,4.7469e-13,8.9501e-14,0.0
0.0005914004288930355,8.6666e-13,4.7073e-14,0.0
0.0008974398116768441,9.6664e-13,8.8505e-14,0.0
0.0014598905692254653,8.35e-13,0.0,0.0
0.0014598905692254653,1.1557e-12,2.1845e-13,0.0
0.05636914577490961,5.403e-13,1.49e-13,0.0
0.05636914577490961,5.7205e-13,9.7959e-14,0.0
0.10330897002620998,3.7836e-13,2.7428e-14,0.0
0.10330897002620998,3.7043e-13,2.3526e-14,0.0
0.2695214402164974,3.1434e-13,1.1704e-14,0.0
0.2695214402164974,1.4067e-12,3.5464e-14,0.0
0.36464178891957305,2.7141e-13,9.65e-15,0.0
0.36464178891957305,1.1968e-12,1.2367e-13,0.0
1.344091883847808,3.31e-13,1.43e-14,0.0
1.3589802862535068,3.5203e-13,1.1074e-14,0.0
1.3589802862535068,3.492e-13,1.1128e-14,0.0
1.6087745932824533,2.9e-13,5.61e-15,0.0
1.62821222975656,2.9996e-13,4.5241e-15,0.0
1.62821222975656,3.0114e-13,4.27e-15,0.0
1.9354923127408437,4.56e-13,0.0,0.0
1.9388008466087767,1.3167e-12,1.2703e-13,0.0
1.9727133187550905,2.61e-13,4.58e-15,0.0
1.991323821762214,2.683e-13,3.5663e-15,0.0
1.991323821762214,2.6921e-13,3.6364e-15,0.0
2.2870240362087317,8.764e-13,4.916e-14,0.0
2.2952953708785646,9.6847e-13,9.8451e-14,0.0
2.551706745643377,2.62e-13,4.11e-15,0.0
2.6009211869288813,2.7996e-13,3.6518e-15,0.0
2.6009211869288813,2.7649e-13,3.6954e-15,0.0
2.8196979889459555,1.5243e-12,1.4706e-13,0.0
2.857746128427186,9.34e-13,3.619e-14,0.0
2.8639496294295603,1.1187e-12,7.4924e-14,0.0
3.457417891990054,2.88e-13,1.12e-14,0.0
3.4950524647377925,2.8382e-13,1.0062e-14,0.0
3.4950524647377925,2.8798e-13,1.1023e-14,0.0
3.531859904018548,7.351e-13,3.273e-14,0.0
3.5413719388888554,8.9535e-13,5.2061e-14,0.0
4.706389427134786,6.1501e-13,2.399e-14,0.0
4.714660761804619,4.995e-13,1.778e-14,0.0
5.335010862042068,3.15e-13,2.35e-14,0.0
5.335010862042068,5.39e-13,1.64e-14,0.0
5.335010862042068,3.3e-13,1.15e-14,0.0
5.335010862042068,5.02e-13,3.01e-14,0.0
5.541794228787886,4.481e-13,1.965e-14,0.0
6.0794309823270085,2.846e-13,1.17e-14,0.0
444.9955073526987,9.08072817401e-14,1.46703083132e-14,0.0
547.9759218764141,1.2488e-13,1.1527e-14,0.0
664.9932663410428,1.07193983088e-13,1.81559693261e-14,0.0
889.990984899643,1.20736247569e-13,1.91627349129e-14,0.0
1000.0043615827692,8.0225e-14,2.1767e-14,0.0
1000.0043615827692,9.9358e-14,2.5326e-14,0.0
1000.0043615827692,3.2025e-13,4.1851e-14,0.0
1000.0043615827692,1.2423e-13,2.4263e-14,0.0
1000.0043615827692,1.3993e-13,3.0059e-14,0.0
1000.0043615827692,1.3141e-13,1.3048e-14,0.0
1000.0043615827692,7.2647e-14,1.4787e-14,0.0
1000.0043615827692,7.314e-14,1.7476e-14,0.0
1000.0043615827692,1.8035e-13,4.9752e-14,0.0
1000.8314950497524,1.6367e-13,1.9663e-14,0.0
1000.8314950497524,7.7546e-14,1.2537e-14,0.0
1000.8314950497524,9.0083e-14,2.3217e-14,0.0
1000.8314950497524,9.7048e-14,1.2537e-14,0.0
1000.8314950497524,1.0583e-13,1.7928e-14,0.0
1149.9883459170394,1.33449377556e-13,1.69810357339e-14,0.0
1413.984661807894,1.682e-13,1.6272e-14,0.0
1449.9853238642975,1.46449804112e-13,2.24266388721e-14,0.0
1732.01747986296,1.7405e-13,9.5504e-15,0.0
1874.9810972540445,1.61467928132e-13,2.40572556314e-14,0.0
2000.0087231655384,1.374e-13,1.2351e-14,0.0
2000.0087231655384,1.4359e-13,2.9676e-14,0.0
2000.0087231655384,1.7805e-13,4.8821e-14,0.0
2000.0087231655384,1.3058e-13,2.3438e-14,0.0
2000.0087231655384,9.3431e-14,2.2018e-14,0.0
2000.0087231655384,2.2131e-13,2.8667e-14,0.0
2000.0087231655384,9.445e-14,2.3613e-14,0.0
2000.0087231655384,1.426e-13,2.9668e-14,0.0
2000.0087231655384,1.7001e-13,2.7391e-14,0.0
2584.9738953886413,1.82782937667e-13,3.69453340775e-14,0.0
3979.9597683271436,2.14502827738e-13,3.3733745172e-14,0.0
4470.656389044555,2.8437e-13,8.5866e-14,0.0
4470.656389044555,4.056e-13,1.2636e-13,0.0
4470.656389044555,4.1116e-13,1.1351e-13,0.0
4470.656389044555,3.4628e-13,4.9969e-14,0.0
4470.656389044555,1.3467e-13,4.1695e-14,0.0
4470.656389044555,2.2448e-13,9.1006e-14,0.0
4470.656389044555,2.5339e-13,2.5182e-14,0.0
5434.944977232836,2.46235255066e-13,1.14290014774e-13,0.0
122011284.703,7.77913968515e-12,1.03713675691e-12,0.0
162069017.748,9.00426397837e-12,9.16883466736e-13,0.0
