Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
10263157894.736841,4.839484569820079e-31,4.839484569820079e-31,1.6780764388050304e-23
11342543632.881647,5.9101341185504505e-31,5.9101341185504505e-31,2.0493255609655996e-23
12535449360.0649,7.217502926772613e-31,7.217502926772613e-31,2.5026592512064852e-23
13853814077.753716,8.813869683925692e-31,8.813869683925692e-31,3.056206380919224e-23
15310832423.160404,1.0763033150149685e-30,1.0763033150149685e-30,3.732090995712638e-23
16921086725.606577,1.3142839563725096e-30,1.3142839563725096e-30,4.5573089596203333e-23
18700692951.376278,1.6048259592976128e-30,1.6048259592976128e-30,5.564795271520353e-23
20667461997.723312,1.9595132098437356e-30,1.9595132098437356e-30,6.794722767700011e-23
22841077950.317432,2.3924715985688636e-30,2.3924715985688636e-30,8.296081274602323e-23
25243295088.189747,2.9209219900331808e-30,2.9209219900331808e-30,1.0128596181370516e-22
27898155607.869144,3.565851305579422e-30,3.565851305579422e-30,1.2365057079442517e-22
30832230245.766026,4.352825968059442e-30,4.352825968059442e-30,1.509414077663996e-22
34074884207.03299,5.3129764921784514e-30,5.3129764921784514e-30,1.8423828817546146e-22
37658571062.408035,6.484187184651866e-30,6.484187184651866e-30,2.248553774780879e-22
41619157554.4585,7.912530739321043e-30,7.912530739321043e-30,2.7439100747962736e-22
45996282563.99592,9.653993911354342e-30,9.653993911354342e-30,3.3478761741663345e-22
50833753829.31828,1.1776540116992348e-29,1.1776540116992348e-29,4.0840342784384004e-22
56179986388.77916,1.4362492858423316e-29,1.4362492858423316e-29,4.980953573484421e-22
62088487134.76444,1.751159563259021e-29,1.751159563259021e-29,6.073253572084223e-22
68618390328.65566,2.134443457252337e-29,2.134443457252337e-29,7.40279569419e-22
75835049436.39351,2.600660801187297e-29,2.600660801187297e-29,9.020134939960297e-22
83810691207.93115,3.167346228328309e-29,3.167346228328309e-29,1.0986171302580448e-21
92625138546.82388,3.8555744343206356e-29,3.8555744343206356e-29,1.3374121937805244e-21
102366609404.67741,4.6905929739462904e-29,4.6905929739462904e-29,1.627173349888348e-21
113132599696.05856,5.702278162544389e-29,5.702278162544389e-29,1.9782905284407212e-21
125030859070.37775,6.924211767146827e-29,6.924211767146827e-29,2.4024633355305114e-21
138180469306.59628,8.393906022118756e-29,8.393906022118756e-29,2.912788124761632e-21
152713036123.6949,1.0153424283669263e-28,1.0153424283669263e-28,3.5239815956210755e-21
168774006334.94345,1.2249579434667724e-28,1.2249579434667724e-28,4.252463576479981e-21
186524123528.49463,1.4735809604478888e-28,1.4735809604478888e-28,5.117013402068333e-21
206141036843.24185,1.767259303777813e-28,1.767259303777813e-28,6.138933216160799e-21
227821078941.1115,2.1130325646383557e-28,2.1130325646383557e-28,7.343053654878297e-21
251781230970.3328,2.5190454832752153e-28,2.5190454832752153e-28,8.75815169243691e-21
278261294185.6994,2.994769873879432e-28,2.994769873879432e-28,1.0417744446555684e-20
