Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
9.857118306114963e-06,1.1435781621907566e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1435781621907566e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1435781621907566e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.978184946176846e-21,6.147984985287402e-19
1.0893800487949322e-05,2.040145147410423e-17,2.0291537645571852e-17,0.0,1.2975806887103149e-30,0.0,4.77787529106393e-21,0.0,3.502905915041421e-36,0.0,5.460045292933328e-32,0.0,3.080236236646885e-63,2.0396228568005392e-17,2.028578684435364e-17,0.0,4.408242428400472e-23,0.0,4.9894470759085576e-21,0.0,1.3218054374094315e-28,0.0,1.8543899674917013e-24,0.0,1.067617448338443e-55,2.040145147410423e-17,2.0291537645571852e-17,0.0,1.2975806887103149e-30,0.0,4.77787529106393e-21,0.0,3.502905915041421e-36,0.0,5.460045292933328e-32,0.0,3.080236236646885e-63,2.978184946176846e-21,6.147984985287402e-19
1.2039511486599909e-05,2.7413400304404514e-17,2.7270894945017615e-17,0.0,1.741679157944193e-30,0.0,5.827935436501439e-21,0.0,4.696112800179093e-36,0.0,7.132731190061267e-32,0.0,4.425317857051126e-63,2.7406804479047648e-17,2.726361773889283e-17,0.0,5.91706739019018e-23,0.0,6.102204624945669e-21,0.0,1.7720056058717827e-28,0.0,2.422523503167964e-24,0.0,1.5338495153353835e-55,2.7413400304404514e-17,2.7270894945017615e-17,0.0,1.741679157944193e-30,0.0,5.827935436501439e-21,0.0,4.696112800179093e-36,0.0,7.132731190061267e-32,0.0,4.425317857051126e-63,2.978184946176846e-21,6.147984985287402e-19
1.3305717962827898e-05,3.67936114585915e-17,3.6608503240291784e-17,0.0,2.334319334683918e-30,0.0,7.101673775222531e-21,0.0,6.285080967109854e-36,0.0,9.30047125624764e-32,0.0,6.349506173315514e-63,3.678529179710663e-17,3.659930435726934e-17,0.0,7.930589503264972e-23,0.0,7.456674922853947e-21,0.0,2.3714889275174966e-28,0.0,3.158813598083971e-24,0.0,2.200819168106782e-55,3.67936114585915e-17,3.6608503240291784e-17,0.0,2.334319334683918e-30,0.0,7.101673775222531e-21,0.0,6.285080967109854e-36,0.0,9.30047125624764e-32,0.0,6.349506173315514e-63,2.978184946176846e-21,6.147984985287402e-19
1.4705092536634163e-05,4.932161513770624e-17,4.908080809531508e-17,0.0,3.123435755766565e-30,0.0,8.644064998343326e-21,0.0,8.395603183864923e-36,0.0,1.2104145629709172e-31,0.0,9.097102583460828e-63,4.931113709879778e-17,4.906919615920803e-17,0.0,1.0611682561557992e-22,0.0,9.10277612028442e-21,0.0,3.1676813706418303e-28,0.0,4.111115869000598e-24,0.0,3.1532118427366234e-55,4.932161513770624e-17,4.908080809531508e-17,0.0,3.123435755766565e-30,0.0,8.644064998343326e-21,0.0,8.395603183864923e-36,0.0,1.2104145629709172e-31,0.0,9.097102583460828e-63,2.978184946176846e-21,6.147984985287402e-19
1.6251640619099357e-05,6.602273314892822e-17,6.570916119509357e-17,0.0,4.1714818492128696e-30,0.0,1.0507882272151082e-20,0.0,1.1190496153675271e-35,0.0,1.5722624140273883e-31,0.0,1.3012217040161776e-62,6.60095623830239e-17,6.569452932603879e-17,0.0,1.4172555672647659e-22,0.0,1.1099458249902569e-20,0.0,4.221954335226617e-28,0.0,5.3401913749186355e-24,0.0,4.5103117704724845e-55,6.602273314892822e-17,6.570916119509357e-17,0.0,4.1714818492128696e-30,0.0,1.0507882272151082e-20,0.0,1.1190496153675271e-35,0.0,1.5722624140273883e-31,0.0,1.3012217040161776e-62,2.978184946176846e-21,6.147984985287402e-19
1.7960840583245483e-05,8.82397383725426e-17,8.783127064742356e-17,0.0,5.559303226620812e-30,0.0,1.2754465223863733e-20,0.0,1.4878885780501932e-35,0.0,2.0382045265094274e-31,0.0,1.8577396820585801e-62,8.822322361703414e-17,8.781287548487786e-17,0.0,1.8887915682019216e-22,0.0,1.3515716981952273e-20,0.0,5.613115116532024e-28,0.0,6.922859017588297e-24,0.0,6.439393055421606e-55,8.82397383725426e-17,8.783127064742356e-17,0.0,5.559303226620812e-30,0.0,1.2754465223863733e-20,0.0,1.4878885780501932e-35,0.0,2.0382045265094274e-31,0.0,1.8577396820585801e-62,2.978184946176846e-21,6.147984985287402e-19
1.984979867679579e-05,1.1772224747947449e-16,1.1719036547655972e-16,0.0,7.390753453852224e-30,0.0,1.5454276658523426e-20,0.0,1.9726948014894423e-35,0.0,2.636685057457397e-31,0.0,2.646578504622889e-62,1.177016039152457e-16,1.1716730597276537e-16,0.0,2.5110653147130423e-22,0.0,1.6431413174392788e-20,0.0,7.441440984621659e-28,0.0,8.955744454515624e-24,0.0,9.17380122821547e-55,1.1772224747947449e-16,1.1719036547655972e-16,0.0,7.390753453852224e-30,0.0,1.5454276658523426e-20,0.0,1.9726948014894423e-35,0.0,2.636685057457397e-31,0.0,2.646578504622889e-62,2.978184946176846e-21,6.147984985287402e-19
2.1937420227251133e-05,1.5673650806550332e-16,1.5604477182958547e-16,0.0,9.798025919908223e-30,0.0,1.8687073987744643e-20,0.0,2.606984120208394e-35,0.0,3.4032630626946853e-31,0.0,3.7610601976906043e-62,1.5671080350545858e-16,1.5601597020866932e-16,0.0,3.3289962462916166e-22,0.0,1.9937706890121132e-20,0.0,9.833155763061343e-28,0.0,1.155964459709804e-23,0.0,1.3037040481482654e-54,1.5673650806550332e-16,1.5604477182958547e-16,0.0,9.798025919908223e-30,0.0,1.8687073987744643e-20,0.0,2.606984120208394e-35,0.0,3.4032630626946853e-31,0.0,3.7610601976906043e-62,2.978184946176846e-21,6.147984985287402e-19
2.424459885276245e-05,2.0819759213571979e-16,2.07304271243794e-16,0.0,1.294683211451494e-29,0.0,2.2539883649294997e-20,0.0,3.4320805531187793e-35,0.0,4.382174129880537e-31,0.0,5.329467095199236e-62,2.0816573981937757e-16,2.0726846364467235e-16,0.0,4.398894112093736e-22,0.0,2.413513463704389e-20,0.0,1.2943810044868772e-27,0.0,1.4884833890379218e-23,0.0,1.8473810168224368e-54,2.0819759213571979e-16,2.07304271243794e-16,0.0,1.294683211451494e-29,0.0,2.2539883649294997e-20,0.0,3.4320805531187793e-35,0.0,4.382174129880537e-31,0.0,5.329467095199236e-62,2.978184946176846e-21,6.147984985287402e-19
