Energy,Flux Value,Flux Error,Is Upper Limit
3.0521224931682534e-07,5.46e-16,8.86e-17,0.0
3.060393827838086e-07,5.476e-16,8.88e-17,0.0
6.244857675723662e-07,2.22e-15,0.0,0.0
6.286214349072825e-07,2.21e-15,1.14e-16,0.0
1.5095185772444614e-06,5.39e-15,1.2e-16,0.0
1.5880962566078716e-06,5.2762e-15,0.0,0.0
1.6873522726458637e-06,7.548e-15,8.568e-16,0.0
3.1017505011872493e-06,1.55e-14,8.25e-16,0.0
3.1017505011872493e-06,1.5525e-14,8.25e-16,0.0
3.995054645529177e-06,1.4297e-14,2.0286e-15,0.0
3.995054645529177e-06,1.43e-14,2.03e-15,0.0
4.00332598019901e-06,2.08e-14,1.06e-15,0.0
4.00332598019901e-06,2.0812e-14,1.0648e-15,0.0
5.703085254849622e-06,3.3096e-14,1.6548e-15,0.0
5.7072209221845385e-06,3.31e-14,1.65e-15,0.0
5.7899342688828654e-06,1.5933e-14,4.7803e-16,0.0
5.7899342688828654e-06,1.953e-14,0.0,0.0
5.7899342688828654e-06,1.96e-16,0.0,0.0
5.7899342688828654e-06,2.63e-14,0.0,0.0
5.7899342688828654e-06,1.95e-14,0.0,0.0
5.7899342688828654e-06,3.122e-14,8.4e-16,0.0
5.7899342688828654e-06,1.59e-14,4.77e-16,0.0
5.7899342688828654e-06,3.12e-14,8.4e-16,0.0
6.120787655676172e-06,2.368e-14,1.184e-15,0.0
6.120787655676172e-06,3.03e-14,1.48e-15,0.0
6.137330325015837e-06,3.0274e-14,1.484e-15,0.0
6.906564449310275e-06,5.6947e-14,1.837e-15,0.0
6.906564449310275e-06,1.67e-14,1.336e-15,0.0
7.030634469357765e-06,2.36e-14,0.0,0.0
9.305251503561748e-06,3.22e-14,0.0,0.0
1.1145623467599516e-05,6.468e-14,3.234e-15,0.0
1.1145623467599516e-05,6.9262e-14,3.5035e-15,0.0
1.1145623467599516e-05,5.8482e-14,5.39e-16,0.0
1.1145623467599516e-05,3.6652e-14,1.617e-15,0.0
1.1145623467599516e-05,8.085e-14,2.9645e-15,0.0
1.1166301804274097e-05,5.913e-14,0.0,0.0
1.1166301804274097e-05,7.128e-14,1.08e-15,0.0
1.1166301804274097e-05,6.47e-14,3.23e-15,0.0
1.1166301804274097e-05,5.85e-14,5.39e-16,0.0
1.1166301804274097e-05,6.93e-14,3.5e-15,0.0
1.1166301804274097e-05,3.429e-14,8.1e-16,0.0
1.8941356393916803e-05,1.54e-13,7.79e-15,0.0
1.8962034730591384e-05,1.5406e-13,7.7945e-15,0.0
1.9851203207598396e-05,9.02e-14,0.0,0.0
1.9975273227645886e-05,9.22e-14,0.0,0.0
2.0057986574344214e-05,8.1121e-14,4.365e-17,0.0
2.0057986574344214e-05,7.6717e-14,4.85e-17,0.0
2.0057986574344214e-05,8.81e-14,1.01e-14,0.0
2.0057986574344214e-05,8.78e-14,1.32e-14,0.0
2.0057986574344214e-05,9.7776e-14,8.6815e-15,0.0
2.0182056594391704e-05,1.06e-13,5.37e-15,0.0
2.0202734931066285e-05,1.0649e-13,5.3735e-15,0.0
2.0264769941090028e-05,9.8e-14,4.9e-15,0.0
