Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
12204301075.268818,1.3714937021316621e-30,1.3714937021316621e-30,1.419601449226615e-22
13487838623.826454,1.6749666766860025e-30,1.6749666766860025e-30,1.7337240293188068e-22
14906366994.750462,2.0455590683567617e-30,2.0455590683567617e-30,2.117323274544576e-22
16474083296.7609,2.4981030457678067e-30,2.4981030457678067e-30,2.585753018945963e-22
18206677761.535934,3.05070301801894e-30,3.05070301801894e-30,3.1577547408841467e-22
20121490776.824146,3.725455204187657e-30,3.725455204187657e-30,3.856202644593621e-22
22237686434.87342,4.54932440066732e-30,4.54932440066732e-30,4.709011571776417e-22
24576444333.10743,5.555211824201036e-30,5.555211824201036e-30,5.750242861129008e-22
27161171546.655388,6.783255000342294e-30,6.783255000342294e-30,7.021450637092738e-22
30017736894.22729,8.282409148640714e-30,8.282409148640714e-30,8.573319821007355e-22
33174729841.94641,1.0112369615987128e-29,1.0112369615987128e-29,1.0467657659539895e-21
36663746636.3355,1.2345906874302583e-29,1.2345906874302583e-29,1.2779813017750685e-21
40519706530.17185,1.507169968166453e-29,1.507169968166453e-29,1.560161235889338e-21
44781201266.105835,1.8397768451418148e-29,1.8397768451418148e-29,1.9044918495791157e-21
49490881315.79255,2.2455629890624122e-29,2.2455629890624122e-29,2.324593808361036e-21
54695882740.14735,2.740531569101173e-29,2.740531569101173e-29,2.8370426594831188e-21
60448298942.88662,3.344140967001701e-29,3.344140967001701e-29,3.461995233841732e-21
66805702038.82122,4.0800161412824326e-29,4.0800161412824326e-29,4.223928569629665e-21
73831719054.9322,4.9768414459516354e-29,4.9768414459516354e-29,5.152566454664554e-21
81596668731.04271,6.06938912540163e-29,6.06938912540163e-29,6.283948743222428e-21
90178265293.40096,7.399774309947904e-29,7.399774309947904e-29,7.661736158161706e-21
99662396244.77727,9.018908692643773e-29,9.018908692643773e-29,9.338724225825997e-21
110143981955.45946,1.0988253200333937e-28,1.0988253200333937e-28,1.1378669366992348e-20
121727925658.2227,1.3381827510071908e-28,1.3381827510071908e-28,1.385838704069581e-20
134530163355.14217,1.6288094723060167e-28,1.6288094723060167e-28,1.6869741911100077e-20
148678824144.06927,1.9809566703651534e-28,1.9809566703651534e-28,2.051936877001938e-20
164315512577.70883,2.4064653143244686e-28,2.4064653143244686e-28,2.4930672558821567e-20
181596725889.57712,2.919008448267647e-28,2.919008448267647e-28,3.024643169672998e-20
200695420270.91568,3.534312164462525e-28,3.534312164462525e-28,3.6631226028717706e-20
221802741874.38583,4.270671096994673e-28,4.270671096994673e-28,4.427686182664319e-20
245129939869.0108,5.149258954680354e-28,5.149258954680354e-28,5.3405793776757475e-20
270910480692.863,6.194920290516858e-28,6.194920290516858e-28,6.427943871545983e-20
299402384663.6464,7.436680800945817e-28,7.436680800945817e-28,7.720373997941046e-20
330890808332.7603,8.908572084493918e-28,8.908572084493918e-28,9.253797764910748e-20
