Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
1.17214643656669e-05,1.081356384647734e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.789583021155184e-21,2.0056953581316626e-18,1.081356384647734e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081356384647734e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2954221534195046e-05,3.0494174130578903e-17,3.0391982621290236e-17,0.0,5.877377647817527e-31,0.0,8.819413432823705e-21,0.0,4.861091497335129e-36,0.0,6.227890473791708e-32,0.0,2.6828208061970256e-63,5.789583021155184e-21,2.0056953581316626e-18,3.048105172654587e-17,3.037764849474877e-17,0.0,5.880177525839322e-23,0.0,9.238020561307186e-21,0.0,5.5576696936394005e-28,0.0,6.224248910241459e-24,0.0,2.7796433194972245e-55,3.0494174130578903e-17,3.0391982621290236e-17,0.0,5.877377647817527e-31,0.0,8.819413432823705e-21,0.0,4.861091497335129e-36,0.0,6.227890473791708e-32,0.0,2.6828208061970256e-63
1.4316628905901686e-05,4.109458565171275e-17,4.096269390855172e-17,0.0,7.924041533052635e-31,0.0,1.108448450851067e-20,0.0,6.550909205034742e-36,0.0,8.127693952895234e-32,0.0,3.868414796926221e-63,5.789583021155184e-21,2.0056953581316626e-18,4.1077692504291616e-17,4.094423748481447e-17,0.0,7.927979262213494e-23,0.0,1.1628963912084325e-20,0.0,7.489774379584365e-28,0.0,8.123116067274957e-24,0.0,4.008097115207337e-55,4.109458565171275e-17,4.096269390855172e-17,0.0,7.924041533052635e-31,0.0,1.108448450851067e-20,0.0,6.550909205034742e-36,0.0,8.127693952895234e-32,0.0,3.868414796926221e-63
1.5822321911683686e-05,5.5351982522984174e-17,5.518202358440899e-17,0.0,1.0677346387102328e-30,0.0,1.3922280195653097e-20,0.0,8.822246016257375e-36,0.0,1.0600358107737303e-31,0.0,5.575190474382479e-63,5.789583021155184e-21,2.0056953581316626e-18,5.533022575729727e-17,5.515825117484702e-17,0.0,1.0682857196284059e-22,0.0,1.4629829118134524e-20,0.0,1.0086807610998732e-27,0.0,1.0594601670843561e-23,0.0,5.7765938051289656e-55,5.5351982522984174e-17,5.518202358440899e-17,0.0,1.0677346387102328e-30,0.0,1.3922280195653097e-20,0.0,8.822246016257375e-36,0.0,1.0600358107737303e-31,0.0,5.575190474382479e-63
1.748637003322392e-05,7.451523096785398e-17,7.429638281879147e-17,0.0,1.437831303597143e-30,0.0,1.7474487009485112e-20,0.0,1.1872279510734383e-35,0.0,1.3816809179897563e-31,0.0,8.030648759883427e-63,5.789583021155184e-21,2.0056953581316626e-18,7.448720165947986e-17,7.426575547428593e-17,0.0,1.4385991745176218e-22,0.0,1.8393042307988282e-20,0.0,1.3574233756583407e-27,0.0,1.3809569248269913e-23,0.0,8.320871181730967e-55,7.451523096785398e-17,7.429638281879147e-17,0.0,1.437831303597143e-30,0.0,1.7474487009485112e-20,0.0,1.1872279510734383e-35,0.0,1.3816809179897563e-31,0.0,8.030648759883427e-63
1.9325427623428602e-05,1.0025315671658347e-16,9.997133451947298e-17,0.0,1.934858329801904e-30,0.0,2.1916476988834318e-20,0.0,1.5963451111707264e-35,0.0,1.7998101450113811e-31,0.0,1.156057727827414e-62,5.789583021155184e-21,2.0056953581316626e-18,1.00217041091257e-16,9.993187050451112e-17,0.0,1.935924082383474e-22,0.0,2.3107704498034936e-20,0.0,1.82521434695465e-27,0.0,1.7988994600225105e-23,0.0,1.1978511441382255e-54,1.0025315671658347e-16,9.997133451947298e-17,0.0,1.934858329801904e-30,0.0,2.1916476988834318e-20,0.0,1.5963451111707264e-35,0.0,1.7998101450113811e-31,0.0,1.156057727827414e-62
2.135790058878902e-05,1.3479215263415097e-16,1.344289521062848e-16,0.0,2.6016496102339686e-30,0.0,2.746467551572186e-20,0.0,2.1444170348127287e-35,0.0,2.3429619887171823e-31,0.0,1.6630835700411512e-62,5.789583021155184e-21,2.0056953581316626e-18,1.3474562012390759e-16,1.343781037629603e-16,0.0,2.6031235224476587e-22,0.0,2.9007738356576474e-20,0.0,2.4518927416170718e-27,0.0,2.341816485919626e-23,0.0,1.723223729330537e-54,1.3479215263415097e-16,1.344289521062848e-16,0.0,2.6016496102339686e-30,0.0,2.746467551572186e-20,0.0,2.1444170348127287e-35,0.0,2.3429619887171823e-31,0.0,1.6630835700411512e-62
2.360413060188041e-05,1.8109687238457047e-16,1.8062820464007195e-16,0.0,3.4951090488092625e-30,0.0,3.438523118267621e-20,0.0,2.877557806387948e-35,0.0,3.0479054584393145e-31,0.0,2.3906448312829097e-62,5.789583021155184e-21,2.0056953581316626e-18,1.8103693565204123e-16,1.8056270417869455e-16,0.0,3.497140709824779e-22,0.0,3.638151364160265e-20,0.0,3.290187760156464e-27,0.0,3.046464872816394e-23,0.0,2.4771139474468388e-54,1.8109687238457047e-16,1.8062820464007195e-16,0.0,3.4951090488092625e-30,0.0,3.438523118267621e-20,0.0,2.877557806387948e-35,0.0,3.0479054584393145e-31,0.0,2.3906448312829097e-62
2.608659868765761e-05,2.4310640151878145e-16,2.4250074284635057e-16,0.0,4.690615561149042e-30,0.0,4.3004063093667855e-20,0.0,3.8565852215880235e-35,0.0,3.961902602885295e-31,0.0,3.4334862945579706e-62,5.789583021155184e-21,2.0056953581316626e-18,2.43029243309874e-16,2.424164112164911e-16,0.0,4.69340734909388e-22,0.0,4.5583053276885847e-20,0.0,4.4096412603119024e-27,0.0,3.9600916959014075e-23,0.0,3.557694098978057e-54,2.4310640151878145e-16,2.4250074284635057e-16,0.0,4.690615561149042e-30,0.0,4.3004063093667855e-20,0.0,3.8565852215880235e-35,0.0,3.961902602885295e-31,0.0,3.4334862945579706e-62
2.8830150221109583e-05,3.2604124099699026e-16,3.2525740407582564e-16,0.0,6.287684753583465e-30,0.0,5.3718276301638754e-20,0.0,5.161373597039381e-35,0.0,5.14553786023985e-31,0.0,4.926274491045103e-62,5.789583021155184e-21,2.0056953581316626e-18,3.259420029480861e-16,3.251489172064007e-16,0.0,6.291509696015481e-22,0.0,5.704483392373176e-20,0.0,5.9015847341139974e-27,0.0,5.143263056711084e-23,0.0,5.104500216114975e-54,3.2604124099699026e-16,3.2525740407582564e-16,0.0,6.287684753583465e-30,0.0,5.3718276301638754e-20,0.0,5.161373597039381e-35,0.0,5.14553786023985e-31,0.0,4.926274491045103e-62
3.186224358812257e-05,4.3679972687632826e-16,4.357840466356775e-16,0.0,8.417176512379607e-30,0.0,6.700879442043878e-20,0.0,6.896308421838426e-35,0.0,6.67622806691668e-31,0.0,7.059896129616194e-62,5.789583021155184e-21,2.0056953581316626e-18,4.3667225657776327e-16,4.3564465440489464e-16,0.0,8.4224018302934e-22,0.0,7.129204451074828e-20,0.0,7.885376151213445e-27,0.0,6.673373536759356e-23,0.0,7.315317358061159e-54,4.3679972687632826e-16,4.357840466356775e-16,0.0,8.417176512379607e-30,0.0,6.700879442043878e-20,0.0,6.896308421838426e-35,0.0,6.67622806691668e-31,0.0,7.059896129616194e-62
3.521322499823525e-05,5.844659603627842e-16,5.83148782928828e-16,0.0,1.1250364217432582e-29,0.0,8.34538381709816e-20,0.0,9.197017895986143e-35,0.0,8.652534540900866e-31,0.0,1.0104061868006448e-61,5.789583021155184e-21,2.0056953581316626e-18,5.84302515648779e-16,5.829699788510435e-16,0.0,1.1257482168514145e-21,0.0,8.895792918429516e-20,0.0,1.0516096949128556e-26,0.0,8.648957742552252e-23,0.0,1.0469595978047709e-53,5.844659603627842e-16,5.83148782928828e-16,0.0,1.1250364217432582e-29,0.0,8.34538381709816e-20,0.0,9.197017895986143e-35,0.0,8.652534540900866e-31,0.0,1.0104061868006448e-61
3.891663219970405e-05,7.809545733009373e-16,7.792459482490778e-16,0.0,1.5010183966877665e-29,0.0,1.0374255543653519e-19,0.0,1.2238523685832433e-34,0.0,1.1199397536387263e-30,0.0,1.4438424380927646e-61,5.789583021155184e-21,2.0056953581316626e-18,7.807454877043866e-16,7.7901709290287345e-16,0.0,1.5019851951393436e-21,0.0,1.1079948990485318e-19,0.0,1.3993872227736638e-26,0.0,1.1194924310832252e-22,0.0,1.496068653256037e-53,7.809545733009373e-16,7.792459482490778e-16,0.0,1.5010183966877665e-29,0.0,1.0374255543653519e-19,0.0,1.2238523685832433e-34,0.0,1.1199397536387263e-30,0.0,1.4438424380927646e-61
4.3009530136559144e-05,1.0418200809766692e-15,1.0396045992542597e-15,0.0,1.998494145070925e-29,0.0,1.2868765939383428e-19,0.0,1.624487654268226e-34,0.0,1.4474397489148053e-30,0.0,2.059504226877999e-61,5.789583021155184e-21,2.0056953581316626e-18,1.0415534025926349e-15,1.039312509039175e-15,0.0,1.999803369702192e-21,0.0,1.3771233182070852e-19,0.0,1.857488986132948e-26,0.0,1.4468816904644986e-22,0.0,2.133982359410342e-53,1.0418200809766692e-15,1.0396045992542597e-15,0.0,1.998494145070925e-29,0.0,1.2868765939383428e-19,0.0,1.624487654268226e-34,0.0,1.4474397489148053e-30,0.0,2.059504226877999e-61
4.753288190702338e-05,1.3872591836602765e-15,1.384389999525149e-15,0.0,2.6544642570780133e-29,0.0,1.5923534371172077e-19,0.0,2.150020332849534e-34,0.0,1.867510842648358e-30,0.0,2.9315718531894202e-61,5.789583021155184e-21,2.0056953581316626e-18,1.3869203125151933e-15,1.384018525748849e-15,0.0,2.6562316025626158e-21,0.0,1.7074278558847957e-19,0.0,2.4584035753850034e-26,0.0,1.866816773465582e-22,0.0,3.0375511642814477e-53,1.3872591836602765e-15,1.384389999525149e-15,0.0,2.6544642570780133e-29,0.0,1.5923534371172077e-19,0.0,2.150020332849534e-34,0.0,1.867510842648358e-30,0.0,2.9315718531894202e-61
