Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
5625000000.0,1.089826910173792e-22,1.068267988110661e-31,2.6545284645682425e-22
6216586414.175518,1.3309661668112757e-22,1.3046345533942916e-31,3.2418876253244014e-22
6870390514.650955,1.6254351232273586e-22,1.5932743253867984e-31,3.959148714900024e-22
7592955792.615018,1.9850173987084214e-22,1.945737087711314e-31,4.835015878009781e-22
8391513924.232145,2.4240957863471825e-22,2.3761200554773385e-31,5.904525214294067e-22
9274057147.688221,2.9602236104485943e-22,2.9016277887481734e-31,7.210436912797564e-22
10249418252.196613,3.614820817855208e-22,3.5432543111628817e-31,8.804931404431017e-22
11327358979.521431,4.414021647798495e-22,4.3266137205416825e-31,1.0751675005709511e-21
12518667722.770132,5.389706327866784e-22,5.282951058697609e-31,1.3128334212666082e-21
13835267500.257843,6.580755936808061e-22,6.450371751465667e-31,1.6029634161605824e-21
15290335285.082129,8.034577533744873e-22,7.87533570698016e-31,1.957107623838755e-21
16898433884.698689,9.808956064377787e-22,9.614471349939224e-31,2.3893452854855543e-21
18675657690.39308,1.197430060615343e-21,1.1736775651867305e-30,2.916832449360619e-21
20639793755.35825,1.4616365381187345e-21,1.4326278757140631e-30,3.5604655698327735e-21
22810499813.5013,1.783954078602108e-21,1.748526622771406e-30,4.345684312332479e-21
25209501020.65161,2.1770826526799432e-21,2.1338168287301206e-30,5.3034410255668885e-21
27860807387.222523,2.6564608201127382e-21,2.6036234129105748e-30,6.471366721696476e-21
30790954078.465504,3.240828737371976e-21,3.176303748822e-30,7.89514668358338e-21
34029266987.322823,3.952932180149127e-21,3.8741364713289766e-30,9.630239467127752e-21
37608156237.82089,4.820333113226148e-21,4.72411356271759e-30,1.1743859200213536e-20
41563440556.48491,5.8763983192531614e-21,5.758906428703267e-30,1.431739336375298e-20
45934705758.19304,7.161439891583119e-21,7.017979010194864e-30,1.7449196406542907e-20
50765700934.31693,8.724090332173864e-21,8.54892950009952e-30,2.1257959216341403e-20
56104776308.33282,1.0622868920393541e-20,1.0409016248303194e-29,2.5886555206859464e-20
62005367141.109024,1.2927659668150995e-20,1.2666587009876412e-29,3.150570355372033e-20
68526528528.95704,1.5719441815710955e-20,1.54007533377461e-29,3.831351258284795e-20
75733526446.88452,1.9091692413847687e-20,1.8702722322475082e-29,4.6539036268902245e-20
83698490952.40971,2.3152016132310493e-20,2.2677341278028026e-29,5.644641602729865e-20
92501138087.42093,2.8023668677533264e-20,2.744451771796168e-29,6.833882979560831e-20
102229567703.11725,3.384902959384409e-20,3.314256574258168e-29,8.256713858089577e-20
112981145192.93063,4.07915008544405e-20,3.9929953527610925e-29,9.953488025788217e-20
124863475958.1092,4.904083531077113e-20,4.799044621025452e-29,1.1971150898416883e-19
137995482358.7401,5.881605404499927e-20,5.753580241309131e-29,1.4364003165590695e-19
152508593928.70065,7.037073410846826e-20,6.881079440831093e-29,1.71950417530419e-19
168548062766.60828,8.39991486158072e-20,8.209902409035649e-29,2.0537521304103397e-19
186274417267.64426,1.0004553737206904e-19,9.773180194531975e-29,2.447728000346235e-19
205865068745.6887,1.1888305432348306e-19,1.1606666880644738e-28,2.910788565288086e-19
227516087025.37912,1.4080834033877784e-19,1.3738157789814799e-28,3.450576188133351e-19
251444162774.8172,1.6650171758148252e-19,1.6233375094958867e-28,4.0839753420796703e-19
277888776218.6073,1.9634753316057874e-19,1.9128029019208622e-28,4.820986586133791e-19
307114593936.43634,2.3127592977879463e-19,2.2511758828717986e-28,5.684765006359826e-19
339414117735.16125,2.718023165289052e-19,2.6432144292648004e-28,6.688821393503726e-19
375110612105.204,3.191708071062833e-19,3.100868231362594e-28,7.864257041506748e-19
414561339560.2263,3.7407321809200875e-19,3.6304817045840892e-28,9.229343835821119e-19
458161136240.4458,4.382724267827627e-19,4.248968527107155e-28,1.0828212417150858e-18
506346363565.4352,5.126718300808705e-19,4.9645354287538675e-28,1.2684976580508638e-18
559599275485.8779,5.997237218074143e-19,5.80066860067896e-28,1.4861161922098723e-18
618452845043.1948,7.007075420659489e-19,6.76897363454851e-28,1.7390975714148177e-18
683496098542.8842,8.186375409249074e-19,7.898100856088679e-28,2.0350751062812726e-18
755380010727.7623,9.5529193169535e-19,9.20413292014602e-28,2.3788184082643096e-18
834824019951.9934,1.1149113785969434e-18,1.0727328551985147e-27,2.78108237975075e-18
922623228561.9479,1.299963434559599e-18,1.2489947135543139e-27,3.2485044248447753e-18
1019656360547.7256,1.5158029941551956e-18,1.4542467696872811e-27,3.79478160986535e-18
1126894556108.204,1.7656384770755936e-18,1.691356356743406e-27,4.4286317544675835e-18
1245411091148.5527,2.056475647629956e-18,1.9668921452584375e-27,5.168089944596668e-18
1376392118986.2397,2.3926003877071224e-18,2.284661671581896e-27,6.024875519812884e-18
1521148541772.1094,2.7831758934108687e-18,2.653209068424581e-27,7.022731542794544e-18
1681129130439.714,3.2339859709059757e-18,3.0776524791739408e-27,8.177538756033617e-18
1857935024491.7751,3.7568812355185236e-18,3.568971038033183e-27,9.520234143953242e-18
2053335756742.475,4.359784388223384e-18,4.134169229202041e-27,1.1072592012639328e-17
2269286963396.635,5.058291992792434e-18,4.7876243229370466e-27,1.2875563718561441e-17
2507949956714.159,5.863524581398986e-18,5.539202864556342e-27,1.4959598936719012e-17
2771713356149.567,6.795797865414456e-18,6.4075271702523584e-27,1.737838197501793e-17
3063216994458.353,7.869199572672391e-18,7.404994969023869e-27,2.0170816952857278e-17
3385378338030.4624,9.10875539042395e-18,8.554300909513477e-27,2.340383130324191e-17
3741421685874.535,1.0533223120479305e-17,9.871955996585936e-27,2.7129214586992917e-17
4134910439486.0996,1.2174531687562979e-17,1.1386707010644266e-26,3.143303269495442e-17
4569782766567.431,1.4057531740643662e-17,1.3120468007262802e-26,3.638376710802475e-17
5050391015533.604,1.6223239020876652e-17,1.5109952926167518e-26,4.209267372576878e-17
5581545275278.272,1.870510548894265e-17,1.7384853524552947e-26,4.86513096420547e-17
6168561516160.079,2.1557018549538306e-17,1.999330321524203e-26,5.620617759004274e-17
6817314794020.748,2.482537122687722e-17,2.297700147938337e-26,6.488255827043509e-17
7534298049718.602,2.85828194464903e-17,2.640099730862374e-26,7.487748835535514e-17
8326687092663.073,3.289509558904497e-17,3.0325355772083875e-26,8.636527630985922e-17
9202412418727.09,3.786246048855637e-17,3.4840409626559673e-26,9.961596994123462e-17
10170238581315.355,4.358003067331584e-17,4.003473517443703e-26,1.1487639732911425e-16
11239851909960.67,5.019006269607519e-17,4.603780996876011e-26,1.3252546640897873e-16
12421957454365.55,5.783381231305834e-17,5.298382797688499e-26,1.5292111448827374e-16
13728386124137.816,6.671803382900144e-17,6.106333679470171e-26,1.7660634652755547e-16
15172213096510.37,7.705461848058172e-17,7.048140982269081e-26,2.0410580898446866e-16
16767888677109.723,8.914738043081777e-17,8.152162581466352e-26,2.3620577543284464e-16
18531382923471.6,1.0331444505874769e-16,9.449693936565138e-26,2.7367745532100077e-16
20480345478744.516,1.200036164369208e-16,1.0983028532764948e-25,3.176636474944187e-16
22634282215250.51,1.3968974594781562e-16,1.2799532467851035e-25,3.692942705030548e-16
25014750455811.7,1.630307520968855e-16,1.4961986683305343e-25,4.3022742582299177e-16
27645574726682.63,1.9072896248502262e-16,1.7541264780864644e-25,5.021077472790088e-16
30553085201416.75,2.2374738756708055e-16,2.0630066966809498e-25,5.873360110234886e-16
33766381222093.285,2.6311553203601636e-16,2.4333273654815324e-25,6.882907811309026e-16
37317622535313.13,3.102250925413614e-16,2.87857784728904e-25,8.08411369858819e-16
41242351157752.48,3.665616282765898e-16,3.4140090797268553e-25,9.510920019903133e-16
45579847092611.54,4.3411518181296928e-16,4.0590124607786687e-25,1.1212173746175082e-15
50373521457089.11,5.149998808989078e-16,4.835423169049814e-25,1.3235751777623582e-15
55671350955434.59,6.120227401224233e-16,5.770695666763688e-25,1.5650221452156524e-15
61526358045929.2,7.281369685565403e-16,6.895472970929623e-25,1.852200105053448e-15
67997141607470.555,8.672202217235417e-16,8.247763342899238e-25,2.1945543170948613e-15
75148463416848.03,1.0332843864114024e-15,9.869348926103344e-25,2.601057480115287e-15
83051896306372.28,1.2315195982968191e-15,1.1811130951014273e-24,3.084342637788255e-15
91786540488836.9,1.4671456894893997e-15,1.4127663430153331e-24,3.656021772022253e-15
101439815219035.45,1.7467645191097547e-15,1.6883606960689136e-24,4.3321920464028545e-15
112108333715045.42,2.0766762057717e-15,2.0145136257112525e-24,5.126761209044335e-15
123898870095787.78,2.4643020556826852e-15,2.39845668173294e-24,6.0579451323368835e-15
136929428012297.38,2.9143838002707062e-15,2.84533932206431e-24,7.135662107416143e-15
