Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
5.402459071620701e-06,7.751545250372716e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8867013674798718e-22,1.0237651092707208e-19,7.751545250372716e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.751545250372716e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.970640652049148e-06,1.8592008473052552e-17,1.8393239482311887e-17,0.0,2.2800561042884033e-22,0.0,5.3824508107670204e-21,0.0,4.900188500415247e-27,0.0,7.846214008716244e-24,0.0,1.1812953873226826e-55,1.8867013674798718e-22,1.0237651092707208e-19,1.8584217538805205e-17,1.838405921039137e-17,0.0,5.3996227212822e-22,0.0,5.97272145384921e-21,0.0,1.2140967155539392e-26,0.0,1.8559425323762197e-23,0.0,2.878097883502307e-55,1.8597684417815124e-17,1.8399944004243807e-17,0.0,2.279187480009192e-31,0.0,4.955739245809242e-21,0.0,4.7324663939971693e-36,0.0,7.850026186196708e-33,0.0,1.1559361704600602e-64
6.598578410924951e-06,2.499429335471328e-17,2.4730338622831435e-17,0.0,3.069918836341551e-22,0.0,6.722912956234084e-21,0.0,6.597953004587732e-27,0.0,1.0235443275507356e-23,0.0,1.703961786176453e-55,1.8867013674798718e-22,1.0237651092707208e-19,2.4983957136846786e-17,2.4718148027510972e-17,0.0,7.270222482733441e-22,0.0,7.507685055454079e-21,0.0,1.634764707768783e-26,0.0,2.4211101143478122e-23,0.0,4.151538692104258e-55,2.500182418805942e-17,2.4739242246792308e-17,0.0,3.0687342957342127e-31,0.0,6.155623228115406e-21,0.0,6.372059110195918e-36,0.0,1.024035609814337e-32,0.0,1.6673764553400092e-64
7.29255696039606e-06,3.358485903455345e-17,3.3235444266120585e-17,0.0,4.131713193454334e-22,0.0,8.396765647726265e-21,0.0,8.880250728728883e-27,0.0,1.3346734547399167e-23,0.0,2.4573346232495032e-55,1.8867013674798718e-22,1.0237651092707208e-19,3.357113967174611e-17,3.321925089541847e-17,0.0,9.784839577019012e-22,0.0,9.439860913842168e-21,0.0,2.2002698259158756e-26,0.0,3.157085056417994e-23,0.0,5.987082464054911e-55,3.3594855515784946e-17,3.3247272176588256e-17,0.0,4.130100074684474e-31,0.0,7.64277652563638e-21,0.0,8.576148716455164e-36,0.0,1.3353065316561607e-32,0.0,2.4045673730625247e-64
8.059521871039879e-06,4.510462247711202e-17,4.4643537640089735e-17,0.0,5.558283535467304e-22,0.0,1.0487325981437712e-20,0.0,1.1946635897548747e-26,0.0,1.7397342622457157e-23,0.0,3.542943471314799e-55,1.8867013674798718e-22,1.0237651092707208e-19,4.508640596960466e-17,4.462202252026432e-17,0.0,1.3163361487183144e-21,0.0,1.1873368879789123e-20,0.0,2.960056806088209e-26,0.0,4.1152615217076114e-23,0.0,8.632097824946135e-55,4.511789670194436e-17,4.465925366169002e-17,0.0,5.556089603760318e-31,0.0,9.485484106050793e-21,0.0,1.1537453592756299e-35,0.0,1.7405499614389378e-32,0.0,3.4668583557917066e-64
8.907149185467917e-06,6.054233336281558e-17,5.993562154107562e-17,0.0,7.473788680697232e-22,0.0,1.3098904855409632e-20,0.0,1.6063941335836462e-26,0.0,2.2669440810782158e-23,0.0,5.106809851845604e-55,1.8867013674798718e-22,1.0237651092707208e-19,6.051813964126826e-17,5.990703325125302e-17,0.0,1.7699840411323017e-21,0.0,1.4940024499132922e-20,0.0,3.980238628353021e-26,0.0,5.362391433622214e-23,0.0,1.2442351448900953e-54,6.05599643448796e-17,5.995650556854117e-17,0.0,7.470808391691178e-31,0.0,1.1768181906276842e-20,0.0,1.55136716590522e-35,0.0,2.267994883559243e-32,0.0,4.997136381784742e-64
9.843922242740314e-06,8.121607829563179e-17,8.041953876089887e-17,0.0,1.004406159776986e-21,0.0,1.6362121633504792e-20,0.0,2.1588513957710315e-26,0.0,2.9529229562780725e-23,0.0,7.358818892463097e-55,1.8867013674798718e-22,1.0237651092707208e-19,8.118394332816915e-17,8.038155432110206e-17,0.0,2.3787029586534053e-21,0.0,1.8806766916081892e-20,0.0,5.349103928750118e-26,0.0,6.985105228941164e-23,0.0,1.7929201671815385e-54,8.12394979418549e-17,8.044728845144467e-17,0.0,1.004001763896097e-30,0.0,1.4595244287503205e-20,0.0,2.0848960478637818e-35,0.0,2.954276234131193e-32,0.0,7.200782904246114e-64
1.0879216582474616e-05,1.0888079138652745e-16,1.0783657050929964e-16,0.0,1.3490286867352626e-21,0.0,2.0440544248064324e-20,0.0,2.8995555544833906e-26,0.0,3.84515281453244e-23,0.0,1.060043933958702e-54,1.8867013674798718e-22,1.0237651092707208e-19,1.0883811346695925e-16,1.0778611344265617e-16,0.0,3.194877786855078e-21,0.0,2.3685052050343393e-20,0.0,7.184383301876712e-26,0.0,9.095729909236945e-23,0.0,2.5827128569967753e-54,1.0891189659815182e-16,1.0787343428528619e-16,0.0,1.3484805369562849e-30,0.0,1.809563440542312e-20,0.0,2.800228435327464e-35,0.0,3.846894912297249e-32,0.0,1.0372801024897274e-63
1.2023393778397256e-05,1.4586962333907904e-16,1.4450164171100647e-16,0.0,1.8106997514603546e-21,0.0,2.5538962740099953e-20,0.0,3.891770326805268e-26,0.0,5.005135760905265e-23,0.0,1.5264329571141987e-54,1.8867013674798718e-22,1.0237651092707208e-19,1.45812963753951e-16,1.4443464529850752e-16,0.0,4.288265507354319e-21,0.0,2.9842697498324e-20,0.0,9.642802224757291e-26,0.0,1.1839761297553062e-22,0.0,3.719021670925309e-54,1.4591092138930097e-16,1.4455059183350418e-16,0.0,1.8099574784745997e-30,0.0,2.242859642319018e-20,0.0,3.758469329465563e-35,0.0,5.007377110393474e-32,0.0,1.4936575536524658e-63
1.3287905140456344e-05,1.952792100106159e-16,1.9348712561438241e-16,0.0,2.428566021183501e-21,0.0,3.191365963792307e-20,0.0,5.219554730248324e-26,0.0,6.512439919397531e-23,0.0,2.1970823674416096e-54,1.8867013674798718e-22,1.0237651092707208e-19,1.9520403611657077e-16,1.9339822672630356e-16,0.0,5.751581408458342e-21,0.0,3.761876184562595e-20,0.0,1.2932587087550376e-25,0.0,1.5405436387832837e-22,0.0,5.352975294283725e-54,1.9533400593000777e-16,1.9355208201433382e-16,0.0,2.427561812097686e-30,0.0,2.7790594319737837e-20,0.0,5.040814460622526e-35,0.0,6.515321403923194e-32,0.0,2.1499154323586432e-63
