Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
9733333333.333334,3.988127516315899e-24,2.9352144746370044e-24,4.658271078831324e-24
10756996935.936306,4.870809944106422e-24,3.5848560629914236e-24,5.6892768181737866e-24
11888320179.425653,5.948804716928145e-24,4.378243876370217e-24,6.94841541937661e-24
13138625727.0731,7.265308606892073e-24,5.34716958712296e-24,8.486142817251018e-24
14520427057.041698,8.873063626658961e-24,6.530449769599977e-24,1.0364064386610764e-23
16047553701.481249,1.0836462613258398e-23,7.97547546354857e-24,1.2657394452687283e-23
17735289657.13429,1.3234117692451717e-23,9.740102359946131e-24,1.5457956511747374e-23
19600526352.71264,1.6161992676406662e-23,1.1894955960324653e-23,1.8877842216567434e-23
21661931703.993355,1.9737222193853013e-23,1.4526242055869904e-23,2.305387259136929e-23
23940136948.594315,2.4102766637099156e-23,1.7739172203984502e-23,2.815303565638878e-23
26457943130.33471,2.94330837185649e-23,2.1662137196489655e-23,3.4379111698080404e-23
29240549299.74529,3.5941035589179046e-23,2.6451789569339895e-23,4.198074202080614e-23
32315804714.63574,4.388629626527671e-23,3.229922986554994e-23,5.126125054541029e-23
35714487564.82732,5.358557888267389e-23,3.9437531613996684e-23,6.259059165348545e-23
39470613010.62151,6.542506754555528e-23,4.8150887922367806e-23,7.641987397194835e-23
43621773617.95716,7.987551590109209e-23,5.87857193968106e-23,9.3299000273872e-23
48209515597.445786,9.751055050475495e-23,7.176413867712368e-23,1.1389805266080894e-22
53279754612.811424,1.1902867684461522e-22,8.760013575852443e-23,1.390330067022074e-22
58883235320.28602,1.4528038394741152e-22,1.0691951562757234e-22,1.69697401067859e-22
65076039238.1849,1.7730040389824662e-22,1.304836204594625e-22,2.0710003723039183e-22
71920146029.59167,2.163470502360811e-22,1.5921825698090104e-22,2.5271095211716334e-22
79484053815.65848,2.639490420069523e-22,1.942481179947553e-22,3.083161487489444e-22
87843464727.82545,3.2196235523825167e-22,2.36938572505445e-22,3.7608405017725343e-22
97082042560.19666,3.92637509573102e-22,2.8894510798192104e-22,4.586441687496727e-22
107292250104.91162,4.786948713531311e-22,3.5226859579310186e-22,5.591752120926006e-22
118576274550.84715,5.833835096820507e-22,4.292981328436178e-22,6.814742824033143e-22
131047050207.34981,7.105795018866357e-22,5.228830471188138e-22,8.300720304794957e-22
144829388788.7623,8.64901357149522e-22,6.36417407661861e-22,1.0103678942582049e-21
160061228572.01135,1.0518442494398006e-21,7.739382161151462e-22,1.228787461532851e-21
