Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
3.43903086383448e-06,1.1806709256771764e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1806709256771764e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1806709256771764e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5551389673209524e-21,2.4717172643234466e-18
3.800716897074432e-06,1.5712995775323535e-17,1.5576508258256007e-17,0.0,1.1526556076480954e-22,0.0,6.013049113277856e-22,0.0,1.0429605922101635e-28,0.0,6.971930897716619e-26,0.0,5.099085300385334e-59,1.5712909347366986e-17,1.5576368344727895e-17,0.0,1.332161570867214e-22,0.0,6.297986959654689e-22,0.0,1.2136480395230634e-28,0.0,8.057637566268844e-26,0.0,5.971663837486056e-59,1.5713135382890746e-17,1.557673273035606e-17,0.0,8.644979219556616e-23,0.0,5.556401757239806e-22,0.0,7.736166120531614e-29,0.0,5.229037560778258e-26,0.0,3.742580429608528e-59,4.5551389673209524e-21,2.4717172643234466e-18
4.200441782485383e-06,2.0994151136294934e-17,2.0811438971535955e-17,0.0,1.5514032875507388e-22,0.0,7.815625084957077e-22,0.0,1.4039131802984426e-28,0.0,9.119836007047886e-26,0.0,7.373663738166547e-59,2.0994036815663168e-17,2.0811253049643195e-17,0.0,1.7930073952572382e-22,0.0,8.196692306690197e-22,0.0,1.6336831601897557e-28,0.0,1.054002756885565e-25,0.0,8.635479677210948e-59,2.099433580856753e-17,2.0811737268575248e-17,0.0,1.1635606629581086e-22,0.0,7.204910851015433e-22,0.0,1.0413427383146589e-28,0.0,6.839992342025187e-26,0.0,5.412053645582431e-59,4.5551389673209524e-21,2.4717172643234466e-18
4.6422061010726706e-06,2.803674579129199e-17,2.7792525531167096e-17,0.0,2.0882309982019946e-22,0.0,1.016143792387622e-21,0.0,1.8899255960209575e-28,0.0,1.1934451260383625e-25,0.0,1.06674358240864e-58,2.803659459932349e-17,2.7792278479377834e-17,0.0,2.4134369108049054e-22,0.0,1.0671203047195132e-21,0.0,2.1992530490110847e-28,0.0,1.379295238793006e-25,0.0,1.2492899338219107e-58,2.8036990036896104e-17,2.779292191963845e-17,0.0,1.566184058332445e-22,0.0,9.344456841628176e-22,0.0,1.4018236617754133e-28,0.0,8.950987266216795e-26,0.0,7.829584229872389e-59,4.5551389673209524e-21,2.4717172643234466e-18
5.130431178618864e-06,3.7423819379900727e-17,3.709794227681627e-17,0.0,2.8111208101821203e-22,0.0,1.3215950273345882e-21,0.0,2.5444853482180747e-28,0.0,1.5625311491644228e-25,0.0,1.5440162703579061e-58,3.742361949891385e-17,3.709761404735046e-17,0.0,3.2489046158535993e-22,0.0,1.3898092042801968e-21,0.0,2.9609670357999277e-28,0.0,1.8058577247854254e-25,0.0,1.808236118948031e-58,3.742414229557858e-17,3.709846892920518e-17,0.0,2.1083548585162247e-22,0.0,1.2122694573901981e-21,0.0,1.8873112672706936e-28,0.0,1.1719175628900466e-25,0.0,1.1332622681857052e-58,4.5551389673209524e-21,2.4717172643234466e-18
5.670003335798144e-06,4.993015901161154e-17,4.9496153244410546e-17,0.0,3.7848515812913805e-22,0.0,1.719591208284048e-21,0.0,3.4263164734860434e-28,0.0,2.0469090637649203e-25,0.0,2.236102940705208e-58,4.992989492320537e-17,4.949571728910625e-17,0.0,4.374277632519673e-22,0.0,1.810905088203673e-21,0.0,3.9871670962268786e-28,0.0,2.365666197750846e-25,0.0,2.6187565575990497e-58,4.993058567495008e-17,4.949685276557237e-17,0.0,2.8386574631954596e-22,0.0,1.5732424911626143e-21,0.0,2.5413564777676726e-28,0.0,1.5352065665372907e-25,0.0,1.641233001572348e-58,4.5551389673209524e-21,2.4717172643234466e-18
6.266322792116006e-06,6.658513044146362e-17,6.600835231111857e-17,0.0,5.096953597663166e-22,0.0,2.2385675436795493e-21,0.0,4.614786692688688e-28,0.0,2.6831723965741735e-25,0.0,3.2405328232784746e-58,6.658478182275403e-17,6.600777351957795e-17,0.0,5.890717694813048e-22,0.0,2.360854745875639e-21,0.0,5.370221211126066e-28,0.0,3.1010128342786356e-25,0.0,3.795070338984567e-58,6.658569369491255e-17,6.600928104742384e-17,0.0,3.8227399178825057e-22,0.0,2.0425757265083485e-21,0.0,3.4228186768404865e-28,0.0,2.012411238812275e-25,0.0,2.3784540263939476e-58,4.5551389673209524e-21,2.4717172643234466e-18
6.925357713121212e-06,8.875611607822243e-17,8.799143623132162e-17,0.0,6.865813016109567e-22,0.0,2.9158874612206103e-21,0.0,6.217268926316746e-28,0.0,3.519809426650061e-25,0.0,4.699656943379707e-58,8.875565639753858e-17,8.799066823652016e-17,0.0,7.935047740045457e-22,0.0,3.0797329380556875e-21,0.0,7.235091540938962e-28,0.0,4.067936929785451e-25,0.0,5.5038885704910744e-58,8.875685879894789e-17,8.799266859499248e-17,0.0,5.149392264592898e-22,0.0,2.6532866978012084e-21,0.0,4.611324140091864e-28,0.0,2.639898244066647e-25,0.0,3.449406527426765e-58,4.5551389673209524e-21,2.4717172643234466e-18
7.653703941812421e-06,1.1825936049680935e-16,1.172483247563654e-16,0.0,9.251719285949053e-22,0.0,3.800729659571792e-21,0.0,8.379178878691803e-28,0.0,4.621198446193064e-25,0.0,6.821582829500017e-58,1.182587552408798e-16,1.1724730642260518e-16,0.0,1.0692519809496825e-21,0.0,4.0203774361184696e-21,0.0,9.751017505786998e-28,0.0,5.340842346996589e-25,0.0,7.98893153728178e-58,1.1826033846229317e-16,1.1724995886210275e-16,0.0,6.938832130346382e-22,0.0,3.4486890807031876e-21,0.0,6.214708525381954e-28,0.0,3.46595188149652e-25,0.0,5.006834930960949e-58,4.5551389673209524e-21,2.4717172643234466e-18
8.458651012052047e-06,1.575072894433954e-16,1.5617472638965653e-16,0.0,1.247194876069328e-21,0.0,4.957941129855409e-21,0.0,1.1297683597811355e-27,0.0,6.073000543768102e-25,0.0,9.911086596659987e-58,1.5750649389952647e-16,1.5617337724772e-16,0.0,1.4414247723071305e-21,0.0,5.252579885794088e-21,0.0,1.3147471882670744e-27,0.0,7.018730127757545e-25,0.0,1.1607130522135368e-57,1.5750857491650073e-16,1.5617689138094332e-16,0.0,9.35401746098078e-22,0.0,4.485704177770253e-21,0.0,8.379180997165197e-28,0.0,4.554818704938322e-25,0.0,7.274435563354303e-58,4.5551389673209524e-21,2.4717172643234466e-18
