Energy,Flux Value,Flux Error,Is Upper Limit
3.0521224931682534e-07,2.31e-15,2.8e-16,0.0
3.060393827838086e-07,2.3162e-15,2.812e-16,0.0
1.5095185772444614e-06,4.13e-15,1.17e-16,0.0
1.5095185772444614e-06,4.672e-15,5.475e-16,0.0
1.5095185772444614e-06,4.67e-15,5.47e-16,0.0
1.5880962566078716e-06,4.489e-15,0.0,0.0
1.6873522726458637e-06,5.55e-15,6.12e-16,0.0
1.6873522726458637e-06,5.3856e-15,0.0,0.0
1.6873522726458637e-06,5.24e-15,4.19e-16,0.0
1.6873522726458637e-06,5.4e-15,4.32e-16,0.0
1.6873522726458637e-06,5.39e-15,0.0,0.0
1.6873522726458637e-06,7.548e-15,8.568e-16,0.0
1.6873522726458637e-06,5.5488e-15,6.12e-16,0.0
5.703085254849622e-06,7.0329e-15,4.137e-16,0.0
5.7072209221845385e-06,7.03e-15,4.14e-16,0.0
5.7899342688828654e-06,1.3804e-14,0.0,0.0
5.7899342688828654e-06,1.2071e-14,2.086e-18,0.0
5.7899342688828654e-06,1.34e-14,4.02e-16,0.0
5.7899342688828654e-06,1.38e-14,0.0,0.0
5.7899342688828654e-06,1.3413e-14,4.0244e-16,0.0
5.8312909422320285e-06,9.59e-15,1.41e-16,0.0
5.8312909422320285e-06,9.588e-15,1.41e-16,0.0
6.120787655676172e-06,7.57e-15,4.45e-16,0.0
6.137330325015837e-06,7.5684e-15,4.452e-16,0.0
1.1145623467599516e-05,2.156e-14,1.617e-15,0.0
1.1145623467599516e-05,1.9134e-14,1.078e-15,0.0
1.1166301804274097e-05,1.998e-14,0.0,0.0
1.1166301804274097e-05,1.998e-14,1.89e-15,0.0
1.1166301804274097e-05,2e-14,1.89e-15,0.0
1.1166301804274097e-05,1.998e-14,0.0,0.0
1.1166301804274097e-05,1.91e-14,1.08e-15,0.0
1.1166301804274097e-05,2.16e-14,1.62e-15,0.0
1.1166301804274097e-05,2e-14,0.0,0.0
1.8941356393916803e-05,3.48e-14,1.83e-15,0.0
1.8962034730591384e-05,3.4846e-14,1.834e-15,0.0
1.9851203207598396e-05,3.45e-14,0.0,0.0
1.9975273227645886e-05,6.9e-14,0.0,0.0
2.0057986574344214e-05,5.77e-14,8.66e-15,0.0
2.0057986574344214e-05,5.8e-14,7.71e-15,0.0
2.0057986574344214e-05,7.5044e-14,5.82e-17,0.0
2.0057986574344214e-05,6.1255e-14,5.432e-15,0.0
2.0182056594391704e-05,4.89e-14,2.44e-15,0.0
2.0202734931066285e-05,4.885e-14,2.4425e-15,0.0
2.0223413267740866e-05,3.52e-14,0.0,0.0
2.067833667458166e-05,5.95e-14,0.0,0.0
2.067833667458166e-05,5e-14,1.5e-15,0.0
2.067833667458166e-05,5e-14,1.5e-15,0.0
2.067833667458166e-05,4.2e-14,0.0,0.0
2.067833667458166e-05,5e-14,0.0,0.0
2.067833667458166e-05,2.91e-14,0.0,0.0
2.067833667458166e-05,4.2e-14,0.0,0.0
2.067833667458166e-05,6e-14,0.0,0.0
2.071555768059591e-05,4.3578e-14,3.5063e-15,0.0
2.0719693347930826e-05,4.36e-14,3.51e-15,0.0
3.3416192066123964e-05,9.3e-14,4.85e-15,0.0
3.3436870402798545e-05,9.2978e-14,4.851e-15,0.0
3.473960561329719e-05,1.2949e-13,0.0,0.0
3.473960561329719e-05,1.3e-13,0.0,0.0
3.498774565339217e-05,1.3042e-13,3.384e-17,0.0
4.425164048360476e-05,1.2834e-13,5.3475e-15,0.0
4.425164048360476e-05,1.28e-13,5.35e-15,0.0
6.203501002374499e-05,2.31e-13,0.0,0.0
6.203501002374499e-05,1.42e-13,0.0,0.0
6.203501002374499e-05,1.25e-13,0.0,0.0
6.203501002374499e-05,1.42e-13,0.0,0.0
6.203501002374499e-05,2.09e-13,2.4e-15,0.0
6.203501002374499e-05,2.1e-13,1.05e-14,0.0
6.203501002374499e-05,1.73e-13,8.62e-15,0.0
6.228315006383996e-05,1.2352e-13,1.0545e-14,0.0
6.244857675723662e-05,1.24e-13,1.05e-14,0.0
6.327571022421988e-05,9.18e-14,4.59e-15,0.0
9.098468136815932e-05,1.39e-13,0.0,0.0
9.098468136815932e-05,1.12e-13,0.0,0.0
9.181181483514258e-05,1.24e-13,6.66e-15,0.0
9.181181483514258e-05,2.4e-13,2.22e-14,0.0
9.181181483514258e-05,2.24e-13,2.44e-14,0.0
9.925601603799198e-05,2.86e-13,0.0,0.0
0.00011745295231162385,3.1669e-13,3.4322e-14,0.0
0.00012407002004748998,3.2849e-13,2.2384e-14,0.0
0.00012985995431637285,5.1182e-13,6.28e-14,0.0
0.00012985995431637285,2.3236e-13,4.71e-14,0.0
