Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
11347517730.496454,7.136057408789704e-24,1.136018165364471e-24,7.741381361760411e-24
12540946588.092457,8.715620781868826e-24,1.3874728606479824e-24,9.454934291066074e-24
13859889454.2998,1.0644756955337759e-23,1.6945759615859067e-24,1.1547713752252905e-23
15317546752.635498,1.3000804062461212e-23,2.0696385099604733e-24,1.4103618572559353e-23
16928507207.276827,1.5878199423100442e-23,2.5276933098922338e-24,1.722509740258945e-23
18708893851.916348,1.9392255475502457e-23,3.087095890980504e-24,2.103724502404013e-23
20676525394.50223,2.368376750066477e-23,3.770257825592438e-24,2.5692801041898787e-23
22851094552.856472,2.892463547411426e-23,4.604541399582994e-24,3.137824877769945e-23
25254365146.01382,3.5324721947599573e-23,5.623350922580913e-24,3.832125511108441e-23
27910389913.83773,4.314021583789869e-23,6.867463583822e-24,4.679974407069256e-23
30845751244.925335,5.26838300882775e-23,8.386651981664013e-24,5.715296000493731e-23
34089827222.08719,6.433723138812738e-23,1.0241661597240022e-23,6.97949523596153e-23
37675085648.0743,7.856618485909275e-23,1.2506619917812085e-23,8.523100602743123e-23
41637408994.26093,9.593899860643015e-23,1.5271970076499992e-23,1.0407765191762289e-22
46016453524.478584,1.1714897548726315e-22,1.864804126095679e-23,1.270870252931558e-22
50856046188.23336,1.4304172601512462e-22,2.2769391321814113e-23,1.551764985081572e-22
56204623255.5474,1.7464835255978936e-22,2.7800081496758823e-23,1.8946468448349713e-22
62115715083.42923,2.1322554400141284e-22,3.3940045863243963e-23,2.313149397709684e-22
68648481865.678825,2.6030480439399535e-22,4.143291468611462e-23,2.8238877653089496e-22
75868305727.99173,3.1775151335507315e-22,5.057539103966759e-23,3.4470994673664266e-22
83847445094.24852,3.8783699087880403e-22,6.172869214809268e-23,4.207426369379924e-22
92665757873.10811,4.733249175352598e-22,7.533225644622699e-23,5.134852468549431e-22
102411500702.79855,5.775764977059833e-22,9.192042111933053e-23,6.26584508200897e-22
113182212253.21672,7.046760673356157e-22,1.1214231824510103e-22,7.644718020152223e-22
125085689425.72034,8.59576168365239e-22,1.3678477533369902e-22,9.325206458269448e-22
138241066220.74863,1.048234034793361e-21,1.667934472934133e-22,1.1371950840161022e-21
152780006070.9412,1.2778099351404288e-21,2.033039550368574e-22,1.3862650941712825e-21
168848019573.02512,1.5569005287705218e-21,2.476784488537372e-22,1.6890600592276953e-21
186605920806.7751,1.895817375759819e-21,3.0154917408343063e-22,2.0567713252872522e-21
206231436816.37524,2.306945347420614e-21,3.668748051962693e-22,2.5028414110333424e-21
227920986362.41327,2.8051393887482373e-21,4.460023612045185e-22,3.043395109690738e-21
251891645746.85544,3.408250946499467e-21,5.417499661717587e-22,3.697811144305754e-21
278383321385.63806,4.1377028978312696e-21,6.574965038737223e-22,4.489346891133406e-21
307661150872.7137,5.019211100959612e-21,7.972945601242293e-22,5.445922191961865e-21
340018156566.2074,6.083649649497747e-21,9.66005713273946e-22,6.601059349472692e-21
375778178254.66455,7.368131963039065e-21,1.1694701989840921e-21,7.995057259595602e-21
415299114254.502,8.91669740837742e-21,1.4146076128253205e-21,9.675740994148896e-21
458976503376.65137,1.0779638183440322e-20,1.7092862348708004e-21,1.1697744484049466e-20
507247483611.9244,1.3023735794464513e-20,2.064023658657481e-21,1.413357635990515e-20
560595167154.9525,1.5721020657582326e-20,2.4900720997467266e-21,1.706149477689334e-20
619553475553.4098,1.8968047880244065e-20,3.0026279096558403e-21,2.0586341009303508e-20
684712483374.3206,2.2868274655449122e-20,3.6178380357491286e-21,2.4820525148139228e-20
756724323868.6543,2.7560969258111815e-20,4.357609905506156e-21,2.9915273414703845e-20
836309715740.0941,3.3194776802575715e-20,5.245133864611474e-21,3.6032099328288355e-20
924265176340.0641,3.997276516850201e-20,6.3123720190488826e-21,4.3391496432346505e-20
1021470993481.0986,4.810828575587009e-20,7.592612300414734e-21,5.2225284783116264e-20
1128900035653.1501,5.789692935594516e-20,9.132417592761468e-21,6.285439955849206e-20
1247627488818.423,6.964748719717337e-20,1.0980031810932678e-20,7.561432665567887e-20
1378841617233.872,8.378311616908552e-20,1.320211566036598e-20,9.096450341421124e-20
1523855655999.2683,1.0075122366496352e-19,1.586871447608233e-20,1.0939093572726371e-19
1684120954355.4792,1.2116926047832955e-19,1.9077262939459262e-20,1.3156392183095345e-19
1861241501275.482,1.4568718957947343e-19,2.2929813587900063e-20,1.5818933595072885e-19
2056989978725.1204,1.7519459001455784e-19,2.756691609388367e-20,1.902328012383846e-19
2273325503260.0493,2.106340610051597e-19,3.313707365646424e-20,2.2871772553311655e-19
