Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
3.0285007607152953e-06,6.66440224600526e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.582955012892728e-22,2.099053652895427e-19,6.66440224600526e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66440224600526e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.347010966112513e-06,7.956945688868206e-18,7.95312548446305e-18,0.0,3.9718507783588676e-22,0.0,1.5952565113105706e-21,0.0,1.3385814367822437e-27,0.0,1.5020337390878442e-24,0.0,2.265556313156459e-57,7.582955012892728e-22,2.099053652895427e-19,7.953841818546046e-18,7.949843125289952e-18,0.0,4.566052674346577e-22,0.0,1.7120054831886152e-21,0.0,1.6087511352318059e-27,0.0,1.726547619756582e-24,0.0,2.7678804431148786e-57,7.962853311570035e-18,7.95956906587933e-18,0.0,2.7742194105568275e-22,0.0,1.3683349896172789e-21,0.0,8.49429969279918e-28,0.0,1.0493647486846035e-24,0.0,1.382507389374905e-57
3.6990191822278315e-06,1.0724739764232568e-17,1.072044491408379e-17,0.0,5.356413469923953e-22,0.0,2.0231828024669035e-21,0.0,1.805200130794875e-27,0.0,1.979964925885963e-24,0.0,3.2684699074194077e-57,7.582955012892728e-22,2.099053652895427e-19,1.0720845683106257e-17,1.0716316204189045e-17,0.0,6.157921372712572e-22,0.0,2.1741012490252306e-21,0.0,2.1696087143269557e-27,0.0,2.2759799438711923e-24,0.0,3.9932656671743104e-57,1.0732154133675548e-17,1.0728552966266885e-17,0.0,3.7410926495288635e-22,0.0,1.7298882518897e-21,0.0,1.145472810174714e-27,0.0,1.3831865247524917e-24,0.0,1.9944151644344168e-57
4.088048425602155e-06,1.4451406553659047e-17,1.4447037819777152e-17,0.0,7.22176462274092e-22,0.0,2.5645095604240364e-21,0.0,2.433816612342888e-27,0.0,2.606719647976374e-24,0.0,4.71446920043182e-57,7.582955012892728e-22,2.099053652895427e-19,1.4446520841466594e-17,1.4441843827847935e-17,0.0,8.3026086846544425e-22,0.0,2.759546417044472e-21,0.0,2.9251928379648003e-27,0.0,2.996515056377138e-24,0.0,5.760054932039822e-57,1.4460712871271604e-17,1.4457242148781476e-17,0.0,5.043660745804467e-22,0.0,2.185523507493296e-21,0.0,1.5442829137098626e-27,0.0,1.8209403548706627e-24,0.0,2.876634771070887e-57
4.517992231660447e-06,1.946727362328814e-17,1.946370494414073e-17,0.0,9.733926585605046e-22,0.0,3.2491106862111416e-21,0.0,3.2803378919348975e-27,0.0,3.427625342171706e-24,0.0,6.798767303401844e-57,7.582955012892728e-22,2.099053652895427e-19,1.9461142052493002e-17,1.9457168556712877e-17,0.0,1.1191020042013822e-21,0.0,3.50110186057327e-21,0.0,3.9427055990198896e-27,0.0,3.940268943839555e-24,0.0,8.306784708411033e-57,1.947895848722187e-17,1.9476552553090816e-17,0.0,6.797831382082506e-22,0.0,2.7595090761156987e-21,0.0,2.081326884301846e-27,0.0,2.3942775489880497e-24,0.0,4.1482542382672023e-57
4.9931536225228264e-06,2.6215571942966616e-17,2.6214459766409858e-17,0.0,1.3115770746172065e-21,0.0,4.114699287702614e-21,0.0,4.419791866394034e-27,0.0,4.5015450429835094e-24,0.0,9.802239145796446e-57,7.582955012892728e-22,2.099053652895427e-19,2.6207872949912287e-17,2.6206229562159212e-17,0.0,1.5079432598748986e-21,0.0,4.440201003156726e-21,0.0,5.3123314142202556e-27,0.0,5.174920899028871e-24,0.0,1.197666381093943e-56,2.6230251370081647e-17,2.623064491829566e-17,0.0,9.159198438391493e-22,0.0,3.482333884457081e-21,0.0,2.804203483467095e-27,0.0,3.1443004550439128e-24,0.0,5.980620149589252e-57
5.518288173096287e-06,3.5290616214270834e-17,3.529482813819806e-17,0.0,1.766622373451613e-21,0.0,5.2088585737890415e-21,0.0,5.9527727284419824e-27,0.0,5.904863411538748e-24,0.0,1.4128783633419627e-56,7.582955012892728e-22,2.099053652895427e-19,3.5280942247742035e-17,3.52844576683122e-17,0.0,2.03115813252573e-21,0.0,5.629217900212355e-21,0.0,7.154982719141147e-27,0.0,6.788296778537101e-24,0.0,1.7263225460062524e-56,3.530907164856677e-17,3.5315233589552436e-17,0.0,1.2336449166014368e-21,0.0,4.39227733810324e-21,0.0,3.7767349244066175e-27,0.0,4.124345529066112e-24,0.0,8.620133073401128e-57
6.09865160646682e-06,4.7488697780078466e-17,4.750286694182325e-17,0.0,2.3785817020425826e-21,0.0,6.5915795509947664e-21,0.0,8.014006091154455e-27,0.0,7.736635910827047e-24,0.0,2.0358827759511278e-56,7.582955012892728e-22,2.099053652895427e-19,4.747653144006417e-17,4.7489788141149786e-17,0.0,2.73480398261138e-21,0.0,7.134307420008745e-21,0.0,9.632592095365889e-27,0.0,8.894289712099746e-24,0.0,2.487570122783765e-56,4.751192220540148e-17,4.752861690347302e-17,0.0,1.6609199265960048e-21,0.0,5.5373589135068285e-21,0.0,5.084404803560474e-27,0.0,5.4035784846406755e-24,0.0,1.2420893651247426e-56
6.7400523949424435e-06,6.387578234089467e-17,6.390699561286229e-17,0.0,3.2010592450744522e-21,0.0,8.338421753121944e-21,0.0,1.0783700805033228e-26,0.0,1.0125233657342245e-23,0.0,2.932584094265671e-56,7.582955012892728e-22,2.099053652895427e-19,6.3860465980546e-17,6.389048474874706e-17,0.0,3.68052103161079e-21,0.0,9.038950495141373e-21,0.0,1.2961751505349687e-26,0.0,1.1640500638224488e-23,0.0,3.583250709378227e-56,6.390503908627531e-17,6.393952363408845e-17,0.0,2.2351660621619116e-21,0.0,6.977751041980391e-21,0.0,6.84156709671275e-27,0.0,7.071633670607444e-24,0.0,1.7891392332031606e-56
7.4489098931965186e-06,8.587733013996219e-17,8.593597990358096e-17,0.0,4.305696721845465e-21,0.0,1.0544434636980838e-20,0.0,1.4502546914315005e-26,0.0,1.3236904546373336e-23,0.0,4.222557717504902e-56,7.582955012892728e-22,2.099053652895427e-19,8.58580272855172e-17,8.591511409171544e-17,0.0,4.950691680537786e-21,0.0,1.1448362429810552e-20,0.0,1.7431730005686786e-26,0.0,1.5218082313729544e-23,0.0,5.159471158730877e-56,8.591422758887603e-17,8.5977115637649e-17,0.0,3.006395888054544e-21,0.0,8.788753175498846e-21,0.0,9.20097355921581e-27,0.0,9.244591302037287e-24,0.0,2.5761176377165964e-56
