Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
6.649744363643733e-06,4.722981258335954e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.722981258335954e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.722981258335954e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0419846127750763e-21,9.501784296020802e-19
7.349104083336492e-06,5.476134499080967e-15,5.4839425674626045e-15,0.0,1.9104552505458455e-30,0.0,2.5748665430002144e-19,0.0,4.124553822046365e-34,0.0,3.209723927352383e-29,0.0,2.2657256517347762e-61,5.47615536943609e-15,5.4839120130910734e-15,0.0,2.4072519659558315e-21,0.0,2.619754964688211e-19,0.0,5.31763986487686e-25,0.0,3.9836590638779e-20,0.0,2.834066167361198e-52,5.476134499080967e-15,5.4839425674626045e-15,0.0,1.9104552505458455e-30,0.0,2.5748665430002144e-19,0.0,4.124553822046365e-34,0.0,3.209723927352383e-29,0.0,2.2657256517347762e-61,3.0419846127750763e-21,9.501784296020802e-19
8.122016106814493e-06,6.608309652481825e-15,6.619303779178935e-15,0.0,2.272094085345642e-30,0.0,2.868431363090727e-19,0.0,4.876773957933789e-34,0.0,3.7444465110288855e-29,0.0,2.8867164820214347e-61,6.6083666918530796e-15,6.619302876708313e-15,0.0,2.8628034385815686e-21,0.0,2.919627936295924e-19,0.0,6.288005225074629e-25,0.0,4.647342969190787e-20,0.0,3.610938814547783e-52,6.608309652481825e-15,6.619303779178935e-15,0.0,2.272094085345642e-30,0.0,2.868431363090727e-19,0.0,4.876773957933789e-34,0.0,3.7444465110288855e-29,0.0,2.8867164820214347e-61,3.0419846127750763e-21,9.501784296020802e-19
8.976215997393352e-06,7.921039354421991e-15,7.935988960121734e-15,0.0,2.6876038145064606e-30,0.0,3.1796602454775116e-19,0.0,5.740121643122539e-34,0.0,4.338614633836307e-29,0.0,3.658002963569867e-61,7.92114121767553e-15,7.936025919746217e-15,0.0,3.386198661313046e-21,0.0,3.237756992745241e-19,0.0,7.401761719576316e-25,0.0,5.3848111600548704e-20,0.0,4.57585173789169e-52,7.921039354421991e-15,7.935988960121734e-15,0.0,2.6876038145064606e-30,0.0,3.1796602454775116e-19,0.0,5.740121643122539e-34,0.0,4.338614633836307e-29,0.0,3.658002963569867e-61,3.0419846127750763e-21,9.501784296020802e-19
9.92025287468454e-06,9.436085354100054e-15,9.45584556210352e-15,0.0,3.163693819150948e-30,0.0,3.509039021506732e-19,0.0,6.729184053840212e-34,0.0,4.996016962506471e-29,0.0,4.612872626946515e-61,9.43624135618089e-15,9.455929223406717e-15,0.0,3.985886816225034e-21,0.0,3.5746678101623083e-19,0.0,8.677726042568957e-25,0.0,6.200765809606664e-20,0.0,5.770452574683194e-52,9.436085354100054e-15,9.45584556210352e-15,0.0,3.163693819150948e-30,0.0,3.509039021506732e-19,0.0,6.729184053840212e-34,0.0,4.996016962506471e-29,0.0,4.612872626946515e-61,3.0419846127750763e-21,9.501784296020802e-19
1.0963574977057712e-05,1.1178172440409602e-14,1.1203687611479349e-14,0.0,3.708056527281638e-30,0.0,3.857246418446878e-19,0.0,7.860731232965361e-34,0.0,5.721039440733128e-29,0.0,5.7919098507812435e-61,1.1178392580874001e-14,1.1203827457068788e-14,0.0,4.671554885555702e-21,0.0,3.9310848943981993e-19,0.0,1.0137530765366065e-24,0.0,7.10065038698263e-20,0.0,7.245518168845504e-52,1.1178172440409602e-14,1.1203687611479349e-14,0.0,3.708056527281638e-30,0.0,3.857246418446878e-19,0.0,7.860731232965361e-34,0.0,5.721039440733128e-29,0.0,5.7919098507812435e-61,3.0419846127750763e-21,9.501784296020802e-19
1.2116624222786042e-05,1.3175543790697577e-14,1.320785444695917e-14,0.0,4.329523330294691e-30,0.0,4.2251486204176076e-19,0.0,9.154043325798186e-34,0.0,6.518775397415993e-29,0.0,7.244635968589083e-61,1.317583881777109e-14,1.3208060656465313e-14,0.0,5.454323834934383e-21,0.0,4.3079266063160476e-19,0.0,1.1806046693490181e-24,0.0,8.090786344725743e-20,0.0,9.06300658359752e-52,1.3175543790697577e-14,1.320785444695917e-14,0.0,4.329523330294691e-30,0.0,4.2251486204176076e-19,0.0,9.154043325798186e-34,0.0,6.518775397415993e-29,0.0,7.244635968589083e-61,3.0419846127750763e-21,9.501784296020802e-19
1.33909407162741e-05,1.546055066379258e-14,1.5500804007319175e-14,0.0,5.038234516682866e-30,0.0,4.613789308869267e-19,0.0,1.0631274694575712e-33,0.0,7.395118104173361e-29,0.0,9.031509645818542e-61,1.5460932175476256e-14,1.5501087549352186e-14,0.0,6.346962430348375e-21,0.0,4.706295588089166e-19,0.0,1.371185275286196e-24,0.0,9.17848801635959e-20,0.0,1.1298559864998572e-51,1.546055066379258e-14,1.5500804007319175e-14,0.0,5.038234516682866e-30,0.0,4.613789308869267e-19,0.0,1.0631274694575712e-33,0.0,7.395118104173361e-29,0.0,9.031509645818542e-61,3.0419846127750763e-21,9.501784296020802e-19
1.4799278245301186e-05,1.807028235251518e-14,1.8119746400987718e-14,0.0,5.845826589145952e-30,0.0,5.024377536450787e-19,0.0,1.2317862487038328e-33,0.0,8.356841685280158e-29,0.0,1.1226366635159334e-60,1.8070762931022845e-14,1.8120119159202433e-14,0.0,7.364122923884281e-21,0.0,5.12746698163863e-19,0.0,1.5887763183055784e-24,0.0,1.0372163051205019e-19,0.0,1.404455652818431e-51,1.807028235251518e-14,1.8119746400987718e-14,0.0,5.845826589145952e-30,0.0,5.024377536450787e-19,0.0,1.2317862487038328e-33,0.0,8.356841685280158e-29,0.0,1.1226366635159334e-60,3.0419846127750763e-21,9.501784296020802e-19
1.6355731925216495e-05,2.1047246347900088e-14,2.110732763025419e-14,0.0,6.765640917478486e-30,0.0,5.458275153706829e-19,0.0,1.4242988158686976e-33,0.0,9.411676263071764e-29,0.0,1.391939605715182e-60,2.1047839723575067e-14,2.11078025594237e-14,0.0,8.522603578434161e-21,0.0,5.572876190476462e-19,0.0,1.8371423010703892e-24,0.0,1.1681405689290035e-19,0.0,1.7413835308404244e-51,2.1047246347900088e-14,2.110732763025419e-14,0.0,6.765640917478486e-30,0.0,5.458275153706829e-19,0.0,1.4242988158686976e-33,0.0,9.411676263071764e-29,0.0,1.391939605715182e-60,3.0419846127750763e-21,9.501784296020802e-19
