Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
20480000000.0,7.670507100543445e-23,7.668609795147308e-24,1.0993241112794545e-22
22633900402.189266,9.368776397528828e-23,9.366459094010221e-24,1.342717191310742e-22
25014328487.120277,1.1443046422207533e-22,1.1440216158802496e-23,1.6399980571209828e-22
27645108379.156544,1.3976564484305327e-22,1.397310772781625e-23,2.0030975710488271e-22
30552569807.69322,1.707100896889548e-22,1.7066787064352774e-23,2.446588105402461e-22
33765811623.938625,2.0850569985613616e-22,2.084541360022071e-23,2.988268373956478e-22
37316993031.99763,2.5466933468520425e-22,2.5460635807945852e-23,3.649877744362682e-22
41241655448.99536,3.1105368746538886e-22,3.10976772727966e-23,4.457968697947641e-22
45579078215.52574,3.799216388669227e-22,3.7982770207355547e-23,5.444972449814779e-22
50372671716.49433,4.640370719779218e-22,4.639223472381468e-23,6.65050049357248e-22
55670411846.84124,5.667757934075531e-22,5.666356822193922e-23,8.122934302366611e-22
61525320170.42296,6.922610117359975e-22,6.920898991338734e-23,9.921366981028448e-22
67995994577.64451,8.455288100113054e-22,8.453198402184484e-23,1.2117974786933913e-21
75147195752.84213,1.0327302525437667e-21,1.0324750552541806e-22,1.480091368613574e-21
83050495320.97896,1.2613782362070097e-21,1.2610665926966265e-22,1.807785717835996e-21
91784992160.52356,1.5406489917807373e-21,1.5402684277126898e-22,2.208031735452273e-21
101438104051.61195,1.8817503330745353e-21,1.881285622063762e-22,2.6968922568195706e-21
112106442582.57307,2.2983714248406315e-21,2.2978039837178866e-22,3.293986341296429e-21
123896780071.17714,2.8072321361226397e-21,2.8065392876041383e-22,4.023276593908464e-21
136927118177.87946,3.428753992737577e-21,3.42790806783954e-22,4.9140307591699995e-21
151327868906.09973,4.1878796745456604e-21,4.186846919487522e-22,6.001996205759678e-21
167243159809.3855,5.1150739097515624e-21,5.113813156680472e-22,7.330834383458555e-21
184832276468.41083,6.247545951702671e-21,6.246007001748817e-22,8.953872846089519e-21
204271256674.60553,7.630742642462584e-21,7.628864302174273e-22,1.093624506934789e-20
225754652275.54007,9.320171808698484e-21,9.317879516008808e-22,1.3357503683006698e-20
249497476315.20712,1.1383628284197469e-20,1.1380831295101449e-21,1.6314810692008212e-20
275737354956.83466,1.3903913624830676e-20,1.3900501617064934e-21,1.9926835264113388e-20
304736905725.3957,1.6982157874692495e-20,1.6977996856193463e-21,2.433851434181968e-20
336786365872.0677,2.074187648346638e-20,2.0736803862068613e-21,2.972686683418172e-20
372206497166.19403,2.5333926102686406e-20,2.5327744711476906e-21,3.6308096055119783e-20
411351796186.8834,3.094255634519069e-20,3.0935027254820145e-21,4.434626280705735e-20
454614042243.9247,3.7792802635585566e-20,3.778363643676173e-21,5.416388048321531e-20
502426218436.79956,4.615951391789562e-20,4.614836023993536e-21,6.615485310221097e-20
555266845095.0736,5.637837946905408e-20,5.6364814342146106e-21,8.080027835692964e-20
613664768970.691,6.885939665175256e-20,6.884290726552929e-21,9.868774886861853e-20
678204456114.0186,8.41033205507841e-20,8.40832868463959e-21,1.2053492690551736e-19
749531841406.5251,1.0272173864260954e-19,1.026974119978983e-20,1.4721831364061115e-19
828360793294.1803,1.254615485687242e-19,1.2543202928457713e-20,1.7980832693477313e-19
915480258422.8011,1.5323515160418284e-19,1.5319934839856914e-20,2.196125813613016e-19
1011762157681.2583,1.8715670196106287e-19,1.8711330526415487e-20,2.6822782439770383e-19
1118170112678.794,2.285872233786649e-19,2.2853464571492836e-20,3.276046117582241e-19
1235769089993.9739,2.791887053306675e-19,2.7912504439440555e-20,4.001248122917457e-19
1365736059718.1472,3.4099135254277764e-19,3.409143045242966e-20,4.8869801168533155e-19
1509371774967.7217,4.1647433644630393e-19,4.1638114512228225e-20,5.968772056531036e-19
1668113790258.5476,5.086660904947437e-19,5.085534180204402e-20,7.2900257836797e-19
1843550849034.6868,6.212647085291973e-19,6.211285701443808e-20,8.903739907652234e-19
2037438784346.8054,7.587875893427175e-19,7.586231609944425e-20,1.0874655107009614e-18
2251718091819.4897,9.26751023909214e-19,9.265525573161587e-20,1.3281826896298494e-18
2488533350783.6924,1.131893137241907e-18,1.131653687322394e-19,1.622182170455483e-18
