Energy,Flux Value,Flux Error,Is Upper Limit
6.244857675723662e-07,5.89e-16,0.0,0.0
1.5095185772444614e-06,2.18e-15,1.97e-16,0.0
1.5880962566078716e-06,2.1696e-15,0.0,0.0
2.440043727600636e-06,4.01e-15,0.0,0.0
2.522757074298963e-06,4.6e-15,0.0,0.0
3.995054645529177e-06,8.4e-15,1.84e-15,0.0
3.995054645529177e-06,8.4042e-15,1.8354e-15,0.0
5.7899342688828654e-06,1.2488e-14,0.0,0.0
5.7899342688828654e-06,1.25e-14,0.0,0.0
5.7899342688828654e-06,1.56e-14,4.69e-16,0.0
5.7899342688828654e-06,1.3024e-14,2.968e-18,0.0
5.7899342688828654e-06,1.5611e-14,4.6837e-16,0.0
5.818883940227279e-06,1.0552e-14,0.0,0.0
5.8312909422320285e-06,1.78e-14,1.41e-16,0.0
5.8312909422320285e-06,1.7766e-14,1.41e-16,0.0
6.120787655676172e-06,1.184e-14,5.92e-16,0.0
9.305251503561748e-06,2.48e-14,0.0,0.0
1.1145623467599516e-05,4.1234e-14,5.39e-16,0.0
1.1166301804274097e-05,4.131e-14,0.0,0.0
1.1166301804274097e-05,4.12e-14,5.39e-16,0.0
2.0057986574344214e-05,6.3777e-14,5.6745e-15,0.0
2.0057986574344214e-05,4.2918e-14,9.7e-18,0.0
2.0057986574344214e-05,5.93e-14,6.64e-15,0.0
2.0057986574344214e-05,5.96e-14,8.94e-15,0.0
2.0264769941090028e-05,1.0045e-13,9.8e-16,0.0
2.0264769941090028e-05,1e-13,9.8e-16,0.0
2.0264769941090028e-05,5.39e-14,2.94e-15,0.0
2.067833667458166e-05,2.85e-14,0.0,0.0
2.067833667458166e-05,6e-14,0.0,0.0
2.067833667458166e-05,3.79e-14,0.0,0.0
2.067833667458166e-05,6.145e-14,0.0,0.0
2.067833667458166e-05,1.035e-13,0.0,0.0
3.432603887980556e-05,1.04e-13,0.0,0.0
3.473960561329719e-05,7.39e-14,0.0,0.0
3.473960561329719e-05,7.17e-14,0.0,0.0
3.473960561329719e-05,7.392e-14,0.0,0.0
3.498774565339217e-05,7.4448e-14,3.384e-17,0.0
4.425164048360476e-05,1.73e-13,5.35e-15,0.0
4.425164048360476e-05,1.7326e-13,5.3475e-15,0.0
4.425164048360476e-05,9.63e-14,1.07e-15,0.0
4.425164048360476e-05,1.7334e-13,0.0,0.0
6.203501002374499e-05,7.99e-14,1.2e-15,0.0
6.203501002374499e-05,1.71e-13,0.0,0.0
6.203501002374499e-05,1.53e-13,0.0,0.0
6.203501002374499e-05,1.71e-13,0.0,0.0
6.203501002374499e-05,3.57e-13,0.0,0.0
6.327571022421988e-05,7.65e-14,6.12e-15,0.0
6.368927695771152e-05,1.05e-13,0.0,0.0
9.181181483514258e-05,1.8e-13,2.89e-14,0.0
9.181181483514258e-05,8.88e-14,1.55e-14,0.0
9.181181483514258e-05,2.93e-13,3.77e-14,0.0
9.512034870307565e-05,2.23e-13,4.35e-14,0.0
9.925601603799198e-05,1.54e-13,0.0,0.0
0.00012407002004748998,4.8e-13,3.39e-14,0.0
0.00012985995431637285,1.3188e-13,2.826e-14,0.0
0.00012985995431637285,1.3188e-13,4.082e-14,0.0
0.00012985995431637285,1.32e-13,2.83e-14,0.0
0.00015219255792492102,4.78e-13,0.0,0.0
0.00015219255792492102,2.8e-13,2.58e-14,0.0
0.00015219255792492102,5.81e-13,3.31e-14,0.0
0.0001530196913919043,1.28e-12,0.0,0.0
0.00016956236073156964,4.51e-13,8.77e-14,0.0
0.00016956236073156964,2.05e-13,8.2e-14,0.0
0.0001778336954014023,3.44e-13,0.0,0.0
0.00017824726213489393,1.59e-13,2.59e-14,0.0
0.0003556673908028046,3.78e-13,1.72e-14,0.0
0.0003556673908028046,3.27e-13,0.0,0.0
0.00037221006014246993,4.23e-13,1.08e-13,0.0
0.00037221006014246993,4.23e-13,1.08e-13,0.0
0.0004131531667581416,4e-13,0.0,0.0
0.00041356673349163324,2.9213e-13,6.1034e-14,0.0
0.0005914004288930355,5.1645e-13,5.6525e-14,0.0
0.0008974398116768441,5.8351e-13,7.5706e-14,0.0
0.0009512034870307565,1.38e-12,0.0,0.0
0.05636914577490961,3.3009e-13,1.573e-13,0.0
0.10330897002620998,3.3784e-13,3.0299e-14,0.0
0.2695214402164974,3.4276e-13,1.7203e-14,0.0
0.36464178891957305,2.6548e-13,1.805e-14,0.0
1.344091883847808,4.55e-13,2.18e-14,0.0
1.344091883847808,5.05e-13,0.0,0.0
1.344091883847808,4.87e-13,1.32e-14,0.0
1.344091883847808,4.85e-13,1.71e-14,0.0
1.344091883847808,4.85e-13,1.7e-14,0.0
1.3589802862535068,5.2065e-13,1.4351e-14,0.0
1.3589802862535068,5.6194e-13,1.7951e-14,0.0
1.6087745932824533,5.33e-13,1.72e-14,0.0
1.6087745932824533,8.91e-13,1.87e-14,0.0
1.6087745932824533,5.39e-13,0.0,0.0
1.6087745932824533,5.37e-13,5.77e-15,0.0
1.6087745932824533,5.33e-13,1.74e-14,0.0
1.62821222975656,5.7412e-13,6.2092e-15,0.0
