Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
1.9445888345586724e-06,1.3047297421720713e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4574266958695795e-21,2.0609310733918208e-19,1.3047297421720713e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3047297421720713e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.149103027568857e-06,1.3964318971069352e-24,4.8835417240670786e-26,0.0,1.099012897580945e-36,0.0,1.1652337440075077e-24,0.0,1.733628593949645e-39,0.0,1.096788106434436e-40,0.0,7.667081319498846e-68,3.4574266958695795e-21,2.0609310733918208e-19,1.3627037222833224e-24,3.955646856009565e-26,0.0,3.5652965437866776e-29,0.0,1.1415534921418095e-24,0.0,5.778914595826381e-32,0.0,3.240073085136793e-33,0.0,2.567830430502122e-60,1.3964318971069352e-24,4.8835417240670786e-26,0.0,1.099012897580945e-36,0.0,1.1652337440075077e-24,0.0,1.733628593949645e-39,0.0,1.096788106434436e-40,0.0,7.667081319498846e-68
2.3751261660174313e-06,1.918016248084641e-24,6.888208580579243e-26,0.0,1.559819220603063e-36,0.0,1.603031782179114e-24,0.0,2.4657561268338515e-39,0.0,1.6007904495116198e-40,0.0,1.1980267558577537e-67,3.4574266958695795e-21,2.0609310733918208e-19,1.8725594847846312e-24,5.574853745168491e-26,0.0,5.05931191940649e-29,0.0,1.5717346129011537e-24,0.0,8.218198744758279e-32,0.0,4.7387746153984805e-33,0.0,4.0207058089122055e-60,1.918016248084641e-24,6.888208580579243e-26,0.0,1.559819220603063e-36,0.0,1.603031782179114e-24,0.0,2.4657561268338515e-39,0.0,1.6007904495116198e-40,0.0,1.1980267558577537e-67
2.6249203654429717e-06,2.6383664548239012e-24,9.734965987726289e-26,0.0,2.2181438289388953e-36,0.0,2.208888333284888e-24,0.0,3.513926024183367e-39,0.0,2.343570082903522e-40,0.0,1.877940710899889e-67,3.4574266958695795e-21,2.0609310733918208e-19,2.5771644473144356e-24,7.872949661478108e-26,0.0,7.193660920698783e-29,0.0,2.167675989230315e-24,0.0,1.1710322930008608e-31,0.0,6.952358124918224e-33,0.0,6.315973404081943e-60,2.6383664548239012e-24,9.734965987726289e-26,0.0,2.2181438289388953e-36,0.0,2.208888333284888e-24,0.0,3.513926024183367e-39,0.0,2.343570082903522e-40,0.0,1.877940710899889e-67
2.9009856501520777e-06,3.6344835273107594e-24,1.378414200165268e-25,0.0,3.160062296857908e-36,0.0,3.0484057457871363e-24,0.0,5.01678827537109e-39,0.0,3.4410601482324506e-40,0.0,2.9526955081454168e-67,3.4574266958695795e-21,2.0609310733918208e-19,3.55215697553946e-24,1.1140069983218317e-25,0.0,1.0247426563502772e-28,0.0,2.994348209316161e-24,0.0,1.6717147528583713e-31,0.0,1.0230234907913498e-32,0.0,9.95213474148147e-60,3.6344835273107594e-24,1.378414200165268e-25,0.0,3.160062296857908e-36,0.0,3.0484057457871363e-24,0.0,5.01678827537109e-39,0.0,3.4410601482324506e-40,0.0,2.9526955081454168e-67
3.206084974302856e-06,5.013613608838736e-24,1.955265179608235e-25,0.0,4.509644678074647e-36,0.0,4.213139473346041e-24,0.0,7.174563900709017e-39,0.0,5.066616011157525e-40,0.0,4.6560864791719785e-67,3.4574266958695795e-21,2.0609310733918208e-19,4.902956044392502e-24,1.5792313417029033e-25,0.0,1.4622889563938715e-28,0.0,4.142525815532918e-24,0.0,2.3905588618211136e-31,0.0,1.5095949129743442e-32,0.0,1.572779099153115e-59,5.013613608838736e-24,1.955265179608235e-25,0.0,4.509644678074647e-36,0.0,4.213139473346041e-24,0.0,7.174563900709017e-39,0.0,5.066616011157525e-40,0.0,4.6560864791719785e-67
3.5432718744788187e-06,6.925264036615945e-24,2.7782920526383983e-25,0.0,6.445893640887763e-36,0.0,5.8309727561807395e-24,0.0,1.0276636391687864e-38,0.0,7.479916191172052e-40,0.0,7.362655470857717e-67,3.4574266958695795e-21,2.0609310733918208e-19,6.776615664702662e-24,2.2427128804935935e-25,0.0,2.090044149937013e-28,0.0,5.7391379482246396e-24,0.0,3.4239463770684486e-31,0.0,2.233530057443025e-32,0.0,2.4924922969252357e-59,6.925264036615945e-24,2.7782920526383983e-25,0.0,6.445893640887763e-36,0.0,5.8309727561807395e-24,0.0,1.0276636391687864e-38,0.0,7.479916191172052e-40,0.0,7.362655470857717e-67
3.915921030509382e-06,9.578030098013403e-24,3.9542416509149154e-25,0.0,9.227283180255942e-36,0.0,8.080663945894873e-24,0.0,1.474157808001274e-38,0.0,1.1070585446873342e-39,0.0,1.1673611663034907e-66,3.4574266958695795e-21,2.0609310733918208e-19,9.378432084017478e-24,3.1903267537604887e-25,0.0,2.9918127603087537e-28,0.0,7.961794217748399e-24,0.0,4.911270026757864e-31,0.0,3.3129571469361977e-32,0.0,3.960543322111463e-59,9.578030098013403e-24,3.9542416509149154e-25,0.0,9.227283180255942e-36,0.0,8.080663945894873e-24,0.0,1.474157808001274e-38,0.0,1.1070585446873342e-39,0.0,1.1673611663034907e-66
4.327762040399781e-06,1.326316690543703e-23,5.636746094183779e-25,0.0,1.3227320464303966e-35,0.0,1.1212248560558378e-23,0.0,2.117523131503896e-38,0.0,1.642410317568895e-39,0.0,1.8555808787541617e-66,3.4574266958695795e-21,2.0609310733918208e-19,1.2995216776896469e-23,4.545625081164407e-25,0.0,4.288690216061458e-28,0.0,1.1059173277566613e-23,0.0,7.054258240426619e-31,0.0,4.925712446925341e-32,0.0,6.309160798011133e-59,1.326316690543703e-23,5.636746094183779e-25,0.0,1.3227320464303966e-35,0.0,1.1212248560558378e-23,0.0,2.117523131503896e-38,0.0,1.642410317568895e-39,0.0,1.8555808787541617e-66
4.782916747401571e-06,1.8387621413967458e-23,8.047110237782773e-25,0.0,1.898609792543369e-35,0.0,1.5575657139057847e-23,0.0,3.0455008395699973e-38,0.0,2.442146890886837e-39,0.0,2.9566847466090094e-66,3.4574266958695795e-21,2.0609310733918208e-19,1.8027920831477536e-23,6.4865197948210505e-25,0.0,6.155767764553168e-28,0.0,1.5379644516498424e-23,0.0,1.014501626479875e-30,0.0,7.339870752030167e-32,0.0,1.0074557743137221e-58,1.8387621413967458e-23,8.047110237782773e-25,0.0,1.898609792543369e-35,0.0,1.5575657139057847e-23,0.0,3.0455008395699973e-38,0.0,2.442146890886837e-39,0.0,2.9566847466090094e-66
