Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
4.442723977286004e-06,9.64185336380708e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32717931967381e-21,1.1981780835695786e-18,9.64185336380708e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64185336380708e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.909969336733855e-06,8.384485673969555e-19,8.340323866603409e-19,0.0,1.426147569663135e-31,0.0,4.066143957700679e-21,0.0,7.326114134279493e-35,0.0,1.7374291995848165e-33,0.0,2.925031163460606e-64,6.32717931967381e-21,1.1981780835695786e-18,8.326220728828416e-19,8.270768880389401e-19,0.0,3.616278368948474e-23,0.0,4.835449184535027e-21,0.0,1.8609320531888917e-26,0.0,4.383147103885835e-25,0.0,7.6927836633167015e-56,8.384485673969555e-19,8.340323866603409e-19,0.0,1.426147569663135e-31,0.0,4.066143957700679e-21,0.0,7.326114134279493e-35,0.0,1.7374291995848165e-33,0.0,2.925031163460606e-64
5.426355319601441e-06,1.13379579362436e-18,1.1280428224217398e-18,0.0,1.9307390383572532e-31,0.0,5.299897637480845e-21,0.0,9.918643913097103e-35,0.0,2.3038276853401264e-33,0.0,4.238303184195395e-64,6.32717931967381e-21,1.1981780835695786e-18,1.1263043246114776e-18,1.1190572439726595e-18,0.0,4.897626890271173e-23,0.0,6.325804189811274e-21,0.0,2.5204281178357042e-26,0.0,5.814277125255154e-25,0.0,1.1150949426549032e-55,1.13379579362436e-18,1.1280428224217398e-18,0.0,1.9307390383572532e-31,0.0,5.299897637480845e-21,0.0,9.918643913097103e-35,0.0,2.3038276853401264e-33,0.0,4.238303184195395e-64
5.997050090368586e-06,1.5324986156947148e-18,1.5250087744030024e-18,0.0,2.6128620585858222e-31,0.0,6.902545911028783e-21,0.0,1.3423505511468795e-34,0.0,3.05054555963514e-33,0.0,6.139398694035552e-64,6.32717931967381e-21,1.1981780835695786e-18,1.5228648601998732e-18,1.5133977439387201e-18,0.0,6.630307983845728e-23,0.0,8.270023200187247e-21,0.0,3.4122711690502307e-26,0.0,7.701592749614509e-25,0.0,1.6158571285273091e-55,1.5324986156947148e-18,1.5250087744030024e-18,0.0,2.6128620585858222e-31,0.0,6.902545911028783e-21,0.0,1.3423505511468795e-34,0.0,3.05054555963514e-33,0.0,6.139398694035552e-64
6.627765354118305e-06,2.070477779391215e-18,2.06073379861782e-18,0.0,3.5346274332384792e-31,0.0,8.982800800418373e-21,0.0,1.815997054345028e-34,0.0,4.0336201656035014e-33,0.0,8.890691056071223e-64,6.32717931967381e-21,1.1981780835695786e-18,2.0580858073978914e-18,2.0457250379147304e-18,0.0,8.972359856520118e-23,0.0,1.0804788845767057e-20,0.0,4.617841798797959e-26,0.0,1.018699681515545e-24,0.0,2.3407808647745913e-55,2.070477779391215e-18,2.06073379861782e-18,0.0,3.5346274332384792e-31,0.0,8.982800800418373e-21,0.0,1.815997054345028e-34,0.0,4.0336201656035014e-33,0.0,8.890691056071223e-64
7.324813521200908e-06,2.796046024352653e-18,2.7833825322180865e-18,0.0,4.779749104313338e-31,0.0,1.1680949084590762e-20,0.0,2.455839337591755e-34,0.0,5.32614439212351e-33,0.0,1.2871373495161093e-63,6.32717931967381e-21,1.1981780835695786e-18,2.7801002891964375e-18,2.7639733582449347e-18,0.0,1.2136824437403317e-22,0.0,1.4107520247024737e-20,0.0,6.246853465536997e-26,0.0,1.3455611971786987e-24,0.0,3.389919797838078e-55,2.796046024352653e-18,2.7833825322180865e-18,0.0,4.779749104313338e-31,0.0,1.1680949084590762e-20,0.0,2.455839337591755e-34,0.0,5.32614439212351e-33,0.0,1.2871373495161093e-63
8.095170883958508e-06,3.774146875078611e-18,3.757715622431624e-18,0.0,6.46100708361007e-31,0.0,1.5177883805626635e-20,0.0,3.3198597613942375e-34,0.0,7.023399431283467e-33,0.0,1.862936280567175e-63,6.32717931967381e-21,1.1981780835695786e-18,3.7536188619331774e-18,3.732603005328735e-18,0.0,1.6410758065352474e-22,0.0,1.840838844608524e-20,0.0,8.447148263587189e-26,0.0,1.774879401009484e-24,0.0,4.9078733969141385e-55,3.774146875078611e-18,3.757715622431624e-18,0.0,6.46100708361007e-31,0.0,1.5177883805626635e-20,0.0,3.3198597613942375e-34,0.0,7.023399431283467e-33,0.0,1.862936280567175e-63
8.946547437803688e-06,5.0920280630949346e-18,5.070762388339153e-18,0.0,8.730266703050615e-31,0.0,1.9706676308494575e-20,0.0,4.486141519776963e-34,0.0,9.249537209218141e-33,0.0,2.695621925340166e-63,6.32717931967381e-21,1.1981780835695786e-18,5.06558680364812e-18,5.038251493244016e-18,0.0,2.2180756344049166e-22,0.0,2.4005837026590676e-20,0.0,1.1417850291451783e-25,0.0,2.3381075872618236e-24,0.0,7.103576044762387e-55,5.0920280630949346e-18,5.070762388339153e-18,0.0,8.730266703050615e-31,0.0,1.9706676308494575e-20,0.0,4.486141519776963e-34,0.0,9.249537209218141e-33,0.0,2.695621925340166e-63
9.887464045444813e-06,6.8668283596736014e-18,6.839412463299931e-18,0.0,1.1791921447838578e-30,0.0,2.556739160410025e-20,0.0,6.059784238602648e-34,0.0,1.2166284978706339e-32,0.0,3.8995261851306545e-63,6.32717931967381e-21,1.1981780835695786e-18,6.832749867659038e-18,6.797297033150173e-18,0.0,2.996720374888231e-22,0.0,3.128662116003708e-20,0.0,1.5427016559163023e-25,0.0,3.076224121225001e-24,0.0,1.027885724857489e-54,6.8668283596736014e-18,6.839412463299931e-18,0.0,1.1791921447838578e-30,0.0,2.556739160410025e-20,0.0,6.059784238602648e-34,0.0,1.2166284978706339e-32,0.0,3.8995261851306545e-63
1.0927337716544217e-05,9.255713290709545e-18,9.220565806951757e-18,0.0,1.5920916705191573e-30,0.0,3.314603920219067e-20,0.0,8.182177092167054e-34,0.0,1.5984289202367543e-32,0.0,5.639754408399795e-63,6.32717931967381e-21,1.1981780835695786e-18,9.211762456595993e-18,9.165971662359544e-18,0.0,4.0470198251084344e-22,0.0,4.0751666511842657e-20,0.0,2.0835307043567276e-25,0.0,4.042609335256051e-24,0.0,1.4869648876000757e-54,9.255713290709545e-18,9.220565806951757e-18,0.0,1.5920916705191573e-30,0.0,3.314603920219067e-20,0.0,8.182177092167054e-34,0.0,1.5984289202367543e-32,0.0,5.639754408399795e-63
