Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
6736111111.111112,5.0653260532698126e-30,5.0653260532698126e-30,1.6186929179372905e-20
7444554100.926239,6.186352576077262e-30,6.186352576077262e-30,1.976936311349009e-20
8227504690.384479,7.55540259128299e-30,7.55540259128299e-30,2.414441594361867e-20
9092798912.143911,9.227319660349377e-30,9.227319660349377e-30,2.948736033511633e-20
10049096921.611336,1.1269061512727805e-29,1.1269061512727805e-29,3.6012187034473073e-20
11105969670.688364,1.3762370310522515e-29,1.3762370310522515e-29,4.3980140497012895e-20
12273994697.074959,1.6807029058050622e-29,1.6807029058050622e-29,5.3710128673514954e-20
13564861987.821962,2.052483173215139e-29,2.052483173215139e-29,6.55914151003308e-20
14991490976.650652,2.506442198906276e-29,2.506442198906276e-29,8.009908881558943e-20
16568159845.98779,3.060718819806515e-29,3.060718819806515e-29,9.781291303233568e-20
18310648427.814404,3.7374442117921283e-29,3.7374442117921283e-29,1.1944028035471213e-19
20236396133.52806,4.563615598094567e-29,4.563615598094567e-29,1.4584415455289871e-19
22364676493.433693,5.572158944910515e-29,5.572158944910515e-29,1.7807706096700097e-19
24716790052.712967,6.803220537107154e-29,6.803220537107154e-29,2.174224044414715e-19
27316277554.43983,8.305735313166088e-29,8.305735313166088e-29,2.6544465067897277e-19
30189155543.249466,1.0139329234471604e-28,1.0139329234471604e-28,3.240502097014351e-19
33364176747.66154,1.2376621418100218e-28,1.2376621418100218e-28,3.955611368851892e-19
36873117847.051285,1.5105980228831583e-28,1.5105980228831583e-28,4.828034324844512e-19
40751097503.33721,1.8434929824938653e-28,1.8434929824938653e-28,5.892161227320317e-19
45036927840.353424,2.2494176611785696e-28,2.2494176611785696e-28,7.189803487041643e-19
49773502888.63008,2.7442518968135433e-28,2.7442518968135433e-28,8.771767767684217e-19
55008227883.26821,3.347265592322656e-28,3.347265592322656e-28,1.069972046199546e-18
60793493711.465965,4.08182290774324e-28,4.08182290774324e-28,1.3048448609411286e-18
67187201258.12696,4.976209757775238e-28,4.976209757775238e-28,1.5908520493489139e-18
74253340897.37749,6.064531019328149e-28,6.064531019328149e-28,1.938918591522807e-18
82062632929.73868,7.387262795720299e-28,7.387262795720299e-28,2.3620245087130956e-18
90693235374.66418,8.992371549601631e-28,8.992371549601631e-28,2.875569789823948e-18
100231526202.26842,1.0936637556881043e-27,1.0936637556881043e-27,3.497806139694078e-18
110772967833.08434,1.3287148431182696e-27,1.3287148431182696e-27,4.250326644462416e-18
122423062558.054,1.6123483336069132e-27,1.6123483336069132e-27,5.158773600110845e-18
135298408440.91695,1.953978361315592e-27,1.953978361315592e-27,6.2535195015424646e-18
149527866270.82214,2.364794964613668e-27,2.364794964613668e-27,7.570702930703592e-18
165253849244.41718,2.8580633401198774e-27,2.8580633401198774e-27,9.153212996678219e-18
182633748284.9872,3.449517003857406e-27,3.449517003857406e-27,1.1051975288598418e-17
201841507263.7161,4.157829915366946e-27,4.157829915366946e-27,1.3327496653953574e-17
223069363888.4135,5.0052163432867944e-27,5.0052163432867944e-27,1.605182138437941e-17
246529773683.1087,6.017321121887408e-27,6.017321121887408e-27,1.9308327086521085e-17
272457536314.34293,7.220996195084808e-27,7.220996195084808e-27,2.3185044600586152e-17
301112145545.1515,8.656792432577214e-27,8.656792432577214e-27,2.78132751811615e-17
332780386335.8631,1.0362036563524053e-26,1.0362036563524053e-26,3.3315735028105076e-17
367779205084.3744,1.2393555463084423e-26,1.2393555463084423e-26,3.9876821758119853e-17
406458881732.23016,1.480335207798548e-26,1.480335207798548e-26,4.766793690424355e-17
449206535484.00977,1.7670226848747712e-26,1.7670226848747712e-26,5.694546026068544e-17
496449999226.4439,2.1066098002529274e-26,2.1066098002529274e-26,6.794712149856351e-17
548662101423.7438,2.5102664857340736e-26,2.5102664857340736e-26,8.10368351213826e-17
606365398343.7928,2.9877995716576346e-26,2.9877995716576346e-26,9.653999112675695e-17
670137403976.9156,3.554891934129207e-26,3.554891934129207e-26,1.1496845367025258e-16
740616369989.9988,4.225081306387714e-26,4.225081306387714e-26,1.367726151774421e-16
818507673563.7009,5.0193156500103144e-26,5.0193156500103144e-26,1.6263939861079006e-16
904590877044.3574,5.956067754329939e-26,5.956067754329939e-26,1.9318545829136501e-16
999727530065.9674,7.064747716385616e-26,7.064747716385616e-26,2.293766899841751e-16
1104869792228.5056,8.370386484737199e-26,8.370386484737199e-26,2.7205178541276e-16
1221069962631.227,9.912558254723812e-26,9.912558254723812e-26,3.225158726231715e-16
1349491011635.7507,1.1724398368387837e-25,1.1724398368387837e-25,3.8188529456264584e-16
1491418220264.3164,1.385969940337774e-25,1.385969940337774e-25,4.519401240394092e-16
1648272043724.2625,1.6362313841904808e-25,1.6362313841904808e-25,5.341656864063799e-16
1821622327801.168,1.9305072826794804e-25,1.9305072826794804e-25,6.309805978616458e-16
2013204020403.1145,2.2745707211859836e-25,2.2745707211859836e-25,7.443512404446256e-16
2224934535502.496,2.6782011361146916e-25,2.6782011361146916e-25,8.775382084683048e-16
2458932943259.5073,3.148962747947963e-25,3.148962747947963e-25,1.0331328598522041e-15
2717541178388.563,3.699985839697825e-25,3.699985839697825e-25,1.215529692318311e-15
3003347479028.0674,4.3411558658508845e-25,4.3411558658508845e-25,1.428134400721713e-15
3319212290697.63,5.089925485092108e-25,5.089925485092108e-25,1.6768138640567427e-15
3668296894598.275,5.958651620800173e-25,5.958651620800173e-25,1.9658686873032936e-15
4054095046777.2207,6.969926592864512e-25,6.969926592864512e-25,2.3029430108657916e-15
4480467944812.715,8.139170539644687e-25,8.139170539644687e-25,2.6934582256502578e-15
4951682871977.182,9.495660407470848e-25,9.495660407470848e-25,3.1473821931005147e-15
5472455905642.4795,1.1058187221179675e-24,1.1058187221179675e-24,3.671406783759451e-15
6047999117367.402,1.2864290943853344e-24,1.2864290943853344e-24,4.278403240543373e-15
6684072737061.636,1.4936343190286239e-24,1.4936343190286239e-24,4.9764655065997336e-15
7387042803302.812,1.732207611943776e-24,1.732207611943776e-24,5.782084366403496e-15
8163944876790.279,2.0047456993732036e-24,2.0047456993732036e-24,6.704839286443147e-15
9022554454601.29,2.3172600440410435e-24,2.3172600440410435e-24,7.765672177387836e-15
9971464789979.236,2.672649729085887e-24,2.672649729085887e-24,8.975559948207411e-15
11020172896500.342,3.0783951807563997e-24,3.0783951807563997e-24,1.036080511789225e-14
12179174597377.648,3.537519181897911e-24,3.537519181897911e-24,1.1933322585571651e-14
