Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
6.46961148082973e-06,6.0252854139069556e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0252854139069556e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0252854139069556e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0267873903714267e-21,9.033718775137118e-19
7.150026459861326e-06,2.0090719923514668e-21,1.8100837178558954e-21,0.0,4.6960272591731055e-35,0.0,1.4964412894360916e-22,0.0,3.473248565657168e-38,0.0,1.0170072128009177e-35,0.0,1.155033172184289e-64,1.856287481570279e-21,1.64708416605204e-21,0.0,1.3857898278672204e-25,0.0,1.5958102656376844e-22,0.0,1.1330604136786502e-28,0.0,2.700973908575934e-26,0.0,3.3127859958784714e-55,2.0090719923514668e-21,1.8100837178558954e-21,0.0,4.6960272591731055e-35,0.0,1.4964412894360916e-22,0.0,3.473248565657168e-38,0.0,1.0170072128009177e-35,0.0,1.155033172184289e-64,1.0267873903714267e-21,9.033718775137118e-19
7.902001306910128e-06,2.9004457162116922e-21,2.624416203937981e-21,0.0,6.805630731141145e-35,0.0,2.0633043919358565e-22,0.0,5.037738679658987e-38,0.0,1.4409840174969344e-35,0.0,1.7909941593591517e-64,2.6795137797028602e-21,2.388611552864492e-21,0.0,2.0088083380253124e-25,0.0,2.205908640781748e-22,0.0,1.6438055964313175e-28,0.0,3.8278556613980005e-26,0.0,5.1379885094098686e-55,2.9004457162116922e-21,2.624416203937981e-21,0.0,6.805630731141145e-35,0.0,2.0633043919358565e-22,0.0,5.037738679658987e-38,0.0,1.4409840174969344e-35,0.0,1.7909941593591517e-64,1.0267873903714267e-21,9.033718775137118e-19
8.733062038992813e-06,4.186995329010575e-21,3.804339143699397e-21,0.0,9.86094083094011e-35,0.0,2.8430721321760837e-22,0.0,7.305659911629176e-38,0.0,2.0391077694015577e-35,0.0,2.7766498815229547e-64,3.8678815312521306e-21,3.463553139323891e-21,0.0,2.91156212559234e-25,0.0,3.047736922922841e-22,0.0,2.3845484031599527e-28,0.0,5.418399593102664e-26,0.0,7.968095727375597e-55,4.186995329010575e-21,3.804339143699397e-21,0.0,9.86094083094011e-35,0.0,2.8430721321760837e-22,0.0,7.305659911629176e-38,0.0,2.0391077694015577e-35,0.0,2.7766498815229547e-64,1.0267873903714267e-21,9.033718775137118e-19
9.651526191245288e-06,6.042348402026267e-21,5.51233778215684e-21,0.0,1.4281665579984633e-34,0.0,3.9142315562949836e-22,0.0,1.0590238476630187e-37,0.0,2.881206518382515e-35,0.0,4.3030259068299265e-64,5.58210185314562e-21,5.020493629565772e-21,0.0,4.218542277420419e-25,0.0,4.2079238826775373e-22,0.0,3.457980988107412e-28,0.0,7.659107822178755e-26,0.0,1.2353224327700086e-54,6.042348402026267e-21,5.51233778215684e-21,0.0,1.4281665579984633e-34,0.0,3.9142315562949836e-22,0.0,1.0590238476630187e-37,0.0,2.881206518382515e-35,0.0,4.3030259068299265e-64,1.0267873903714267e-21,9.033718775137118e-19
1.066658606160973e-05,8.715042922943728e-21,7.981751985367352e-21,0.0,2.067028250249715e-34,0.0,5.383301362517426e-22,0.0,1.5341615801451477e-37,0.0,4.0641768339125213e-35,0.0,6.664223051822247e-64,8.052459570950915e-21,7.273089664753009e-21,0.0,6.108689184113466e-25,0.0,5.804594208863573e-22,0.0,5.011877304538546e-28,0.0,1.0809157109291303e-25,0.0,1.914129567054254e-54,8.715042922943728e-21,7.981751985367352e-21,0.0,2.067028250249715e-34,0.0,5.383301362517426e-22,0.0,1.5341615801451477e-37,0.0,4.0641768339125213e-35,0.0,6.664223051822247e-64,1.0267873903714267e-21,9.033718775137118e-19
1.1788400710442105e-05,1.255997271537263e-20,1.1546818924218391e-20,0.0,2.9889439379445853e-34,0.0,7.394387270123958e-22,0.0,2.2205082070509797e-37,0.0,5.722045620492893e-35,0.0,1.0312047562661779e-63,1.1608179124352445e-20,1.052783692503133e-20,0.0,8.838600412801109e-25,0.0,7.998357255912952e-22,0.0,7.258390097958582e-28,0.0,1.5227630415200096e-25,0.0,2.9636607921701464e-54,1.255997271537263e-20,1.1546818924218391e-20,0.0,2.9889439379445853e-34,0.0,7.394387270123958e-22,0.0,2.2205082070509797e-37,0.0,5.722045620492893e-35,0.0,1.0312047562661779e-63,1.0267873903714267e-21,9.033718775137118e-19
1.3028197635802937e-05,1.808258475956831e-20,1.668501411808436e-20,0.0,4.317101175490555e-34,0.0,1.0141806430238646e-21,0.0,3.2103246883769765e-37,0.0,8.039610064287934e-35,0.0,1.5938951799060908e-63,1.671879348458916e-20,1.5223304697803554e-20,0.0,1.2775315398368605e-24,0.0,1.1006934083269942e-21,0.0,1.0501350067250142e-27,0.0,2.141054201601821e-25,0.0,4.5841097967739223e-54,1.808258475956831e-20,1.668501411808436e-20,0.0,4.317101175490555e-34,0.0,1.0141806430238646e-21,0.0,3.2103246883769765e-37,0.0,8.039610064287934e-35,0.0,1.5938951799060908e-63,1.0267873903714267e-21,9.033718775137118e-19
1.4398385142031282e-05,2.6000808771256742e-20,2.4076535588150438e-20,0.0,6.2269284548233805e-34,0.0,1.388670462735957e-21,0.0,4.635162890390961e-37,0.0,1.127088108843723e-34,0.0,2.4603592893959963e-63,2.4052252097225513e-20,2.1985406372665666e-20,0.0,1.8442491460009487e-24,0.0,1.5124560637696829e-21,0.0,1.5174772602977046e-27,0.0,3.004105707544618e-25,0.0,7.082041281900347e-54,2.6000808771256742e-20,2.4076535588150438e-20,0.0,6.2269284548233805e-34,0.0,1.388670462735957e-21,0.0,4.635162890390961e-37,0.0,1.127088108843723e-34,0.0,2.4603592893959963e-63,1.0267873903714267e-21,9.033718775137118e-19
1.59126765262255e-05,3.733157050823574e-20,3.46876099374393e-20,0.0,8.967544844562157e-34,0.0,1.8978849652141824e-21,0.0,6.682076234571138e-37,0.0,1.5763961451799245e-34,0.0,3.792036071409351e-63,3.4556304381759254e-20,3.1705026398969e-20,0.0,2.658524978761143e-24,0.0,2.074763973329398e-21,0.0,2.189701588364491e-27,0.0,4.205744951747776e-25,0.0,1.0925783982478775e-53,3.733157050823574e-20,3.46876099374393e-20,0.0,8.967544844562157e-34,0.0,1.8978849652141824e-21,0.0,6.682076234571138e-37,0.0,1.5763961451799245e-34,0.0,3.792036071409351e-63,1.0267873903714267e-21,9.033718775137118e-19
