Energy,Flux Value,Flux Error,Is Upper Limit
3.0521224931682534e-07,1.04e-15,1.11e-16,0.0
3.060393827838086e-07,1.0434e-15,1.11e-16,0.0
6.244857675723662e-07,1.72e-15,0.0,0.0
6.286214349072825e-07,1.71e-15,6.06e-17,0.0
6.286214349072825e-07,1.68e-15,1.36e-16,0.0
1.5095185772444614e-06,5.61e-15,2.01e-16,0.0
1.5880962566078716e-06,5.3184e-15,0.0,0.0
1.6873522726458637e-06,5.4672e-15,8.568e-16,0.0
5.7899342688828654e-06,1.7178e-14,0.0,0.0
5.7899342688828654e-06,1.72e-14,0.0,0.0
5.7899342688828654e-06,1.3248e-14,3.9747e-16,0.0
5.7899342688828654e-06,1.7394e-14,4.144e-18,0.0
5.7899342688828654e-06,1.32e-14,3.98e-16,0.0
5.8312909422320285e-06,1.3959e-14,1.41e-16,0.0
5.8312909422320285e-06,1.4e-14,1.41e-16,0.0
6.120787655676172e-06,1.628e-14,8.88e-16,0.0
6.120787655676172e-06,1.44e-14,7.42e-16,0.0
6.137330325015837e-06,1.4395e-14,7.42e-16,0.0
1.1145623467599516e-05,2.3447e-14,2.695e-16,0.0
1.1145623467599516e-05,2.8028e-14,1.3475e-15,0.0
1.1166301804274097e-05,2.34e-14,2.69e-16,0.0
1.1166301804274097e-05,2.349e-14,0.0,0.0
1.1166301804274097e-05,2.8e-14,1.35e-15,0.0
2.0057986574344214e-05,6.3e-14,9.46e-15,0.0
2.0057986574344214e-05,7.5699e-14,1.5035e-16,0.0
2.0057986574344214e-05,5.9461e-14,5.2865e-15,0.0
2.0057986574344214e-05,6.41e-14,6.06e-15,0.0
2.0182056594391704e-05,6.06e-14,2.93e-15,0.0
2.0202734931066285e-05,6.0574e-14,2.931e-15,0.0
2.0264769941090028e-05,4.9e-14,4.9e-16,0.0
2.0264769941090028e-05,5.88e-14,2.94e-15,0.0
2.0264769941090028e-05,4.9e-14,4.9e-16,0.0
2.067833667458166e-05,7.5e-14,0.0,0.0
2.067833667458166e-05,6.5e-14,0.0,0.0
2.067833667458166e-05,7.18e-14,0.0,0.0
2.067833667458166e-05,7.05e-14,0.0,0.0
2.067833667458166e-05,4.98e-14,0.0,0.0
3.3416192066123964e-05,1.02e-13,4.85e-15,0.0
3.3436870402798545e-05,1.0187e-13,4.851e-15,0.0
3.473960561329719e-05,1.29e-13,0.0,0.0
3.473960561329719e-05,1.27e-13,0.0,0.0
3.473960561329719e-05,1.2869e-13,0.0,0.0
3.473960561329719e-05,1.02e-13,0.0,0.0
3.498774565339217e-05,1.2961e-13,3.384e-17,0.0
4.425164048360476e-05,1.45e-13,4.28e-15,0.0
4.425164048360476e-05,1.4552e-13,0.0,0.0
4.425164048360476e-05,1.4545e-13,4.278e-15,0.0
4.425164048360476e-05,1.2947e-13,1.07e-15,0.0
6.203501002374499e-05,2.37e-13,0.0,0.0
6.203501002374499e-05,2.05e-13,0.0,0.0
6.203501002374499e-05,2.295e-13,1.2e-14,0.0
6.203501002374499e-05,1.35e-13,0.0,0.0
6.203501002374499e-05,2.95e-13,0.0,0.0
6.203501002374499e-05,3.15e-13,1.65e-14,0.0
6.203501002374499e-05,2e-13,1.8e-15,0.0
6.368927695771152e-05,1.39e-13,0.0,0.0
9.181181483514258e-05,1.82e-13,5.33e-14,0.0
9.181181483514258e-05,3.22e-13,4e-14,0.0
9.512034870307565e-05,2e-13,3.47e-14,0.0
9.512034870307565e-05,2.3e-13,9.2e-15,0.0
9.512034870307565e-05,2.07e-13,1.15e-14,0.0
9.925601603799198e-05,1.39e-13,0.0,0.0
0.00011745295231162385,3.1059e-13,2.9496e-14,0.0
0.00012407002004748998,2.44e-13,1.2e-14,0.0
0.00012407002004748998,3.6559e-13,1.9367e-14,0.0
0.00013647702205223897,2.64e-13,1.98e-14,0.0
0.00013647702205223897,2.64e-13,2.31e-14,0.0
0.00015219255792492102,5.12e-13,4.42e-14,0.0
0.00015219255792492102,3.79e-13,5.15e-14,0.0
0.00016956236073156964,3.69e-13,0.0,0.0
0.00016956236073156964,3.69e-13,4.1e-14,0.0
0.00016956236073156964,3.69e-13,7.18e-14,0.0
0.00016956236073156964,3.69e-13,8.2e-14,0.0
0.00016956236073156964,3.69e-13,4.1e-14,0.0
0.0001778336954014023,1.68e-13,0.0,0.0
0.00018238292946981026,4.4889e-13,8.6331e-14,0.0
0.0002522757074298963,1.83e-13,1.22e-13,0.0
0.0002522757074298963,3.66e-13,1.22e-13,0.0
0.00028949671344414326,5.6638e-13,9.166e-14,0.0
0.0002911509803781098,6.444e-13,1.0474e-13,0.0
0.0003556673908028046,8.69e-13,0.0,0.0
0.00037221006014246993,4.86e-13,1.44e-13,0.0
0.00037221006014246993,4.86e-13,1.44e-13,0.0
0.00041356673349163324,5.9964e-13,6.6011e-14,0.0
0.00041356673349163324,7.2002e-13,6.9923e-14,0.0
0.0005914004288930355,6.7471e-13,5.9379e-14,0.0
0.0005914004288930355,7.5603e-13,5.9256e-14,0.0
0.0008974398116768441,1.0421e-12,8.6297e-14,0.0
0.0008974398116768441,9.1275e-13,5.6726e-14,0.0
0.0014598905692254653,7.07e-13,0.0,0.0
0.0014598905692254653,1.8803e-12,3.5535e-13,0.0
0.0014598905692254653,2.0814e-12,2.2255e-13,0.0
0.002253938697529401,7.3652e-12,1.0156e-12,0.0
0.002253938697529401,6.7293e-12,6.4097e-13,0.0
0.003544266906023297,2.6063e-11,1.9158e-12,0.0
0.05624507575486212,1.23e-12,1.16e-13,0.0
0.05636914577490961,1.2298e-12,1.2861e-13,0.0
0.05636914577490961,1.3214e-12,1.1331e-13,0.0
0.10330897002620998,7.6052e-13,2.9608e-14,0.0
0.10330897002620998,6.9169e-13,3.7156e-14,0.0
0.10339168337290831,7.81e-13,3.31e-14,0.0
0.2695214402164974,7.396e-13,2.0899e-14,0.0
0.2695214402164974,6.146e-13,1.8336e-14,0.0
0.26964551023654487,6.24e-13,1.67e-14,0.0
0.36464178891957305,6.2752e-13,1.7732e-14,0.0
0.36464178891957305,5.1907e-13,1.5901e-14,0.0
0.36476585893962055,5.18e-13,1.48e-14,0.0
0.5748577595533703,4.6524e-13,9.9278e-14,0.0
0.746487953952398,6.1451e-13,1.0284e-13,0.0
1.004553595651177,6.623e-13,1.1226e-13,0.0
1.344091883847808,5.82e-13,1.71e-14,0.0
1.3589802862535068,5.9983e-13,1.5531e-14,0.0
1.3589802862535068,5.9836e-13,1.5869e-14,0.0
1.6087745932824533,6.49e-13,1.02e-14,0.0
1.62821222975656,6.6602e-13,6.3373e-15,0.0
1.62821222975656,6.608e-13,5.844e-15,0.0
1.9354923127408437,3.76e-13,0.0,0.0
1.9388008466087767,4.8445e-13,4.6739e-14,0.0
1.9727133187550905,5.96e-13,1.21e-14,0.0
1.991323821762214,6.0193e-13,5.6439e-15,0.0
1.991323821762214,6.0092e-13,5.7391e-15,0.0
2.2870240362087317,5.813e-13,1.111e-13,0.0
2.551706745643377,4.38e-13,9.27e-15,0.0
2.6009211869288813,4.7763e-13,4.7816e-15,0.0
2.6009211869288813,4.6542e-13,4.8634e-15,0.0
2.8196979889459555,7.4749e-13,7.2116e-14,0.0
2.857746128427186,7.344e-13,9.213e-14,0.0
3.457417891990054,4.72e-13,1.56e-14,0.0
3.4950524647377925,4.5549e-13,1.3425e-14,0.0
3.4950524647377925,4.5369e-13,1.5557e-14,0.0
3.531859904018548,6.237e-13,3.668e-14,0.0
4.714660761804619,3.767e-13,1.875e-14,0.0
5.335010862042068,1.9e-13,1.84e-14,0.0
5.335010862042068,1.17e-13,1.11e-14,0.0
5.541794228787886,2.241e-13,2.474e-14,0.0
6.0794309823270085,1.151e-13,1.913e-14,0.0
547.9759218764141,1.0702e-13,1.2037e-14,0.0
674.9931854732837,1.36455555262e-13,1.75250301869e-14,0.0
989.9899974164749,1.76429191736e-13,2.42371614529e-14,0.0
1000.0043615827692,1.7875e-13,5.517e-14,0.0
1000.0043615827692,2.2113e-13,1.9818e-14,0.0
1000.0043615827692,1.6838e-13,2.278e-14,0.0
1000.0043615827692,1.548e-13,2.4678e-14,0.0
1000.0043615827692,9.845e-14,1.9731e-14,0.0
1000.0043615827692,2.572e-13,4.3247e-14,0.0
1000.8314950497524,1.4387e-13,7.8832e-15,0.0
1259.9872477644933,2.05403172952e-13,3.30061567026e-14,0.0
1413.984661807894,2.4032e-13,2.0769e-14,0.0
1529.9844981125118,2.31594918757e-13,4.23625329151e-14,0.0
1732.01747986296,2.1238e-13,1.1452e-14,0.0
1904.9807652459108,2.64073128185e-13,4.77430485374e-14,0.0
2000.0087231655384,2.2861e-13,6.1705e-14,0.0
2000.0087231655384,1.8454e-13,2.1949e-14,0.0
2000.0087231655384,2.6322e-13,4.3152e-14,0.0
2000.0087231655384,1.7375e-13,2.512e-14,0.0
2000.0087231655384,1.1262e-13,1.8769e-14,0.0
2000.0087231655384,2.4347e-13,1.8937e-14,0.0
2699.972741901406,3.22822599086e-13,4.6985769951e-14,0.0
4194.957627344334,4.21577602904e-13,6.13404442615e-14,0.0
4470.656389044555,3.6199e-13,1.1409e-13,0.0
4470.656389044555,3.3125e-13,3.0242e-14,0.0
4470.656389044555,2.2686e-13,6.0767e-14,0.0
4470.656389044555,5.0191e-13,6.5907e-14,0.0
4470.656389044555,4.5455e-13,8.501e-14,0.0
4470.656389044555,2.4801e-13,6.7169e-14,0.0
6139.938009549055,5.38090848739e-13,1.43855813692e-13,0.0
69151244.4332,7.91429257561e-12,1.09500977174e-12,0.0
91854407.4725,6.22519463555e-12,8.17471137908e-13,0.0
122011284.703,5.56275501257e-12,6.77378172614e-13,0.0
162069017.748,6.03489884185e-12,5.93531106486e-13,0.0
200166299.00995046,6.144e-12,1.5639e-12,0.0
200166299.00995046,4.4885e-12,8.68e-13,0.0
200166299.00995046,4.4689e-12,5.8642e-13,0.0
215278173.472,4.16225229965e-12,5.04216940089e-13,0.0
285956517.893,4.68496068496e-12,4.69390703469e-13,0.0
379835017.117,4.31980600101e-12,4.30378671714e-13,0.0
504533490.93600005,3.36830290418e-12,3.9152695833e-13,0.0
600498897.0298514,3.4677e-12,2.6891e-13,0.0
600498897.0298514,2.0204e-12,5.7962e-13,0.0
600498897.0298514,2.3792e-12,3.855e-13,0.0
670177742.133,3.96603250181e-12,3.92902843108e-13,0.0
890204940.048,2.43424890351e-12,3.32053103983e-13,0.0
1000831495.0497525,3.4415e-12,1.1919e-12,0.0
1000831495.0497525,4.3354e-12,1.0801e-12,0.0
1000831495.0497525,2.4061e-12,9.6094e-13,0.0
1000831495.0497525,3.2404e-12,1.095e-12,0.0
1000831495.0497525,3.3149e-12,1.1099e-12,0.0
1000831495.0497525,6.5851e-12,1.2515e-12,0.0
1000831495.0497525,4.1417e-12,1.0131e-12,0.0
1182469642.6999998,3.33023808115e-12,3.85086537145e-13,0.0
1570688268.51,2.06358953298e-12,3.28981318368e-13,0.0
2001662990.099505,2.3406e-12,4.5546e-13,0.0
2001662990.099505,3.0597e-12,8.0784e-13,0.0
2001662990.099505,2.0229e-12,2.2771e-13,0.0
2086363613.7100003,2.50580206838e-12,4.03890871177e-13,0.0
2771341211.29,1.63888232246e-12,3.60141805794e-13,0.0
3681204972.5699997,1.26545089733e-12,3.48801795876e-13,0.0
4889787657.650001,1.08842113412e-12,3.80288794275e-13,0.0
6004988970.298514,1.1883e-12,2.526e-13,0.0
6004988970.298514,1.0028e-12,4.9671e-13,0.0
6004988970.298514,5.6765e-13,2.7876e-13,0.0
6495087408.139999,1.01475353407e-12,4.16052321455e-13,0.0
8627401309.22,6.05285151934e-13,2.86618411191e-13,1.0
11459878152.3,1.34139445496e-12,3.70675858095e-13,1.0
15222290300.3,7.85668361353e-13,5.49594141112e-13,0.0
20219946399.600002,1.54764523769e-12,4.42740538707e-13,1.0
26858391499.5,7.2785845346e-13,2.69025921112e-13,1.0
35676315836.0,9.63294001917e-13,3.56049065339e-13,1.0
47389267955.700005,1.26960288976e-12,4.69267314302e-13,1.0
60049889702.985146,2.1052e-13,1.4922e-13,0.0
62947719369.4,1.68474288527e-12,6.22702003013e-13,1.0
83614192511.1,5.76213172735e-12,1.74934982726e-12,1.0
111064432025.0,3.0248913543e-12,1.11803467283e-12,1.0
147526486720.0,5.08620222678e-12,1.91736066185e-12,1.0
195961159271.0,5.46106111446e-12,2.01847104242e-12,1.0
260297501802.0,7.40866283023e-12,2.73832705304e-12,1.0
