Energy,Flux Value,Flux Error,Is Upper Limit
3.0521224931682534e-07,4.76e-15,4.94e-16,0.0
3.060393827838086e-07,4.773e-15,4.958e-16,0.0
3.308533867933066e-07,5.6e-15,0.0,0.0
3.308533867933066e-07,4.8e-15,0.0,0.0
6.244857675723662e-07,4.79e-15,2.22e-16,0.0
6.617067735866132e-07,7.36e-15,0.0,0.0
7.361487856151071e-07,6.23e-15,0.0,0.0
7.361487856151071e-07,6.23e-15,9.35e-16,0.0
7.402844529500235e-07,6.265e-15,0.0,0.0
1.5095185772444614e-06,7.3e-15,2.99e-16,0.0
1.5880962566078716e-06,7.9296e-15,0.0,0.0
1.6873522726458637e-06,8.4456e-15,0.0,0.0
1.6873522726458637e-06,8.45e-15,6.76e-16,0.0
2.626148757671871e-06,1.2065e-14,0.0,0.0
5.7899342688828654e-06,1.53e-14,4.61e-16,0.0
5.7899342688828654e-06,1.6968e-14,0.0,0.0
5.7899342688828654e-06,1.5345e-14,4.6038e-16,0.0
5.7899342688828654e-06,3.3631e-15,2.086e-18,0.0
5.7899342688828654e-06,1.0962e-14,2.1e-18,0.0
5.7899342688828654e-06,1.7e-14,0.0,0.0
5.8312909422320285e-06,1.551e-14,0.0,0.0
5.8519692789066105e-06,1.9527e-14,0.0,0.0
1.095951843752828e-05,1.855e-14,0.0,0.0
1.1166301804274097e-05,2e-14,0.0,0.0
1.1166301804274097e-05,1.998e-14,0.0,0.0
1.1166301804274097e-05,1.998e-14,0.0,0.0
1.9975273227645886e-05,5.76e-14,0.0,0.0
2.0057986574344214e-05,4.8903e-14,7.275e-17,0.0
2.0057986574344214e-05,5.301e-14,4.7045e-15,0.0
2.0057986574344214e-05,5.5e-14,7.37e-15,0.0
2.0057986574344214e-05,5.46e-14,8.18e-15,0.0
2.0223413267740866e-05,6.36e-14,0.0,0.0
2.067833667458166e-05,5.625e-14,0.0,0.0
2.067833667458166e-05,5.5e-14,0.0,0.0
2.067833667458166e-05,4.05e-14,0.0,0.0
2.067833667458166e-05,3.15e-14,0.0,0.0
2.067833667458166e-05,4.95e-14,0.0,0.0
2.067833667458166e-05,3.15e-14,0.0,0.0
2.067833667458166e-05,3.31e-14,0.0,0.0
3.473960561329719e-05,8.4e-14,0.0,0.0
3.473960561329719e-05,8.78e-14,0.0,0.0
3.473960561329719e-05,8.778e-14,0.0,0.0
3.498774565339217e-05,8.8407e-14,3.384e-17,0.0
6.203501002374499e-05,1.11e-13,7.5e-16,0.0
6.203501002374499e-05,1.62e-13,0.0,0.0
6.203501002374499e-05,1.74e-13,0.0,0.0
6.203501002374499e-05,1.74e-13,0.0,0.0
9.512034870307565e-05,3.91e-13,2.3e-14,0.0
9.512034870307565e-05,2.53e-13,1.15e-14,0.0
9.512034870307565e-05,2.53e-13,1.38e-14,0.0
9.512034870307565e-05,2.69e-13,3.91e-14,0.0
9.925601603799198e-05,1.73e-13,0.0,0.0
0.00011745295231162385,1.8491e-13,2.9815e-14,0.0
0.00012407002004748998,2.4287e-13,1.827e-14,0.0
0.00013647702205223897,2.97e-13,3.3e-14,0.0
0.00013647702205223897,2.97e-13,3.3e-14,0.0
0.00013647702205223897,4.95e-13,6.6e-14,0.0
0.00016956236073156964,2.87e-13,2.87e-14,0.0
0.00016956236073156964,3.69e-13,0.0,0.0
0.00016956236073156964,3.28e-13,8.2e-14,0.0
0.00016956236073156964,2.87e-13,2.87e-14,0.0
0.0002522757074298963,4.27e-13,1.22e-13,0.0
0.0002522757074298963,3.66e-13,1.22e-13,0.0
0.0002522757074298963,2.44e-13,6.1e-14,0.0
0.0003556673908028046,8.69e-13,0.0,0.0
0.0003556673908028046,4.21e-13,1.72e-14,0.0
0.0004131531667581416,5.99e-13,0.0,0.0
0.00041356673349163324,5.2116e-13,6.8135e-14,0.0
0.00041356673349163324,4.5218e-13,5.9062e-14,0.0
0.0005914004288930355,4.7829e-13,5.6809e-14,0.0
0.0005914004288930355,5.0776e-13,4.8496e-14,0.0
0.0008974398116768441,6.5479e-13,6.9025e-14,0.0
0.0008974398116768441,5.7363e-13,7.8474e-14,0.0
0.0014598905692254653,1.6e-12,0.0,0.0
0.0014598905692254653,4.41e-13,0.0,0.0
0.05636914577490961,2.197e-12,1.9955e-13,0.0
0.05636914577490961,2.2092e-12,1.6745e-13,0.0
0.10330897002620998,1.345e-12,4.7827e-14,0.0
0.10330897002620998,1.34e-12,4.5425e-14,0.0
0.2695214402164974,1.7482e-12,4.4074e-14,0.0
0.2695214402164974,1.6255e-12,4.2194e-14,0.0
0.36464178891957305,1.4643e-12,4.2525e-14,0.0
0.36464178891957305,1.7768e-12,4.8826e-14,0.0
0.5707220922184538,1.69e-12,2.38e-13,0.0
0.5707220922184538,1.69e-12,2.38e-13,0.0
0.5707220922184538,2.1e-12,3.38e-13,0.0
0.5748577595533703,1.5605e-12,9.1705e-14,0.0
0.746487953952398,1.5765e-12,8.9572e-14,0.0
0.7526914549547725,1.88e-12,2.61e-13,0.0
0.7526914549547725,1.88e-12,2.61e-13,0.0
0.7526914549547725,1.89e-12,3.75e-13,0.0
0.9925601603799198,2.15e-12,2.18e-13,0.0
0.9925601603799198,2.15e-12,2.18e-13,0.0
0.9925601603799198,2.62e-12,3.06e-13,0.0
1.004553595651177,1.7372e-12,9.8704e-14,0.0
1.344091883847808,1.13e-12,2.39e-14,0.0
1.3589802862535068,1.2256e-12,1.7093e-14,0.0
1.5703128870677314,1.3616e-12,1.3136e-13,0.0
1.6087745932824533,1.44e-12,2.26e-14,0.0
1.62821222975656,1.5577e-12,9.5047e-15,0.0
