Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
6815286624.203822,6.722053238760033e-31,6.722053238760033e-31,6.229277841930239e-22
7532056575.42002,8.210087497280117e-31,8.210087497280117e-31,7.608222651479892e-22
8324209880.454661,1.002748123380556e-30,1.002748123380556e-30,9.2923790466376e-22
9199674675.836456,1.2247117780699216e-30,1.2247117780699216e-30,1.1349285866220242e-21
10167212907.49146,1.4958001713472491e-30,1.4958001713472491e-30,1.3861420689312706e-21
11236508023.242912,1.826882176200864e-30,1.826882176200864e-30,1.6929501264705549e-21
12418261888.011751,2.2312299847766365e-30,2.2312299847766365e-30,2.0676515313653934e-21
13724301891.677773,2.7250499122778316e-30,2.7250499122778316e-30,2.5252638856141157e-21
15167699321.572872,3.328130164670339e-30,3.328130164670339e-30,3.0841238180594487e-21
16762900184.318068,4.064631223246275e-30,4.064631223246275e-30,3.766619307454798e-21
18525869786.31324,4.9640500720957766e-30,4.9640500720957766e-30,4.600083053193698e-21
20474252519.889706,6.062396254732953e-30,6.062396254732953e-30,5.617882073247728e-21
22627548454.319153,7.403625936257878e-30,7.403625936257878e-30,6.860746289068258e-21
25007308499.061096,9.04139005563921e-30,9.04139005563921e-30,8.378388025415518e-21
27637350092.5083,1.1041164619306419e-29,1.1041164619306419e-29,1.0231475422906615e-20
30543995574.915474,1.3482845612071595e-29,1.3482845612071595e-29,1.2494036100540614e-20
33756335631.227856,1.646390709358909e-29,1.646390709358909e-29,1.5256382255966422e-20
37306520440.43379,2.0103229765476706e-29,2.0103229765476706e-29,1.8628656199064444e-20
41230081445.36212,2.454579593808829e-29,2.454579593808829e-29,2.2745178502395048e-20
45566286963.30458,2.9968354569056444e-29,2.9968354569056444e-29,2.776969317697169e-20
50358535196.53374,3.6586335041295537e-29,3.6586335041295537e-29,3.3901768836146954e-20
55654788576.098015,4.4662191718367273e-29,4.4662191718367273e-29,4.138452241316268e-20
61508053785.9523,5.451556771660563e-29,5.451556771660563e-29,5.0514026021983435e-20
67976912271.66723,6.653553320738087e-29,6.653553320738087e-29,6.165062993968327e-20
75126106543.22623,8.119496327042301e-29,8.119496327042301e-29,7.523225384668446e-20
83027188139.82622,9.906535938452716e-29,9.906535938452716e-29,9.17880323634967e-20
91759233741.73128,1.2083714778233704e-28,1.2083714778233704e-28,1.1195705352973005e-19
101409636596.2671,1.4734412383886241e-28,1.4734412383886241e-28,1.365109114570673e-19
112074981178.81433,1.7959272607085782e-28,1.7959272607085782e-28,1.6638070319417574e-19
123862009842.70117,2.1879935463385294e-28,2.1879935463385294e-28,2.0269146955889345e-19
136888691132.5529,2.6643302129790167e-28,2.6643302129790167e-28,2.468014933642236e-19
151285400453.13727,3.2427047796166944e-28,3.2427047796166944e-28,3.0035315049969107e-19
167196224910.23572,3.944589794796291e-28,3.944589794796291e-28,3.653306989558102e-19
184780405382.8277,4.795940482882286e-28,4.795940482882286e-28,4.441318815373263e-19
204213930259.33005,5.828138251403649e-28,5.828138251403649e-28,5.396547763519102e-19
225691296788.53998,7.079152498818055e-28,7.079152498818055e-28,6.55404715642915e-19
249427457673.4742,8.59453443179224e-28,8.59453443179224e-28,7.95584710918243e-19
275659972390.26825,1.0427586551876054e-27,1.0427586551876054e-27,9.651071915144003e-19
304651384763.2605,1.264714010900679e-27,1.264714010900679e-27,1.170323169386131e-18
336691850591.82996,1.5330952302503546e-27,1.5330952302503546e-27,1.4183919874806668e-18
372102041627.1614,1.8579525012708853e-27,1.8579525012708853e-27,1.7185789524013085e-18
411236354962.913,2.2506370907799168e-27,2.2506370907799168e-27,2.0813246689829917e-18
454486459960.4454,2.7257899244627623e-27,2.7257899244627623e-27,2.5201129784552657e-18
502285218207.4363,3.2999601216208185e-27,3.2999601216208185e-27,3.050147257944625e-18
555111015742.1396,3.994609566493181e-27,3.994609566493181e-27,3.6911744984155376e-18
613492550901.6455,4.833807127578787e-27,4.833807127578787e-27,4.465275696175856e-18
678014125712.543,5.848938313218543e-27,5.848938313218543e-27,5.401297314095556e-18
749321493781.9884,7.075115665248983e-27,7.075115665248983e-27,6.531405815724877e-18
828128323216.8562,8.557700761842651e-27,8.557700761842651e-27,7.897231271218143e-18
915223339254.0193,1.0347827086564778e-26,1.0347827086564778e-26,9.545541442659802e-18
1011478218087.624,1.2511829805188652e-26,1.2511829805188652e-26,1.1537140046773283e-17
1117856310897.4202,1.5124113893771833e-26,1.5124113893771833e-26,1.3939959921299892e-17
1235422285391.1582,1.828079417731483e-26,1.828079417731483e-26,1.6841963355506874e-17
1365352781356.8616,2.2089778579613351e-26,2.2089778579613351e-26,2.0341476414687456e-17
1508948186869.3013,2.669065863682548e-26,2.669065863682548e-26,2.456604983445102e-17
1667645653010.929,3.2240006757690495e-26,3.2240006757690495e-26,2.9658057283249197e-17
1843033477362.9521,3.8940431031416704e-26,3.8940431031416704e-26,3.580232204659568e-17
2036867000221.3665,4.701901596106756e-26,4.701901596106756e-26,4.3204885779056554e-17
2251086172632.639,5.676946576853023e-26,5.676946576853023e-26,5.213319174375485e-17
