Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
6.545654586422252e-06,2.885248225853495e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3123951827640566e-22,1.5219303115266822e-19,2.885248225853495e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.885248225853495e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2340670886823375e-06,1.0766512359464828e-18,1.0707721585416747e-18,0.0,1.528552995079783e-32,0.0,3.964497610814839e-22,0.0,6.797116409116575e-36,0.0,1.6388003384862905e-33,0.0,1.4122120483459167e-64,1.3123951827640566e-22,1.5219303115266822e-19,1.0736361689849921e-18,1.0673524662149456e-18,0.0,1.3299444558592008e-23,0.0,5.422344552840883e-22,0.0,5.957694733950528e-27,0.0,1.4142511704971134e-24,0.0,1.3250277262539746e-55,1.0766512359464828e-18,1.0707721585416747e-18,0.0,1.528552995079783e-32,0.0,3.964497610814839e-22,0.0,6.797116409116575e-36,0.0,1.6388003384862905e-33,0.0,1.4122120483459167e-64
7.994880565819898e-06,1.4526716526266534e-18,1.4448040475615244e-18,0.0,2.0639304220070318e-32,0.0,5.122801531379141e-22,0.0,9.178114394061026e-36,0.0,2.1480868232516347e-33,0.0,2.0388293792308124e-64,1.3123951827640566e-22,1.5219303115266822e-19,1.4487644254623825e-18,1.4403676885928866e-18,0.0,1.7959789942160672e-23,0.0,7.052903635209709e-22,0.0,8.045653388312556e-27,0.0,1.8539874764012492e-24,0.0,1.913200021750086e-55,1.4526716526266534e-18,1.4448040475615244e-18,0.0,2.0639304220070318e-32,0.0,5.122801531379141e-22,0.0,9.178114394061026e-36,0.0,2.1480868232516347e-33,0.0,2.0388293792308124e-64
8.835709494832311e-06,1.9597089907983338e-18,1.9491780646462275e-18,0.0,2.7865092121933047e-32,0.0,6.616116997098462e-22,0.0,1.2391779446119698e-35,0.0,2.8132269163764098e-33,0.0,2.94320969157624e-64,1.3123951827640566e-22,1.5219303115266822e-19,1.954641176475437e-18,1.943417843745848e-18,0.0,2.4250266227724722e-23,0.0,9.171435585400864e-22,0.0,1.0864068992121284e-26,0.0,2.4283476894076527e-24,0.0,2.7621786834328805e-55,1.9597089907983338e-18,1.9491780646462275e-18,0.0,2.7865092121933047e-32,0.0,6.616116997098462e-22,0.0,1.2391779446119698e-35,0.0,2.8132269163764098e-33,0.0,2.94320969157624e-64
9.764969174253555e-06,2.643279417927934e-18,2.6291829162537232e-18,0.0,3.7616020237498266e-32,0.0,8.540475226015286e-22,0.0,1.6728663487533072e-35,0.0,3.681473568932009e-33,0.0,4.248332242477971e-64,1.3123951827640566e-22,1.5219303115266822e-19,2.6366999374840617e-18,2.6216967458524722e-18,0.0,3.2739756954846936e-23,0.0,1.1923529160098972e-21,0.0,1.4667897321076544e-26,0.0,3.178159801408883e-24,0.0,3.987464259555778e-55,2.643279417927934e-18,2.6291829162537232e-18,0.0,3.7616020237498266e-32,0.0,8.540475226015286e-22,0.0,1.6728663487533072e-35,0.0,3.681473568932009e-33,0.0,4.248332242477971e-64
1.0791959947290217e-05,3.5646507573146786e-18,3.545785116313382e-18,0.0,5.077232902491084e-32,0.0,1.1019170647969053e-21,0.0,2.2580361512381567e-35,0.0,4.8143839509358704e-33,0.0,6.13154251870684e-64,1.3123951827640566e-22,1.5219303115266822e-19,3.5560998282480365e-18,3.5360460782339716e-18,0.0,4.419500127094262e-23,0.0,1.5498078212967244e-21,0.0,1.9800775187663113e-26,0.0,4.156613506626515e-24,0.0,5.755626259271647e-55,3.5646507573146786e-18,3.545785116313382e-18,0.0,5.077232902491084e-32,0.0,1.1019170647969053e-21,0.0,2.2580361512381567e-35,0.0,4.8143839509358704e-33,0.0,6.13154251870684e-64
1.192696028278232e-05,4.806264355717456e-18,4.781028981016251e-18,0.0,6.85199466933662e-32,0.0,1.421040590953627e-21,0.0,3.0474466788272524e-35,0.0,6.292158458211215e-33,0.0,8.848536162513441e-64,1.3123951827640566e-22,1.5219303115266822e-19,4.795139093519986e-18,4.76834582564198e-18,0.0,5.964905353056761e-23,0.0,2.014010188827696e-21,0.0,2.672570280624565e-26,0.0,5.433010556558312e-24,0.0,8.306834654275605e-55,4.806264355717456e-18,4.781028981016251e-18,0.0,6.85199466933662e-32,0.0,1.421040590953627e-21,0.0,3.0474466788272524e-35,0.0,6.292158458211215e-33,0.0,8.848536162513441e-64
1.3181329645574341e-05,6.47900839944717e-18,6.4452823686256925e-18,0.0,9.245606059814095e-32,0.0,1.8317052086767775e-21,0.0,4.112153437502005e-35,0.0,8.219287946580038e-33,0.0,1.2767892014224844e-63,1.3123951827640566e-22,1.5219303115266822e-19,6.464517384617146e-18,6.428747388851033e-18,0.0,8.049326700175459e-23,0.0,2.616734233494012e-21,0.0,3.6066267384893024e-26,0.0,7.09764603076459e-24,0.0,1.1987301960349924e-54,6.47900839944717e-18,6.4452823686256925e-18,0.0,9.245606059814095e-32,0.0,1.8317052086767775e-21,0.0,4.112153437502005e-35,0.0,8.219287946580038e-33,0.0,1.2767892014224844e-63
1.4567622185857116e-05,8.731967127081361e-18,8.686951510133998e-18,0.0,1.2473086351849699e-31,0.0,2.3599097284468203e-21,0.0,5.54781337860017e-35,0.0,1.0731894417857959e-32,0.0,1.8420773463252558e-63,1.3123951827640566e-22,1.5219303115266822e-19,8.713070390664492e-18,8.66537175090247e-18,0.0,1.086007990270622e-22,0.0,3.399174237761487e-21,0.0,4.8661990513740923e-26,0.0,9.268153586412128e-24,0.0,1.7295975386054776e-54,8.731967127081361e-18,8.686951510133998e-18,0.0,1.2473086351849699e-31,0.0,2.3599097284468203e-21,0.0,5.54781337860017e-35,0.0,1.0731894417857959e-32,0.0,1.8420773463252558e-63
1.6099712385322905e-05,1.1765476976513991e-17,1.1705495027833791e-17,0.0,1.6823769942865302e-31,0.0,3.038950180662046e-21,0.0,7.483142481549642e-35,0.0,1.400726055407637e-32,0.0,2.6572425452759e-63,1.3123951827640566e-22,1.5219303115266822e-19,1.1740806728198032e-17,1.1677301519434416e-17,0.0,1.464922905565307e-22,0.0,4.414721297250817e-21,0.0,6.56425698936556e-26,0.0,1.2097743031216517e-23,0.0,2.4951704830966384e-54,1.1765476976513991e-17,1.1705495027833791e-17,0.0,1.6823769942865302e-31,0.0,3.038950180662046e-21,0.0,7.483142481549642e-35,0.0,1.400726055407637e-32,0.0,2.6572425452759e-63
