Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
7.9305807671924e-06,3.309289057201163e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.309289057201163e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.309289057201163e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2310545465228176e-22,4.609308290018971e-19
8.764647227351078e-06,3.698141562162844e-19,3.693295133458298e-19,0.0,1.2727139080312143e-23,0.0,1.464138814469936e-22,0.0,4.201364875398007e-27,0.0,3.506651963800426e-26,0.0,7.091618898340043e-57,3.698141562162844e-19,3.693295133458298e-19,0.0,1.2727139080312143e-23,0.0,1.464138814469936e-22,0.0,4.201364875398007e-27,0.0,3.506651963800426e-26,0.0,7.091618898340043e-57,3.6986193956089146e-19,3.695070905808774e-19,0.0,1.2729661925654808e-32,0.0,3.539775029096815e-23,0.0,4.201438218677637e-36,0.0,3.508635016411275e-35,0.0,7.068135301481781e-66,3.2310545465228176e-22,4.609308290018971e-19
9.686433222860785e-06,4.952136537204849e-19,4.945698622143397e-19,0.0,1.7115691543674462e-23,0.0,1.937214374820706e-22,0.0,5.650782753487895e-27,0.0,4.5913376290160563e-26,0.0,1.0266018554436413e-56,4.952136537204849e-19,4.945698622143397e-19,0.0,1.7115691543674462e-23,0.0,1.937214374820706e-22,0.0,5.650782753487895e-27,0.0,4.5913376290160563e-26,0.0,1.0266018554436413e-56,4.952761901397e-19,4.94806802974594e-19,0.0,1.71190381299331e-32,0.0,4.4506721484040047e-23,0.0,5.6508644542531324e-36,0.0,4.593911847372811e-35,0.0,1.0231973538920825e-65,3.2310545465228176e-22,4.609308290018971e-19
1.0705164297787484e-05,6.630039449557327e-19,6.621499019721005e-19,0.0,2.3019585083711216e-23,0.0,2.565302416702864e-22,0.0,7.600985451690299e-27,0.0,6.014168784636014e-26,0.0,1.4869973390926273e-56,6.630039449557327e-19,6.621499019721005e-19,0.0,2.3019585083711216e-23,0.0,2.565302416702864e-22,0.0,7.600985451690299e-27,0.0,6.014168784636014e-26,0.0,1.4869973390926273e-56,6.630857670957185e-19,6.624661102365755e-19,0.0,2.302402703930049e-32,0.0,5.593533491455128e-23,0.0,7.601073426197107e-36,0.0,6.017511552297047e-35,0.0,1.4820588474927287e-65,3.2310545465228176e-22,4.609308290018971e-19
1.1831036255136457e-05,8.87505149045593e-19,8.863739370790896e-19,0.0,3.0964453422538857e-23,0.0,3.400167749753825e-22,0.0,1.0225816298571835e-26,0.0,7.882363773053284e-26,0.0,2.1552977780693148e-56,8.87505149045593e-19,8.863739370790896e-19,0.0,3.0964453422538857e-23,0.0,3.400167749753825e-22,0.0,1.0225816298571835e-26,0.0,7.882363773053284e-26,0.0,2.1552977780693148e-56,8.87612158059e-19,8.867960111737053e-19,0.0,3.097035267554723e-32,0.0,7.028280372915849e-23,0.0,1.0225906122280672e-35,0.0,7.886706365431185e-35,0.0,2.148129283492514e-65,3.2310545465228176e-22,4.609308290018971e-19
1.3075317199875449e-05,1.187892162657938e-18,1.1863964371213574e-18,0.0,4.1659971689717755e-23,0.0,4.511265079741982e-22,0.0,1.3760043787643134e-26,0.0,1.0337979223609496e-25,0.0,3.1263291029603006e-56,1.187892162657938e-18,1.1863964371213574e-18,0.0,4.1659971689717755e-23,0.0,4.511265079741982e-22,0.0,1.3760043787643134e-26,0.0,1.0337979223609496e-25,0.0,3.1263291029603006e-56,1.1880320239869942e-18,1.186959929301082e-18,0.0,4.1667810621985486e-32,0.0,8.831019969223848e-23,0.0,1.376012725353925e-35,0.0,1.0343623434372913e-34,0.0,3.115915533507333e-65,3.2310545465228176e-22,4.609308290018971e-19
1.4450460313916625e-05,1.58985691330274e-18,1.5878830664747245e-18,0.0,5.60653064550906e-23,0.0,5.99194660717097e-22,0.0,1.8521052063175635e-26,0.0,1.3569597560317972e-25,0.0,4.538766116268903e-56,1.58985691330274e-18,1.5878830664747245e-18,0.0,5.60653064550906e-23,0.0,5.99194660717097e-22,0.0,1.8521052063175635e-26,0.0,1.3569597560317972e-25,0.0,4.538766116268903e-56,1.5900395569603965e-18,1.588635509662871e-18,0.0,5.607572814899694e-32,0.0,1.1098717333777362e-22,0.0,1.8521114960060724e-35,0.0,1.357693755809127e-34,0.0,4.523624975952763e-65,3.2310545465228176e-22,4.609308290018971e-19
1.597022849174697e-05,2.1278499382743195e-18,2.1252507614015557e-18,0.0,7.547836600077544e-23,0.0,7.9679129819338705e-22,0.0,2.4938428733213473e-26,0.0,1.7828099843276614e-25,0.0,6.595777212574981e-56,2.1278499382743195e-18,2.1252507614015557e-18,0.0,7.547836600077544e-23,0.0,7.9679129819338705e-22,0.0,2.4938428733213473e-26,0.0,1.7828099843276614e-25,0.0,6.595777212574981e-56,2.128088186137024e-18,2.1262557265289252e-18,0.0,7.549222797815541e-32,0.0,1.395530944199422e-22,0.0,2.493844744628519e-35,0.0,1.7837650953885647e-34,0.0,6.5737399229582565e-65,3.2310545465228176e-22,4.609308290018971e-19
1.7649832084101826e-05,2.848108308223154e-18,2.8446938244563476e-18,0.0,1.0165774779479754e-22,0.0,1.0608744378776382e-21,0.0,3.3594406125439017e-26,0.0,2.344801991410443e-25,0.0,9.595607363350058e-56,2.848108308223154e-18,2.8446938244563476e-18,0.0,1.0165774779479754e-22,0.0,1.0608744378776382e-21,0.0,3.3594406125439017e-26,0.0,2.344801991410443e-25,0.0,9.595607363350058e-56,2.8484186531401115e-18,2.846036364200319e-18,0.0,1.0167619381722928e-31,0.0,1.755973193630659e-22,0.0,3.359434246932485e-35,0.0,2.34604565967539e-34,0.0,9.563496237604113e-65,3.2310545465228176e-22,4.609308290018971e-19
1.9506081128267864e-05,3.8127530498161726e-18,3.8082791344716614e-18,0.0,1.3698970508761042e-22,0.0,1.414367069203644e-21,0.0,4.527925165994133e-26,0.0,3.087654697221752e-25,0.0,1.3977007909361665e-55,3.8127530498161726e-18,3.8082791344716614e-18,0.0,1.3698970508761042e-22,0.0,1.414367069203644e-21,0.0,4.527925165994133e-26,0.0,3.087654697221752e-25,0.0,1.3977007909361665e-55,3.813156612371767e-18,3.8100730949862735e-18,0.0,1.3701426118040682e-31,0.0,2.211649139833119e-22,0.0,4.5279045075146437e-35,0.0,3.0892753034114805e-34,0.0,1.3930157731674246e-64,3.2310545465228176e-22,4.609308290018971e-19
