Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
6274509803.921569,7.355149098517915e-31,7.355149098517915e-31,2.7753989940490922e-21
6934405760.474652,8.982935170267203e-31,8.982935170267203e-31,3.38964307490584e-21
7663703580.612831,1.0970859672181092e-30,1.0970859672181092e-30,4.139790559134067e-21
8469702322.04551,1.3398555654110087e-30,1.3398555654110087e-30,5.0558942883701636e-21
9360468691.082481,1.6363245286874663e-30,1.6363245286874663e-30,6.174645985638488e-21
10344917776.94198,1.9983616642244182e-30,1.9983616642244182e-30,7.540839896025525e-21
11432902276.960058,2.440455132510994e-30,2.440455132510994e-30,9.209157822645864e-21
12635311105.69711,2.9802888088548156e-30,2.9802888088548156e-30,1.1246345560540647e-20
13964178374.8547,3.6394447122743906e-30,3.6394447122743906e-30,1.373386572253481e-20
15432803834.710274,4.444258739855614e-30,4.444258739855614e-30,1.6771130038100528e-20
17055885982.488127,5.426862679068807e-30,5.426862679068807e-30,2.047943597661577e-20
18849669169.859974,6.626452344889978e-30,6.626452344889978e-30,2.500675867611532e-20
20832106181.87638,8.090829899427212e-30,8.090829899427212e-30,3.0533580414653716e-20
23023037914.47369,9.878278176125079e-30,9.878278176125079e-30,3.7279977098391686e-20
25444391948.829338,1.2059836381620755e-29,1.2059836381620755e-29,4.5514225388832677e-20
28120402009.96433,1.4722060127104562e-29,1.4722060127104562e-29,5.556324613263783e-20
31077850506.008564,1.797036077915572e-29,1.797036077915572e-29,6.782524727979931e-20
34346336575.54322,2.19330008385674e-29,2.19330008385674e-29,8.278487129305725e-20
37958572325.728294,2.6766035996167654e-29,2.6766035996167654e-29,1.0103191317608396e-19
41950710226.06601,3.2659151299266307e-29,3.2659151299266307e-29,1.232834748211327e-19
46362704934.46683,3.9842776992943034e-29,3.9842776992943034e-29,1.5041097865167146e-19
51238713176.89507,4.859650316696736e-29,4.859650316696736e-29,1.8347217974414215e-19
56627535682.72391,5.925927766119917e-29,5.925927766119917e-29,2.23749981547312e-19
62583105598.83749,7.22413832703484e-29,7.22413832703484e-29,2.7279814344601525e-19
69165028270.69243,8.803735439780191e-29,8.803735439780191e-29,3.324910703660202e-19
76439177792.64925,1.0723356978143428e-28,1.0723356978143428e-28,4.0505576513199175e-19
84478356298.04984,1.3052428024988409e-28,1.3052428024988409e-28,4.931346122968315e-19
93363022587.43741,1.5873073925697197e-28,1.5873073925697197e-28,5.99860318282559e-19
103182097387.27565,1.9282260194129168e-28,1.9282260194129168e-28,7.289405621539993e-19
114033853298.46631,2.3394973041557084e-28,2.3394973041557084e-28,8.847810788732093e-19
126026898341.56969,2.834719458830982e-28,2.834719458830982e-28,1.0726040007789265e-18
139281262942.3789,3.430055523260605e-28,3.430055523260605e-28,1.298627930988791e-18
153929601236.76456,4.144665149636709e-28,4.144665149636709e-28,1.5702397508587748e-18
170118518717.85345,5.001272089535716e-28,5.001272089535716e-28,1.8962182140675883e-18
188010039513.07938,6.0268497015007e-28,6.0268497015007e-28,2.2870040512183757e-18
207783227976.10864,7.253490009233893e-28,7.253490009233893e-28,2.755040551515756e-18
229635980823.07758,8.718198234669591e-28,8.718198234669591e-28,3.314742759153569e-18
253787007749.4425,1.0459481859087859e-27,1.0459481859087859e-27,3.98134596454157e-18
280478020350.1229,1.2536182751333765e-27,1.2536182751333765e-27,4.7775980315426804e-18
309976151250.3855,1.5001950590248145e-27,1.5001950590248145e-27,5.724832803779697e-18
342576627658.9442,1.7939105184472233e-27,1.7939105184472233e-27,6.8550091060069686e-18
378605726101.0949,2.1422527294524633e-27,2.1422527294524633e-27,8.1980434641328e-18
418424037903.8441,2.5566162273952844e-27,2.5566162273952844e-27,9.798401829057553e-18
462430078115.11084,3.0473658803814467e-27,3.0473658803814467e-27,1.1697722764288394e-17
511064273976.2707,3.630647472573684e-27,3.630647472573684e-27,1.3959187040661953e-17
564813372866.0193,4.320591451604893e-27,4.320591451604893e-27,1.6639973495336776e-17
624215313831.742,5.139848896029534e-27,5.139848896029534e-27,1.9829037292234838e-17
689864611464.3044,6.1079298049509285e-27,6.1079298049509285e-27,2.3605751374929203e-17
762418305999.9058,7.254998968807801e-27,7.254998968807801e-27,2.8089655253162405e-17
842602539199.5955,8.607658389013563e-27,8.607658389013563e-27,3.3389711198053764e-17
931219821820.0885,1.0208272190532117e-26,1.0208272190532117e-26,3.967431628982373e-17
1029157065411.1488,1.2092841940839976e-26,1.2092841940839976e-26,4.709205071848799e-17
1137394458824.4783,1.4318267686839728e-26,1.4318267686839728e-26,5.587092039033004e-17
1257015278273.2036,1.6932092266474057e-26,1.6932092266474057e-26,6.620929889032143e-17
1389216729124.3118,2.001160554415667e-26,2.001160554415667e-26,7.841893922754052e-17
1535321927932.3633,2.3619601304229825e-26,2.3619601304229825e-26,9.276467848468326e-17
1696793144634.684,2.786067074378644e-26,2.786067074378644e-26,1.0967128245476581e-16
1875246437440.3784,3.281732870015181e-26,3.281732870015181e-26,1.2949069997027275e-16
2072467826884.0715,3.862994261197095e-26,3.862994261197095e-26,1.5279738770630484e-16
2290431170919.711,4.5406468586428603e-26,4.5406468586428603e-26,1.8005715469091858e-16
2531317919954.4165,5.333537702193196e-26,5.333537702193196e-26,2.120469630078262e-16
2797538949537.363,6.255764480871151e-26,6.255764480871151e-26,2.493819603287297e-16
3091758689212.589,7.33238057802826e-26,7.33238057802826e-26,2.931036364451349e-16
3416921789025.44,8.580967859728798e-26,8.580967859728798e-26,3.439944163165837e-16
3776282590569.9277,1.0033941813418962e-25,1.0033941813418962e-25,4.034184174004162e-16
4173437697533.251,1.17132416459867e-25,1.17132416459867e-25,4.72370866018892e-16
4612361971714.342,1.366091363040414e-25,1.366091363040414e-25,5.526416374073169e-16
5097448314776.742,1.5903732324455452e-25,1.5903732324455452e-25,6.454742046952623e-16
5633551633884.979,1.8495709218857237e-25,1.8495709218857237e-25,7.531971930706015e-16
6226037431247.224,2.1468866501164455e-25,2.1468866501164455e-25,8.773395847511166e-16
6880835503864.838,2.4892096562020794e-25,2.4892096562020794e-25,1.020911641219798e-15
7604499290933.819,2.880293553845971e-25,2.880293553845971e-25,1.1857639971528214e-15
8404271462866.937,3.328856160910352e-25,3.328856160910352e-25,1.375760231445091e-15
9288156408373.625,3.839165434275052e-25,3.839165434275052e-25,1.593089420462664e-15
10265000345072.484,4.422142209976113e-25,4.422142209976113e-25,1.8426658989731445e-15
11344579855410.594,5.082389249925204e-25,5.082389249925204e-25,2.126984435612734e-15
12537699733986.629,5.833335776350915e-25,5.833335776350915e-25,2.4521991394139837e-15
13856301125566.803,6.679669043367088e-25,6.679669043367088e-25,2.8210486174391735e-15
15313581036075.299,7.637877054458184e-25,7.637877054458184e-25,3.2412195926425352e-15
16924124412665.16,8.712379913627325e-25,8.712379913627325e-25,3.715584542633929e-15
18704050114771.63,9.923268912095439e-25,9.923268912095439e-25,4.25367226514151e-15
20671172237075.08,1.1274158718604566e-24,1.1274158718604566e-24,4.858287630584869e-15
22845178398948.133,1.2789417932139953e-24,1.2789417932139953e-24,5.541175019619324e-15
25247826784767.453,1.44711308721823e-24,1.44711308721823e-24,6.304758245301034e-15
27903163907136.363,1.6348748826962013e-24,1.6348748826962013e-24,7.163433791884292e-15
30837765272465.156,1.8421847478154997e-24,1.8421847478154997e-24,8.118765803881346e-15
34081001357571.63,2.072619536362283e-24,2.072619536362283e-24,9.188403928345653e-15
37665331559284.89,2.3257838039219438e-24,2.3257838039219438e-24,1.037244163712365e-14
41626629058998.52,2.6059813924222167e-24,2.6059813924222167e-24,1.1692292631777988e-14
46004539853527.81,2.9122593768430938e-24,2.9122593768430938e-24,1.3145436877346284e-14
50842879545571.04,3.2497777394665503e-24,3.2497777394665503e-24,1.4757686841201822e-14
56190071864988.29,3.6167720761319806e-24,3.6167720761319806e-24,1.652235106428573e-14
62099633309765.82,4.0194004821791676e-24,4.0194004821791676e-24,1.8470325220492654e-14
68630708757114.93,4.4547217248643026e-24,4.4547217248643026e-24,2.058847527959048e-14
