Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
6.0262724284745084e-06,1.3656043030613847e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3656043030613847e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3656043030613847e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7494331474596547e-22,3.6485852621754217e-19
6.66006103235112e-06,1.986502204466591e-19,1.9286408136263187e-19,0.0,2.5601160414073393e-33,0.0,2.3010267095976305e-21,0.0,6.711784640593713e-37,0.0,1.6319991435881715e-33,0.0,2.1587064310758298e-63,1.8899486026752042e-19,1.8270143689992515e-19,0.0,8.86553811744693e-24,0.0,2.5751378970062765e-21,0.0,2.86416228011084e-27,0.0,5.236359951974604e-24,0.0,7.661360069088233e-54,1.986502204466591e-19,1.9286408136263187e-19,0.0,2.5601160414073393e-33,0.0,2.3010267095976305e-21,0.0,6.711784640593713e-37,0.0,1.6319991435881715e-33,0.0,2.1587064310758298e-63,1.7494331474596547e-22,3.6485852621754217e-19
7.360505765563344e-06,2.7877477589662287e-19,2.711723184572102e-19,0.0,3.594520883935473e-33,0.0,3.0658317380985972e-21,0.0,9.421230648231437e-37,0.0,2.255836099878001e-33,0.0,3.2432208386398086e-63,2.6563765091463568e-19,2.5731018912000594e-19,0.0,1.2467825107345422e-23,0.0,3.447083074729709e-21,0.0,4.027543818422596e-27,0.0,7.250056468391161e-24,0.0,1.1530246984616715e-53,2.7877477589662287e-19,2.711723184572102e-19,0.0,3.594520883935473e-33,0.0,3.0658317380985972e-21,0.0,9.421230648231437e-37,0.0,2.255836099878001e-33,0.0,3.2432208386398086e-63,1.7494331474596547e-22,3.6485852621754217e-19
8.13461691442872e-06,3.9015549320518103e-19,3.8020344210380983e-19,0.0,5.031569519813549e-33,0.0,4.0706358695548496e-21,0.0,1.3181576120571058e-36,0.0,3.1061778557061765e-33,0.0,4.858173414321921e-63,3.7238093500476464e-19,3.6140210925634304e-19,0.0,1.7482244191571396e-23,0.0,4.598994330232033e-21,0.0,5.645767942794285e-27,0.0,1.000062082949028e-23,0.0,1.7303432045855597e-53,3.9015549320518103e-19,3.8020344210380983e-19,0.0,5.031569519813549e-33,0.0,4.0706358695548496e-21,0.0,1.3181576120571058e-36,0.0,3.1061778557061765e-33,0.0,4.858173414321921e-63,1.7494331474596547e-22,3.6485852621754217e-19
8.990142043512894e-06,5.444892352617407e-19,5.315053377029371e-19,0.0,7.020580157028553e-33,0.0,5.384851246395628e-21,0.0,1.837915120377678e-36,0.0,4.2599793669019465e-33,0.0,7.254599237821217e-63,5.205838037948668e-19,5.061570715668046e-19,0.0,2.443701336245111e-23,0.0,6.114253787798512e-21,0.0,7.887750543164509e-27,0.0,1.374091249721446e-23,0.0,2.588905085571986e-53,5.444892352617407e-19,5.315053377029371e-19,0.0,7.020580157028553e-33,0.0,5.384851246395628e-21,0.0,1.837915120377678e-36,0.0,4.2599793669019465e-33,0.0,7.254599237821217e-63,1.7494331474596547e-22,3.6485852621754217e-19
9.935643535859639e-06,7.576123391916409e-19,7.407297043770134e-19,0.0,9.762639463483992e-33,0.0,7.095479648811776e-21,0.0,2.553166815597532e-36,0.0,5.818087041100265e-33,0.0,1.0797434956858886e-62,7.256665145989826e-19,7.067705699906133e-19,0.0,3.404541254558093e-23,0.0,8.098264084648113e-21,0.0,1.098061671286265e-26,0.0,1.880331464803182e-23,0.0,3.861109118443664e-53,7.576123391916409e-19,7.407297043770134e-19,0.0,9.762639463483992e-33,0.0,7.095479648811776e-21,0.0,2.553166815597532e-36,0.0,5.818087041100265e-33,0.0,1.0797434956858886e-62,1.7494331474596547e-22,3.6485852621754217e-19
1.0980584288198346e-05,1.0508496860047917e-18,1.0289758494928456e-18,0.0,1.3526724320236513e-32,0.0,9.310459098474391e-21,0.0,3.532739684591419e-36,0.0,7.911698723948172e-33,0.0,1.601426201492977e-62,1.0084507491671397e-18,9.837862983473213e-19,0.0,4.7264189119914854e-23,0.0,1.0682978307364025e-20,0.0,1.5227386146821432e-26,0.0,2.5621629843411288e-23,0.0,5.73893869360037e-53,1.0508496860047917e-18,1.0289758494928456e-18,0.0,1.3526724320236513e-32,0.0,9.310459098474391e-21,0.0,3.532739684591419e-36,0.0,7.911698723948172e-33,0.0,1.601426201492977e-62,1.7494331474596547e-22,3.6485852621754217e-19
1.2135422418795216e-05,1.4527452836625753e-18,1.424516298382908e-18,0.0,1.8669870772854135e-32,0.0,1.2162106218518911e-20,0.0,4.867307143426514e-36,0.0,1.0710154472436373e-32,0.0,2.3663088213896866e-62,1.3968857082638664e-18,1.3648145442044049e-18,0.0,6.536692789530676e-23,0.0,1.4031726824564644e-20,0.0,2.1028739569084256e-26,0.0,3.4757636905266855e-23,0.0,8.499098554610457e-53,1.4527452836625753e-18,1.424516298382908e-18,0.0,1.8669870772854135e-32,0.0,1.2162106218518911e-20,0.0,4.867307143426514e-36,0.0,1.0710154472436373e-32,0.0,2.3663088213896866e-62,1.7494331474596547e-22,3.6485852621754217e-19
1.3411715935815676e-05,2.001250860922942e-18,1.964981670546726e-18,0.0,2.5661856144801787e-32,0.0,1.5810335312615727e-20,0.0,6.67508267811597e-36,0.0,1.4430139588817572e-32,0.0,3.482543755150313e-62,1.9282402691516456e-18,1.8867177038587048e-18,0.0,9.003424028762575e-23,0.0,1.834399011154106e-20,0.0,2.8909073563250803e-26,0.0,4.693266216352099e-23,0.0,1.2537696419571434e-52,2.001250860922942e-18,1.964981670546726e-18,0.0,2.5661856144801787e-32,0.0,1.5810335312615727e-20,0.0,6.67508267811597e-36,0.0,1.4430139588817572e-32,0.0,3.482543755150313e-62,1.7494331474596547e-22,3.6485852621754217e-19
1.4822238413755226e-05,2.7464463648753437e-18,2.7000802204228344e-18,0.0,3.511456017219074e-32,0.0,2.0445153069614176e-20,0.0,9.108340172061305e-36,0.0,1.9346277955654841e-32,0.0,5.103230920259255e-62,2.651840292886306e-18,2.598343797165538e-18,0.0,1.2346157774557412e-22,0.0,2.3859534594975118e-20,0.0,3.954657869184303e-26,0.0,6.306418575976134e-23,0.0,1.8417405603895085e-52,2.7464463648753437e-18,2.7000802204228344e-18,0.0,3.511456017219074e-32,0.0,2.0445153069614176e-20,0.0,9.108340172061305e-36,0.0,1.9346277955654841e-32,0.0,5.103230920259255e-62,1.7494331474596547e-22,3.6485852621754217e-19
1.638110683566602e-05,3.7538504997267075e-18,3.694912477613124e-18,0.0,4.7815600116596007e-32,0.0,2.6287708458577865e-20,0.0,1.2360516685480157e-35,0.0,2.5802922543309333e-32,0.0,7.443156590165213e-62,3.632416007556278e-18,3.5638756868580014e-18,0.0,1.6848342401791248e-22,0.0,3.086103494242159e-20,0.0,5.38063029291048e-26,0.0,8.430693616520382e-23,0.0,2.6930483643327023e-52,3.7538504997267075e-18,3.694912477613124e-18,0.0,4.7815600116596007e-32,0.0,2.6287708458577865e-20,0.0,1.2360516685480157e-35,0.0,2.5802922543309333e-32,0.0,7.443156590165213e-62,1.7494331474596547e-22,3.6485852621754217e-19
1.8103922880668237e-05,5.108342297889633e-18,5.033941070653364e-18,0.0,6.476435351070414e-32,0.0,3.358832830602271e-20,0.0,1.667309285998621e-35,0.0,3.422692413263781e-32,0.0,1.080049532875521e-61,4.954088629931415e-18,4.8668377596454846e-18,0.0,2.287087183309716e-22,0.0,3.967382834651278e-20,0.0,7.277375913019496e-26,0.0,1.120972244563101e-22,0.0,3.91811339145047e-52,5.108342297889633e-18,5.033941070653364e-18,0.0,6.476435351070414e-32,0.0,3.358832830602271e-20,0.0,1.667309285998621e-35,0.0,3.422692413263781e-32,0.0,1.080049532875521e-61,1.7494331474596547e-22,3.6485852621754217e-19
2.000792907079887e-05,6.918643888412566e-18,6.825483998070262e-18,0.0,8.720867548472993e-32,0.0,4.2621784949049193e-20,0.0,2.2342023880928195e-35,0.0,4.5139910746473385e-32,0.0,1.5584301334728794e-61,6.724955175815224e-18,6.614845757613554e-18,0.0,3.086506821966403e-22,0.0,5.0658758115468184e-20,0.0,9.77797938279147e-26,0.0,1.4820033605466875e-22,0.0,5.668970709317642e-52,6.918643888412566e-18,6.825483998070262e-18,0.0,8.720867548472993e-32,0.0,4.2621784949049193e-20,0.0,2.2342023880928195e-35,0.0,4.5139910746473385e-32,0.0,1.5584301334728794e-61,1.7494331474596547e-22,3.6485852621754217e-19
2.211218133996718e-05,9.322189685174389e-18,9.206344482849336e-18,0.0,1.1668232330166092e-31,0.0,5.3683825057368366e-20,0.0,2.972616204986651e-35,0.0,5.9167347735742e-32,0.0,2.234862879219733e-61,9.082104473665397e-18,8.944054437575782e-18,0.0,4.1388349293109656e-22,0.0,6.42150894307995e-20,0.0,1.3045134612789757e-25,0.0,1.9473652430168258e-22,0.0,8.15244538759531e-52,9.322189685174389e-18,9.206344482849336e-18,0.0,1.1668232330166092e-31,0.0,5.3683825057368366e-20,0.0,2.972616204986651e-35,0.0,5.9167347735742e-32,0.0,2.234862879219733e-61,1.7494331474596547e-22,3.6485852621754217e-19
2.443773975214677e-05,1.2489997420661015e-17,1.2347360753048671e-17,0.0,1.550179228643537e-31,0.0,6.706594684614019e-20,0.0,3.924288297541629e-35,0.0,7.704938332738566e-32,0.0,3.183100238693268e-61,1.2196682844194079e-17,1.2025278854843365e-17,0.0,5.510784525790234e-22,0.0,8.074492746406383e-20,0.0,1.726818754486238e-25,0.0,2.5422969624931116e-22,0.0,1.1644985193485852e-51,1.2489997420661015e-17,1.2347360753048671e-17,0.0,1.550179228643537e-31,0.0,6.706594684614019e-20,0.0,3.924288297541629e-35,0.0,7.704938332738566e-32,0.0,3.183100238693268e-61,1.7494331474596547e-22,3.6485852621754217e-19
2.700787927757383e-05,1.663085047217517e-17,1.645727307073638e-17,0.0,2.0435896380417563e-31,0.0,8.304575546147884e-20,0.0,5.137137233725656e-35,0.0,9.963748291720065e-32,0.0,4.4996996373292376e-61,1.627830746269528e-17,1.6067920198925517e-17,0.0,7.280589718766007e-22,0.0,1.006438344632284e-19,0.0,2.2665129242972984e-25,0.0,3.295951859127611e-22,0.0,1.6509976750758028e-51,1.663085047217517e-17,1.645727307073638e-17,0.0,2.0435896380417563e-31,0.0,8.304575546147884e-20,0.0,5.137137233725656e-35,0.0,9.963748291720065e-32,0.0,4.4996996373292376e-61,1.7494331474596547e-22,3.6485852621754217e-19
2.984832273647246e-05,2.1993797650692276e-17,2.178552519026484e-17,0.0,2.6714272080485296e-31,0.0,1.0186543802821911e-19,0.0,6.664644132152313e-35,0.0,1.2788304567896773e-31,0.0,6.308696570376827e-61,2.1577791225679034e-17,2.1323067591632548e-17,0.0,9.53736404825688e-22,0.0,1.2427239003381109e-19,0.0,2.9479533466202204e-25,0.0,4.2410502675678335e-22,0.0,2.3215929140541095e-51,2.1993797650692276e-17,2.178552519026484e-17,0.0,2.6714272080485296e-31,0.0,1.0186543802821911e-19,0.0,6.664644132152313e-35,0.0,1.2788304567896773e-31,0.0,6.308696570376827e-61,1.7494331474596547e-22,3.6485852621754217e-19
3.298749824168555e-05,2.886794990354503e-17,2.8622262906305234e-17,0.0,3.460653857543096e-31,0.0,1.23714649362278e-19,0.0,8.565106261190167e-35,0.0,1.6281017729539207e-31,0.0,8.766457766137921e-61,2.838707716826492e-17,2.8083672815262193e-17,0.0,1.2379773757679667e-21,0.0,1.5193240139983717e-19,0.0,3.797686951761993e-25,0.0,5.412960383818092e-22,0.0,3.2355260604002806e-51,2.886794990354503e-17,2.8622262906305234e-17,0.0,3.460653857543096e-31,0.0,1.23714649362278e-19,0.0,8.565106261190167e-35,0.0,1.6281017729539207e-31,0.0,8.766457766137921e-61,1.7494331474596547e-22,3.6485852621754217e-19
