Energy,Flux Value,Flux Error,Is Upper Limit
1.5095185772444614e-06,1.41e-15,1.2e-16,0.0
1.5880962566078716e-06,1.536e-15,0.0,0.0
3.4863675633344683e-06,2.0569e-15,0.0,0.0
5.7072209221845385e-06,5.4e-15,0.0,0.0
5.7899342688828654e-06,3.416e-15,6.86e-16,0.0
5.7899342688828654e-06,3.248e-15,6.44e-16,0.0
5.7899342688828654e-06,3.248e-15,6.44e-16,0.0
5.7899342688828654e-06,3.416e-15,6.86e-16,0.0
5.7899342688828654e-06,3.248e-15,0.0,0.0
5.7899342688828654e-06,3.164e-15,0.0,0.0
5.7899342688828654e-06,3.416e-15,9.8e-17,0.0
5.7899342688828654e-06,3.164e-15,0.0,0.0
5.7899342688828654e-06,9.14e-15,0.0,0.0
5.7899342688828654e-06,9.142e-15,0.0,0.0
5.7899342688828654e-06,3.42e-15,1.02e-16,0.0
5.7899342688828654e-06,3.2437e-15,2.002e-18,0.0
5.7899342688828654e-06,3.4169e-15,1.0266e-16,0.0
6.199365335039582e-06,3.3877e-15,0.0,0.0
6.199365335039582e-06,3.4777e-15,0.0,0.0
6.199365335039582e-06,3.5826e-15,0.0,0.0
6.203501002374499e-06,3.45e-15,0.0,0.0
6.203501002374499e-06,3.48e-15,0.0,0.0
9.512034870307564e-06,5.52e-15,3.45e-16,0.0
1.2407002004748997e-05,7.53e-15,0.0,0.0
1.2407002004748997e-05,7.5e-15,0.0,0.0
1.9851203207598396e-05,1.2576e-14,3.84e-16,0.0
1.9851203207598396e-05,1.104e-14,3.36e-16,0.0
1.9975273227645886e-05,2.18e-14,0.0,0.0
2.0057986574344214e-05,1.5714e-14,1.4065e-15,0.0
2.0057986574344214e-05,2.03e-14,3.05e-15,0.0
2.0057986574344214e-05,2.06e-14,2.72e-15,0.0
2.0057986574344214e-05,1.5908e-14,1.94e-17,0.0
2.0202734931066285e-05,1.5827e-14,3.1752e-15,0.0
2.0202734931066285e-05,1.5827e-14,3.1752e-15,0.0
2.0202734931066285e-05,1.5827e-14,3.1752e-15,0.0
2.0202734931066285e-05,1.5827e-14,3.1752e-15,0.0
2.0202734931066285e-05,1.5827e-14,3.1752e-15,0.0
2.0223413267740866e-05,1.72e-14,0.0,0.0
2.067833667458166e-05,1.34e-14,0.0,0.0
2.067833667458166e-05,1.03e-14,0.0,0.0
2.067833667458166e-05,2.095e-14,0.0,0.0
2.067833667458166e-05,1.755e-14,0.0,0.0
2.067833667458166e-05,1.8e-14,0.0,0.0
2.067833667458166e-05,1.03e-14,0.0,0.0
2.4814004009497995e-05,2.52e-14,0.0,0.0
2.4814004009497995e-05,2.55e-14,0.0,0.0
3.184463847885576e-05,1.386e-14,5.39e-16,0.0
3.308533867933066e-05,2.608e-14,0.0,0.0
3.473960561329719e-05,2.7384e-14,5.46e-15,0.0
3.473960561329719e-05,2.6796e-14,5.376e-15,0.0
3.473960561329719e-05,2.7384e-14,5.46e-15,0.0
3.473960561329719e-05,2.7418e-14,0.0,0.0
3.473960561329719e-05,2.7384e-14,5.46e-15,0.0
3.473960561329719e-05,2.7384e-14,5.46e-15,0.0
3.473960561329719e-05,2.74e-14,0.0,0.0
3.473960561329719e-05,2.7384e-14,0.0,0.0
3.473960561329719e-05,2.7384e-14,5.46e-15,0.0
3.498774565339217e-05,2.7613e-14,3.384e-17,0.0
3.5153172346788825e-05,2.771e-14,0.0,0.0
4.6319474151062924e-05,1.792e-14,5.6e-16,0.0
4.962800801899599e-05,2.976e-14,0.0,0.0
6.203501002374499e-05,3.345e-14,0.0,0.0
6.203501002374499e-05,3.67e-14,6e-16,0.0
6.203501002374499e-05,3.675e-14,6e-16,0.0
6.203501002374499e-05,4.89e-14,0.0,0.0
6.203501002374499e-05,4.89e-14,0.0,0.0
6.203501002374499e-05,3.34e-14,0.0,0.0
8.974398116768441e-05,2.387e-14,1.736e-15,0.0
0.00011745295231162385,1.3244e-13,3.24e-14,0.0
0.0001530196913919043,1.813e-13,3.33e-14,0.0
0.0001530196913919043,1.665e-13,2.96e-14,0.0
0.00041356673349163324,3.9763e-13,7.1044e-14,0.0
0.0005914004288930355,3.6146e-13,5.6775e-14,0.0
0.0008974398116768441,6.6696e-13,7.75e-14,0.0
0.0014598905692254653,1.174e-12,3.6422e-13,0.0
0.002253938697529401,2.1126e-12,5.1934e-13,0.0
0.056121005734814634,8.7262e-12,2.7142e-13,0.0
0.056121005734814634,8.5497e-12,2.3071e-13,0.0
0.056121005734814634,8.5362e-12,2.5785e-13,0.0
0.05636914577490961,8.7384e-12,4.1036e-13,0.0
0.05636914577490961,8.5553e-12,3.9143e-13,0.0
0.10330897002620998,8.1042e-12,1.7579e-13,0.0
0.10330897002620998,8.1266e-12,1.8175e-13,0.0
0.1072378539943805,8.4026e-12,1.2967e-13,0.0
0.1072378539943805,8.4285e-12,1.2967e-13,0.0
0.1072378539943805,8.4026e-12,1.556e-13,0.0
0.2695214402164974,1.1535e-11,1.9552e-13,0.0
0.2695214402164974,1.3621e-11,3.2357e-13,0.0
0.2695214402164974,1.3621e-11,2.6069e-13,0.0
0.2695214402164974,1.1518e-11,2.7363e-13,0.0
0.2695214402164974,1.1535e-11,1.9552e-13,0.0
0.36464178891957305,1.3678e-11,3.4483e-13,0.0
0.36464178891957305,1.144e-11,2.9694e-13,0.0
0.37010086980166257,1.3871e-11,2.6847e-13,0.0
0.37010086980166257,1.1634e-11,1.7898e-13,0.0
0.37010086980166257,1.1634e-11,2.6847e-13,0.0
0.5632778910156044,4.3723e-12,1.3621e-14,0.0
0.5632778910156044,7.9002e-12,1.3621e-14,0.0
0.5632778910156044,4.7946e-13,8.1726e-15,0.0
0.5632778910156044,4.3723e-12,1.3621e-14,0.0
0.5632778910156044,7.9002e-12,1.3621e-14,0.0
0.5632778910156044,3.3916e-12,1.3621e-14,0.0
0.5632778910156044,7.3417e-12,1.3621e-14,0.0
0.5632778910156044,3.3916e-12,1.3621e-14,0.0
0.5661728581500459,1.8754e-11,0.0,0.0
0.5661728581500459,1.8754e-11,2.7378e-13,0.0
0.5661728581500459,1.9028e-11,2.7378e-13,0.0
0.5661728581500459,1.8891e-11,0.0,0.0
0.5707220922184538,1.94e-11,3.21e-13,0.0
0.5732034926194037,1.9674e-11,0.0,0.0
0.5732034926194037,1.9674e-11,2.771e-13,0.0
0.5732034926194037,1.9674e-11,0.0,0.0
