Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
8368421052.631578,1.4481705416079762e-30,1.4481705416079762e-30,6.558838978340111e-21
9248535577.58042,1.768689359660712e-30,1.768689359660712e-30,8.010518700404927e-21
10221212555.129843,2.1601292201076657e-30,2.1601292201076657e-30,9.783424100540339e-21
11296186863.399183,2.6381752709622235e-30,2.6381752709622235e-30,1.1948603933909328e-20
12484217206.576946,3.221978482813974e-30,3.221978482813974e-30,1.4592808258074385e-20
13797193791.648441,3.934920105217573e-30,3.934920105217573e-30,1.7821952615511327e-20
15248257329.583733,4.8055441439703744e-30,4.8055441439703744e-30,2.1765344025309422e-20
16851930551.989777,5.8686945245951584e-30,5.8686945245951584e-30,2.6580835207599515e-20
18624263559.489597,7.16690149022595e-30,7.16690149022595e-30,3.2461109326602806e-20
20582994456.52395,8.752071306791135e-30,8.752071306791135e-30,3.964134090719826e-20
22747726880.262535,1.0687544833156081e-29,1.0687544833156081e-29,4.8408530928079847e-20
25140126200.393837,1.305060432809501e-29,1.305060432809501e-29,5.911287713936315e-20
27784136353.426903,1.5935524433503534e-29,1.5935524433503534e-29,7.218161637737491e-20
30706219481.65578,1.9457283073796712e-29,1.9457283073796712e-29,8.813586631720993e-20
33935620775.173862,2.3756071578111356e-29,2.3756071578111356e-29,1.0761110225719229e-19
37504661167.5659,2.9002771243913006e-29,2.9002771243913006e-29,1.3138203297182898e-19
41449060814.674904,3.540559038813365e-29,3.540559038813365e-29,1.603927666244701e-19
45808296593.92763,4.3218036265709804e-29,4.3218036265709804e-29,1.957930974187244e-19
50625997202.19255,5.27487470481405e-29,5.27487470481405e-29,2.3898320805626507e-19
55950379806.442314,6.43731759651805e-29,6.43731759651805e-29,2.9166692210849946e-19
61834732617.36702,7.854784167219435e-29,7.854784167219435e-29,3.559166535802152e-19
68337948215.697716,9.58272758596174e-29,9.58272758596174e-29,4.342508199769409e-19
75525112968.9487,1.168845949988035e-28,1.168845949988035e-28,5.297278558942882e-19
83468158437.66005,1.4253583085023766e-28,1.4253583085023766e-28,6.460576969842895e-19
92246581290.63237,1.7376692353930785e-28,1.7376692353930785e-28,7.877267392162975e-19
101948238934.30801,2.1175363105809074e-28,2.1175363105809074e-28,9.600967038900492e-19
112670228819.22467,2.5789647459094932e-28,2.5789647459094932e-28,1.169568850452897e-18
124519860223.93584,3.138622108870353e-28,3.138622108870353e-28,1.4237787410281956e-18
137615728242.3385,3.8163160078035e-28,3.8163160078035e-28,1.731822523073725e-18
152088900723.23407,4.635661351253588e-28,4.635661351253588e-28,2.1045663785520527e-18
168084230041.41257,5.624752793506042e-28,5.624752793506042e-28,2.5549662184611505e-18
185761802828.9063,6.81714354997466e-28,6.81714354997466e-28,3.0985211679609393e-18
205298542175.80984,8.252821718920494e-28,8.252821718920494e-28,3.7537371905852756e-18
226889978336.03183,9.97946721892177e-28,9.97946721892177e-28,4.542718100931674e-18
250752205659.79614,1.2053964627585326e-27,1.2053964627585326e-27,5.491876776850942e-18
277124045338.5304,1.4544305250235153e-27,1.4544305250235153e-27,6.632823899210238e-18
306269435607.62103,1.7529886004352773e-27,1.7529886004352773e-27,8.002620199824882e-18
338480073328.98505,2.109686468072191e-27,2.109686468072191e-27,9.64202526730851e-18
374078333391.30695,2.536891978554089e-27,2.536891978554089e-27,1.1608300024323754e-17
413420495146.27893,3.046761911251647e-27,3.046761911251647e-27,1.395912781305579e-17
456900308172.10175,3.656837559900885e-27,3.656837559900885e-27,1.677596145081355e-17
504952933051.6083,4.384309244820695e-27,4.384309244820695e-27,2.0140544398666027e-17
558059296605.6368,5.253866152213821e-27,5.253866152213821e-27,2.4167922298829208e-17
616750905170.3015,6.289703829246996e-27,6.289703829246996e-27,2.8973406605609204e-17
681615164091.0492,7.527176561136187e-27,7.527176561136187e-27,3.472190482521222e-17
753301256672.7877,9.000035167339871e-27,9.000035167339871e-27,4.1574727077220853e-17
832526641424.6044,1.0758563825662076e-26,1.0758563825662076e-26,4.976675765510432e-17
920084232625.6653,1.2850299518433558e-26,1.2850299518433558e-26,5.952536730947042e-17
1016850336077.8347,1.534422976383664e-26,1.534422976383664e-26,7.117457372871576e-17
1123793419468.671,1.8306866421448053e-26,1.8306866421448053e-26,8.503280528183605e-17
1241983805121.562,2.1836455194742046e-26,2.1836455194742046e-26,1.0156156083029348e-16
1372604382141.2837,2.602577447476796e-26,2.602577447476796e-26,1.2120525554420262e-16
1516962445165.739,3.1010699759808404e-26,3.1010699759808404e-26,1.4460429650787115e-16
1676502778210.1,3.6919007055353294e-26,3.6919007055353294e-26,1.7237161001120423e-16
1852822114550.8293,4.3940221671321654e-26,4.3940221671321654e-26,2.0540185373980016e-16
2047685117369.002,5.225078607883322e-26,5.225078607883322e-26,2.4454133537959926e-16
2263042041092.5415,6.21147134927831e-26,6.21147134927831e-26,2.9103757690958483e-16
2501048250198.031,7.377560841578158e-26,7.377560841578158e-26,3.4605755322930195e-16
2764085790822.851,8.759980885217477e-26,8.759980885217477e-26,4.1133354337129167e-16
3054787231083.5415,1.0392380469655707e-25,1.0392380469655707e-25,4.884732232064094e-16
3376062008702.362,1.232567029692722e-25,1.232567029692722e-25,5.798831179907885e-16
3731125549637.9067,1.4606412325747716e-25,1.4606412325747716e-25,6.877783078661308e-16
4123531449148.829,1.7305036443637314e-25,1.7305036443637314e-25,8.154857345021047e-16
4557207037369.62,2.0484813246379942e-25,2.0484813246379942e-25,9.660052891950634e-16
5036492685350.583,2.424188045604618e-25,2.424188045604618e-25,1.1438785934781755e-15
5566185244950.186,2.8662609252574396e-25,2.8662609252574396e-25,1.3531771339571621e-15
6151586057340.723,3.387864477974095e-25,3.387864477974095e-25,1.600110438553352e-15
6798554010612.599,4.0007353863404025e-25,4.0007353863404025e-25,1.8901717327546015e-15
7513564177495.605,4.722841304569075e-25,4.722841304569075e-25,2.231816412564696e-15
8303772620063.114,5.570088324005181e-25,5.570088324005181e-25,2.6324229308888973e-15
9177088010006.572,6.566951947027132e-25,6.566951947027132e-25,3.103470257370742e-15
10142250781279.99,7.734946726076057e-25,7.734946726076057e-25,3.654829544989284e-15
11208920607300.656,9.107329909521949e-25,9.107329909521949e-25,4.302029279824222e-15
12387773078207.52,1.0713079278368582e-24,1.0713079278368582e-24,5.058194100537273e-15
13690606545755.389,1.2597221053778209e-24,1.2597221053778209e-24,5.944234241734242e-15
15130460205184.95,1.4798482341968197e-24,1.4798482341968197e-24,6.977432717998428e-15
16721744595871.31,1.7377402958902144e-24,1.7377402958902144e-24,8.1857344406598e-15
18480385826845.59,2.038543197993977e-24,2.038543197993977e-24,9.59171084362038e-15
20423984970647.137,2.3903866642171034e-24,2.3903866642171034e-24,1.1232611991824428e-14
22571994220773.316,2.800060584864787e-24,2.800060584864787e-24,1.3137648060261407e-14
24945911575770.25,3.27843360570744e-24,3.27843360570744e-24,1.535620672127784e-14
27569495998427.926,3.8343780198051155e-24,3.8343780198051155e-24,1.7925618060748423e-14
30469005203465.523,4.4823530107881206e-24,4.4823530107881206e-24,2.091099034092985e-14
33673458453565.668,5.233797918503396e-24,5.233797918503396e-24,2.4359256567573034e-14
37214926993909.336,6.107827339393136e-24,6.107827339393136e-24,2.835566371888273e-14
41128855031976.96,7.118914224383608e-24,7.118914224383608e-24,3.295789622851453e-14
45454414475090.18,8.292166676569976e-24,8.292166676569976e-24,3.827682268936864e-14
50234896976026.5,9.645453854533917e-24,9.645453854533917e-24,4.438126683510446e-14
55518147210430.76,1.121136715868859e-23,1.121136715868859e-23,5.1413760743768363e-14
61357041722410.695,1.3011053622746407e-23,1.3011053622746407e-23,5.945228289577584e-14
67810018130762.42,1.5086280744674447e-23,1.5086280744674447e-23,6.867784782315384e-14
74941659992300.98,1.7460577191320022e-23,1.7460577191320022e-23,7.917197318799574e-14
82823343175804.44,2.0186658900842527e-23,2.0186658900842527e-23,9.116129069849865e-14
