Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
8.037342618832202e-06,4.768332909893104e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.768332909893104e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.768332909893104e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0943598987214832e-20,7.618893086215335e-19
8.882637320943294e-06,2.966118225424928e-18,2.9477716877736377e-18,0.0,6.773066559340766e-32,0.0,1.0413278065597074e-20,0.0,1.6933342603834637e-35,0.0,2.6261563302474585e-32,0.0,4.3360652107783995e-63,2.8013975218448385e-18,2.7770756631306536e-18,0.0,2.394109753782041e-22,0.0,1.3047282636017171e-20,0.0,6.847337382137916e-26,0.0,9.006024668630197e-23,0.0,1.8632580515731316e-53,2.966118225424928e-18,2.9477716877736377e-18,0.0,6.773066559340766e-32,0.0,1.0413278065597074e-20,0.0,1.6933342603834637e-35,0.0,2.6261563302474585e-32,0.0,4.3360652107783995e-63,1.0943598987214832e-20,7.618893086215335e-19
9.816832442919926e-06,4.0664570709250466e-18,4.043862156805657e-18,0.0,9.284266690415989e-32,0.0,1.3626890733604287e-20,0.0,2.3207493687996105e-35,0.0,3.581239669515683e-32,0.0,6.356493034163328e-63,3.852613837329415e-18,3.822071512849775e-18,0.0,3.2924019845140023e-22,0.0,1.7174340632448238e-20,0.0,9.414217928604325e-26,0.0,1.2321256976999112e-22,0.0,2.7403336971254995e-53,4.0664570709250466e-18,4.043862156805657e-18,0.0,9.284266690415989e-32,0.0,1.3626890733604287e-20,0.0,2.3207493687996105e-35,0.0,3.581239669515683e-32,0.0,6.356493034163328e-63,1.0943598987214832e-20,7.618893086215335e-19
1.0849277723536594e-05,5.567632082171187e-18,5.539942714372593e-18,0.0,1.2707009829240016e-31,0.0,1.7793424962129058e-20,0.0,3.175605237242229e-35,0.0,4.874952661164342e-32,0.0,9.304744743858015e-63,5.291183063644613e-18,5.252969100251509e-18,0.0,4.520668067116262e-22,0.0,2.2558573231829688e-20,0.0,1.2922269938648074e-25,0.0,1.6826342228370813e-22,0.0,4.0242627332577416e-53,5.567632082171187e-18,5.539942714372593e-18,0.0,1.2707009829240016e-31,0.0,1.7793424962129058e-20,0.0,3.175605237242229e-35,0.0,4.874952661164342e-32,0.0,9.304744743858015e-63,1.0943598987214832e-20,7.618893086215335e-19
1.1990306222178627e-05,7.611885122931857e-18,7.578092530553572e-18,0.0,1.7361942116293316e-31,0.0,2.3179772903799496e-20,0.0,4.3376998726959615e-35,0.0,6.623059243525371e-32,0.0,1.3598384457457505e-62,7.256103782691054e-18,7.208420504122252e-18,0.0,6.196319307991326e-22,0.0,2.956251497654221e-20,0.0,1.7705191797992801e-25,0.0,2.2932916612772224e-22,0.0,5.899934383993473e-53,7.611885122931857e-18,7.578092530553572e-18,0.0,1.7361942116293316e-31,0.0,2.3179772903799496e-20,0.0,4.3376998726959615e-35,0.0,6.623059243525371e-32,0.0,1.3598384457457505e-62,1.0943598987214832e-20,7.618893086215335e-19
1.3251337735573323e-05,1.0390028430931541e-17,1.0348940207098862e-17,0.0,2.3677282555348564e-31,0.0,3.012104209999335e-20,0.0,5.913469863999092e-35,0.0,8.978853172246533e-32,0.0,1.9837714881328896e-62,9.934336966085632e-18,9.874966197241365e-18,0.0,8.476583040754207e-22,0.0,3.8644436406363356e-20,0.0,2.4209071175866906e-25,0.0,3.118759555799697e-22,0.0,8.633889551479447e-53,1.0390028430931541e-17,1.0348940207098862e-17,0.0,2.3677282555348564e-31,0.0,3.012104209999335e-20,0.0,5.913469863999092e-35,0.0,8.978853172246533e-32,0.0,1.9837714881328896e-62,1.0943598987214832e-20,7.618893086215335e-19
1.464499309095401e-05,1.4157081336922698e-17,1.410730565149336e-17,0.0,3.222223115908935e-31,0.0,3.903509088918159e-20,0.0,8.044181950895588e-35,0.0,1.214435648401251e-31,0.0,2.888259201163888e-62,1.3576396324388582e-17,1.3502619014768472e-17,0.0,1.1570993355594964e-21,0.0,5.037963890800544e-20,0.0,3.302716109351317e-25,0.0,4.2312699740743134e-22,0.0,1.2608930023042766e-52,1.4157081336922698e-17,1.410730565149336e-17,0.0,3.222223115908935e-31,0.0,3.903509088918159e-20,0.0,8.044181950895588e-35,0.0,1.214435648401251e-31,0.0,2.888259201163888e-62,1.0943598987214832e-20,7.618893086215335e-19
1.618522045954118e-05,1.9252465673918585e-17,1.9192402570420466e-17,0.0,4.374933738233482e-31,0.0,5.0438776306962373e-20,0.0,1.0916273338129078e-34,0.0,1.6384394107124078e-31,0.0,4.1959580487509445e-62,1.851652844939752e-17,1.8425038038435638e-17,0.0,1.57572671640002e-21,0.0,6.548456590860138e-20,0.0,4.494379071480135e-25,0.0,5.725757184824896e-22,0.0,1.8372501726416003e-52,1.9252465673918585e-17,1.9192402570420466e-17,0.0,4.374933738233482e-31,0.0,5.0438776306962373e-20,0.0,1.0916273338129078e-34,0.0,1.6384394107124078e-31,0.0,4.1959580487509445e-62,1.0943598987214832e-20,7.618893086215335e-19
1.7887434954527846e-05,2.612583977139015e-17,2.6053681336391303e-17,0.0,5.924745308365067e-31,0.0,6.496537333651202e-20,0.0,1.4774201422483013e-34,0.0,2.204405252139923e-31,0.0,6.081020684696007e-62,2.519858428916542e-17,2.5085394104440325e-17,0.0,2.140119022041305e-21,0.0,8.484307487656975e-20,0.0,6.098891988529854e-25,0.0,7.726239874016324e-22,0.0,2.670377061984749e-52,2.612583977139015e-17,2.6053681336391303e-17,0.0,5.924745308365067e-31,0.0,6.496537333651202e-20,0.0,1.4774201422483013e-34,0.0,2.204405252139923e-31,0.0,6.081020684696007e-62,1.0943598987214832e-20,7.618893086215335e-19
1.9768672910713998e-05,3.5369763649306233e-17,3.528350941330328e-17,0.0,8.000671773718445e-31,0.0,8.338212240611292e-20,0.0,1.993610211323842e-34,0.0,2.9569995706088805e-31,0.0,8.789408541692822e-62,3.420880432137849e-17,3.406915479560529e-17,0.0,2.8981075868655854e-21,0.0,1.0953350608000129e-19,0.0,8.2504559749290285e-25,0.0,1.0393634774974536e-21,0.0,3.870570004508944e-52,3.5369763649306233e-17,3.528350941330328e-17,0.0,8.000671773718445e-31,0.0,8.338212240611292e-20,0.0,1.993610211323842e-34,0.0,2.9569995706088805e-31,0.0,8.789408541692822e-62,1.0943598987214832e-20,7.618893086215335e-19
