Energy,Flux Value,Flux Error,Is Upper Limit
3.0521224931682534e-07,1.55e-15,1.7e-16,0.0
3.060393827838086e-07,1.554e-15,1.702e-16,0.0
3.308533867933066e-07,4.8e-15,0.0,0.0
6.244857675723662e-07,2.34e-15,0.0,0.0
6.244857675723662e-07,2.08e-15,1.04e-16,0.0
1.3151422125033937e-06,5.9784e-15,5.406e-16,0.0
1.3151422125033937e-06,5.98e-15,5.41e-16,0.0
1.5095185772444614e-06,4.22e-15,1.64e-16,0.0
1.5095185772444614e-06,4.526e-15,4.38e-16,0.0
1.5095185772444614e-06,4.53e-15,4.38e-16,0.0
1.5880962566078716e-06,4.6733e-15,0.0,0.0
1.6873522726458637e-06,4.9776e-15,5.712e-16,0.0
1.6873522726458637e-06,4.81e-15,2.41e-16,0.0
1.6873522726458637e-06,5.7936e-15,8.568e-16,0.0
1.6873522726458637e-06,4.8144e-15,0.0,0.0
1.6873522726458637e-06,4.98e-15,5.71e-16,0.0
1.778336954014023e-06,6.84e-15,3.87e-16,0.0
1.778336954014023e-06,6.837e-15,3.87e-16,0.0
3.1017505011872493e-06,9.9e-15,7.5e-16,0.0
3.1017505011872493e-06,9.9e-15,7.5e-16,0.0
5.703085254849622e-06,1.4342e-14,6.895e-16,0.0
5.7072209221845385e-06,1.9e-14,0.0,0.0
5.7072209221845385e-06,1.43e-14,6.9e-16,0.0
5.7072209221845385e-06,1.43e-14,6.9e-16,0.0
5.7899342688828654e-06,2.362e-14,7.0863e-16,0.0
5.7899342688828654e-06,1.86e-14,0.0,0.0
5.7899342688828654e-06,2.06e-14,0.0,0.0
5.7899342688828654e-06,2.26e-14,0.0,0.0
5.7899342688828654e-06,2.36e-14,7.08e-16,0.0
5.7899342688828654e-06,2.1089e-14,4.508e-18,0.0
5.7899342688828654e-06,5.5258e-16,4.606e-18,0.0
5.7899342688828654e-06,2.2554e-14,0.0,0.0
5.7899342688828654e-06,9.24e-16,0.0,0.0
5.7899342688828654e-06,2e-14,1e-15,0.0
5.8312909422320285e-06,1.62e-14,1.41e-16,0.0
5.8312909422320285e-06,1.6215e-14,1.41e-16,0.0
6.120787655676172e-06,1.56e-14,7.42e-16,0.0
6.120787655676172e-06,2.22e-14,1.184e-15,0.0
6.137330325015837e-06,1.5582e-14,7.42e-16,0.0
6.906564449310275e-06,1.503e-14,3.507e-15,0.0
9.305251503561748e-06,3.04e-14,0.0,0.0
