Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
15750000000.0,9.367979412080133e-23,2.4002680635793167e-23,1.0133464570755354e-22
17406441959.691452,1.1441041828030338e-22,2.9314162612032385e-23,1.2375928186136843e-22
19237093441.022675,1.3972684306742082e-22,3.580054199989597e-23,1.511444695822159e-22
21260276219.322052,1.7064277868112636e-22,4.372151457575688e-23,1.8458676744157608e-22
23496238987.850006,2.0839572092744277e-22,5.339409797706808e-23,2.2542481248804695e-22
25967360013.52702,2.5449622493534193e-22,6.520524947095811e-23,2.752926231528064e-22
28698371106.15052,3.1078797146430457e-22,7.962724591545547e-23,3.3618457788712774e-22
31716605142.660007,3.795209645291723e-22,9.723642380063621e-23,4.1053459990285574e-22
35052269623.75637,4.634406945351837e-22,1.1873600361811602e-22,5.01312614577062e-22
38738749000.72196,5.658966964315132e-22,1.4498387449294112e-22,6.121419903837559e-22
42812938798.22996,6.909746453502704e-22,1.7702639646794695e-22,7.474424459234359e-22
47315614877.15633,8.43656982688552e-22,2.161394939901632e-22,9.12603826315043e-22
52291841533.10063,1.030018075305134e-21,2.63878570336898e-22,1.1141972454521586e-21
57791422515.0031,1.257461102298448e-21,3.2213907446082833e-22,1.3602313812652473e-21
63869399477.803635,1.5350052605927802e-21,3.93229904421975e-22,1.6604632241180122e-21
70586602857.82451,1.873633503353407e-21,4.799622399447819e-22,2.026774336855754e-21
78010260684.22305,2.286712326886843e-21,5.857567116303666e-22,2.4736251004842197e-21
86214671419.70341,2.7904918149594443e-21,7.147708757856015e-22,3.0185958793516045e-21
95281947564.5039,3.4047250665797836e-21,8.720572661406115e-22,3.683057329645225e-21
105302837465.89851,4.153394008341046e-21,1.0637481411243287e-21,4.4929560121767624e-21
116377633558.15775,5.065594123025086e-21,1.297280665377479e-21,5.4797720211976396e-21
128617176122.94052,6.176570970766924e-21,1.5816600698879058e-21,6.681641177604312e-21
142143962616.08743,7.528974679386487e-21,1.9277779833060757e-21,8.144713275170023e-21
157093373663.3319,9.174315175415974e-21,2.3487805119699893e-21,9.924728150038236e-21
173615027995.1053,1.117448610097756e-20,2.8604493325445135e-21,1.2088667897688433e-20
191874279881.0797,1.3602402202014003e-20,3.4813365154005425e-21,1.471545783047069e-20
212053874051.27664,1.654376382722857e-20,4.233195872060981e-21,1.7897883526548906e-20
234355774666.7472,2.0099056904015832e-20,5.141468661548298e-21,2.1744765006613115e-20
259003186644.77863,2.4385750532492955e-20,6.235810419831329e-21,2.6383348511300536e-20
286242789568.72833,2.9541708195110895e-20,7.550932325718263e-21,3.196300961726814e-20
316347206540.20575,3.572805094389521e-20,9.127276457539405e-21,3.865837391076904e-20
349617732682.70575,4.313409049256157e-20,1.1012230630072551e-20,4.667467298341526e-20
386387350604.4723,5.198130670178021e-20,1.3261059046817957e-20,5.62520825969553e-20
427024063000.3618,6.252885091496262e-20,1.5938215997848397e-20,6.767171456680851e-20
471934575746.5032,7.507999182312587e-20,1.9118877263538812e-20,8.126263779138813e-20
521568368349.40393,8.999067254539308e-20,2.289099955807385e-20,9.74111881901058e-20
576422192487.9283,1.0766096131617592e-19,2.735270261093219e-20,1.1655189314908145e-19
637045043671.0615,1.2847829321461504e-19,3.2596559509048874e-20,1.3910654590090758e-19
704043655769.4882,1.5308744924855975e-19,3.8782130689998375e-20,1.6577489068607056e-19
778088573412.1005,1.8199916220086798e-19,4.6029670324649337e-20,1.971136700760516e-19
859920863022.0217,2.1609575081331163e-19,5.455605093374036e-20,2.340810073495326e-19
950359529658.4515,2.5605251713217473e-19,6.451782693657262e-20,2.7741402683098928e-19
1050309713894.5712,3.030612449915925e-19,7.620549160456514e-20,3.2840789045124004e-19
1160771750768.6335,3.5800552686126715e-19,8.982009290352773e-20,3.8802861127527973e-19
1282851181473.2483,4.225543962471383e-19,1.0576660024848716e-19,4.580907453684116e-19
1417769817983.2185,4.978388684467741e-19,1.2429598843882338e-19,5.398333765758361e-19
1566877971360.4583,5.861768251745118e-19,1.4596763086338535e-19,6.357777040268063e-19
1731667966120.9456,6.890624344868295e-19,1.7110646408777114e-19,7.475633338159017e-19
1913789075920.0757,8.094924777007145e-19,2.0042517921213767e-19,8.784541574139776e-19
2115064030037.7346,9.494230142555403e-19,2.343392011577371e-19,1.0306006468449438e-18
2337507255865.5815,1.1130479549866286e-18,2.7384160300851537e-19,1.208572267474727e-18
2583345039973.454,1.3029357641980256e-18,3.1946485452155274e-19,1.4151980111739736e-18
2855037809533.632,1.5245949181695912e-18,3.724956571404367e-19,1.6564867399816966e-18
3155304757102.971,1.7812956645366415e-18,4.335881861724183e-19,1.93605000199297e-18
