Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
1.5126885400537964e-05,1.5321265497114618e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5321265497114618e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5321265497114618e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1880795629018026e-22,5.40493369704547e-19
1.6717793825737616e-05,8.527319188159235e-17,8.494706139293115e-17,0.0,4.8004595764810465e-22,0.0,2.4577212588871336e-21,0.0,4.139484846136515e-28,0.0,7.351245855217738e-24,0.0,6.23327722475548e-56,8.527228740562621e-17,8.494603839874305e-17,0.0,5.154913753858202e-22,0.0,2.4861087789972485e-21,0.0,4.594655685322012e-28,0.0,7.893822547686207e-24,0.0,6.739827767156586e-56,8.528198914833788e-17,8.495711528873407e-17,0.0,1.3143351031269395e-22,0.0,2.1805219373301517e-21,0.0,7.583077812865025e-29,0.0,2.0132913353418667e-24,0.0,1.5904946923932859e-56,3.1880795629018026e-22,5.40493369704547e-19
1.8476019550589863e-05,1.1462314383312575e-16,1.1418596263196265e-16,0.0,6.469868731398407e-22,0.0,3.0963567968995108e-21,0.0,5.579435733044172e-28,0.0,9.587304909336024e-24,0.0,8.988476609737192e-56,1.1462193958763832e-16,1.1418460022274735e-16,0.0,6.947588933749948e-22,0.0,3.13377164842676e-21,0.0,6.192943946706198e-28,0.0,1.029492106899523e-23,0.0,9.718929555072423e-56,1.1463485749297676e-16,1.1419935307830656e-16,0.0,1.7714063013304781e-22,0.0,2.731018797546476e-21,0.0,1.022084703667978e-28,0.0,2.6256784091390204e-24,0.0,2.293517651602068e-56,3.1880795629018026e-22,5.40493369704547e-19
2.0419159489108967e-05,1.5401916412830413e-16,1.534345951450266e-16,0.0,8.718088131503606e-22,0.0,3.89917884513064e-21,0.0,7.518588407590477e-28,0.0,1.250213696593025e-23,0.0,1.295999735315159e-55,1.5401755957816216e-16,1.534327795341268e-16,0.0,9.361812840997997e-22,0.0,3.948499911482958e-21,0.0,8.345325832501584e-28,0.0,1.3424891981257015e-23,0.0,1.4013196169761603e-55,1.5403477244505802e-16,1.5345244090200583e-16,0.0,2.386950667858073e-22,0.0,3.417597311061772e-21,0.0,1.3773092699635186e-28,0.0,3.4239593540669336e-24,0.0,3.3069035325276953e-56,3.1880795629018026e-22,5.40493369704547e-19
2.2566661238911662e-05,2.0687342902779882e-16,2.0609415859179802e-16,0.0,1.1744878508876657e-21,0.0,4.90802581259886e-21,0.0,1.0129081531934904e-27,0.0,1.630113295106048e-23,0.0,1.8683784958110847e-55,2.0687128974739812e-16,2.0609173771850118e-16,0.0,1.261209629810909e-21,0.0,4.973051147345805e-21,0.0,1.124286711634091e-27,0.0,1.7504285964135658e-23,0.0,2.0202124898600386e-55,2.0689424008118941e-16,2.061179547824863e-16,0.0,3.215660796273512e-22,0.0,4.273123348619289e-21,0.0,1.8555180478670193e-28,0.0,4.4643838072944e-24,0.0,4.767410645243272e-56,3.1880795629018026e-22,5.40493369704547e-19
2.494001771931017e-05,2.7774441452303847e-16,2.7670926301144465e-16,0.0,1.5818460540722235e-21,0.0,6.175308519327154e-21,0.0,1.3641926599846693e-27,0.0,2.125150432618748e-23,0.0,2.69312577387684e-55,2.777415608179397e-16,2.767060337462765e-16,0.0,1.6986465090786535e-21,0.0,6.261048297463912e-21,0.0,1.5141978750884459e-27,0.0,2.2820037198696494e-23,0.0,2.911981959916906e-55,2.7777217695088445e-16,2.767410069487558e-16,0.0,4.330972916327497e-22,0.0,5.3381756708784366e-21,0.0,2.499035599999613e-28,0.0,5.820131868312392e-24,0.0,6.87188625039763e-56,3.1880795629018026e-22,5.40493369704547e-19
2.756298227967288e-05,3.727160006765863e-16,3.7134632768950873e-16,0.0,2.1298716780647705e-21,0.0,7.766655759678431e-21,0.0,1.836687874178142e-27,0.0,2.770072235671288e-23,0.0,3.881230281628648e-55,3.727121924521837e-16,3.713420188453328e-16,0.0,2.28713751168841e-21,0.0,7.879717930564239e-21,0.0,2.0386471643932622e-27,0.0,2.9745263652497017e-23,0.0,4.196635499474238e-55,3.7275305094571267e-16,3.713886859527734e-16,0.0,5.8314193238574735e-22,0.0,6.662786619748165e-21,0.0,3.364617125163464e-28,0.0,7.586363922455123e-24,0.0,9.903551587153309e-56,3.1880795629018026e-22,5.40493369704547e-19
3.0461806430928927e-05,4.998991965623296e-16,4.980942447428733e-16,0.0,2.8668111943728013e-21,0.0,9.764209699404613e-21,0.0,2.471886405944203e-27,0.0,3.610037069328178e-23,0.0,5.592300507280447e-55,4.998941132651097e-16,4.980884945743484e-16,0.0,3.0784915813167218e-21,0.0,9.913307165696538e-21,0.0,2.743688820955681e-27,0.0,3.876488024630162e-23,0.0,6.0467507841827425e-55,4.999486542000714e-16,4.98150774461766e-16,0.0,7.849093996707364e-22,0.0,8.308551261359764e-21,0.0,4.528293959904162e-28,0.0,9.886752947295586e-24,0.0,1.4269704419029326e-55,3.1880795629018026e-22,5.40493369704547e-19
3.366550257951232e-05,6.700947384289897e-16,6.677253195257401e-16,0.0,3.857281782299522e-21,0.0,1.2270723423414773e-20,0.0,3.3253041781352145e-27,0.0,4.7036954987535237e-23,0.0,8.055731785257916e-55,6.700879525689375e-16,6.677176460214614e-16,0.0,4.1420971727611065e-21,0.0,1.2467340208381844e-20,0.0,3.6909417058399354e-27,0.0,5.05086825738582e-23,0.0,8.710362378753631e-55,6.701607637326357e-16,6.678007605493816e-16,0.0,1.0560912099470563e-21,0.0,1.0351172954050799e-20,0.0,6.091803806912411e-28,0.0,1.2881922053114805e-23,0.0,2.055574293148833e-55,3.1880795629018026e-22,5.40493369704547e-19
3.7206134393277766e-05,8.976658272361016e-16,8.945655498205815e-16,0.0,5.1877283725657626e-21,0.0,1.541464419603961e-20,0.0,4.471118948887171e-27,0.0,6.127162928369011e-23,0.0,1.16009980329716e-54,8.976567696110086e-16,8.945553116267877e-16,0.0,5.570782243901694e-21,0.0,1.5673909093198185e-20,0.0,4.9627373944638286e-27,0.0,6.579400557651235e-23,0.0,1.2543714209906797e-54,8.977539597531596e-16,8.946662090276243e-16,0.0,1.420355067514084e-21,0.0,1.2883521177075779e-20,0.0,8.191099988163767e-28,0.0,1.6780323931008283e-23,0.0,2.9602482409408186e-55,3.1880795629018026e-22,5.40493369704547e-19
