Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
2063025210.0840337,9.476598396526638e-29,9.476598396526638e-29,4.834019776149555e-20
2279995465.4417777,1.1573794021658017e-28,1.1573794021658017e-28,5.903798033032283e-20
2519784681.7506027,1.4134944918887016e-28,1.4134944918887016e-28,7.210238505543448e-20
2784792750.083267,1.7262624593149372e-28,1.7262624593149372e-28,8.805663190107612e-20
3077671960.259932,2.108205625892427e-28,2.108205625892427e-28,1.0753947348626502e-19
3401353545.856147,2.5746102244904463e-28,2.5746102244904463e-28,1.313306444681551e-19
3759077020.9736977,3.144134722729099e-28,3.144134722729099e-28,1.6038188985329844e-19
4154422602.386572,3.839551274723947e-28,3.839551274723947e-28,1.9585478319248546e-19
4591347041.553789,4.688649096395728e-28,4.688649096395728e-28,2.3916680305994717e-19
5074223225.117909,5.725334635505304e-28,5.725334635505304e-28,2.9204744596047834e-19
5607883940.224333,6.990970697225242e-28,6.990970697225242e-28,3.56606525372766e-19
6197670242.679407,8.536005400957785e-28,8.536005400957785e-28,4.354172507803911e-19
6849484912.032123,1.0421952218705008e-27,1.0421952218705008e-27,5.316172091693908e-19
7569851528.575836,1.2723794632475608e-27,1.2723794632475608e-27,6.490309974065899e-19
8365979763.532503,1.5532903410660907e-27,1.5532903410660907e-27,7.92318990448368e-19
9245837535.865503,1.8960571399010472e-27,1.8960571399010472e-27,9.67157590474045e-19
10218230757.890762,2.3142284434689392e-27,2.3142284434689392e-27,1.1804569966599358e-18
11292891467.806957,2.824281313889583e-27,2.824281313889583e-27,1.4406207815120112e-18
12480575231.20486,3.446253245298213e-27,3.446253245298213e-27,1.7578681101015715e-18
13793168786.382866,4.2044842025292696e-27,4.2044842025292696e-27,2.14461197316312e-18
15243809010.819117,5.12852140258664e-27,5.12852140258664e-27,2.615920372567874e-18
16847014399.456795,6.254184281218459e-27,6.254184281218459e-27,3.190059012903751e-18
18618830370.68132,7.624853542688634e-27,7.624853542688634e-27,3.889148136839647e-18
20576989854.260628,9.292976954247578e-27,9.292976954247578e-27,4.739929558597752e-18
