Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
1.9814060908801228e-06,1.0468794263650844e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.008255488966225e-21,3.5140786004559547e-19,1.0468794263650844e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0468794263650844e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1897923885386605e-06,2.0307508058053278e-23,1.2616878158566879e-23,0.0,2.216185432331992e-36,0.0,7.010218873069434e-24,0.0,5.4598242827897574e-39,0.0,2.1006420448313841e-38,0.0,7.089611804943751e-65,3.008255488966225e-21,3.5140786004559547e-19,1.9507403672830633e-23,1.1428273136007154e-23,0.0,1.0372937667690552e-27,0.0,7.265553981322776e-24,0.0,2.601863186890471e-30,0.0,9.169250898565191e-30,0.0,3.355032491316316e-56,2.0307508058053278e-23,1.2616878158566879e-23,0.0,2.216185432331992e-36,0.0,7.010218873069434e-24,0.0,5.4598242827897574e-39,0.0,2.1006420448313841e-38,0.0,7.089611804943751e-65
2.4200948644363405e-06,2.8429910151870274e-23,1.789862225727572e-23,0.0,3.1651173600088154e-36,0.0,9.58049883384973e-24,0.0,7.835699421418835e-39,0.0,2.920132002337584e-38,0.0,1.0902670316148082e-64,3.008255488966225e-21,3.5140786004559547e-19,2.731928955401788e-23,1.6231132007273163e-23,0.0,1.4838060395971343e-27,0.0,9.95117034483185e-24,0.0,3.739894619419807e-30,0.0,1.276853667153424e-29,0.0,5.168494021018158e-56,2.8429910151870274e-23,1.789862225727572e-23,0.0,3.1651173600088154e-36,0.0,9.58049883384973e-24,0.0,7.835699421418835e-39,0.0,2.920132002337584e-38,0.0,1.0902670316148082e-64
2.6746184631592646e-06,3.973685074103637e-23,2.5339337429187508e-23,0.0,4.5140511485356076e-36,0.0,1.3072223434684936e-23,0.0,1.1231059922886104e-38,0.0,4.0546800136231194e-38,0.0,1.6747917025303312e-64,3.008255488966225e-21,3.5140786004559547e-19,3.82001460711329e-23,2.300623212397578e-23,0.0,2.1197015561813226e-27,0.0,1.3609039002637458e-23,0.0,5.369172381390918e-30,0.0,1.7761796035594912e-29,0.0,7.953963797598202e-56,3.973685074103637e-23,2.5339337429187508e-23,0.0,4.5140511485356076e-36,0.0,1.3072223434684936e-23,0.0,1.1231059922886104e-38,0.0,4.0546800136231194e-38,0.0,1.6747917025303312e-64
2.9559105424318062e-06,5.544945705658098e-23,3.579880671959475e-23,0.0,6.428999321319634e-36,0.0,1.7808370721243158e-23,0.0,1.6077396995840336e-38,0.0,5.623764464948618e-38,0.0,2.5699188801465573e-64,3.008255488966225e-21,3.5140786004559547e-19,5.333018892433993e-23,3.254318779062663e-23,0.0,3.024137153056909e-27,0.0,1.858392576370452e-23,0.0,7.699033273767586e-30,0.0,2.4682201150863283e-29,0.0,1.2228374186673578e-55,5.544945705658098e-23,3.579880671959475e-23,0.0,6.428999321319634e-36,0.0,1.7808370721243158e-23,0.0,1.6077396995840336e-38,0.0,5.623764464948618e-38,0.0,2.5699188801465573e-64
3.26678636792885e-06,7.724665356338156e-23,5.047023423827739e-23,0.0,9.143959799772812e-36,0.0,2.4222982635288764e-23,0.0,2.298673804658016e-38,0.0,7.791725241866457e-38,0.0,3.9393875314854446e-64,3.008255488966225e-21,3.5140786004559547e-19,7.433377501002389e-23,4.5939686350135645e-23,0.0,4.3089418782486176e-27,0.0,2.5340753653472735e-23,0.0,1.1027065138027978e-29,0.0,3.4265060017061405e-29,0.0,1.8781883293378977e-55,7.724665356338156e-23,5.047023423827739e-23,0.0,9.143959799772812e-36,0.0,2.4222982635288764e-23,0.0,2.298673804658016e-38,0.0,7.791725241866457e-38,0.0,3.9393875314854446e-64
3.6103572894009297e-06,1.0743344879936817e-22,7.100647667576914e-23,0.0,1.2988524979995616e-35,0.0,3.289895762161163e-23,0.0,3.282668046212223e-38,0.0,1.078456796020054e-37,0.0,6.032756288512216e-64,3.008255488966225e-21,3.5140786004559547e-19,1.0344342771806145e-22,6.47189049341537e-23,0.0,6.131997097985051e-27,0.0,3.450609846320152e-23,0.0,1.5776081783105014e-29,0.0,4.7524322600151514e-29,0.0,2.882183009381955e-55,1.0743344879936817e-22,7.100647667576914e-23,0.0,1.2988524979995616e-35,0.0,3.289895762161163e-23,0.0,3.282668046212223e-38,0.0,1.078456796020054e-37,0.0,6.032756288512216e-64
3.990061880108338e-06,1.491703234627882e-22,9.969324315799499e-23,0.0,1.8426697204748047e-35,0.0,4.461874801872439e-23,0.0,4.682663397510688e-38,0.0,1.4913116954757513e-37,0.0,9.230283724992943e-64,3.008255488966225e-21,3.5140786004559547e-19,1.4372372965299453e-22,9.099092123052905e-23,0.0,8.716093498509443e-27,0.0,4.692406938794731e-23,0.0,2.2546601500422972e-29,0.0,6.585829462315608e-29,0.0,4.4192617117108576e-55,1.491703234627882e-22,9.969324315799499e-23,0.0,1.8426697204748047e-35,0.0,4.461874801872439e-23,0.0,4.682663397510688e-38,0.0,1.4913116954757513e-37,0.0,9.230283724992943e-64
4.4097003512179666e-06,2.0678587164492268e-22,1.3968661575763116e-22,0.0,2.6111499113423485e-35,0.0,6.043245263350114e-23,0.0,6.672837390336842e-38,0.0,2.0604964334282453e-37,0.0,1.411133903491919e-63,3.008255488966225e-21,3.5140786004559547e-19,1.993769060701222e-22,1.2767448115698331e-22,0.0,1.2375525140173832e-26,0.0,6.373165159827461e-23,0.0,3.219138714339389e-29,0.0,9.119592745012634e-29,0.0,6.77118131033313e-55,2.0678587164492268e-22,1.3968661575763116e-22,0.0,2.6111499113423485e-35,0.0,6.043245263350114e-23,0.0,6.672837390336842e-38,0.0,2.0604964334282453e-37,0.0,1.411133903491919e-63
4.873472585594073e-06,2.8620294991922535e-22,1.953386730755833e-22,0.0,3.696187659584916e-35,0.0,8.174940097311836e-23,0.0,9.499959814973351e-38,0.0,2.8448631936342736e-37,0.0,2.155877685835802e-63,3.008255488966225e-21,3.5140786004559547e-19,2.761599465749349e-22,1.788015854685246e-22,0.0,1.7553627477514113e-26,0.0,8.64604262102148e-23,0.0,4.59214220525378e-29,0.0,1.2619959423953457e-28,0.0,1.0368438476735436e-54,2.8620294991922535e-22,1.953386730755833e-22,0.0,3.696187659584916e-35,0.0,8.174940097311836e-23,0.0,9.499959814973351e-38,0.0,2.8448631936342736e-37,0.0,2.155877685835802e-63
