Energy,Flux Value,Flux Error,Is Upper Limit
1.5095185772444614e-06,3.05e-15,1.31e-16,0.0
1.5880962566078716e-06,2.7648e-15,0.0,0.0
1.6873522726458637e-06,5.0592e-15,8.568e-16,0.0
3.1017505011872493e-06,8.175e-15,7.5e-16,0.0
3.1017505011872493e-06,8.18e-15,7.5e-16,0.0
3.4863675633344683e-06,6.6513e-15,0.0,0.0
3.995054645529177e-06,1.1012e-14,1.932e-15,0.0
3.995054645529177e-06,1.1e-14,1.93e-15,0.0
5.703085254849622e-06,8.4119e-15,5.516e-16,0.0
5.7072209221845385e-06,8.41e-15,5.52e-16,0.0
5.7072209221845385e-06,8.41e-15,5.52e-16,0.0
5.7899342688828654e-06,8.176e-15,0.0,0.0
5.7899342688828654e-06,8.176e-15,1.638e-15,0.0
5.7899342688828654e-06,8.176e-15,1.638e-15,0.0
5.7899342688828654e-06,8.176e-15,0.0,0.0
5.7899342688828654e-06,8.022e-15,0.0,0.0
5.7899342688828654e-06,8.176e-15,0.0,0.0
5.7899342688828654e-06,8.1714e-15,2.128e-18,0.0
5.7899342688828654e-06,8.022e-15,0.0,0.0
5.7899342688828654e-06,1.1032e-14,0.0,0.0
5.7899342688828654e-06,8.862e-15,0.0,0.0
5.7899342688828654e-06,2.177e-14,0.0,0.0
5.7899342688828654e-06,1.0738e-14,0.0,0.0
5.7899342688828654e-06,8.176e-15,0.0,0.0
5.7899342688828654e-06,1.1242e-14,0.0,0.0
5.7899342688828654e-06,1.1032e-14,3.92e-16,0.0
5.7899342688828654e-06,1.1032e-14,2.212e-15,0.0
5.7899342688828654e-06,8.176e-15,0.0,0.0
5.7899342688828654e-06,1.1043e-14,3.8899e-16,0.0
5.7899342688828654e-06,1.1032e-14,2.212e-15,0.0
5.7899342688828654e-06,1.1e-14,3.89e-16,0.0
5.7899342688828654e-06,2.18e-14,0.0,0.0
5.7899342688828654e-06,1.48e-14,0.0,0.0
5.8312909422320285e-06,1.3113e-14,1.41e-16,0.0
5.8312909422320285e-06,1.31e-14,1.41e-16,0.0
5.9140042889303555e-06,1.12e-14,0.0,0.0
6.05461697831751e-06,1.5372e-14,0.0,0.0
6.058752645652427e-06,1.5382e-14,3.0765e-15,0.0
6.120787655676172e-06,8.88e-15,4.44e-16,0.0
6.120787655676172e-06,1.19e-14,5.94e-16,0.0
6.137330325015837e-06,1.1872e-14,5.936e-16,0.0
6.199365335039582e-06,1.1003e-14,0.0,0.0
6.199365335039582e-06,8.7542e-15,0.0,0.0
6.199365335039582e-06,8.5893e-15,0.0,0.0
6.203501002374499e-06,1.05e-14,0.0,0.0
6.203501002374499e-06,1.05e-14,0.0,0.0
9.512034870307564e-06,1.15e-14,0.0,0.0
9.512034870307564e-06,1.932e-14,0.0,0.0
9.512034870307564e-06,7.59e-15,0.0,0.0
9.512034870307564e-06,4.83e-15,0.0,0.0
1.1145623467599516e-05,2.2908e-14,1.078e-15,0.0
1.1145623467599516e-05,2.5333e-14,2.695e-16,0.0
1.1145623467599516e-05,2.129e-14,1.078e-15,0.0
1.1166301804274097e-05,2.29e-14,1.08e-15,0.0
1.1166301804274097e-05,2.538e-14,0.0,0.0
1.1166301804274097e-05,2.53e-14,2.69e-16,0.0
1.1166301804274097e-05,2.13e-14,1.08e-15,0.0
1.1269693487647006e-05,2.5619e-14,0.0,0.0
1.2407002004748997e-05,2.22e-14,0.0,0.0
1.2407002004748997e-05,2.211e-14,0.0,0.0
1.8941356393916803e-05,3.35e-14,1.83e-15,0.0
1.8941356393916803e-05,3.35e-14,1.83e-15,0.0
1.8962034730591384e-05,3.347e-14,1.834e-15,0.0
