Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
3.908561693555151e-06,2.304355297286377e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.304355297286377e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.304355297286377e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.824650464879225e-21,3.136868627077624e-19
4.319628715221645e-06,1.6458844221286113e-17,1.6428893646138553e-17,0.0,1.0780010578356753e-31,0.0,1.0249547680759991e-20,0.0,9.177571699459429e-36,0.0,5.289787237865674e-32,0.0,9.258845439151494e-64,1.644665777496935e-17,1.641507173800976e-17,0.0,1.0151401570100049e-22,0.0,1.1133643896164877e-20,0.0,1.0436256098086363e-26,0.0,4.9147556736727964e-23,0.0,9.266746593577907e-55,1.6458844221286113e-17,1.6428893646138553e-17,0.0,1.0780010578356753e-31,0.0,1.0249547680759991e-20,0.0,9.177571699459429e-36,0.0,5.289787237865674e-32,0.0,9.258845439151494e-64,7.824650464879225e-21,3.136868627077624e-19
4.773928032947443e-06,2.214819086204269e-17,2.2109661228687046e-17,0.0,1.454186566629368e-31,0.0,1.3077339028216231e-20,0.0,1.2379416860670196e-35,0.0,6.902169796483134e-32,0.0,1.3357280321288965e-63,2.2132595691562296e-17,2.2091952209658642e-17,0.0,1.3694318146455438e-22,0.0,1.422723240018532e-20,0.0,1.4077815145395285e-26,0.0,6.413091724193867e-23,0.0,1.3369215417609522e-54,2.214819086204269e-17,2.2109661228687046e-17,0.0,1.454186566629368e-31,0.0,1.3077339028216231e-20,0.0,1.2379416860670196e-35,0.0,6.902169796483134e-32,0.0,1.3357280321288965e-63,7.824650464879225e-21,3.136868627077624e-19
5.276006426999585e-06,2.9790973162733426e-17,2.974150291287271e-17,0.0,1.9610384432799112e-31,0.0,1.6673899567381976e-20,0.0,1.6692182179588906e-35,0.0,9.003750136945808e-32,0.0,1.9264701557996748e-63,2.9770998887020745e-17,2.971879793665862e-17,0.0,1.8467930421500414e-22,0.0,1.8168484798901287e-20,0.0,1.898301000708158e-26,0.0,8.366082782234917e-23,0.0,1.9282628042729943e-54,2.9790973162733426e-17,2.974150291287271e-17,0.0,1.9610384432799112e-31,0.0,1.6673899567381976e-20,0.0,1.6692182179588906e-35,0.0,9.003750136945808e-32,0.0,1.9264701557996748e-63,7.824650464879225e-21,3.136868627077624e-19
5.830888866700156e-06,4.00519179093398e-17,3.998854285952947e-17,0.0,2.643652718938994e-31,0.0,2.1244333716652618e-20,0.0,2.2498309513400437e-35,0.0,1.1742016271223815e-31,0.0,2.777656937190123e-63,4.002631330623892e-17,3.9959412693289794e-17,0.0,2.4896986084714034e-22,0.0,2.3185553141060577e-20,0.0,2.5586894425762072e-26,0.0,1.0910815886101176e-22,0.0,2.780336052690759e-54,4.00519179093398e-17,3.998854285952947e-17,0.0,2.643652718938994e-31,0.0,2.1244333716652618e-20,0.0,2.2498309513400437e-35,0.0,1.1742016271223815e-31,0.0,2.777656937190123e-63,7.824650464879225e-21,3.136868627077624e-19
6.444128802008093e-06,5.381909604553096e-17,5.3738098184927547e-17,0.0,3.562538915364353e-31,0.0,2.7046973081565512e-20,0.0,3.031032222846944e-35,0.0,1.5308488954992103e-31,0.0,4.003626550697552e-63,5.378624766884063e-17,5.3700700490374335e-17,0.0,3.355140302792973e-22,0.0,2.95664003011847e-20,0.0,3.447250865918714e-26,0.0,1.4225308887132314e-22,0.0,4.0076126348592016e-54,5.381909604553096e-17,5.3738098184927547e-17,0.0,3.562538915364353e-31,0.0,2.7046973081565512e-20,0.0,3.031032222846944e-35,0.0,1.5308488954992103e-31,0.0,4.003626550697552e-63,7.824650464879225e-21,3.136868627077624e-19
7.121863744312993e-06,7.227754586866313e-17,7.217424961122584e-17,0.0,4.798805493737153e-31,0.0,3.440656360767833e-20,0.0,4.0814191622915335e-35,0.0,1.995165152255048e-31,0.0,5.768604538128933e-63,7.223537387227071e-17,7.212620998546985e-17,0.0,4.5195103057875e-22,0.0,3.767380124956664e-20,0.0,4.642021765192902e-26,0.0,1.854053038610575e-22,0.0,5.774511189931972e-54,7.227754586866313e-17,7.217424961122584e-17,0.0,4.798805493737153e-31,0.0,3.440656360767833e-20,0.0,4.0814191622915335e-35,0.0,1.995165152255048e-31,0.0,5.768604538128933e-63,7.824650464879225e-21,3.136868627077624e-19
7.870876692712071e-06,9.700642493544083e-17,9.687492161925961e-17,0.0,6.461043002299378e-31,0.0,4.373043952453923e-20,0.0,5.492666062989328e-35,0.0,2.5993565358041247e-31,0.0,8.308265951372642e-63,9.6952250230839e-17,9.681318149631654e-17,0.0,6.085083054086588e-22,0.0,4.796379941267643e-20,0.0,6.247292914350999e-26,0.0,2.415584627967229e-22,0.0,8.31698591626376e-54,9.700642493544083e-17,9.687492161925961e-17,0.0,6.461043002299378e-31,0.0,4.373043952453923e-20,0.0,5.492666062989328e-35,0.0,2.5993565358041247e-31,0.0,8.308265951372642e-63,7.824650464879225e-21,3.136868627077624e-19
8.698664020544798e-06,1.301068128790237e-16,1.2993959524039325e-16,0.0,8.694434047776215e-31,0.0,5.552822818818189e-20,0.0,7.387073109144518e-35,0.0,3.3851163867942827e-31,0.0,1.196047888059766e-62,1.3003718846546892e-16,1.2986021830118386e-16,0.0,8.188593626231015e-22,0.0,6.100826751748485e-20,0.0,8.402197759474215e-26,0.0,3.1458816148693043e-22,0.0,1.1973307152036016e-53,1.301068128790237e-16,1.2993959524039325e-16,0.0,8.694434047776215e-31,0.0,5.552822818818189e-20,0.0,7.387073109144518e-35,0.0,3.3851163867942827e-31,0.0,1.196047888059766e-62,7.824650464879225e-21,3.136868627077624e-19
9.613510501617112e-06,1.743692372456422e-16,1.741567268799936e-16,0.0,1.1692768745257606e-30,0.0,7.043566238562434e-20,0.0,9.92746236765433e-35,0.0,4.406345495478695e-31,0.0,1.7209044980146782e-62,1.7427973523235688e-16,1.7405465409093384e-16,0.0,1.1012551318607767e-21,0.0,7.752227035623498e-20,0.0,1.1291971456689663e-25,0.0,4.095048329414091e-22,0.0,1.722785416327955e-53,1.743692372456422e-16,1.741567268799936e-16,0.0,1.1692768745257606e-30,0.0,7.043566238562434e-20,0.0,9.92746236765433e-35,0.0,4.406345495478695e-31,0.0,1.7209044980146782e-62,7.824650464879225e-21,3.136868627077624e-19
