Energy,Flux Value,Flux Error,Is Upper Limit
3.0521224931682534e-07,1.43e-15,1.48e-16,0.0
3.060393827838086e-07,1.4356e-15,1.48e-16,0.0
6.244857675723662e-07,3.79e-15,0.0,0.0
6.286214349072825e-07,3.58e-15,7.57e-17,0.0
6.286214349072825e-07,6.03e-15,1.67e-16,0.0
1.5095185772444614e-06,1.6e-14,3.65e-16,0.0
1.5095185772444614e-06,1.07e-14,2.3e-16,0.0
1.5095185772444614e-06,1.57e-14,9.49e-16,0.0
1.5095185772444614e-06,1.5658e-14,9.49e-16,0.0
1.5095185772444614e-06,1.5987e-14,3.65e-16,0.0
1.5880962566078716e-06,1.2088e-14,0.0,0.0
1.6873522726458637e-06,1.2607e-14,1.1832e-15,0.0
1.6873522726458637e-06,1.224e-14,0.0,0.0
1.6873522726458637e-06,1.26e-14,1.18e-15,0.0
1.6873522726458637e-06,1.3872e-14,8.976e-16,0.0
1.6873522726458637e-06,1.1954e-14,0.0,0.0
1.6873522726458637e-06,1.2322e-14,1.1424e-15,0.0
1.6873522726458637e-06,1.23e-14,1.14e-15,0.0
1.6873522726458637e-06,1.2e-14,9.57e-16,0.0
1.778336954014023e-06,1.6e-14,6.88e-16,0.0
1.778336954014023e-06,1.6039e-14,6.88e-16,0.0
3.1017505011872493e-06,2.6325e-14,9e-16,0.0
3.1017505011872493e-06,2.63e-14,9e-16,0.0
3.5235885693487154e-06,4.86e-14,0.0,0.0
4.00332598019901e-06,3.02e-14,1.16e-15,0.0
4.00332598019901e-06,3.0202e-14,1.1616e-15,0.0
5.7899342688828654e-06,5.64e-14,1.69e-15,0.0
5.7899342688828654e-06,4.02e-14,0.0,0.0
5.7899342688828654e-06,5.06e-14,0.0,0.0
5.7899342688828654e-06,4.89e-14,2.44e-15,0.0
5.7899342688828654e-06,5.0478e-14,1.0598e-17,0.0
5.7899342688828654e-06,5.6346e-14,1.6904e-15,0.0
5.7899342688828654e-06,4.0194e-14,0.0,0.0
5.8312909422320285e-06,3.8211e-14,1.41e-16,0.0
5.8312909422320285e-06,3.82e-14,1.41e-16,0.0
5.8726476155811924e-06,4.402e-14,0.0,0.0
6.120787655676172e-06,4.144e-14,2.072e-15,0.0
