Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
11916666666.666668,1.051963371820925e-30,1.051963371820925e-30,1.1569156515889996e-22
13169953440.40147,1.2848533731928572e-30,1.2848533731928572e-30,1.4130401624291107e-22
14555049534.742025,1.569299062954331e-30,1.569299062954331e-30,1.7258636940065538e-22
16085817456.947372,1.9167123203523464e-30,1.9167123203523464e-30,2.1079365379250843e-22
17777577646.891808,2.341030553094492e-30,2.341030553094492e-30,2.5745864263729216e-22
19647261809.17653,2.859275401454793e-30,2.859275401454793e-30,3.1445329541789315e-22
21713582371.320236,3.4922349474747655e-30,3.4922349474747655e-30,3.8406378183237768e-22
23997219764.023182,4.2652966897981094e-30,4.2652966897981094e-30,4.690820851190612e-22
26521029397.86858,5.209464543495782e-30,5.209464543495782e-30,5.729178419456153e-22
29310270407.953655,6.362600435047998e-30,6.362600435047998e-30,6.997348798298098e-22
32392858455.803623,7.770939968864615e-30,7.770939968864615e-30,8.546178921903316e-22
35799645118.695,9.490942486483063e-30,9.490942486483063e-30,1.0437758833024057e-21
39564726662.610535,1.15915490377313e-29,1.15915490377313e-29,1.2747904662137935e-21
43725785289.12933,1.41569378354152e-29,1.41569378354152e-29,1.5569188610391507e-21
48324466271.56572,1.7289886274819635e-29,1.7289886274819635e-29,1.9014635852163128e-21
53406794754.86194,2.1115872292102796e-29,2.1115872292102796e-29,2.3222234308901916e-21
59023636390.70846,2.5788075681239966e-29,2.5788075681239966e-29,2.836043382804861e-21
65231206418.08248,3.149346616344116e-29,3.149346616344116e-29,3.4634839929702575e-21
72091632284.25429,3.846025285778441e-29,3.846025285778441e-29,4.229640444345949e-21
79673575437.16132,4.6966933391989806e-29,4.6966933391989806e-29,5.1651374039258e-21
88052918512.25693,5.735334281285315e-29,5.735334281285315e-29,6.307343711917427e-21
97313524791.4312,7.003407726197967e-29,7.003407726197967e-29,7.701847992653186e-21
107548077534.9233,8.551486959562301e-29,8.551486959562301e-29,9.404258707687453e-21
118859007586.54213,1.0441246532110031e-28,1.0441246532110031e-28,1.1482388681416847e-20
131359518535.97914,1.274784906590673e-28,1.274784906590673e-28,1.401887777751698e-20
145174719698.38306,1.556266435776717e-28,1.556266435776717e-28,1.711417769185859e-20
160442878250.43683,1.899674763971956e-28,1.899674763971956e-28,2.0890372237099138e-20
177316803054.73465,2.3185062524442735e-28,2.3185062524442735e-28,2.5495813972023434e-20
195965374022.23993,2.8291598249680352e-28,2.8291598249680352e-28,3.111074238578091e-20
216575232319.19656,3.451573377535997e-28,3.451573377535997e-28,3.795427069190852e-20
239352648334.65308,4.209980047130581e-28,4.209980047130581e-28,4.6292685568077395e-20
264525586103.8462,5.133854161117682e-28,5.133854161117682e-28,5.64498292708491e-20
292345984848.8865,6.259033633463029e-28,6.259033633463029e-28,6.881941278608318e-20
323092280471.1733,7.629099345590169e-28,7.629099345590169e-28,8.388014615668178e-20
357072192231.48126,9.297055235277897e-28,9.297055235277897e-28,1.0221416444405398e-19
394625802507.75006,1.1327387132743799e-27,1.1327387132743799e-27,1.2452960368940384e-19
436128960453.8294,1.3798273307251592e-27,1.3798273307251592e-27,1.5168478692741997e-19
481997043624.13654,1.68035352999494e-27,1.68035352999494e-27,1.8470942004793561e-19
532689115211.835,2.0460445324189803e-27,2.0460445324189803e-27,2.24890837694524e-19
588712518507.5681,2.4907719814068478e-27,2.4907719814068478e-27,2.73750836779385e-19
650627954561.6355,3.0318777325895005e-27,3.0318777325895005e-27,3.3319241012861335e-19
719055093868.564,3.689881705026502e-27,3.689881705026502e-27,4.0546567902913194e-19
794678778237.6915,4.4904054893766826e-27,4.4904054893766826e-27,4.933810588704363e-19
878255874920.1832,5.463793447772659e-27,5.463793447772659e-27,6.002642847649654e-19
970622851590.8705,6.648000632449558e-27,6.648000632449558e-27,7.302769120495627e-19
1072704147997.885,8.087865392400881e-27,8.087865392400881e-27,8.8833042123899e-19
1185521428066.3787,9.839568573512799e-27,9.839568573512799e-27,1.0805819026109553e-18
1310203805054.4722,1.1969455520836391e-26,1.1969455520836391e-26,1.3142943188482826e-18
1447999142098.2585,1.45603202651167e-26,1.45603202651167e-26,1.5985362718389066e-18
1600286541245.482,1.7710287217437184e-26,1.7710287217437184e-26,1.9440426387588208e-18
1768590145972.3713,2.1541976029917188e-26,2.1541976029917188e-26,2.3642369820345304e-18
1954594395323.8306,2.620051214883145e-26,2.620051214883145e-26,2.8749849848715546e-18
2160160882345.5522,3.186691919299523e-26,3.186691919299523e-26,3.496091403189467e-18
2387346985532.936,3.8755658906480833e-26,3.8755658906480833e-26,4.250984067108123e-18
2638426459766.564,4.713433103210243e-26,4.713433103210243e-26,5.168920364463802e-18
2915912192815.2935,5.732006345321469e-26,5.732006345321469e-26,6.2845154808148775e-18
