Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
1.1445209588766821e-05,2.876376478772565e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.876376478772565e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.876376478772565e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.980196610308983e-22,1.3529283920645807e-18
1.2648912788785605e-05,5.037405423276451e-18,5.033102470814521e-18,0.0,1.7130943708454715e-32,0.0,1.1984494018875271e-23,0.0,1.5888161768766202e-36,0.0,1.958177966681775e-34,0.0,3.5912867858189724e-66,5.037212134060071e-18,5.032890549638547e-18,0.0,1.8392403630866e-24,0.0,1.6143561811053947e-23,0.0,1.7115038112978583e-28,0.0,2.101689005006558e-26,0.0,3.973606073568597e-58,5.037405423276451e-18,5.033102470814521e-18,0.0,1.7130943708454715e-32,0.0,1.1984494018875271e-23,0.0,1.5888161768766202e-36,0.0,1.958177966681775e-34,0.0,3.5912867858189724e-66,7.980196610308983e-22,1.3529283920645807e-18
1.3979210559441008e-05,6.647058410499616e-18,6.641389766164732e-18,0.0,2.346514344138439e-32,0.0,1.606576088763581e-23,0.0,2.1763013559125e-36,0.0,2.595961926988557e-34,0.0,5.264346282480877e-66,6.646803586982222e-18,6.641110144091056e-18,0.0,2.519306082429203e-24,0.0,2.1730582051619566e-23,0.0,2.3443592568436228e-28,0.0,2.7862192745596955e-26,0.0,5.8247843764070426e-58,6.647058410499616e-18,6.641389766164732e-18,0.0,2.346514344138439e-32,0.0,1.606576088763581e-23,0.0,2.1763013559125e-36,0.0,2.595961926988557e-34,0.0,5.264346282480877e-66,7.980196610308983e-22,1.3529283920645807e-18
1.5449416967950172e-05,8.768461074073501e-18,8.761011390051235e-18,0.0,3.2220418371902773e-32,0.0,2.1601154649723606e-23,0.0,2.988344653525036e-36,0.0,3.4501527865890606e-34,0.0,7.736415326370249e-66,8.768125997591748e-18,8.760643328084976e-18,0.0,3.459310021494582e-24,0.0,2.933709630712463e-23,0.0,3.219117477486081e-28,0.0,3.7030200197251754e-26,0.0,8.560042866486811e-58,8.768461074073501e-18,8.761011390051235e-18,0.0,3.2220418371902773e-32,0.0,2.1601154649723606e-23,0.0,2.988344653525036e-36,0.0,3.4501527865890606e-34,0.0,7.736415326370249e-66,7.980196610308983e-22,1.3529283920645807e-18
1.7074246334203005e-05,1.1565291602557296e-17,1.1555525272592263e-17,0.0,4.436541919027906e-32,0.0,2.913994407658266e-23,0.0,4.1147934539132715e-36,0.0,4.598475178587617e-34,0.0,1.1401919168393693e-65,1.1564852192735468e-17,1.1555042005957499e-17,0.0,4.7632519901608596e-24,0.0,3.9735309633506524e-23,0.0,4.432566815616725e-28,0.0,4.935514353436307e-26,0.0,1.2615804815202005e-57,1.1565291602557296e-17,1.1555525272592263e-17,0.0,4.436541919027906e-32,0.0,2.913994407658266e-23,0.0,4.1147934539132715e-36,0.0,4.598475178587617e-34,0.0,1.1401919168393693e-65,7.980196610308983e-22,1.3529283920645807e-18
1.8869960496620924e-05,1.525488446038245e-17,1.5242112225156553e-17,0.0,6.127936099872618e-32,0.0,3.9453816000738585e-23,0.0,5.683578864783121e-36,0.0,6.148625791054279e-34,0.0,1.6858247067426823e-65,1.5254309850116304e-17,1.524147931224512e-17,0.0,6.579212715405243e-24,0.0,5.401325945192674e-23,0.0,6.122521999489017e-28,0.0,6.599295275737429e-26,0.0,1.8653071002924898e-57,1.525488446038245e-17,1.5242112225156553e-17,0.0,6.127936099872618e-32,0.0,3.9453816000738585e-23,0.0,5.683578864783121e-36,0.0,6.148625791054279e-34,0.0,1.6858247067426823e-65,7.980196610308983e-22,1.3529283920645807e-18
2.0854531566101707e-05,2.0126708174786846e-17,2.0110044392027525e-17,0.0,8.493793904165479e-32,0.0,5.363403291550695e-23,0.0,7.877962010127918e-36,0.0,8.250783686976915e-34,0.0,2.501540935597529e-65,2.0125958935527577e-17,2.0109217629804163e-17,0.0,9.119315168773764e-24,0.0,7.371389789864942e-23,0.0,8.486403301862279e-28,0.0,8.855553526739165e-26,0.0,2.7678755295292525e-57,2.0126708174786846e-17,2.0110044392027525e-17,0.0,8.493793904165479e-32,0.0,5.363403291550695e-23,0.0,7.877962010127918e-36,0.0,8.250783686976915e-34,0.0,2.501540935597529e-65,7.980196610308983e-22,1.3529283920645807e-18
2.3047821796946226e-05,2.656768242569354e-17,2.6545990037828406e-17,0.0,1.1818942973303548e-31,0.0,7.323436889984309e-23,0.0,1.0962146717192529e-35,0.0,1.1115772077417303e-33,0.0,3.7268179336916755e-65,2.6566708360355166e-17,2.654491282549545e-17,0.0,1.2689368950981479e-23,0.0,1.0104014663459585e-22,0.0,1.1808828809658177e-27,0.0,1.193057144415502e-25,0.0,4.123616037809685e-57,2.656768242569354e-17,2.6545990037828406e-17,0.0,1.1818942973303548e-31,0.0,7.323436889984309e-23,0.0,1.0962146717192529e-35,0.0,1.1115772077417303e-33,0.0,3.7268179336916755e-65,7.980196610308983e-22,1.3529283920645807e-18
2.547178237497493e-05,3.509708192544233e-17,3.5068900940202665e-17,0.0,1.6516769333957026e-31,0.0,1.0048295762159157e-22,0.0,1.5319592670445398e-35,0.0,1.504161561769679e-33,0.0,5.576831040883055e-65,3.509581932363902e-17,3.506750093303111e-17,0.0,1.773321362817214e-23,0.0,1.3915945794661902e-22,0.0,1.650288895749786e-27,0.0,1.6144228204920222e-25,0.0,6.170618821185442e-57,3.509708192544233e-17,3.5068900940202665e-17,0.0,1.6516769333957026e-31,0.0,1.0048295762159157e-22,0.0,1.5319592670445398e-35,0.0,1.504161561769679e-33,0.0,5.576831040883055e-65,7.980196610308983e-22,1.3529283920645807e-18
2.8150673112374185e-05,4.6414962183489634e-17,4.6378415640879274e-17,0.0,2.3191444226568354e-31,0.0,1.385986084018046e-22,0.0,2.151074268770182e-35,0.0,2.0452653973435226e-33,0.0,8.38582356764006e-65,4.641333040175103e-17,4.637660047745384e-17,0.0,2.4899530684191292e-23,0.0,1.9265951949171802e-22,0.0,2.317233606131835e-27,0.0,2.1951982446240355e-25,0.0,9.27872338183915e-57,4.6414962183489634e-17,4.6378415640879274e-17,0.0,2.3191444226568354e-31,0.0,1.385986084018046e-22,0.0,2.151074268770182e-35,0.0,2.0452653973435226e-33,0.0,8.38582356764006e-65,7.980196610308983e-22,1.3529283920645807e-18
3.111130524805008e-05,6.146976975546603e-17,6.142243833321924e-17,0.0,3.2732355250436526e-31,0.0,1.9226657376092533e-22,0.0,3.036062744394423e-35,0.0,2.7957556446908286e-33,0.0,1.267672809248596e-64,6.146766693783327e-17,6.142009013082192e-17,0.0,3.5143232947685097e-23,0.0,2.68235105162215e-22,0.0,3.2705961216014415e-27,0.0,3.0007142547311708e-25,0.0,1.4026555581369626e-56,6.146976975546603e-17,6.142243833321924e-17,0.0,3.2732355250436526e-31,0.0,1.9226657376092533e-22,0.0,3.036062744394423e-35,0.0,2.7957556446908286e-33,0.0,1.267672809248596e-64,7.980196610308983e-22,1.3529283920645807e-18
