Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
7.95790796581589e-06,2.1160735189090095e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.834305885514862e-22,2.7442650517083496e-18,2.1160735189090095e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1160735189090095e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.794848452542238e-06,7.701342057687294e-21,7.649889231248694e-21,0.0,2.253781134614516e-35,0.0,1.6904447468374358e-24,0.0,2.6357587541409507e-38,0.0,1.3633619429741368e-36,0.0,2.1463431951885405e-66,4.834305885514862e-22,2.7442650517083496e-18,7.685937974562502e-21,7.631994538772278e-21,0.0,5.0642065222807315e-27,0.0,2.1389771419273602e-24,0.0,5.902218536905649e-30,0.0,3.0000624009853676e-28,0.0,4.998661984289383e-58,7.701342057687294e-21,7.649889231248694e-21,0.0,2.253781134614516e-35,0.0,1.6904447468374358e-24,0.0,2.6357587541409507e-38,0.0,1.3633619429741368e-36,0.0,2.1463431951885405e-66
9.719810738632309e-06,1.0366983435682481e-20,1.0297782406641245e-20,0.0,3.042017762770199e-35,0.0,2.1554253302323776e-24,0.0,3.557740070726754e-38,0.0,1.779797234374553e-36,0.0,3.0975771306777655e-66,4.834305885514862e-22,2.7442650517083496e-18,1.0346417395532408e-20,1.0273899104918848e-20,0.0,6.835519497941752e-27,0.0,2.7459404781860024e-24,0.0,7.966997116119373e-30,0.0,3.916531736206833e-28,0.0,7.21420925295077e-58,1.0366983435682481e-20,1.0297782406641245e-20,0.0,3.042017762770199e-35,0.0,2.1554253302323776e-24,0.0,3.557740070726754e-38,0.0,1.779797234374553e-36,0.0,3.0975771306777655e-66
1.0742052157535784e-05,1.3952159685049742e-20,1.3859070744374847e-20,0.0,4.1057962077667217e-35,0.0,2.7454815058017886e-24,0.0,4.802080066397822e-38,0.0,2.3233740241097697e-36,0.0,4.470321231886316e-66,4.834305885514862e-22,2.7442650517083496e-18,1.3924688496659506e-20,1.382717935829143e-20,0.0,9.226067666420024e-27,0.0,3.5229593461473874e-24,0.0,1.075375253004729e-29,0.0,5.112834268007543e-28,0.0,1.041158386464208e-57,1.3952159685049742e-20,1.3859070744374847e-20,0.0,4.1057962077667217e-35,0.0,2.7454815058017886e-24,0.0,4.802080066397822e-38,0.0,2.3233740241097697e-36,0.0,4.470321231886316e-66
1.187180364496033e-05,1.877271272597176e-20,1.864746555428408e-20,0.0,5.541385878068273e-35,0.0,3.493767717944359e-24,0.0,6.481432052201808e-38,0.0,3.0328929931976785e-36,0.0,6.451329611404508e-66,4.834305885514862e-22,2.7442650517083496e-18,1.8735998893223408e-20,1.8604859115258618e-20,0.0,1.2452210176217622e-26,0.0,4.517501700526726e-24,0.0,1.451480392738845e-29,0.0,6.674374760219537e-28,0.0,1.502582117670847e-57,1.877271272597176e-20,1.864746555428408e-20,0.0,5.541385878068273e-35,0.0,3.493767717944359e-24,0.0,6.481432052201808e-38,0.0,3.0328929931976785e-36,0.0,6.451329611404508e-66
1.3120372133514646e-05,2.525238292404985e-20,2.5083835168767034e-20,0.0,7.478674480588611e-35,0.0,4.442199565516037e-24,0.0,8.747800353350343e-38,0.0,3.9589926692240376e-36,0.0,9.310094066708903e-66,4.834305885514862e-22,2.7442650517083496e-18,2.5203290115175293e-20,2.5026882951789807e-20,0.0,1.6805862625986662e-26,0.0,5.7903862070031176e-24,0.0,1.9590610838349308e-29,0.0,8.712615745055558e-28,0.0,2.1684699909599216e-57,2.525238292404985e-20,2.5083835168767034e-20,0.0,7.478674480588611e-35,0.0,4.442199565516037e-24,0.0,8.747800353350343e-38,0.0,3.9589926692240376e-36,0.0,9.310094066708903e-66
1.4500253716290495e-05,3.3959417830681276e-20,3.373255521656276e-20,0.0,1.009290385693477e-34,0.0,5.643792061998428e-24,0.0,1.1806282104804447e-37,0.0,5.167761400355297e-36,0.0,1.343550177767255e-65,4.834305885514862e-22,2.7442650517083496e-18,3.3893735428857275e-20,3.365638466743803e-20,0.0,2.268087316720386e-26,0.0,7.41960608161305e-24,0.0,2.644055309433631e-29,0.0,1.1373028591514274e-27,0.0,3.12941422689494e-57,3.3959417830681276e-20,3.373255521656276e-20,0.0,1.009290385693477e-34,0.0,5.643792061998428e-24,0.0,1.1806282104804447e-37,0.0,5.167761400355297e-36,0.0,1.343550177767255e-65
1.602525871196261e-05,4.565549470337738e-20,4.535008255537286e-20,0.0,1.3620502611685795e-34,0.0,7.165633617401086e-24,0.0,1.5933608061643252e-37,0.0,6.74545227671786e-36,0.0,1.9388739266287545e-65,4.834305885514862e-22,2.7442650517083496e-18,4.5567566749825715e-20,4.524815096461769e-20,0.0,3.0608605991811806e-26,0.0,9.505274208805416e-24,0.0,3.568445995399738e-29,0.0,1.484547259375662e-27,0.0,4.51614636788479e-57,4.565549470337738e-20,4.535008255537286e-20,0.0,1.3620502611685795e-34,0.0,7.165633617401086e-24,0.0,1.5933608061643252e-37,0.0,6.74545227671786e-36,0.0,1.9388739266287545e-65
1.771064988309945e-05,6.1361053515001e-20,6.094981821121998e-20,0.0,1.8380446511644307e-34,0.0,9.092671114850575e-24,0.0,2.150315951012064e-37,0.0,8.804638474552022e-36,0.0,2.797964748917729e-65,4.834305885514862e-22,2.7442650517083496e-18,6.124327876338696e-20,6.081333580456709e-20,0.0,4.130594823698604e-26,0.0,1.217602499789809e-23,0.0,4.815864489820694e-29,0.0,1.9377745035629705e-27,0.0,6.517325818078157e-57,6.1361053515001e-20,6.094981821121998e-20,0.0,1.8380446511644307e-34,0.0,9.092671114850575e-24,0.0,2.150315951012064e-37,0.0,8.804638474552022e-36,0.0,2.797964748917729e-65
1.9573295191021407e-05,8.244248143828078e-20,8.188865809305169e-20,0.0,2.4803078348979247e-34,0.0,1.153252951525973e-23,0.0,2.9018725539954404e-37,0.0,1.1492250204825392e-35,0.0,4.037693211930109e-65,4.834305885514862e-22,2.7442650517083496e-18,8.228463967637404e-20,8.170581090866819e-20,0.0,5.574008166094653e-26,0.0,1.559730966914456e-23,0.0,6.499151776813565e-29,0.0,2.5293273520112743e-27,0.0,9.405215938253368e-57,8.244248143828078e-20,8.188865809305169e-20,0.0,2.4803078348979247e-34,0.0,1.153252951525973e-23,0.0,2.9018725539954404e-37,0.0,1.1492250204825392e-35,0.0,4.037693211930109e-65
