Energy,Flux Value,Flux Error,Is Upper Limit
6.244857675723662e-07,1.1476e-14,0.0,0.0
7.361487856151071e-07,7.476e-15,0.0,0.0
1.3151422125033937e-06,3.816e-15,5.088e-16,0.0
1.5095185772444614e-06,2.1827e-15,4.38e-16,0.0
1.5095185772444614e-06,2.1827e-15,4.38e-16,0.0
1.5095185772444614e-06,2.1827e-15,4.38e-16,0.0
1.5095185772444614e-06,2.1827e-15,4.38e-16,0.0
1.5095185772444614e-06,2.1827e-15,4.38e-16,0.0
1.5095185772444614e-06,2.1827e-15,4.38e-16,0.0
1.5095185772444614e-06,2.1827e-15,1.679e-16,0.0
1.5095185772444614e-06,3.4675e-15,5.475e-16,0.0
1.5880962566078716e-06,2.3155e-15,0.0,0.0
1.6873522726458637e-06,2.9376e-15,8.568e-16,0.0
1.6873522726458637e-06,4.3656e-15,0.0,0.0
1.778336954014023e-06,5.461e-15,3.44e-16,0.0
3.4863675633344683e-06,5.2519e-15,0.0,0.0
5.7899342688828654e-06,8.722e-15,2.66e-16,0.0
5.7899342688828654e-06,8.7247e-15,2.618e-16,0.0
5.7899342688828654e-06,8.568e-15,0.0,0.0
5.7899342688828654e-06,8.722e-15,1.75e-15,0.0
5.7899342688828654e-06,1.47e-14,0.0,0.0
5.7899342688828654e-06,8.722e-15,0.0,0.0
5.7899342688828654e-06,8.722e-15,0.0,0.0
5.8312909422320285e-06,9.165e-15,5.64e-16,0.0
6.05461697831751e-06,1.8739e-14,0.0,0.0
6.058752645652427e-06,1.8752e-14,3.809e-15,0.0
6.120787655676172e-06,1.184e-14,5.92e-16,0.0
6.203501002374499e-06,1.95e-14,0.0,0.0
6.203501002374499e-06,1.95e-14,0.0,0.0
9.512034870307564e-06,3.68e-14,1.38e-15,0.0
9.512034870307564e-06,3.565e-14,0.0,0.0
9.512034870307564e-06,3.91e-14,0.0,0.0
9.512034870307564e-06,3.91e-14,0.0,0.0
9.512034870307564e-06,4.255e-14,0.0,0.0
1.033916833729083e-05,2.75e-14,0.0,0.0
1.1145623467599516e-05,4.0425e-14,1.8865e-15,0.0
