Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
6257575757.575757,1.8400802948081675e-30,1.8400802948081675e-30,4.427773145783809e-21
6915690744.927917,2.24734000209743e-30,2.24734000209743e-30,5.4077624341384906e-21
7643020289.6992445,2.7447142778882054e-30,2.7447142778882054e-30,6.6045956061502805e-21
8446843750.4377165,3.35213338695277e-30,3.35213338695277e-30,8.066231579091521e-21
9335206062.512796,4.0939315304142524e-30,4.0939315304142524e-30,9.851226808882067e-21
10316998254.53262,4.9998182729909546e-30,4.9998182729909546e-30,1.2031072990731434e-20
11402046432.74667,6.1060635063396166e-30,6.1060635063396166e-30,1.4693048659768482e-20
12601210124.0198,7.45694255798075e-30,7.45694255798075e-30,1.7943696877831246e-20
13926490961.627108,9.106498081753493e-30,9.106498081753493e-30,2.191306533234228e-20
15391152801.63364,1.1120687483118467e-29,1.1120687483118467e-29,2.675987435005187e-20
17009854472.024023,1.3579999247442783e-29,1.3579999247442783e-29,3.267781352317312e-20
18798796483.179955,1.658263912406781e-29,1.658263912406781e-29,3.9903209998432006e-20
20775883168.033245,2.0248408216459174e-29,2.0248408216459174e-29,4.8724362302569027e-20
22960901874.647694,2.472342025469018e-29,2.472342025469018e-29,5.94928943596034e-20
25375721004.649254,3.018583536691887e-29,3.018583536691887e-29,7.26375567569082e-20
28044508879.539703,3.6852823269076875e-29,3.6852823269076875e-29,8.868098815278884e-20
30993975625.38155,4.4989003461338197e-29,4.4989003461338197e-29,1.0826003355132965e-19
34253640496.71718,5.491658903482159e-29,5.491658903482159e-29,1.321501676689593e-19
37856127315.1901,6.702788701877535e-29,6.702788701877535e-29,1.6129558921230456e-19
41837490979.71725,8.180016757580581e-29,8.180016757580581e-29,1.9684502772603084e-19
46237578316.035736,9.981379646370017e-29,9.981379646370017e-29,2.4019540923370374e-19
51100426877.12788,1.2177381175640089e-28,1.2177381175640089e-28,2.9304383004897807e-19
56474705685.85291,1.4853611692222095e-28,1.4853611692222095e-28,3.574506541413351e-19
62414202330.88607,1.8113847552974632e-28,1.8113847552974632e-28,4.359142020798224e-19
68978361290.98459,2.2083506951902235e-28,2.2083506951902235e-28,5.314541157874399e-19
76232878875.31113,2.6912287889573102e-28,2.6912287889573102e-28,6.476754608776853e-19
84250360734.17725,3.277866436444086e-28,3.277866436444086e-28,7.888773772721508e-19
93111048520.79517,3.9895191368816078e-28,3.9895191368816078e-28,9.601813263772365e-19
102903622976.71338,4.851464821804298e-28,4.851464821804298e-28,1.167679721478821e-18
113726091478.48463,5.893848881063955e-28,5.893848881063955e-28,1.4186399997062951e-18
125686768928.43192,7.1525454881945445e-28,7.1525454881945445e-28,1.7217131828660988e-18
138905361806.5969,8.670391799861281e-28,8.670391799861281e-28,2.08723197781261e-18
153514166233.4267,1.049842954036021e-27,1.049842954036021e-27,2.527511525843397e-18
169659392033.81378,1.2697491058447344e-27,1.2697491058447344e-27,3.0572332515323547e-18
187502626054.16623,1.5340102428646757e-27,1.5340102428646757e-27,3.69390554990077e-18
207222449377.87762,1.8512862729516428e-27,1.8512862729516428e-27,4.45843942689056e-18
229016224624.83347,2.2316896668672073e-27,2.2316896668672073e-27,5.3752669895710826e-18
253102071222.84598,2.686234919245631e-27,2.686234919245631e-27,6.471042557295139e-18
279721048420.2007,3.2305551127866173e-27,3.2305551127866173e-27,7.783513313624204e-18
309139567887.63586,3.8801143110939144e-27,3.8801143110939144e-27,9.350130730181384e-18
341652060055.8874,4.657022992940711e-27,4.657022992940711e-27,1.1224312923592528e-17
377583920874.40155,5.5830033640314864e-27,5.5830033640314864e-27,1.3458708429530939e-17
417294768483.3649,6.689065053147603e-27,6.689065053147603e-27,1.6128287474927976e-17
461182042392.9251,8.005534530093946e-27,8.005534530093946e-27,1.9306617126553764e-17
509684981191.3915,9.576573700501919e-27,9.576573700501919e-27,2.3100514828014815e-17
563289018592.6592,1.1444070169555185e-26,1.1444070169555185e-26,2.7611701070642097e-17
622530641819.98,1.3670438676832713e-26,1.3670438676832713e-26,3.299122758418811e-17
688002760950.4093,1.6313941262149886e-26,1.6313941262149886e-26,3.93807089943305e-17
760360642958.1445,1.94596241330731e-26,1.94596241330731e-26,4.698620266563298e-17
840328469846.642,2.3187795720967175e-26,2.3187795720967175e-26,5.600312075681644e-17
928706586505.5171,2.76183958443051e-26,2.76183958443051e-26,6.672222888397418e-17
1026379510831.2039,3.2861454101892247e-26,3.2861454101892247e-26,7.941157569266081e-17
1134324786279.3552,3.908100610802887e-26,3.908100610802887e-26,9.446925793211711e-17
1253622765448.3186,4.6425304792356326e-26,4.6425304792356326e-26,1.1225699842976864e-16
1385467422611.0498,5.512003817677636e-26,5.512003817677636e-26,1.333230489238501e-16
1531178303410.9546,6.536459658723936e-26,6.536459658723936e-26,1.5815466850815907e-16
1692213731318.1982,7.746829748641384e-26,7.746829748641384e-26,1.875040341523327e-16
1870185403021.15,9.169791219097766e-26,9.169791219097766e-26,2.2202416206204668e-16
2066874518828.5603,1.0847448600283714e-25,1.0847448600283714e-25,2.6274008419154136e-16
2284249609520.9214,1.2815313191463973e-25,1.2815313191463973e-25,3.105226058571437e-16
2524486238068.176,1.513061592607095e-25,1.513061592607095e-25,3.667665859459617e-16
2789988773395.145,1.7840437963924692e-25,1.7840437963924692e-25,4.3262864837490614e-16
3083414454113.8613,2.102194233066378e-25,2.102194233066378e-25,5.09991829838414e-16
3407699983060.7397,2.4735750363134613e-25,2.4735750363134613e-25,6.00349351670453e-16
3766090918805.605,2.9083977037432096e-25,2.9083977037432096e-25,7.0619733344453975e-16
4162174158292.7485,3.4144383946614014e-25,3.4144383946614014e-25,8.294564513124343e-16
4599913835711.135,4.005197667834359e-25,4.005197667834359e-25,9.734322835410058e-16
5083690996881.748,4.690484846511687e-25,4.690484846511687e-25,1.140555620050929e-15
5618347446236.708,5.487999121181973e-25,5.487999121181973e-25,1.3351679703157309e-15
6209234205225.391,6.409913678114644e-25,6.409913678114644e-25,1.5602974690794275e-15
6862265067135.656,7.479267323425132e-25,7.479267323425132e-25,1.821606424651687e-15
7583975784324.765,8.710905730079725e-25,8.710905730079725e-25,2.1228043108077996e-15
8381589480225.676,1.013458313025733e-24,1.013458313025733e-24,2.4712191706339713e-15
