Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
6.010008340954477e-06,2.2673233440033133e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2673233440033133e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2673233440033133e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5475550346236122e-21,5.83270109988092e-19
6.642086435814944e-06,1.318915555999052e-15,1.3195862047935057e-15,0.0,8.261844694319195e-31,0.0,1.3713084890287609e-19,0.0,2.5916063326988587e-34,0.0,8.375879082159107e-30,0.0,1.5136862505997165e-61,1.3188218121332137e-15,1.3194554317845357e-15,0.0,2.0082839071492175e-21,0.0,1.4252061381767878e-19,0.0,6.4274586080349625e-25,0.0,1.984723842182003e-20,0.0,3.6402913214763915e-52,1.318915555999052e-15,1.3195862047935057e-15,0.0,8.261844694319195e-31,0.0,1.3713084890287609e-19,0.0,2.5916063326988587e-34,0.0,8.375879082159107e-30,0.0,1.5136862505997165e-61,2.5475550346236122e-21,5.83270109988092e-19
7.3406407642074194e-06,1.6277622848500417e-15,1.629131912100646e-15,0.0,1.0023603775062013e-30,0.0,1.5626048621470363e-19,0.0,3.1263874586618124e-34,0.0,1.0009752506176352e-29,0.0,1.9670778152615018e-61,1.6276851237484877e-15,1.6290126376790096e-15,0.0,2.436307813028363e-21,0.0,1.6250849172550001e-19,0.0,7.753863910194987e-25,0.0,2.3719479818982545e-20,0.0,4.731078329330047e-52,1.6277622848500417e-15,1.629131912100646e-15,0.0,1.0023603775062013e-30,0.0,1.5626048621470363e-19,0.0,3.1263874586618124e-34,0.0,1.0009752506176352e-29,0.0,1.9670778152615018e-61,2.5475550346236122e-21,5.83270109988092e-19
8.11266269264262e-06,1.9930918406963412e-15,1.9953103890589848e-15,0.0,1.2075293552685715e-30,0.0,1.768998698124314e-19,0.0,3.7474676204400824e-34,0.0,1.1861543458705912e-29,0.0,2.5382476370303623e-61,1.9930396010513573e-15,1.9952107512019454e-15,0.0,2.9347285510997487e-21,0.0,1.8409525736288668e-19,0.0,9.29428846905468e-25,0.0,2.8108259847348903e-20,0.0,6.1053081208377035e-52,1.9930918406963412e-15,1.9953103890589848e-15,0.0,1.2075293552685715e-30,0.0,1.768998698124314e-19,0.0,3.7474676204400824e-34,0.0,1.1861543458705912e-29,0.0,2.5382476370303623e-61,2.5475550346236122e-21,5.83270109988092e-19
8.965878876065911e-06,2.4217753955535162e-15,2.4251120364020682e-15,0.0,1.4451500594638319e-30,0.0,1.9906978689506833e-19,0.0,4.4655948606873304e-34,0.0,1.394325330261582e-29,0.0,3.253818397745001e-61,2.4217574387327255e-15,2.425041131748659e-15,0.0,3.511942069870167e-21,0.0,2.0730630837958247e-19,0.0,1.1075383318071202e-24,0.0,3.304202220824522e-20,0.0,7.82705687128576e-52,2.4217753955535162e-15,2.4251120364020682e-15,0.0,1.4451500594638319e-30,0.0,1.9906978689506833e-19,0.0,4.4655948606873304e-34,0.0,1.394325330261582e-29,0.0,3.253818397745001e-61,2.5475550346236122e-21,5.83270109988092e-19
9.908828588816834e-06,2.9214503808461177e-15,2.926212445431104e-15,0.0,1.7191145889298103e-30,0.0,2.2280367496450064e-19,0.0,5.2929905880399564e-34,0.0,1.6267546335253005e-29,0.0,4.14609635834649e-61,2.9214769092787757e-15,2.926180206806371e-15,0.0,4.1773973022227165e-21,0.0,2.3218040348692853e-19,0.0,1.3127454663502316e-24,0.0,3.8550778852664145e-20,0.0,9.974078440849112e-52,2.9214503808461177e-15,2.926212445431104e-15,0.0,1.7191145889298103e-30,0.0,2.2280367496450064e-19,0.0,5.2929905880399564e-34,0.0,1.6267546335253005e-29,0.0,4.14609635834649e-61,2.5475550346236122e-21,5.83270109988092e-19
1.0950949188556901e-05,3.500629119617839e-15,3.507161477042999e-15,0.0,2.0338424236315425e-30,0.0,2.4815002675713236e-19,0.0,6.243631682218783e-34,0.0,1.884851587884553e-29,0.0,5.254361015533453e-61,3.5007111066276652e-15,3.5071785892504715e-15,0.0,4.941824018931338e-21,0.0,2.587722271000878e-19,0.0,1.5485163502768429e-24,0.0,4.4667926495165287e-20,0.0,1.2640908048294903e-51,3.500629119617839e-15,3.507161477042999e-15,0.0,2.0338424236315425e-30,0.0,2.4815002675713236e-19,0.0,6.243631682218783e-34,0.0,1.884851587884553e-29,0.0,5.254361015533453e-61,2.5475550346236122e-21,5.83270109988092e-19
1.2102670568517216e-05,4.168911076986673e-15,4.177596460691925e-15,0.0,2.394381714681069e-30,0.0,2.7517379175938893e-19,0.0,7.333557227394783e-34,0.0,2.170237736770769e-29,0.0,6.626445673698336e-61,4.169060247146358e-15,4.177674327943978e-15,0.0,5.8174784558157074e-21,0.0,2.8715391885549033e-19,0.0,1.8188286209114158e-24,0.0,5.1431890142586674e-20,0.0,1.5942666171816498e-51,4.168911076986673e-15,4.177596460691925e-15,0.0,2.394381714681069e-30,0.0,2.7517379175938893e-19,0.0,7.333557227394783e-34,0.0,2.170237736770769e-29,0.0,6.626445673698336e-61,2.5475550346236122e-21,5.83270109988092e-19
1.3375519543375262e-05,4.937212682002569e-15,4.948473348165921e-15,0.0,2.8065178598584348e-30,0.0,3.039569885886833e-19,0.0,8.581202592709667e-34,0.0,2.484805165325992e-29,0.0,8.320668946869158e-61,4.937441546139961e-15,4.948624117953539e-15,0.0,6.818406580008313e-21,0.0,3.174157873347943e-19,0.0,2.128254287970059e-24,0.0,5.888750633672243e-20,0.0,2.001970708337805e-51,4.937212682002569e-15,4.948473348165921e-15,0.0,2.8065178598584348e-30,0.0,3.039569885886833e-19,0.0,8.581202592709667e-34,0.0,2.484805165325992e-29,0.0,8.320668946869158e-61,2.5475550346236122e-21,5.83270109988092e-19
1.4782235213490827e-05,5.818012054758409e-15,5.832312981298682e-15,0.0,3.276890394780355e-30,0.0,3.3459876216097087e-19,0.0,1.0007765958455299e-33,0.0,2.830763527459902e-29,0.0,1.0408191711268912e-60,5.818333998059947e-15,5.8325496233078095e-15,0.0,7.9607275100986e-21,0.0,3.4966644900787e-19,0.0,2.4820506134288652e-24,0.0,6.708713833243358e-20,0.0,2.504329133510792e-51,5.818012054758409e-15,5.832312981298682e-15,0.0,3.276890394780355e-30,0.0,3.3459876216097087e-19,0.0,1.0007765958455299e-33,0.0,2.830763527459902e-29,0.0,1.0408191711268912e-60,2.5475550346236122e-21,5.83270109988092e-19
