Energy,Flux Value,Flux Error,Is Upper Limit
6.244857675723662e-07,1.4043e-15,0.0,0.0
6.244857675723662e-07,1.4e-15,0.0,0.0
1.5095185772444614e-06,2.2995e-15,1.2775e-16,0.0
1.5095185772444614e-06,2.2995e-15,4.599e-16,0.0
1.5095185772444614e-06,2.2995e-15,4.599e-16,0.0
1.5095185772444614e-06,2.2995e-15,4.599e-16,0.0
1.5095185772444614e-06,2.2995e-15,4.745e-16,0.0
1.5095185772444614e-06,2.2995e-15,4.599e-16,0.0
1.5095185772444614e-06,2.2995e-15,4.599e-16,0.0
1.5095185772444614e-06,2.3e-15,1.28e-16,0.0
1.5880962566078716e-06,2.2694e-15,0.0,0.0
3.4863675633344683e-06,6.6934e-15,0.0,0.0
5.665864248835375e-06,1.18e-14,0.0,0.0
5.7899342688828654e-06,1.0906e-14,0.0,0.0
5.7899342688828654e-06,1.1116e-14,2.226e-15,0.0
5.7899342688828654e-06,1.862e-14,0.0,0.0
5.7899342688828654e-06,2.982e-14,0.0,0.0
5.7899342688828654e-06,2.898e-14,0.0,0.0
5.7899342688828654e-06,1.512e-14,0.0,0.0
5.7899342688828654e-06,1.1116e-14,3.36e-16,0.0
5.7899342688828654e-06,1.498e-14,0.0,0.0
5.7899342688828654e-06,1.5988e-14,0.0,0.0
5.7899342688828654e-06,1.1116e-14,2.226e-15,0.0
5.7899342688828654e-06,1.1116e-14,2.226e-15,0.0
5.7899342688828654e-06,1.1116e-14,0.0,0.0
5.7899342688828654e-06,1.1116e-14,2.226e-15,0.0
5.7899342688828654e-06,1.1118e-14,3.3359e-16,0.0
5.7899342688828654e-06,1.1116e-14,2.226e-15,0.0
5.7899342688828654e-06,1.11e-14,3.33e-16,0.0
5.7899342688828654e-06,8.68e-15,0.0,0.0
5.7899342688828654e-06,1.6e-14,0.0,0.0
5.7899342688828654e-06,3.06e-14,0.0,0.0
6.0380743089778456e-06,2.86e-14,0.0,0.0
6.05461697831751e-06,5.2997e-14,0.0,0.0
6.203501002374499e-06,9e-15,0.0,0.0
6.203501002374499e-06,9e-15,0.0,0.0
6.865207775961112e-06,3.34e-14,0.0,0.0
6.906564449310275e-06,1.92e-14,0.0,0.0
7.030634469357765e-06,3.84e-14,0.0,0.0
9.305251503561748e-06,5.08e-14,0.0,0.0
9.512034870307564e-06,4.324e-14,0.0,0.0
9.512034870307564e-06,4.853e-14,0.0,0.0
9.512034870307564e-06,3.404e-14,0.0,0.0
9.512034870307564e-06,4.807e-14,0.0,0.0
9.925601603799198e-06,3.216e-14,0.0,0.0
9.925601603799198e-06,2.784e-14,0.0,0.0
1.033916833729083e-05,4.6e-14,0.0,0.0
1.033916833729083e-05,1.7e-14,0.0,0.0
1.1166301804274097e-05,4.374e-14,8.64e-15,0.0
1.1166301804274097e-05,4.374e-14,0.0,0.0
1.1166301804274097e-05,4.374e-14,8.64e-15,0.0
1.1166301804274097e-05,4.37e-14,0.0,0.0
1.1166301804274097e-05,4.374e-14,8.64e-15,0.0
1.1166301804274097e-05,4.374e-14,8.64e-15,0.0
1.1166301804274097e-05,4.374e-14,8.64e-15,0.0
1.1166301804274097e-05,4.374e-14,0.0,0.0
