Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
4795918367.346939,2.6604696839820697e-21,2.465097692538065e-30,3.3612780187728483e-21
5300309505.056678,3.249416291692595e-21,3.010800216050513e-30,4.105360546354041e-21
5857747921.78857,3.968722702608767e-21,3.677292744847469e-30,5.014140670158396e-21
6473812648.578792,4.8472371065332585e-21,4.491306492773666e-30,6.124065179871605e-21
7154669468.279562,5.9201890922386145e-21,5.485486099633209e-30,7.479643026075674e-21
7907132624.786329,7.23060012550798e-21,6.699696802632498e-30,9.135227257217505e-21
8738733022.281013,8.831005289447455e-21,8.182620126885463e-30,1.1157190175399821e-20
9657793597.052286,1.0785554756093104e-20,9.99370158448308e-30,1.3626578201097634e-20
10673512616.239388,1.3172578421569189e-20,1.2205527756857701e-29,1.664235183537006e-20
11796055737.181292,1.608771532681897e-20,1.4906727019022383e-29,2.032533908031747e-20
13036657748.732157,1.9647731578900864e-20,1.8205508677653138e-29,2.482305857815527e-20
14407735012.804325,2.3995177294480826e-20,2.2233980194496596e-29,3.031560257857823e-20
15923009731.49161,2.930406557486268e-20,2.715341235666881e-29,3.702281086285876e-20
17597647283.48005,3.5786795840970936e-20,3.3160658813424775e-29,4.5213016391155326e-20
19448408004.255077,4.370259136904075e-20,4.049598060326065e-29,5.52137034124715e-20
21493814929.17235,5.3367778178420396e-20,4.9452579656282825e-29,6.742449110536222e-20
23754339178.22147,6.516829545539517e-20,6.038820418394787e-29,8.233293529560417e-20
26252604837.87535,7.957485325548362e-20,7.373921455286456e-29,1.0053367248611545e-19
29013615390.551888,9.716155564908434e-20,9.003786415197872e-29,1.2275194094286613e-19
32065003957.869972,1.1862835742624609e-19,1.0993314939374054e-28,1.4987193998881248e-19
35437309862.21843,1.4482847669291215e-19,1.3421626278240939e-28,1.8297144727498412e-19
39164284274.55915,1.7680150786544913e-19,1.6385135963473982e-28,2.233636283653678e-19
43283228007.49018,2.158137442230655e-19,2.0001302898206211e-28,2.726479476968063e-19
47835364834.31551,2.634068074373976e-19,2.4413152283813176e-28,3.327715560776969e-19
52866254070.42403,3.214543535379257e-19,2.9794558062625057e-28,4.0610084840499383e-19
58426246546.23095,3.922186553096041e-19,3.63555568694831e-28,4.954927361020451e-19
64570988535.2122,4.784307043904287e-19,4.43498337466652e-28,6.043956565656303e-19
71361978680.51259,5.833891078070674e-19,5.4083987077973805e-28,7.36974212508633e-19
78867183494.0369,7.110769889660825e-19,6.592848382452563e-28,8.98256492017859e-19
87161717588.14532,8.663160980121572e-19,8.033209768341567e-28,1.0943282906280398e-18
96328595447.94086,1.0549399273947686e-18,9.783817289208359e-28,1.3325511499372078e-18
106459562268.13846,1.2840232345361876e-18,1.1910615236728779e-27,1.6218515440727037e-18
117656012169.81017,1.5621414288997838e-18,1.4493599559012227e-27,1.973047426352505e-18
130030002986.82867,1.8996941671783896e-18,1.762986321754637e-27,2.399255633331405e-18
143705377778.33267,2.3093026448081288e-18,2.1437339354817726e-27,2.916391941368729e-18
158819004291.68762,2.8062990934916726e-18,2.60594125358372e-27,3.543787198142223e-18
175522144780.90466,3.409128912391751e-18,3.166879492085961e-27,4.304690831050375e-18
193981969890.11917,4.139340026577744e-18,3.846774036215354e-27,5.226247968232774e-18
214383231753.58566,5.025232053162243e-18,4.6721337907865094e-27,6.344125280476101e-18
236930113057.13458,6.0986964493836305e-18,5.672964215376677e-27,7.698476394109476e-18
261848270567.12033,7.401265141807528e-18,6.888235490087173e-27,9.341624759490706e-18
289387093579.1851,8.980180403460325e-18,8.362501507165603e-27,1.133301951130121e-17
319822199890.15125,1.08962720521059e-17,1.0152950242755806e-26,1.37492626728971e-17
353458194273.57166,1.3219388351697326e-17,1.2325616776389014e-26,1.6678201032082282e-17
390631717066.68396,1.6039354366227124e-17,1.4965096102714472e-26,2.0232904673250835e-17
431714813380.0536,1.94591203545979e-17,1.8168972504453952e-26,2.4542774284278596e-17
477118656650.091,2.3610995578543663e-17,2.2062089505882193e-26,2.9774285460569987e-17
527297663801.0006,2.864721463413674e-17,2.6789105595679626e-26,3.6118675652135065e-17
582754043202.0963,3.476023017052728e-17,3.253208424712561e-26,4.3817951271163186e-17
644042820937.9562,4.217459903430137e-17,3.950496150029428e-26,5.315403122444524e-17
711777395696.0306,5.117463209555478e-17,4.797726354299785e-26,6.448425972195816e-17
786635677866.8762,6.209123244359615e-17,5.826508324815916e-26,7.822380998876669e-17
869366874299.1947,7.534037012299371e-17,7.076379474875407e-26,9.489518932835542e-17
960798986613.7976,9.140801283924787e-17,8.593895539185421e-26,1.1510771485349244e-16
1061847098122.1222,1.1090539039753345e-16,1.0437301978419176e-25,1.396287073992635e-16
1173522532287.5876,1.3454711229881477e-16,1.2675255298703307e-25,1.6935355661267373e-16
1296942974390.7327,1.6323172086633504e-16,1.5393604641635805e-25,2.054095782928902e-16
1433343657699.1667,1.98010365232416e-16,1.869363209806258e-25,2.4911294191601513e-16
1584089726097.296,2.4020342414326916e-16,2.270183334644724e-25,3.021191502719803e-16
1750689896905.149,2.9135763048990136e-16,2.756767312571014e-25,3.663635817504774e-16
1934811560628.4236,3.5341537621173426e-16,3.3477741578138845e-25,4.44280080124138e-16
2138297468763.0928,4.2865378174853256e-16,4.0652712388004565e-25,5.387160015034152e-16
2363184176671.7397,5.199282773949813e-16,4.936764460091669e-25,6.532469078495592e-16
2611722426114.1514,6.30580106499532e-16,5.994733362030691e-25,7.920476919310152e-16
2886399671427.3335,7.647966213174796e-16,7.279632938174943e-25,9.603581013725397e-16
3189964974804.593,9.274878683794357e-16,8.839334923565416e-25,1.1643088880776722e-15
3525456519833.9536,1.1248043376625612e-15,1.0733430465692348e-24,1.411591120050601e-15
3896232018660.667,1.3639585062571852e-15,1.3032448135215855e-24,1.7112039881693098e-15
4306002317098.9453,1.6539833063568689e-15,1.5824154670521952e-24,2.0744353905944732e-15
4758868534024.105,2.005472262093331e-15,1.921244174668732e-24,2.5144938967790407e-15
5259363106748.7295,2.4316920298265262e-15,2.3326568740482057e-24,3.0479470927567745e-15
5812495153178.688,2.9482000640573424e-15,2.831953670208807e-24,3.694179705869467e-15
6423800604748.74,3.5744753565952745e-15,3.4381640881921536e-24,4.4775017859648806e-15
7099397611885.069,4.333350256863836e-15,4.173803309922483e-24,5.4263440545428486e-15
7846047776511.079,5.253403369578667e-15,5.066862349329014e-24,6.5763509544990476e-15
8671223824432.141,6.368104729602541e-15,6.150431310032929e-24,7.969173087085666e-15
9583184394887.102,7.719328351308951e-15,7.465623888844544e-24,9.657006605357482e-15
10591056695785.596,9.356067649877552e-15,9.06099402256912e-24,1.1700783795967424e-14
11704927851872.605,1.1339580488855638e-14,1.0996824180316467e-23,1.4176820851426365e-14
12935945860063.262,1.3741412275865745e-14,1.3344176113021578e-23,1.71740490237354e-14
14296431162342.984,1.6650915963181715e-14,1.619116478386432e-23,2.080372917759579e-14
15799999952891.889,2.017217831718838e-14,1.964138507236439e-23,2.5195176584136455e-14
17461700453532.74,2.443496339873909e-14,2.3823046352883835e-23,3.050989672013455e-14
19298163521392.727,2.9589848474426495e-14,2.888629346050066e-23,3.6934877991931984e-14
