Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
4.6061782560757e-06,3.787680873515816e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.787680873515816e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.787680873515816e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5880716124892272e-22,1.4873376210112153e-18
5.090614252087256e-06,5.78639342900575e-20,5.718993490614336e-20,0.0,3.0185616670208767e-24,0.0,8.304450109445051e-23,0.0,1.4217455479825702e-27,0.0,1.7199240835567582e-26,0.0,2.6271987619545297e-57,5.776915790653407e-20,5.707038155529762e-20,0.0,3.749775822858311e-24,0.0,9.656162465166486e-23,0.0,1.7674494971007104e-27,0.0,2.129421362938064e-26,0.0,3.3345479244374306e-57,5.825138844361209e-20,5.767542015273927e-20,0.0,3.0115099299427326e-33,0.0,2.9404594838570505e-23,0.0,1.4142927240283173e-36,0.0,1.739742422618624e-35,0.0,2.389114741289039e-66,1.5880716124892272e-22,1.4873376210112153e-18
5.625998826548258e-06,7.777031688941812e-20,7.686547669674423e-20,0.0,4.065805010924682e-24,0.0,1.0897449626404162e-22,0.0,1.9150571466486903e-27,0.0,2.2488751074653985e-26,0.0,3.794129511470186e-57,7.764425921343488e-20,7.670634310203023e-20,0.0,5.050825389058613e-24,0.0,1.2702539511716748e-22,0.0,2.380771663962212e-27,0.0,2.7843955026528315e-26,0.0,4.8158110800624904e-57,7.828602008842012e-20,7.751212528550722e-20,0.0,4.055932293577305e-33,0.0,3.73221271885815e-23,0.0,1.904837254872333e-36,0.0,2.27452054520222e-35,0.0,3.4498886586582414e-66,1.5880716124892272e-22,1.4873376210112153e-18
6.2176902882288405e-06,1.044917874197063e-19,1.0327715789077941e-19,0.0,5.47547426591474e-24,0.0,1.4304499902145563e-22,0.0,2.579118108069492e-27,0.0,2.939657088897769e-26,0.0,5.479655881934652e-57,1.043240394414055e-19,1.0306524930820107e-19,0.0,6.802170008664598e-24,0.0,1.6715088387523334e-22,0.0,3.206398562679068e-27,0.0,3.639779577365057e-26,0.0,6.955420660994154e-57,1.0517853254824005e-19,1.0413883744895063e-19,0.0,5.4617049932202285e-33,0.0,4.732803753555788e-23,0.0,2.5651244486689548e-36,0.0,2.9728411984018445e-35,0.0,4.981919713036881e-66,1.5880716124892272e-22,1.4873376210112153e-18
6.871610484151915e-06,1.4034879425998217e-19,1.387185536178126e-19,0.0,7.372699390656738e-24,0.0,1.8783905434800443e-22,0.0,3.4728922281025176e-27,0.0,3.841880950613881e-26,0.0,7.914506479490202e-57,1.4012545185294973e-19,1.3843624281600074e-19,0.0,9.159285194648629e-24,0.0,2.200323107794904e-22,0.0,4.31764821477257e-27,0.0,4.757017257553358e-26,0.0,1.0046305187931558e-56,1.4126377767864305e-19,1.398672700290094e-19,0.0,7.35356234235973e-33,0.0,5.996846935649005e-23,0.0,3.4537580463684295e-36,0.0,3.884821095254563e-35,0.0,7.194810485637766e-66,1.5880716124892272e-22,1.4873376210112153e-18
7.594304067428429e-06,1.8844732397268252e-19,1.862597271161315e-19,0.0,9.92573811810852e-24,0.0,2.4677135892689585e-22,0.0,4.6756710082885074e-27,0.0,5.020470725348916e-26,0.0,1.1432278528523558e-56,1.8814980639533439e-19,1.858834569953578e-19,0.0,1.2331235279496167e-23,0.0,2.8976780513896684e-22,0.0,5.81311605327803e-27,0.0,6.216519435446422e-26,0.0,1.4512002948249817e-56,1.896670239484148e-19,1.8779176396282067e-19,0.0,9.899224067972145e-33,0.0,7.593367372585393e-23,0.0,4.6495421108820954e-36,0.0,5.076040512823944e-35,0.0,1.0391586007991017e-65,1.5880716124892272e-22,1.4873376210112153e-18
8.393003998345484e-06,2.529433954498283e-19,2.500087374835442e-19,0.0,1.3360837464739536e-23,0.0,3.243604818339679e-22,0.0,6.29408061810287e-27,0.0,6.560427970735825e-26,0.0,1.6515464748853453e-56,2.525468639632651e-19,2.495070174225459e-19,0.0,1.6599140365108994e-23,0.0,3.8178994220270077e-22,0.0,7.825388415123001e-27,0.0,8.123566201850469e-26,0.0,2.096510570230093e-56,2.5457010414796484e-19,2.5205287444033967e-19,0.0,1.332420582953326e-32,0.0,9.609708859823229e-23,0.0,6.258442981503929e-36,0.0,6.632352413474631e-35,0.0,1.50104814059129e-65,1.5880716124892272e-22,1.4873376210112153e-18
9.275703934264073e-06,3.3939626607831376e-19,3.3546090832767583e-19,0.0,1.798222964350348e-23,0.0,4.265917110200143e-22,0.0,8.471510590510105e-27,0.0,8.573094831950375e-26,0.0,2.3862191462928096e-56,3.388675082584789e-19,3.347916341153061e-19,0.0,2.2341023603008215e-23,0.0,5.033067915561076e-22,0.0,1.0532767746500917e-26,0.0,1.061606556872848e-25,0.0,3.029200328564133e-56,3.415668315926567e-19,3.381894179888936e-19,0.0,1.793174556480453e-32,0.0,1.215654230575935e-22,0.0,8.422956872842883e-36,0.0,8.666203362578544e-35,0.0,2.1685526569170025e-65,1.5880716124892272e-22,1.4873376210112153e-18
1.02512382328285e-05,4.5524009049665165e-19,4.499653125771843e-19,0.0,2.4199048863461644e-23,0.0,5.614012264063615e-22,0.0,1.140080728011694e-26,0.0,1.1204398597373117e-25,0.0,3.4483067767840525e-56,4.545346913733727e-19,4.490721834054623e-19,0.0,3.0065258979352567e-23,0.0,6.638910373598916e-22,0.0,1.4175058024547754e-26,0.0,1.3874767281854423e-25,0.0,4.377586713839259e-56,4.581376095594598e-19,4.536086671941341e-19,0.0,2.4129625105442966e-32,0.0,1.5374295206842939e-22,0.0,1.133472024130796e-35,0.0,1.1324952912415898e-34,0.0,3.1334455134396e-65,1.5880716124892272e-22,1.4873376210112153e-18
1.1329370369187269e-05,6.104137992450309e-19,6.033478782751095e-19,0.0,3.256158558862741e-23,0.0,7.393229179060822e-22,0.0,1.5341372616792598e-26,0.0,1.4645722407874945e-25,0.0,4.984186441720989e-56,6.094723616728165e-19,6.021556096362861e-19,0.0,4.045562293567487e-23,0.0,8.762677554731525e-22,0.0,1.9074828967741874e-26,0.0,1.8136730645566363e-25,0.0,6.327529657291587e-56,6.142832446647539e-19,6.082144050326496e-19,0.0,3.246629377362353e-32,0.0,1.9441418638484829e-22,0.0,1.5251495287701065e-35,0.0,1.4801841035352955e-34,0.0,4.528638072476544e-65,1.5880716124892272e-22,1.4873376210112153e-18
