Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
6.1753728671748845e-06,7.482618306921452e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5089742914417053e-21,1.874989288528228e-18,7.482618306921452e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.482618306921452e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8248425010750964e-06,1.4972113051414614e-20,1.3117544238303116e-20,0.0,2.5723959439026343e-33,0.0,1.8476707599118975e-21,0.0,2.2761182830493107e-36,0.0,6.786168915298161e-35,0.0,5.27994853891068e-64,1.5089742914417053e-21,1.874989288528228e-18,1.4376125693880878e-20,1.2446078298391548e-20,0.0,1.0443559092613248e-24,0.0,1.894796046682326e-21,0.0,9.257568503757732e-28,0.0,2.713416053411714e-26,0.0,2.1637283559290777e-55,1.4972113051414614e-20,1.3117544238303116e-20,0.0,2.5723959439026343e-33,0.0,1.8476707599118975e-21,0.0,2.2761182830493107e-36,0.0,6.786168915298161e-35,0.0,5.27994853891068e-64
7.5426174526348755e-06,2.1395347994872374e-20,1.8827594878585676e-20,0.0,3.692408367780836e-33,0.0,2.555874612517577e-21,0.0,3.267631281073945e-36,0.0,9.70606467812587e-35,0.0,8.105026956543973e-64,1.5089742914417053e-21,1.874989288528228e-18,2.0546895866821444e-20,1.7871077463163478e-20,0.0,1.4996737613834e-24,0.0,2.623780988937631e-21,0.0,1.3295721091526121e-27,0.0,3.882510545850629e-26,0.0,3.322808012705525e-55,2.1395347994872374e-20,1.8827594878585676e-20,0.0,3.692408367780836e-33,0.0,2.555874612517577e-21,0.0,3.267631281073945e-36,0.0,9.70606467812587e-35,0.0,8.105026956543973e-64
8.335881454821868e-06,3.058558634865852e-20,2.7030491952169694e-20,0.0,5.3015439599978584e-33,0.0,3.535098936287683e-21,0.0,4.692397103152235e-36,0.0,1.3882564981881906e-34,0.0,1.2445489375163904e-63,1.5089742914417053e-21,1.874989288528228e-18,2.937841166600703e-20,2.5668559468430422e-20,0.0,2.1541779780220055e-24,0.0,3.633007281460359e-21,0.0,1.910144251979134e-27,0.0,5.555623395661272e-26,0.0,5.1045373272857336e-55,3.058558634865852e-20,2.7030491952169694e-20,0.0,5.3015439599978584e-33,0.0,3.535098936287683e-21,0.0,4.692397103152235e-36,0.0,1.3882564981881906e-34,0.0,1.2445489375163904e-63
9.212573760395263e-06,4.373245160650358e-20,3.881120845553231e-20,0.0,7.612782993258711e-33,0.0,4.888200794079865e-21,0.0,6.739190794867197e-36,0.0,1.9852892337645027e-34,0.0,1.9113079334239483e-63,1.5089742914417053e-21,1.874989288528228e-18,4.201626782834229e-20,3.6873384548319164e-20,0.0,3.0947922067892862e-24,0.0,5.029422106956167e-21,0.0,2.7446591367919775e-27,0.0,7.948721201447259e-26,0.0,7.843058640444752e-55,4.373245160650358e-20,3.881120845553231e-20,0.0,7.612782993258711e-33,0.0,4.888200794079865e-21,0.0,6.739190794867197e-36,0.0,1.9852892337645027e-34,0.0,1.9113079334239483e-63
1.018146860061567e-05,6.253251783538284e-20,5.572234101315318e-20,0.0,1.0930959124662636e-32,0.0,6.756422904885184e-21,0.0,9.678262463244448e-36,0.0,2.838062382834749e-34,0.0,2.935192389719542e-63,1.5089742914417053e-21,1.874989288528228e-18,6.009524596813824e-20,5.296767729076663e-20,0.0,4.4460325758526746e-24,0.0,6.9601575842763e-21,0.0,3.9437087349561105e-27,0.0,1.1369029762427164e-25,0.0,1.2050896635802189e-54,6.253251783538284e-20,5.572234101315318e-20,0.0,1.0930959124662636e-32,0.0,6.756422904885184e-21,0.0,9.678262463244448e-36,0.0,2.838062382834749e-34,0.0,2.935192389719542e-63
1.1252263000700775e-05,8.940179973447615e-20,7.998221120043623e-20,0.0,1.569170680859583e-32,0.0,9.333331078567285e-21,0.0,1.3895914185299913e-35,0.0,4.054881602733949e-34,0.0,4.506650515795158e-63,1.5089742914417053e-21,1.874989288528228e-18,8.594491982693011e-20,7.60709573099205e-20,0.0,6.386002669868824e-24,0.0,9.627245602819876e-21,0.0,5.665517271004107e-27,0.0,1.6252716230468845e-25,0.0,1.8513263308041423e-54,8.940179973447615e-20,7.998221120043623e-20,0.0,1.569170680859583e-32,0.0,9.333331078567285e-21,0.0,1.3895914185299913e-35,0.0,4.054881602733949e-34,0.0,4.506650515795158e-63
1.2435673830913134e-05,1.2777516763327606e-19,1.1475483357586935e-19,0.0,2.2516524677306663e-32,0.0,1.2883615692939469e-20,0.0,1.9943399166664964e-35,0.0,5.789015522635898e-34,0.0,6.916806397350787e-63,1.5089742914417053e-21,1.874989288528228e-18,1.2287966272097198e-19,1.092091727554426e-19,0.0,9.16903486178481e-24,0.0,1.3307522941392768e-20,0.0,8.136084808536695e-27,0.0,2.3217621219812383e-25,0.0,2.843151160820701e-54,1.2777516763327606e-19,1.1475483357586935e-19,0.0,2.2516524677306663e-32,0.0,1.2883615692939469e-20,0.0,1.9943399166664964e-35,0.0,5.789015522635898e-34,0.0,6.916806397350787e-63
1.3743545064599545e-05,1.8252720141205297e-19,1.6454457565709606e-19,0.0,3.229042858664024e-32,0.0,1.776837332181222e-20,0.0,2.860590339624952e-35,0.0,8.2568227052722e-34,0.0,1.0609984082365611e-62,1.5089742914417053e-21,1.874989288528228e-18,1.7560671159851174e-19,1.5669442975744206e-19,0.0,1.3157661001761886e-23,0.0,1.8379474383187804e-20,0.0,1.1677639971739307e-26,0.0,3.3136801357517937e-25,0.0,4.364089819008853e-54,1.8252720141205297e-19,1.6454457565709606e-19,0.0,3.229042858664024e-32,0.0,1.776837332181222e-20,0.0,2.860590339624952e-35,0.0,8.2568227052722e-34,0.0,1.0609984082365611e-62
1.5188966316657536e-05,2.6056229289904804e-19,2.3575110022406746e-19,0.0,4.6271191432338415e-32,0.0,2.4478995453020322e-20,0.0,4.099961846380381e-35,0.0,1.1762910942411607e-33,0.0,1.6263176048669872e-62,1.5089742914417053e-21,1.874989288528228e-18,2.5079896932234605e-19,2.2465964168891565e-19,0.0,1.8867647073015618e-23,0.0,2.53593231296855e-20,0.0,1.6748732249644018e-26,0.0,4.7240744382867325e-25,0.0,6.694044742706674e-54,2.6056229289904804e-19,2.3575110022406746e-19,0.0,4.6271191432338415e-32,0.0,2.4478995453020322e-20,0.0,4.099961846380381e-35,0.0,1.1762910942411607e-33,0.0,1.6263176048669872e-62
1.6786403848800523e-05,3.7164007539251647e-19,3.3744779513862295e-19,0.0,6.624264516038723e-32,0.0,3.36824547322059e-20,0.0,5.87080130877473e-35,0.0,1.673493742316261e-33,0.0,2.490601906736927e-62,1.5089742914417053e-21,1.874989288528228e-18,3.578971527961518e-19,3.218094934487179e-19,0.0,2.7031278496124974e-23,0.0,3.4949410950640085e-20,0.0,2.4000590688547086e-26,0.0,6.725895208872818e-25,0.0,1.0259156494681863e-53,3.7164007539251647e-19,3.3744779513862295e-19,0.0,6.624264516038723e-32,0.0,3.36824547322059e-20,0.0,5.87080130877473e-35,0.0,1.673493742316261e-33,0.0,2.490601906736927e-62
1.8551845352767417e-05,5.295272820040983e-19,4.824712556743473e-19,0.0,9.472929777542009e-32,0.0,4.6281633061272547e-20,0.0,8.397265945887498e-35,0.0,2.377158736130486e-33,0.0,3.8101545682604553e-62,1.5089742914417053e-21,1.874989288528228e-18,5.102304836700843e-19,4.604728724710008e-19,0.0,3.868608116103999e-23,0.0,4.8102859632862877e-20,0.0,3.43561575991154e-26,0.0,9.56154118659659e-25,0.0,1.5707016387686982e-53,5.295272820040983e-19,4.824712556743473e-19,0.0,9.472929777542009e-32,0.0,4.6281633061272547e-20,0.0,8.397265945887498e-35,0.0,2.377158736130486e-33,0.0,3.8101545682604553e-62
2.050295996051543e-05,7.536012710200525e-19,6.88943100887278e-19,0.0,1.3529605102131546e-31,0.0,6.349542270309607e-20,0.0,1.1995976061450966e-34,0.0,3.370852375417828e-33,0.0,5.821795539192703e-62,1.5089742914417053e-21,1.874989288528228e-18,7.265787136052525e-19,6.580748643745305e-19,0.0,5.529890192403461e-23,0.0,6.610971983181933e-20,0.0,4.9120640014909445e-26,0.0,1.356976581699833e-24,0.0,2.4019895718137217e-53,7.536012710200525e-19,6.88943100887278e-19,0.0,1.3529605102131546e-31,0.0,6.349542270309607e-20,0.0,1.1995976061450966e-34,0.0,3.370852375417828e-33,0.0,5.821795539192703e-62
2.2659275082831037e-05,1.071076800477831e-18,9.823914530518865e-19,0.0,1.9296570101381822e-31,0.0,8.696471074184902e-20,0.0,1.7113140461983269e-34,0.0,4.770876134784063e-33,0.0,8.883643153481515e-62,1.5089742914417053e-21,1.874989288528228e-18,1.0333439567161012e-18,9.391916521552014e-19,0.0,7.893900810450342e-23,0.0,9.071135946425444e-20,0.0,7.013573625790327e-26,0.0,1.9222603238771364e-24,0.0,3.668487831301607e-53,1.071076800477831e-18,9.823914530518865e-19,0.0,1.9296570101381822e-31,0.0,8.696471074184902e-20,0.0,1.7113140461983269e-34,0.0,4.770876134784063e-33,0.0,8.883643153481515e-62
2.504237184622106e-05,1.520090202608119e-18,1.39870096555333e-18,0.0,2.7479896877259323e-31,0.0,1.1889211094746912e-19,0.0,2.437613034546175e-34,0.0,6.738604116267139e-33,0.0,1.3536178603748601e-61,1.5089742914417053e-21,1.874989288528228e-18,1.467562574827753e-18,1.3384123712011266e-18,0.0,1.125189374213258e-22,0.0,1.2425181913754967e-19,0.0,9.99942106507214e-26,0.0,2.7175863149105627e-24,0.0,5.594895994246325e-53,1.520090202608119e-18,1.39870096555333e-18,0.0,2.7479896877259323e-31,0.0,1.1889211094746912e-19,0.0,2.437613034546175e-34,0.0,6.738604116267139e-33,0.0,1.3536178603748601e-61
2.7676101084079916e-05,2.1539590727084913e-18,1.9882024549239974e-18,0.0,3.9069806466658344e-31,0.0,1.6222550256509514e-19,0.0,3.466492778867762e-34,0.0,9.497249021435575e-33,0.0,2.059346126065392e-61,1.5089742914417053e-21,1.874989288528228e-18,2.0810703952046526e-18,1.9043128408239217e-18,0.0,1.6012867602598747e-22,0.0,1.6987736249632732e-19,0.0,1.4233760872390055e-25,0.0,3.8337871640152915e-24,0.0,8.520064727371841e-53,2.1539590727084913e-18,1.9882024549239974e-18,0.0,3.9069806466658344e-31,0.0,1.6222550256509514e-19,0.0,3.466492778867762e-34,0.0,9.497249021435575e-33,0.0,2.059346126065392e-61
3.058682204384696e-05,3.047047625328359e-18,2.8213244107741976e-18,0.0,5.545165206056346e-31,0.0,2.2089810075496787e-19,0.0,4.9210806837713125e-34,0.0,1.3354538799402147e-32,0.0,3.127903761704105e-61,1.5089742914417053e-21,1.874989288528228e-18,2.946245493263596e-18,2.7049553831062583e-18,0.0,2.274979172918516e-22,0.0,2.3179852211428e-19,0.0,2.0226808844665393e-25,0.0,5.396260336961582e-24,0.0,1.2953934620315036e-52,3.047047625328359e-18,2.8213244107741976e-18,0.0,5.545165206056346e-31,0.0,2.2089810075496787e-19,0.0,4.9210806837713125e-34,0.0,1.3354538799402147e-32,0.0,3.127903761704105e-61
3.3803666199214854e-05,4.302817318041203e-18,3.996378843562515e-18,0.0,7.8558685098513445e-31,0.0,3.0014095495186214e-19,0.0,6.973215500927692e-34,0.0,1.8733246395089148e-32,0.0,4.7427920150985755e-61,1.5089742914417053e-21,1.874989288528228e-18,4.163900727871981e-18,3.8354770878539135e-18,0.0,3.226333575231999e-22,0.0,3.1563262991847e-19,0.0,2.8691617056652304e-25,0.0,7.57752724570786e-24,0.0,1.966227624322774e-52,4.302817318041203e-18,3.996378843562515e-18,0.0,7.8558685098513445e-31,0.0,3.0014095495186214e-19,0.0,6.973215500927692e-34,0.0,1.8733246395089148e-32,0.0,4.7427920150985755e-61
3.7358828807708937e-05,6.064844834364204e-18,5.650253485136836e-18,0.0,1.110815563986231e-30,0.0,4.0688750853395906e-19,0.0,9.862069203002889e-34,0.0,2.621209742046589e-32,0.0,7.178594813098381e-61,1.5089742914417053e-21,1.874989288528228e-18,5.874098051022879e-18,5.4285265919742176e-18,0.0,4.566940912649421e-22,0.0,4.2884920751135563e-19,0.0,4.0622045784238894e-25,0.0,1.0614089868961765e-23,0.0,2.9792469234542e-52,6.064844834364204e-18,5.650253485136836e-18,0.0,1.110815563986231e-30,0.0,4.0688750853395906e-19,0.0,9.862069203002889e-34,0.0,2.621209742046589e-32,0.0,7.178594813098381e-61
4.12878911316467e-05,8.531868982857493e-18,7.973044452888045e-18,0.0,1.5675445683329425e-30,0.0,5.502941628419615e-19,0.0,1.3919570350143074e-33,0.0,3.6580302937180395e-32,0.0,1.0845220985632552e-60,1.5089742914417053e-21,1.874989288528228e-18,8.270932774515874e-18,7.668569688702318e-18,0.0,6.451892319874013e-22,0.0,5.813457233312659e-19,0.0,5.739939711791568e-25,0.0,1.482894130703084e-23,0.0,4.505966520432642e-52,8.531868982857493e-18,7.973044452888045e-18,0.0,1.5675445683329425e-30,0.0,5.502941628419615e-19,0.0,1.3919570350143074e-33,0.0,3.6580302937180395e-32,0.0,1.0845220985632552e-60
4.563017654736944e-05,1.1978299798852298e-17,1.1228005462625561e-17,0.0,2.2074418449382843e-30,0.0,7.42405554137559e-19,0.0,1.9604950711817136e-33,0.0,5.090985147950721e-32,0.0,1.6353087547950136e-60,1.5089742914417053e-21,1.874989288528228e-18,1.1622708972957017e-17,1.0811424229076867e-17,0.0,9.096091065409068e-22,0.0,7.861870152145257e-19,0.0,8.093757125941653e-25,0.0,2.0661461686906618e-23,0.0,6.802148048114652e-52,1.1978299798852298e-17,1.1228005462625561e-17,0.0,2.2074418449382843e-30,0.0,7.42405554137559e-19,0.0,1.9604950711817136e-33,0.0,5.090985147950721e-32,0.0,1.6353087547950136e-60
5.042914410681006e-05,1.678207264914924e-17,1.5778632065426262e-17,0.0,3.1017652291201867e-30,0.0,9.98998181140334e-19,0.0,2.7551443271947575e-33,0.0,7.065076920428415e-32,0.0,2.4608835400461087e-60,1.5089742914417053e-21,1.874989288528228e-18,1.629938566751351e-17,1.5210825878220937e-17,0.0,1.279636026165821e-21,0.0,1.0605478487888973e-18,0.0,1.13879640673117e-24,0.0,2.8706886953522034e-23,0.0,1.024819771571923e-51,1.678207264914924e-17,1.5778632065426262e-17,0.0,3.1017652291201867e-30,0.0,9.98998181140334e-19,0.0,2.7551443271947575e-33,0.0,7.065076920428415e-32,0.0,2.4608835400461087e-60
