Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
5513513513.513514,9.202377219130219e-32,9.202377219130219e-32,9.553708056883186e-22
6093374791.55222,1.1238940783625066e-31,1.1238940783625066e-31,1.1668206869253552e-21
6734220612.558774,1.372606670928885e-31,1.372606670928885e-31,1.4250582011156498e-21
7442464776.905531,1.6763375528154067e-31,1.6763375528154067e-31,1.740431114496951e-21
8225195630.238356,2.0472488620381476e-31,2.0472488620381476e-31,2.1255736602188626e-21
9090247006.02233,2.5001875996543933e-31,2.5001875996543933e-31,2.595910859078045e-21
10046276629.180105,3.053276741357939e-31,3.053276741357939e-31,3.1702736809022578e-21
11102852765.512897,3.72863578988503e-31,3.72863578988503e-31,3.871649231215295e-21
12270549984.120634,4.553258800164501e-31,4.553258800164501e-31,4.728095345883172e-21
13561054991.243723,5.560083839447903e-31,5.560083839447903e-31,5.7738552564178844e-21
14987283594.747168,6.789294966540696e-31,6.789294966540696e-31,7.050715559907638e-21
16563509969.866821,8.289906338883e-31,8.289906338883e-31,8.609659833071478e-21
18305509519.95286,1.0121688219387248e-30,1.0121688219387248e-30,1.0512881148336307e-20
20230716762.00881,1.2357506713795589e-30,1.2357506713795589e-30,1.2836229796232969e-20
22358399817.19767,1.5086163295470243e-30,1.5086163295470243e-30,1.5672188042934012e-20
24709853252.674736,1.8415836841913035e-30,1.8415836841913035e-30,1.9133482134728426e-20
27308611204.773067,2.2478244767868075e-30,2.2478244767868075e-30,2.335745900934661e-20
30180682916.549973,2.7433609155439084e-30,2.7433609155439084e-30,2.8511338208193166e-20
33354813047.033543,3.347681862851279e-30,3.347681862851279e-30,3.4798701928411186e-20
36862769357.431656,4.08446766168273e-30,4.08446766168273e-30,4.2467197693546626e-20
40739660653.56358,4.98247414121515e-30,4.98247414121515e-30,5.1817934387014045e-20
45024288166.58922,6.076575324945811e-30,6.076575324945811e-30,6.321665689808426e-20
49759533888.77192,7.409026219857872e-30,7.409026219857872e-30,7.710730606648649e-20
54992789750.87037,9.030942158700789e-30,9.030942158700789e-30,9.402806470067376e-20
60776431936.51047,1.1003859444995293e-29,1.1003859444995293e-29,1.146289855343378e-19
67168345080.63537,1.340046943110706e-29,1.340046943110706e-29,1.3968414012313562e-19
74232501598.38771,1.630650604816887e-29,1.630650604816887e-29,1.7011433998561714e-19
82039601942.54213,1.9823058635129743e-29,1.9823058635129743e-29,2.0701481550791992e-19
