Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
5.295383306237228e-06,2.645934002006452e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.645934002006452e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.645934002006452e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.734520903183746e-22,7.889331496751673e-19
5.852303630116643e-06,3.428901303181643e-16,3.428591330570636e-16,0.0,2.5476550711398822e-31,0.0,1.1104287037767503e-20,0.0,2.3237589327125943e-35,0.0,7.989593342788618e-31,0.0,2.775710677272645e-63,3.4276474548384735e-16,3.4271435385069056e-16,0.0,2.0334475606009673e-21,0.0,2.0624647482721505e-20,0.0,2.389857432442079e-25,0.0,5.97269242613871e-21,0.0,2.8666924867532496e-53,3.428901303181643e-16,3.428591330570636e-16,0.0,2.5476550711398822e-31,0.0,1.1104287037767503e-20,0.0,2.3237589327125943e-35,0.0,7.989593342788618e-31,0.0,2.775710677272645e-63,4.734520903183746e-22,7.889331496751673e-19
6.467795775753465e-06,4.473059222836873e-16,4.472512396582452e-16,0.0,3.3212886622727345e-31,0.0,1.3969127358866502e-20,0.0,3.0232261495196687e-35,0.0,1.0130473375581946e-30,0.0,3.8657636940131013e-63,4.471533585078808e-16,4.470741600365565e-16,0.0,2.6496915119464096e-21,0.0,2.6006446278798956e-20,0.0,3.1034872824872235e-25,0.0,7.573385978295365e-21,0.0,3.994751993456954e-53,4.473059222836873e-16,4.472512396582452e-16,0.0,3.3212886622727345e-31,0.0,1.3969127358866502e-20,0.0,3.0232261495196687e-35,0.0,1.0130473375581946e-30,0.0,3.8657636940131013e-63,4.734520903183746e-22,7.889331496751673e-19
7.148019795415237e-06,5.808540676336929e-16,5.807597015843951e-16,0.0,4.30725212294316e-31,0.0,1.748438882337628e-20,0.0,3.911832025136174e-35,0.0,1.2790719501612822e-30,0.0,5.355559849580101e-63,5.806712446190591e-16,5.805460595390426e-16,0.0,3.434543914942889e-21,0.0,3.260989248546663e-20,0.0,4.0075789495896025e-25,0.0,9.562495387638908e-21,0.0,5.537707955877349e-53,5.808540676336929e-16,5.807597015843951e-16,0.0,4.30725212294316e-31,0.0,1.748438882337628e-20,0.0,3.911832025136174e-35,0.0,1.2790719501612822e-30,0.0,5.355559849580101e-63,4.734520903183746e-22,7.889331496751673e-19
7.899783599721972e-06,7.504360852194255e-16,7.50275298082704e-16,0.0,5.553501635099306e-31,0.0,2.176332038325974e-20,0.0,5.031193484992803e-35,0.0,1.607315979912395e-30,0.0,7.376241543158658e-63,7.502208903813244e-16,7.500216023275101e-16,0.0,4.425893004585513e-21,0.0,4.0641478631528734e-20,0.0,5.1431329158806605e-25,0.0,1.2016955219083574e-20,0.0,7.632221580169673e-53,7.504360852194255e-16,7.50275298082704e-16,0.0,5.553501635099306e-31,0.0,2.176332038325974e-20,0.0,5.031193484992803e-35,0.0,1.607315979912395e-30,0.0,7.376241543158658e-63,4.734520903183746e-22,7.889331496751673e-19
8.730611093503688e-06,9.640510154183996e-16,9.637788502575935e-16,0.0,7.1147198305112985e-31,0.0,2.6927853563113076e-20,0.0,6.428453295155737e-35,0.0,2.009165546319916e-30,0.0,1.0094535157825275e-62,9.638030150511815e-16,9.634830887511035e-16,0.0,5.66688658224342e-21,0.0,5.03201180127949e-20,0.0,6.556369408915826e-25,0.0,1.5021964839436643e-20,0.0,1.0452206455077035e-52,9.640510154183996e-16,9.637788502575935e-16,0.0,7.1147198305112985e-31,0.0,2.6927853563113076e-20,0.0,6.428453295155737e-35,0.0,2.009165546319916e-30,0.0,1.0094535157825275e-62,4.734520903183746e-22,7.889331496751673e-19
9.648817477568885e-06,1.2307417694261238e-15,1.2302834109530332e-15,0.0,9.052017386722279e-31,0.0,3.3106841488949004e-20,0.0,8.155999883531814e-35,0.0,2.4968672086053725e-30,0.0,1.3719583191407037e-62,1.2304630618005227e-15,1.2299459098027926e-15,0.0,7.205689263625511e-21,0.0,6.187307155476065e-20,0.0,8.29845306042924e-25,0.0,1.866917301916631e-20,0.0,1.4215989338834774e-52,1.2307417694261238e-15,1.2302834109530332e-15,0.0,9.052017386722279e-31,0.0,3.3106841488949004e-20,0.0,8.155999883531814e-35,0.0,2.4968672086053725e-30,0.0,1.3719583191407037e-62,4.734520903183746e-22,7.889331496751673e-19
1.0663592470029174e-05,1.5604437834946223e-15,1.55967852971861e-15,0.0,1.1432463267028257e-30,0.0,4.043444064726206e-20,0.0,1.0271094409872054e-34,0.0,3.083163223467689e-30,0.0,1.851054119161895e-62,1.560139905561422e-15,1.559302870639342e-15,0.0,9.095111062930722e-21,0.0,7.553238202338109e-20,0.0,1.0425165552009782e-24,0.0,2.3053949184248207e-20,0.0,1.919425002506552e-52,1.5604437834946223e-15,1.55967852971861e-15,0.0,1.1432463267028257e-30,0.0,4.043444064726206e-20,0.0,1.0271094409872054e-34,0.0,3.083163223467689e-30,0.0,1.851054119161895e-62,4.734520903183746e-22,7.889331496751673e-19
1.178509228008668e-05,1.9637398949521357e-15,1.9624825402782354e-15,0.0,1.43286318221316e-30,0.0,4.9049108558382826e-20,0.0,1.283556990060443e-34,0.0,3.7808501377141856e-30,0.0,2.478525008268052e-62,1.96342063302568e-15,1.9620763799401665e-15,0.0,1.1392256040460184e-20,0.0,9.153272507856879e-20,0.0,1.2996684270358263e-24,0.0,2.8272078885462304e-20,0.0,2.5719061568896133e-52,1.9637398949521357e-15,1.9624825402782354e-15,0.0,1.43286318221316e-30,0.0,4.9049108558382826e-20,0.0,1.283556990060443e-34,0.0,3.7808501377141856e-30,0.0,2.478525008268052e-62,4.734520903183746e-22,7.889331496751673e-19
1.3024541254789643e-05,2.4515542441769485e-15,2.4495373335338255e-15,0.0,1.7818394019362968e-30,0.0,5.909363093593486e-20,0.0,1.5915784629312274e-34,0.0,4.602345042053791e-30,0.0,3.293051559739366e-62,2.4512341670862107e-15,2.449112936667573e-15,0.0,1.4158368524914166e-20,0.0,1.1011137846768612e-19,0.0,1.6077632354865439e-24,0.0,3.4416514361546955e-20,0.0,3.419458953649886e-52,2.4515542441769485e-15,2.4495373335338255e-15,0.0,1.7818394019362968e-30,0.0,5.909363093593486e-20,0.0,1.5915784629312274e-34,0.0,4.602345042053791e-30,0.0,3.293051559739366e-62,4.734520903183746e-22,7.889331496751673e-19
