Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
4.97716427291012e-06,7.975730947298591e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3265075621760238e-21,3.214154456415365e-19,7.975730947298591e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.975730947298591e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.500617208905378e-06,3.0595657515755167e-17,3.03700404989377e-17,0.0,1.3397653062259397e-31,0.0,8.544965673739222e-20,0.0,3.916155230603892e-35,0.0,4.139563725743428e-31,0.0,6.176848917130062e-62,3.3265075621760238e-21,3.214154456415365e-19,3.0465906961433366e-17,3.0225345014055844e-17,0.0,5.144421638981548e-22,0.0,9.118578264441612e-20,0.0,1.6196702875110625e-25,0.0,1.5035354278166064e-21,0.0,2.3085386212838283e-52,3.0595657515755167e-17,3.03700404989377e-17,0.0,1.3397653062259397e-31,0.0,8.544965673739222e-20,0.0,3.916155230603892e-35,0.0,4.139563725743428e-31,0.0,6.176848917130062e-62
6.079122170748673e-06,3.864735303623657e-17,3.841587192642023e-17,0.0,1.66654617341271e-31,0.0,9.889501796224903e-20,0.0,4.825677770564135e-35,0.0,5.124098124342168e-31,0.0,8.21021268054916e-62,3.3265075621760238e-21,3.214154456415365e-19,3.851344805792988e-17,3.826449133502357e-17,0.0,6.402010422480818e-22,0.0,1.0580360159349118e-19,0.0,1.997532830578219e-25,0.0,1.862693043192137e-21,0.0,3.0716240454554943e-52,3.864735303623657e-17,3.841587192642023e-17,0.0,1.66654617341271e-31,0.0,9.889501796224903e-20,0.0,4.825677770564135e-35,0.0,5.124098124342168e-31,0.0,8.21021268054916e-62
6.71846903054032e-06,4.8266222602971994e-17,4.8038894382142293e-17,0.0,2.050890676434263e-31,0.0,1.1330936654606164e-19,0.0,5.888607495894229e-35,0.0,6.263553383614548e-31,0.0,1.0797861188496695e-61,3.3265075621760238e-21,3.214154456415365e-19,4.813242571202874e-17,4.788499358070539e-17,0.0,7.881342686951583e-22,0.0,1.2152782852555032e-19,0.0,2.4392954306079356e-25,0.0,2.278614369957704e-21,0.0,4.043393816166654e-52,4.8266222602971994e-17,4.8038894382142293e-17,0.0,2.050890676434263e-31,0.0,1.1330936654606164e-19,0.0,5.888607495894229e-35,0.0,6.263553383614548e-31,0.0,1.0797861188496695e-61
7.425056586545062e-06,5.963529081042141e-17,5.942238221544754e-17,0.0,2.499063644074821e-31,0.0,1.2864770857879654e-19,0.0,7.122291446474122e-35,0.0,7.565265927909921e-31,0.0,1.4063803307213455e-61,3.3265075621760238e-21,3.214154456415365e-19,5.950584786997355e-17,5.927039909476611e-17,0.0,9.606452927933221e-22,0.0,1.3831580695015994e-19,0.0,2.952152739411258e-25,0.0,2.753976320756062e-21,0.0,5.2705585813460394e-52,5.963529081042141e-17,5.942238221544754e-17,0.0,2.499063644074821e-31,0.0,1.2864770857879654e-19,0.0,7.122291446474122e-35,0.0,7.565265927909921e-31,0.0,1.4063803307213455e-61
8.205956604515653e-06,7.295224714214884e-17,7.276458551437447e-17,0.0,3.0180754041278416e-31,0.0,1.4487882899161775e-19,0.0,8.546490359249198e-35,0.0,9.03589336989886e-31,0.0,1.815785953941948e-61,3.3265075621760238e-21,3.214154456415365e-19,7.283160587202961e-17,7.261899083266365e-17,0.0,1.1604224582290354e-21,0.0,1.5613974904481321e-19,0.0,3.5442985919077635e-25,0.0,3.291195073145512e-21,0.0,6.809529224313861e-52,7.295224714214884e-17,7.276458551437447e-17,0.0,3.0180754041278416e-31,0.0,1.4487882899161775e-19,0.0,8.546490359249198e-35,0.0,9.03589336989886e-31,0.0,1.815785953941948e-61
9.068984594301469e-06,8.843622470002702e-17,8.828535952992172e-17,0.0,3.615915416886587e-31,0.0,1.6198779680412122e-19,0.0,1.018396636725497e-34,0.0,1.0682094383078316e-30,0.0,2.3261775133476665e-61,3.3265075621760238e-21,3.214154456415365e-19,8.832867937895452e-17,8.815048337047622e-17,0.0,1.3905295401993956e-21,0.0,1.7498976510649302e-19,0.0,4.225173063798452e-25,0.0,3.892678667878457e-21,0.0,8.728718716828077e-52,8.843622470002702e-17,8.828535952992172e-17,0.0,3.615915416886587e-31,0.0,1.6198779680412122e-19,0.0,1.018396636725497e-34,0.0,1.0682094383078316e-30,0.0,2.3261775133476665e-61
1.0022778030098072e-05,1.0633543832084193e-16,1.0623333687461693e-16,0.0,4.301788298644669e-31,0.0,1.7997664471646553e-19,0.0,1.206107943086596e-34,0.0,1.251119778694575e-30,0.0,2.9596690491318767e-61,3.3265075621760238e-21,3.214154456415365e-19,1.0624507484090516e-16,1.0611326955712967e-16,0.0,1.6544969870292247e-21,0.0,1.9487488104244437e-19,0.0,5.005712435026984e-25,0.0,4.5610756523933084e-21,0.0,1.1111355881706336e-51,1.0633543832084193e-16,1.0623333687461693e-16,0.0,4.301788298644669e-31,0.0,1.7997664471646553e-19,0.0,1.206107943086596e-34,0.0,1.251119778694575e-30,0.0,2.9596690491318767e-61
1.1076882797191894e-05,1.2693426128077804e-16,1.268933181627778e-16,0.0,5.086350761486349e-31,0.0,1.9886378909900374e-19,0.0,1.4208399028920335e-34,0.0,1.4531811283276026e-30,0.0,3.743222699782074e-61,3.3265075621760238e-21,3.214154456415365e-19,1.268649376856276e-16,1.2679187924948677e-16,0.0,1.95641325721361e-21,0.0,2.1582264766563234e-19,0.0,5.89860475153801e-25,0.0,5.299500963015394e-21,0.0,1.4058907520280097e-51,1.2693426128077804e-16,1.268933181627778e-16,0.0,5.086350761486349e-31,0.0,1.9886378909900374e-19,0.0,1.4208399028920335e-34,0.0,1.4531811283276026e-30,0.0,3.743222699782074e-61
1.2241848730388931e-05,1.5056061209668583e-16,1.5059376432517055e-16,0.0,5.98195291060185e-31,0.0,2.1868271146124234e-19,0.0,1.6661345812340076e-34,0.0,1.675435156373154e-30,0.0,4.709752358195944e-61,3.3265075621760238e-21,3.214154456415365e-19,1.505159884015126e-16,1.505145260011159e-16,0.0,2.3010175855708104e-21,0.0,2.3787790921392024e-19,0.0,6.9185572098152915e-25,0.0,6.1117320801985746e-21,0.0,1.769523462332831e-51,1.5056061209668583e-16,1.5059376432517055e-16,0.0,5.98195291060185e-31,0.0,2.1868271146124234e-19,0.0,1.6661345812340076e-34,0.0,1.675435156373154e-30,0.0,4.709752358195944e-61
1.3529335200307158e-05,1.77593510911145e-16,1.777144370431693e-16,0.0,7.002890298813838e-31,0.0,2.3948031150650204e-19,0.0,1.9460882289390266e-34,0.0,1.9191498168334195e-30,0.0,5.899464902366981e-61,3.3265075621760238e-21,3.214154456415365e-19,1.7757711388657763e-16,1.7766078628228487e-16,0.0,2.6937966742418777e-21,0.0,2.6110118418205007e-19,0.0,8.082583453699334e-25,0.0,7.002376334847147e-21,0.0,2.217164235452738e-51,1.77593510911145e-16,1.777144370431693e-16,0.0,7.002890298813838e-31,0.0,2.3948031150650204e-19,0.0,1.9460882289390266e-34,0.0,1.9191498168334195e-30,0.0,5.899464902366981e-61
1.4952227804276602e-05,2.0847095730285468e-16,2.08694340744004e-16,0.0,8.165674584857415e-31,0.0,2.613152175537397e-19,0.0,2.265427346509891e-34,0.0,2.185858336797687e-30,0.0,7.361491921335922e-61,3.3265075621760238e-21,3.214154456415365e-19,2.084862675218801e-16,2.0866956621392744e-16,0.0,3.141088364488666e-21,0.0,2.855669784732225e-19,0.0,9.410319640569838e-25,0.0,7.97701401934941e-21,0.0,2.7673022870957447e-51,2.0847095730285468e-16,2.08694340744004e-16,0.0,8.165674584857415e-31,0.0,2.613152175537397e-19,0.0,2.265427346509891e-34,0.0,2.185858336797687e-30,0.0,7.361491921335922e-61
1.652476732972862e-05,2.436983372097493e-16,2.440401784221707e-16,0.0,9.489331152572556e-31,0.0,2.842562308636574e-19,0.0,2.629593892825481e-34,0.0,2.4773932210800025e-30,0.0,9.155877118777337e-61,3.3265075621760238e-21,3.214154456415365e-19,2.4374888857993714e-16,2.4404757118536486e-16,0.0,3.650195533674054e-21,0.0,3.1136223182137247e-19,0.0,1.092437834299149e-24,0.0,9.042322693910142e-21,0.0,3.442533629733105e-51,2.436983372097493e-16,2.440401784221707e-16,0.0,9.489331152572556e-31,0.0,2.842562308636574e-19,0.0,2.629593892825481e-34,0.0,2.4773932210800025e-30,0.0,9.155877118777337e-61
1.8262692280782608e-05,2.838575915648001e-16,2.843355593458837e-16,0.0,1.099573211704995e-30,0.0,3.083809969436149e-19,0.0,3.0448418082553436e-34,0.0,2.7959164247648807e-30,0.0,1.1355999215779527e-60,3.3265075621760238e-21,3.214154456415365e-19,2.839470766991587e-16,2.8437851982379354e-16,0.0,4.229513475451164e-21,0.0,3.3858500637430646e-19,0.0,1.2650749400926166e-24,0.0,1.0206187109835773e-20,0.0,4.2704730322216984e-51,2.838575915648001e-16,2.843355593458837e-16,0.0,1.099573211704995e-30,0.0,3.083809969436149e-19,0.0,3.0448418082553436e-34,0.0,2.7959164247648807e-30,0.0,1.1355999215779527e-60
2.0183396394485588e-05,3.296173870289479e-16,3.3025120415727313e-16,0.0,1.2709973117203092e-30,0.0,3.3377493957454386e-19,0.0,3.518347062962467e-34,0.0,3.1439464523779257e-30,0.0,1.4051527842470293e-60,3.3265075621760238e-21,3.214154456415365e-19,3.297497645578679e-16,3.303333508504038e-16,0.0,4.888673997359357e-21,0.0,3.67343462433745e-19,0.0,1.4619256977845961e-24,0.0,1.1477797695872653e-20,0.0,5.284866540152361e-51,3.296173870289479e-16,3.3025120415727313e-16,0.0,1.2709973117203092e-30,0.0,3.3377493957454386e-19,0.0,3.518347062962467e-34,0.0,3.1439464523779257e-30,0.0,1.4051527842470293e-60
2.2306102723178386e-05,3.817445303014281e-16,3.8255639311640384e-16,0.0,1.4660802379748402e-30,0.0,3.6053045772667465e-19,0.0,4.058333534206696e-34,0.0,3.524382855307853e-30,0.0,1.7352031374267445e-60,3.3265075621760238e-21,3.214154456415365e-19,3.819241323708983e-16,3.8268167094557126e-16,0.0,5.638709490476981e-21,0.0,3.977551262553915e-19,0.0,1.68640824348943e-24,0.0,1.2867739456710038e-20,0.0,6.52694933449407e-51,3.817445303014281e-16,3.8255639311640384e-16,0.0,1.4660802379748402e-30,0.0,3.6053045772667465e-19,0.0,4.058333534206696e-34,0.0,3.524382855307853e-30,0.0,1.7352031374267445e-60
2.4652056025264706e-05,4.411168686399155e-16,4.421319034411628e-16,0.0,1.6881110843246806e-30,0.0,3.8874636605369876e-19,0.0,4.674217175460958e-34,0.0,3.9405285560014995e-30,0.0,2.1391381841033575e-60,3.3265075621760238e-21,3.214154456415365e-19,4.413485083684564e-16,4.423046912713454e-16,0.0,6.492240331831804e-21,0.0,4.2994643251801114e-19,0.0,1.9424363279571114e-24,0.0,1.438807293157264e-20,0.0,8.047103555358436e-51,4.411168686399155e-16,4.421319034411628e-16,0.0,1.6881110843246806e-30,0.0,3.8874636605369876e-19,0.0,4.674217175460958e-34,0.0,3.9405285560014995e-30,0.0,2.1391381841033575e-60
