Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
1.591085670356833e-05,1.429222110896152e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.429222110896152e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.429222110896152e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.263792138768736e-22,7.525894955083626e-19
1.7584216110452646e-05,4.0368748281083143e-19,4.0342526248354506e-19,0.0,2.273844620637852e-34,0.0,4.446106568073236e-24,0.0,7.084100188823775e-38,0.0,2.432089795509877e-34,0.0,8.310111832378667e-65,4.03607592877208e-19,4.0333804011802375e-19,0.0,1.71237530327269e-25,0.0,6.016115896937734e-24,0.0,5.368120953334443e-29,0.0,1.8202121899305518e-25,0.0,6.680856885022497e-56,4.0368748281083143e-19,4.0342526248354506e-19,0.0,2.273844620637852e-34,0.0,4.446106568073236e-24,0.0,7.084100188823775e-38,0.0,2.432089795509877e-34,0.0,8.310111832378667e-65,8.263792138768736e-22,7.525894955083626e-19
1.9433564262429572e-05,5.438361774754275e-19,5.434830934610111e-19,0.0,3.0687041193822034e-34,0.0,5.722447178548387e-24,0.0,9.561117958231762e-38,0.0,3.173343187818385e-34,0.0,1.1989170901801751e-64,5.437295814091185e-19,5.43366811135588e-19,0.0,2.310950236052496e-25,0.0,7.791875921639885e-24,0.0,7.245150822428433e-29,0.0,2.3749836591207314e-25,0.0,9.638636937344586e-56,5.438361774754275e-19,5.434830934610111e-19,0.0,3.0687041193822034e-34,0.0,5.722447178548387e-24,0.0,9.561117958231762e-38,0.0,3.173343187818385e-34,0.0,1.1989170901801751e-64,8.263792138768736e-22,7.525894955083626e-19
2.147741005739134e-05,7.325286656132883e-19,7.320531602784147e-19,0.0,4.141316077983188e-34,0.0,7.365079867493732e-24,0.0,1.2903960043041355e-37,0.0,4.140360466813587e-34,0.0,1.7296655570519013e-64,7.323863267212956e-19,7.318980133672289e-19,0.0,3.118682341965053e-25,0.0,1.009319770892797e-23,0.0,9.7782882902052e-29,0.0,3.098723489880142e-25,0.0,1.3905598824371747e-55,7.325286656132883e-19,7.320531602784147e-19,0.0,4.141316077983188e-34,0.0,7.365079867493732e-24,0.0,1.2903960043041355e-37,0.0,4.140360466813587e-34,0.0,1.7296655570519013e-64,8.263792138768736e-22,7.525894955083626e-19
2.373620899101437e-05,9.865281320655585e-19,9.858876776651544e-19,0.0,5.588683684404458e-34,0.0,9.479357024790193e-24,0.0,1.7415117369546402e-37,0.0,5.401836962807023e-34,0.0,2.4953103497791863e-64,9.863379262811243e-19,9.856805200090237e-19,0.0,4.208615599790908e-25,0.0,1.3076377191051057e-23,0.0,1.3196757288349549e-28,0.0,4.0428455835172755e-25,0.0,2.0061025808379854e-55,9.865281320655585e-19,9.858876776651544e-19,0.0,5.588683684404458e-34,0.0,9.479357024790193e-24,0.0,1.7415117369546402e-37,0.0,5.401836962807023e-34,0.0,2.4953103497791863e-64,8.263792138768736e-22,7.525894955083626e-19
2.623256788223483e-05,1.328362839302707e-18,1.3275001305796174e-18,0.0,7.541658801342109e-34,0.0,1.2201048643142609e-23,0.0,2.3502676475522573e-37,0.0,7.0473412162108456e-34,0.0,3.599771671953054e-64,1.3281084938161398e-18,1.3272233281085866e-18,0.0,5.679281103567792e-25,0.0,1.6944470575726352e-23,0.0,1.7809801125890484e-28,0.0,5.274386121201834e-25,0.0,2.8940395471913942e-55,1.328362839302707e-18,1.3275001305796174e-18,0.0,7.541658801342109e-34,0.0,1.2201048643142609e-23,0.0,2.3502676475522573e-37,0.0,7.0473412162108456e-34,0.0,3.599771671953054e-64,8.263792138768736e-22,7.525894955083626e-19
2.8991471129891153e-05,1.7882977821512656e-18,1.7871356219311066e-18,0.0,1.0176735533997076e-33,0.0,1.570516700778111e-23,0.0,3.1717126642127664e-37,0.0,9.193643700101606e-34,0.0,5.192918582216491e-64,1.7879574481850762e-18,1.7867655119034622e-18,0.0,7.663576833477404e-25,0.0,2.1961373677252783e-23,0.0,2.40345746389183e-28,0.0,6.880740231769212e-25,0.0,4.174859727236183e-55,1.7882977821512656e-18,1.7871356219311066e-18,0.0,1.0176735533997076e-33,0.0,1.570516700778111e-23,0.0,3.1717126642127664e-37,0.0,9.193643700101606e-34,0.0,5.192918582216491e-64,8.263792138768736e-22,7.525894955083626e-19
3.204053076498548e-05,2.406975423627305e-18,2.4054098793228267e-18,0.0,1.3731939196153467e-33,0.0,2.0217357218793283e-23,0.0,4.280094970097685e-37,0.0,1.1992957634030902e-33,0.0,7.490866344997253e-64,2.406519757359507e-18,2.40491469983596e-18,0.0,1.0340730794945789e-24,0.0,2.8470154374918516e-23,0.0,3.243372284185697e-28,0.0,8.975829752524287e-25,0.0,6.022311538614169e-55,2.406975423627305e-18,2.4054098793228267e-18,0.0,1.3731939196153467e-33,0.0,2.0217357218793283e-23,0.0,4.280094970097685e-37,0.0,1.1992957634030902e-33,0.0,7.490866344997253e-64,8.263792138768736e-22,7.525894955083626e-19
3.541026280116996e-05,3.2389500544437026e-18,3.2368413580110523e-18,0.0,1.852822181207057e-33,0.0,2.602859231780787e-23,0.0,5.7755391317591195e-37,0.0,1.5643666162547347e-33,0.0,1.0805224651226951e-63,3.2383396369491127e-18,3.236178466581048e-18,0.0,1.3952409855029462e-24,0.0,3.691691253638239e-23,0.0,4.376597921293866e-28,0.0,1.1708131899156395e-24,0.0,8.686917142562193e-55,3.2389500544437026e-18,3.2368413580110523e-18,0.0,1.852822181207057e-33,0.0,2.602859231780787e-23,0.0,5.7755391317591195e-37,0.0,1.5643666162547347e-33,0.0,1.0805224651226951e-63,8.263792138768736e-22,7.525894955083626e-19
3.913439264926902e-05,4.3574144495395996e-18,4.354574991569966e-18,0.0,2.499825765637943e-33,0.0,3.351412753169775e-23,0.0,7.793031324402914e-37,0.0,2.0404280994188184e-33,0.0,1.5585232742082994e-63,4.356596318934067e-18,4.3536871304762405e-18,0.0,1.8824399693577124e-24,0.0,4.7881826902584197e-23,0.0,5.905425375372795e-28,0.0,1.5271126514790386e-24,0.0,1.2529846839057749e-54,4.3574144495395996e-18,4.354574991569966e-18,0.0,2.499825765637943e-33,0.0,3.351412753169775e-23,0.0,7.793031324402914e-37,0.0,2.0404280994188184e-33,0.0,1.5585232742082994e-63,8.263792138768736e-22,7.525894955083626e-19
