Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
13353658536.585365,1.8344289808432013e-30,1.8344289808432013e-30,9.777352850890063e-23
14758075064.546759,2.240370674406711e-30,2.240370674406711e-30,1.1941002376817811e-22
16310195368.114462,2.7361086712038124e-30,2.7361086712038124e-30,1.4583267465862525e-22
18025553588.972237,3.3414920227871216e-30,3.3414920227871216e-30,1.7809946113863928e-22
19921317608.74623,4.08075125635155e-30,4.08075125635155e-30,2.1750191086238397e-22
22016460870.93464,4.983462917722537e-30,4.983462917722537e-30,2.656165166338778e-22
24331952273.50741,6.085725294652173e-30,6.085725294652173e-30,3.243674131128463e-22
26890966032.68502,7.43159104139139e-30,7.43159104139139e-30,3.961027511959921e-22
29719113618.283566,9.074812092167827e-30,9.074812092167827e-30,4.836877243965106e-22
32844700081.912926,1.1080963856711103e-29,1.1080963856711103e-29,5.906178210803776e-22
36299007343.44701,1.3530029576453622e-29,1.3530029576453622e-29,7.211566179025183e-22
40116607270.992004,1.651954226446745e-29,1.651954226446745e-29,8.805033136056886e-22
44335707687.762436,2.0168401265442577e-29,2.0168401265442577e-29,1.07499625061305e-21
48998534768.817955,2.462150358068891e-29,2.462150358068891e-29,1.3123599076817423e-21
54151755654.81609,3.005535712611966e-29,3.005535712611966e-29,1.6020042931545494e-21
59846945512.44122,3.6684874400729007e-29,3.6684874400729007e-29,1.95538734565338e-21
66141103716.007935,4.4771568763712644e-29,4.4771568763712644e-29,2.3864522352137406e-21
73097224316.35713,5.463329919862703e-29,5.463329919862703e-29,2.912147500683325e-21
80784926506.48996,6.665636967731095e-29,6.665636967731095e-29,3.553072681664121e-21
89281151393.85123,8.130966030302751e-29,8.130966030302751e-29,4.334232904590663e-21
98670932052.79344,9.91618673782696e-29,9.91618673782696e-29,5.285959483139686e-21
109048244564.16559,1.2090164758064249e-28,1.2090164758064249e-28,6.444986366113941e-21
120516948559.51662,1.4736200439805275e-28,1.4736200439805275e-28,7.855753456217263e-21
133191826683.19661,1.7954850236588428e-28,1.7954850236588428e-28,9.571915881886712e-21
147199733375.64093,2.186683126350255e-28,2.186683126350255e-28,1.1657903068034717e-20
162680864475.2476,2.6613952572577764e-28,2.6613952572577764e-28,1.4189449177979355e-20
179790160345.4494,3.2362386205892153e-28,3.2362386205892153e-28,1.725536093433555e-20
198698856569.94824,3.930638764748432e-28,3.930638764748432e-28,2.0959531591431884e-20
219596197735.99115,4.767232000000214e-28,4.767232000000214e-28,2.5423127945916995e-20
242691331457.8068,5.772528928218714e-28,5.772528928218714e-28,3.078816288505813e-20
268215401596.22556,6.977443616321715e-28,6.977443616321715e-28,3.722038241435663e-20
296423861624.12915,8.418282864094765e-28,8.418282864094765e-28,4.491458958445896e-20
327599031290.66754,1.0137510189852817e-27,1.0137510189852817e-27,5.4098814216766036e-20
362052922172.1999,1.2184878716329516e-27,1.2184878716329516e-27,6.504045060422651e-20
