Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
1.2972138376878566e-05,1.2084899272486709e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2084899272486709e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2084899272486709e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1323852907128084e-22,1.4723253582476732e-18
1.4336430079379196e-05,3.8453465475746715e-17,3.842183892143768e-17,0.0,2.244803762862827e-23,0.0,8.289078857755498e-23,0.0,1.8653344854306463e-28,0.0,2.9650503327089945e-24,0.0,4.4170055295065915e-56,3.8451854172381354e-17,3.842008647815379e-17,0.0,2.7937929968898887e-23,0.0,8.646248186085316e-23,0.0,2.5217999974198434e-28,0.0,3.687493080883743e-24,0.0,5.644835250849428e-56,3.845548598118225e-17,3.842400919779372e-17,0.0,1.565790593209024e-23,0.0,7.854529750894049e-23,0.0,1.1618921064873163e-28,0.0,2.0700463150060496e-24,0.0,2.978337361270113e-56,1.1323852907128084e-22,1.4723253582476732e-18
1.584420559275486e-05,5.13609245236993e-17,5.13182726686758e-17,0.0,3.0305433010870164e-23,0.0,1.060452324343492e-22,0.0,2.5184883525494466e-28,0.0,3.870029332077214e-24,0.0,6.376788515103715e-56,5.1358750987896534e-17,5.1315908943147944e-17,0.0,3.771691607712693e-23,0.0,1.1075297692323746e-22,0.0,3.4048195987978753e-28,0.0,4.81297350428004e-24,0.0,8.149395823222252e-56,5.13636500538832e-17,5.132119998676533e-17,0.0,2.1138588835522248e-23,0.0,1.003185807276952e-22,0.0,1.568731717197499e-28,0.0,2.7018557724063002e-24,0.0,4.299796220871014e-56,1.1323852907128084e-22,1.4723253582476732e-18
1.751055524112416e-05,6.855376854823848e-17,6.849627398972251e-17,0.0,4.091832158633999e-23,0.0,1.3566469725637223e-22,0.0,3.400799369098627e-28,0.0,5.0518691303704176e-24,0.0,9.207535761423045e-56,6.855083768140973e-17,6.849308693211184e-17,0.0,5.0925269230590564e-23,0.0,1.418720767224679e-22,0.0,4.597644953347808e-28,0.0,6.282773280341278e-24,0.0,1.1767030932298459e-55,6.855744375442205e-17,6.850022096593851e-17,0.0,2.8541283977954514e-23,0.0,1.2811516979611236e-22,0.0,2.118309247853381e-28,0.0,3.526954810419111e-24,0.0,6.208535548470664e-56,1.1323852907128084e-22,1.4723253582476732e-18
1.935215641184756e-05,9.143573427104083e-17,9.135827363968617e-17,0.0,5.525652601847214e-23,0.0,1.7356073881501898e-22,0.0,4.592967050872546e-28,0.0,6.595675515302314e-24,0.0,1.3297384291171952e-55,9.143178396343378e-17,9.135397839176745e-17,0.0,6.876998728174605e-23,0.0,1.817487303616999e-22,0.0,6.209377047759044e-28,0.0,8.202734881030409e-24,0.0,1.6993772406618403e-55,9.14406878365772e-17,9.136359306223161e-17,0.0,3.8542463172805496e-23,0.0,1.636040952424527e-22,0.0,2.8608907170195082e-28,0.0,4.604759638410073e-24,0.0,8.966270936878994e-56,1.1323852907128084e-22,1.4723253582476732e-18
2.1387440468425128e-05,1.21862992819378e-16,1.2175869884487e-16,0.0,7.463344870283181e-23,0.0,2.2205770679362926e-22,0.0,6.204300240167209e-28,0.0,8.612952589968211e-24,0.0,1.9208216435634732e-55,1.2185767133105225e-16,1.2175291317342635e-16,0.0,9.288567188183469e-23,0.0,2.328630753092745e-22,0.0,8.387795200667414e-28,0.0,1.0711531365786536e-23,0.0,2.454769576377183e-55,1.2186966582437264e-16,1.217658640994497e-16,0.0,5.205825246539134e-23,0.0,2.089205953825669e-22,0.0,3.8645621516507726e-28,0.0,6.01311624459614e-24,0.0,1.2951871820436161e-55,1.1323852907128084e-22,1.4723253582476732e-18
2.3636777217777606e-05,1.622872887843045e-16,1.6214697016394636e-16,0.0,1.0082916897078661e-22,0.0,2.841409903705829e-22,0.0,8.382975888213581e-28,0.0,1.1249923173926802e-23,0.0,2.7753988793717768e-55,1.6228012470424468e-16,1.6213918183655682e-16,0.0,1.2548772983788198e-22,0.0,2.984074808583754e-22,0.0,1.1333226512062401e-27,0.0,1.3991014210915017e-23,0.0,3.54690236570998e-55,1.6229627237756684e-16,1.6215661563895635e-16,0.0,7.033029497347595e-23,0.0,2.6679884141811027e-22,0.0,5.221619450230165e-28,0.0,7.854109177092347e-24,0.0,1.871417731084136e-55,1.1323852907128084e-22,1.4723253582476732e-18
2.6122678778120867e-05,2.159434872078252e-16,2.1575486240769175e-16,0.0,1.3625845966142516e-22,0.0,3.6364972338322417e-22,0.0,1.1330045155059781e-27,0.0,1.4698542228855815e-23,0.0,4.011476113516494e-55,2.1593384966274388e-16,2.1574438598405241e-16,0.0,1.6958147930010882e-22,0.0,3.8249643658114553e-22,0.0,1.5317481583857917e-27,0.0,1.8279910401800616e-23,0.0,5.126585361785151e-55,2.1595557250616011e-16,2.157678370085308e-16,0.0,9.504294580112971e-23,0.0,3.4074380586581986e-22,0.0,7.05729229543828e-28,0.0,1.0261750404458346e-23,0.0,2.7048883741423548e-55,1.1323852907128084e-22,1.4723253582476732e-18
2.8870024887811013e-05,2.870950746787356e-16,2.8684176332305193e-16,0.0,1.8420058124761606e-22,0.0,4.655280470001933e-22,0.0,1.531859483909533e-27,0.0,1.92111110087097e-23,0.0,5.800296097016541e-55,2.8708212078269185e-16,2.868276830967692e-16,0.0,2.2924814191314137e-22,0.0,4.904409457642991e-22,0.0,2.070976013209243e-27,0.0,2.3891997691061824e-23,0.0,7.412664277231422e-55,2.8711131866692733e-16,2.8685920113951967e-16,0.0,1.2848355783525022e-22,0.0,4.3525447915294855e-22,0.0,9.54167909286813e-28,0.0,1.3412181937843258e-23,0.0,3.91106535156239e-55,1.1323852907128084e-22,1.4723253582476732e-18
3.190631191012894e-05,3.813552652593681e-16,3.810154651981244e-16,0.0,2.49114294774579e-22,0.0,5.961538391671802e-22,0.0,2.0720022684190084e-27,0.0,2.5119723112986172e-23,0.0,8.390625527190749e-55,3.8133787093782756e-16,3.8099656009347623e-16,0.0,3.100368952044366e-22,0.0,6.2910848051992325e-22,0.0,2.8012174443581157e-27,0.0,3.1240289241263105e-23,0.0,1.072305964179431e-54,3.8137707753965863e-16,3.8103887852128677e-16,0.0,1.7376220896731842e-22,0.0,5.561147412484999e-22,0.0,1.2906112804240085e-27,0.0,1.7537251718937585e-23,0.0,5.657687824641753e-55,1.1323852907128084e-22,1.4723253582476732e-18
3.5261928026125225e-05,5.061067298335266e-16,5.056514887790002e-16,0.0,3.3707082220287184e-22,0.0,7.637704109020765e-22,0.0,2.804016205647884e-27,0.0,3.2862220413738534e-23,0.0,1.2144306416582836e-54,5.060833990834006e-16,5.056261338437022e-16,0.0,4.1950371831981e-22,0.0,8.073969643597216e-22,0.0,3.790858907501698e-27,0.0,4.086931455558697e-23,0.0,1.552020132705898e-54,5.061359864179175e-16,5.05682890104994e-16,0.0,2.351136992301239e-22,0.0,7.107737945040597e-22,0.0,1.7465661446772247e-27,0.0,2.2942634183962285e-23,0.0,8.188739332766545e-55,1.1323852907128084e-22,1.4723253582476732e-18
