Energy,Flux Value,Flux Error,Is Upper Limit
5.665864248835375e-06,6.23e-15,0.0,0.0
5.7899342688828654e-06,5.866e-15,0.0,0.0
5.7899342688828654e-06,5.3269e-15,2.142e-18,0.0
5.7899342688828654e-06,5.5366e-15,1.6619e-16,0.0
5.7899342688828654e-06,5.54e-15,1.67e-16,0.0
5.7899342688828654e-06,5.87e-15,0.0,0.0
5.7899342688828654e-06,5.35e-15,0.0,0.0
6.0380743089778456e-06,6.05e-15,0.0,0.0
6.865207775961112e-06,7.74e-15,0.0,0.0
6.906564449310275e-06,9.13e-15,0.0,0.0
7.030634469357765e-06,7.28e-15,0.0,0.0
1.1166301804274097e-05,1.296e-14,0.0,0.0
1.1166301804274097e-05,9.72e-15,0.0,0.0
1.1166301804274097e-05,9.72e-15,0.0,0.0
1.8610503007123495e-05,2.74e-14,0.0,0.0
1.877592970052015e-05,4.18e-14,0.0,0.0
1.8858643047218475e-05,3.38e-14,0.0,0.0
1.9768489860900068e-05,5.33e-14,0.0,0.0
2.0057986574344214e-05,2.2843e-14,1.3095e-15,0.0
2.0057986574344214e-05,4.2709e-14,3.395e-17,0.0
2.0057986574344214e-05,4.8063e-14,6.693e-15,0.0
2.0057986574344214e-05,2.28e-14,1.31e-15,0.0
2.0057986574344214e-05,4.84e-14,7.26e-15,0.0
2.0057986574344214e-05,4.81e-14,6.69e-15,0.0
2.0057986574344214e-05,4.1661e-14,3.686e-15,0.0
2.0264769941090028e-05,3.04e-14,0.0,0.0
2.0430196634486684e-05,3.66e-14,0.0,0.0
2.06369800012325e-05,4.64e-14,0.0,0.0
2.067833667458166e-05,4.99e-14,0.0,0.0
2.067833667458166e-05,2.7e-14,0.0,0.0
3.3416192066123964e-05,5.83e-14,0.0,0.0
3.3457548739473126e-05,7.29e-14,0.0,0.0
3.3498905412822295e-05,5.02e-14,0.0,0.0
3.473960561329719e-05,5.12e-14,0.0,0.0
3.473960561329719e-05,4.81e-14,2.41e-15,0.0
3.473960561329719e-05,7.12e-14,0.0,0.0
3.473960561329719e-05,7.1198e-14,0.0,0.0
3.498774565339217e-05,6.01e-14,0.0,0.0
3.498774565339217e-05,7.1707e-14,3.384e-17,0.0
3.50704590000905e-05,7.59e-14,0.0,0.0
6.203501002374499e-05,8.11e-14,6e-16,0.0
6.203501002374499e-05,9.82e-14,0.0,0.0
6.203501002374499e-05,8.33e-14,0.0,0.0
6.203501002374499e-05,1.25e-13,0.0,0.0
6.203501002374499e-05,9.95e-14,0.0,0.0
6.327571022421988e-05,7.88e-14,0.0,0.0
6.327571022421988e-05,7.79e-14,3.89e-15,0.0
9.181181483514258e-05,1.04e-13,0.0,0.0
9.305251503561748e-05,1.66e-13,0.0,0.0
9.305251503561748e-05,1.27e-13,0.0,0.0
9.925601603799198e-05,1.1e-13,0.0,0.0
0.00013647702205223897,3.57e-13,6.8e-14,0.0
0.0001530196913919043,2.07e-13,0.0,0.0
0.0001778336954014023,1.85e-13,0.0,0.0
0.05624507575486212,1.75e-12,1.38e-13,0.0
0.05636914577490961,1.6093e-12,1.1805e-13,0.0
0.05636914577490961,1.6913e-12,1.4646e-13,0.0
0.10330897002620998,8.1943e-13,3.0514e-14,0.0
0.10330897002620998,8.4084e-13,3.7065e-14,0.0
0.10339168337290831,1.06e-12,4.4e-14,0.0
0.2695214402164974,6.3826e-13,1.9042e-14,0.0
0.2695214402164974,6.4416e-13,1.9733e-14,0.0
0.26964551023654487,7.38e-13,2.11e-14,0.0
0.36464178891957305,6.5407e-13,1.8995e-14,0.0
0.36464178891957305,6.6195e-13,1.9224e-14,0.0
0.36476585893962055,7.28e-13,2.08e-14,0.0
0.5748577595533703,1.1164e-12,1.6186e-13,0.0
0.746487953952398,8.6775e-13,1.0858e-13,0.0
1.004553595651177,8.7034e-13,1.2435e-13,0.0
1.344091883847808,9.74e-13,2.58e-14,0.0
1.344091883847808,9.74e-13,2.6e-14,0.0
1.344091883847808,1.04e-12,0.0,0.0
1.344091883847808,1.05e-12,2.02e-14,0.0
1.344091883847808,1.03e-12,3.74e-14,0.0
1.3589802862535068,1.0844e-12,2.1103e-14,0.0
1.3589802862535068,1.1029e-12,2.0732e-14,0.0
1.6087745932824533,2.24e-12,2.61e-14,0.0
1.6087745932824533,9.47e-13,0.0,0.0
1.6087745932824533,9.44e-13,7.2e-15,0.0
1.6087745932824533,8.42e-13,1.24e-14,0.0
1.6087745932824533,8.42e-13,1.28e-14,0.0
1.62821222975656,9.894e-13,7.5839e-15,0.0
1.62821222975656,9.9626e-13,7.3908e-15,0.0
1.790743956018772,1.65e-12,0.0,0.0
1.9354923127408437,1.18e-12,0.0,0.0
1.9388008466087767,8.7745e-13,8.4654e-14,0.0
1.9727133187550905,8.27e-13,1.1e-14,0.0
1.9727133187550905,8.27e-13,1.07e-14,0.0
1.9727133187550905,8.91e-13,6.46e-15,0.0
