Energy,Flux Value,Flux Error,Is Upper Limit
1.6873522726458637e-06,4.69e-15,4.08e-16,0.0
1.6873522726458637e-06,4.69e-15,0.0,0.0
1.6873522726458637e-06,4.692e-15,0.0,0.0
2.626148757671871e-06,5.3975e-15,0.0,0.0
2.626148757671871e-06,5.4e-15,0.0,0.0
3.308533867933066e-06,7.496e-15,0.0,0.0
3.4863675633344683e-06,7.8989e-15,0.0,0.0
3.4863675633344683e-06,7.8998e-15,2.3773e-16,0.0
3.4863675633344683e-06,7.8989e-15,2.3604e-16,0.0
3.4863675633344683e-06,7.9e-15,2.38e-16,0.0
3.4863675633344683e-06,8.43e-15,0.0,0.0
3.4863675633344683e-06,7.705e-15,2.3604e-16,0.0
5.7899342688828654e-06,1.4e-14,5.6e-16,0.0
5.7899342688828654e-06,1.4e-14,4.96e-16,0.0
5.7899342688828654e-06,1.3e-14,0.0,0.0
5.7899342688828654e-06,1.4e-14,0.0,0.0
5.7899342688828654e-06,1.4e-14,0.0,0.0
5.7899342688828654e-06,1.4e-14,2.8e-15,0.0
5.7899342688828654e-06,1.4e-14,0.0,0.0
5.7899342688828654e-06,1.4037e-14,4.9521e-16,0.0
5.8312909422320285e-06,1.58e-14,0.0,0.0
5.839562276901861e-06,1.5814e-14,0.0,0.0
6.05461697831751e-06,1.4201e-14,0.0,0.0
6.120787655676172e-06,1.48e-14,7.4e-16,0.0
6.199365335039582e-06,4.1222e-16,0.0,0.0
6.199365335039582e-06,1.4285e-14,0.0,0.0
6.203501002374499e-06,1.5e-14,0.0,0.0
6.203501002374499e-06,1.5e-14,0.0,0.0
1.033916833729083e-05,2.4e-14,0.0,0.0
1.1166301804274097e-05,3.24e-14,1.89e-15,0.0
1.1166301804274097e-05,3.591e-14,0.0,0.0
1.1166301804274097e-05,3.24e-14,1.89e-15,0.0
1.1166301804274097e-05,3.591e-14,1.35e-15,0.0
1.1166301804274097e-05,3.59e-14,0.0,0.0
1.1166301804274097e-05,3.24e-14,0.0,0.0
1.1166301804274097e-05,3.59e-14,1.35e-15,0.0
1.1166301804274097e-05,3.24e-14,0.0,0.0
1.1166301804274097e-05,3.591e-14,7.29e-15,0.0
1.1166301804274097e-05,3.591e-14,0.0,0.0
1.1269693487647006e-05,3.2705e-14,0.0,0.0
1.2407002004748997e-05,2.28e-14,0.0,0.0
1.2407002004748997e-05,2.268e-14,0.0,0.0
1.9569977828824085e-05,7.6185e-14,4.732e-16,0.0
1.9569977828824085e-05,7.9498e-14,1.4196e-15,0.0
1.9569977828824085e-05,7.8551e-14,9.464e-16,0.0
1.9569977828824085e-05,7.3346e-14,9.464e-16,0.0
1.9569977828824085e-05,7.24e-14,1.4196e-15,0.0
1.9569977828824085e-05,7.0034e-14,9.464e-16,0.0
1.9851203207598396e-05,7.872e-14,0.0,0.0
1.9851203207598396e-05,4.944e-14,9.6e-16,0.0
1.9851203207598396e-05,7.872e-14,0.0,0.0
1.9851203207598396e-05,7.872e-14,0.0,0.0
1.9851203207598396e-05,4.0752e-14,1.92e-15,0.0
1.9851203207598396e-05,1.16e-13,5.76e-15,0.0
1.9851203207598396e-05,4.7e-14,0.0,0.0
2.0057986574344214e-05,5.48e-14,2.86e-15,0.0
2.0057986574344214e-05,5.42e-14,2.76e-15,0.0
2.0057986574344214e-05,5.4756e-14,2.8615e-15,0.0
2.0202734931066285e-05,3.2241e-14,0.0,0.0
2.0264769941090028e-05,3.43e-14,1.96e-15,0.0
2.0661794005242e-05,5.5961e-14,0.0,0.0
2.067833667458166e-05,7.2e-14,0.0,0.0
2.067833667458166e-05,5.5e-14,0.0,0.0
2.067833667458166e-05,7.2e-14,0.0,0.0
2.067833667458166e-05,8.22e-14,4.1e-15,0.0
2.067833667458166e-05,7.2e-14,0.0,0.0
2.067833667458166e-05,7.2e-14,0.0,0.0
2.067833667458166e-05,7.2e-14,0.0,0.0
2.067833667458166e-05,8.2e-14,4e-15,0.0
2.067833667458166e-05,7.4e-14,0.0,0.0
2.067833667458166e-05,7.4e-14,0.0,0.0
2.067833667458166e-05,8.22e-14,4.1e-15,0.0
2.067833667458166e-05,2.8e-14,0.0,0.0
2.067833667458166e-05,7.1e-14,0.0,0.0
2.071555768059591e-05,7.4133e-14,4.0072e-15,0.0
2.0719693347930826e-05,7.41e-14,4.01e-15,0.0
2.1687439504301247e-05,8.0233e-14,1.5732e-15,0.0
2.1687439504301247e-05,7.866e-14,1.0488e-15,0.0
2.1687439504301247e-05,8.1282e-14,1.0488e-15,0.0
2.1687439504301247e-05,8.705e-14,1.0488e-15,0.0
2.1687439504301247e-05,8.3904e-14,5.244e-16,0.0
2.1687439504301247e-05,8.8624e-14,1.5732e-15,0.0
2.380490117977841e-05,9.4974e-14,1.1512e-15,0.0
2.380490117977841e-05,9.2672e-14,5.756e-16,0.0
2.380490117977841e-05,9.7276e-14,1.7268e-15,0.0
2.380490117977841e-05,8.9794e-14,1.1512e-15,0.0
