Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
4.959869555637181e-06,7.435462652102854e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3719503216329966e-21,2.17075842697185e-18,7.435462652102854e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.435462652102854e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.481503590338986e-06,9.7654206025715e-19,9.762199841454297e-19,0.0,1.0390250225882373e-30,0.0,2.769810786612275e-22,0.0,1.2144818188994688e-33,0.0,2.057233844859281e-34,0.0,1.248844843729417e-63,1.3719503216329966e-21,2.17075842697185e-18,9.765562727546131e-19,9.761686806939568e-19,0.0,4.389476089180953e-25,0.0,3.4181406240356185e-22,0.0,5.131322868665705e-28,0.0,8.691019701733215e-29,0.0,5.276480834810398e-58,9.7654206025715e-19,9.762199841454297e-19,0.0,1.0390250225882373e-30,0.0,2.769810786612275e-22,0.0,1.2144818188994688e-33,0.0,2.057233844859281e-34,0.0,1.248844843729417e-63
6.057998355369905e-06,1.353707989518894e-18,1.3532772196201855e-18,0.0,1.481154523952411e-30,0.0,3.799538360332636e-22,0.0,1.731732879780255e-33,0.0,3.043849911587557e-34,0.0,2.0433851287606535e-63,1.3719503216329966e-21,2.17075842697185e-18,1.353729547369526e-18,1.3532059274601061e-18,0.0,6.25730025198058e-25,0.0,4.718490751201713e-22,0.0,7.316748025269356e-28,0.0,1.2859090698879663e-28,0.0,8.633483432658793e-58,1.353707989518894e-18,1.3532772196201855e-18,0.0,1.481154523952411e-30,0.0,3.799538360332636e-22,0.0,1.731732879780255e-33,0.0,3.043849911587557e-34,0.0,2.0433851287606535e-63
6.695123604104906e-06,1.875059334070198e-18,1.874483121624783e-18,0.0,2.1138963947107976e-30,0.0,5.218339600614346e-22,0.0,2.4721956740899865e-33,0.0,4.509825470601493e-34,0.0,3.3480948371118114e-63,1.3719503216329966e-21,2.17075842697185e-18,1.8750919975309522e-18,1.874384046347628e-18,0.0,8.930386347078084e-25,0.0,6.52233910091878e-22,0.0,1.044524439058723e-27,0.0,1.9052268389771406e-28,0.0,1.4145995418591835e-57,1.875059334070198e-18,1.874483121624783e-18,0.0,2.1138963947107976e-30,0.0,5.218339600614346e-22,0.0,2.4721956740899865e-33,0.0,4.509825470601493e-34,0.0,3.3480948371118114e-63
7.399255900178568e-06,2.5950911765887742e-18,2.5943202992744896e-18,0.0,3.0208242994051146e-30,0.0,7.1764516277082e-22,0.0,3.533833415196467e-33,0.0,6.691651013119281e-34,0.0,5.494035427928796e-63,1.3719503216329966e-21,2.17075842697185e-18,2.595140618197014e-18,2.594182590406895e-18,0.0,1.276179949407777e-24,0.0,9.029125692639191e-22,0.0,1.4930697834707942e-27,0.0,2.8269631348726815e-28,0.0,2.3212778303383536e-57,2.5950911765887742e-18,2.5943202992744896e-18,0.0,3.0208242994051146e-30,0.0,7.1764516277082e-22,0.0,3.533833415196467e-33,0.0,6.691651013119281e-34,0.0,5.494035427928796e-63
8.177442436277014e-06,3.5886715274629645e-18,3.587640018609315e-18,0.0,4.322959760812036e-30,0.0,9.883815525477816e-22,0.0,5.058548349508102e-33,0.0,9.944666587951958e-34,0.0,9.029796880104931e-63,1.3719503216329966e-21,2.17075842697185e-18,3.5887463014949865e-18,3.587448554911175e-18,0.0,1.826280653213718e-24,0.0,1.251962214971937e-21,0.0,2.1372627887355813e-27,0.0,4.201234928799937e-28,0.0,3.8151667791641054e-57,3.5886715274629645e-18,3.587640018609315e-18,0.0,4.322959760812036e-30,0.0,9.883815525477816e-22,0.0,5.058548349508102e-33,0.0,9.944666587951958e-34,0.0,9.029796880104931e-63
9.037471564811007e-06,4.958602830430756e-18,4.957222221175434e-18,0.0,6.196021070807913e-30,0.0,1.3634690478698976e-21,0.0,7.252440360196841e-33,0.0,1.4804153273339789e-33,0.0,1.4866565005300154e-62,1.3719503216329966e-21,2.17075842697185e-18,4.958715834447768e-18,4.956955900330753e-18,0.0,2.6175745247379306e-24,0.0,1.7390323422439432e-21,0.0,3.064177415082617e-27,0.0,6.254176886681765e-28,0.0,6.281249258751281e-57,4.958602830430756e-18,4.957222221175434e-18,0.0,6.196021070807913e-30,0.0,1.3634690478698976e-21,0.0,7.252440360196841e-33,0.0,1.4804153273339789e-33,0.0,1.4866565005300154e-62
9.987950746364755e-06,6.8459952928932286e-18,6.84414683456778e-18,0.0,8.895890665868937e-30,0.0,1.884287796136958e-21,0.0,1.0415727290279341e-32,0.0,2.2078693463648335e-33,0.0,2.452165475634921e-62,1.3719503216329966e-21,2.17075842697185e-18,6.846165972837943e-18,6.8437761563122575e-18,0.0,3.758161288052113e-24,0.0,2.420302553161715e-21,0.0,4.4006499691163736e-27,0.0,9.32738210434515e-28,0.0,1.0360601709538085e-56,6.8459952928932286e-18,6.84414683456778e-18,0.0,8.895890665868937e-30,0.0,1.884287796136958e-21,0.0,1.0415727290279341e-32,0.0,2.2078693463648335e-33,0.0,2.452165475634921e-62
1.1038392696054263e-05,9.444517219283325e-18,9.442041354273408e-18,0.0,1.2796374469987757e-29,0.0,2.6092366391946065e-21,0.0,1.4987120380323309e-32,0.0,3.2993396154897826e-33,0.0,4.05287418751401e-62,1.3719503216329966e-21,2.17075842697185e-18,9.444774899802275e-18,9.441524990784076e-18,0.0,5.405958248010057e-24,0.0,3.375662960942525e-21,0.0,6.3320261321808215e-27,0.0,1.3938408562149605e-27,0.0,1.7123719193551664e-56,9.444517219283325e-18,9.442041354273408e-18,0.0,1.2796374469987757e-29,0.0,2.6092366391946065e-21,0.0,1.4987120380323309e-32,0.0,3.2993396154897826e-33,0.0,4.05287418751401e-62
1.219931058997783e-05,1.302000810432744e-17,1.301669017616794e-17,0.0,1.8445434846642503e-29,0.0,3.621050595475163e-21,0.0,2.1609931309011896e-32,0.0,4.94105260252882e-33,0.0,6.713143922882518e-62,1.3719503216329966e-21,2.17075842697185e-18,1.3020397024989716e-17,1.301597008225829e-17,0.0,7.792456143496176e-24,0.0,4.71916473150022e-21,0.0,9.130088650571986e-27,0.0,2.087398511666074e-27,0.0,2.8363554580232326e-56,1.302000810432744e-17,1.301669017616794e-17,0.0,1.8445434846642503e-29,0.0,3.621050595475163e-21,0.0,2.1609931309011896e-32,0.0,4.94105260252882e-33,0.0,6.713143922882518e-62
