Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
9182692307.692307,1.732399566707046e-24,3.754656828652557e-25,1.732399566707046e-24
10148444488.098494,2.1159460583575e-24,4.585925241171132e-25,2.1159460583575e-24
11215765711.95156,2.584406286789391e-24,5.601229781183253e-25,2.584406286789391e-24
12395338088.798874,3.1565785789170184e-24,6.841312945478572e-25,3.1565785789170184e-24
13698967175.455894,3.8554225198717926e-24,8.355936245889774e-25,3.8554225198717926e-24
15139700129.986752,4.7089799541931714e-24,1.0205876417359103e-24,4.7089799541931714e-24
16731956292.04746,5.7514997647452245e-24,1.2465363322141357e-24,5.7514997647452245e-24
18491671496.4837,7.024811487579133e-24,1.5225057224888017e-24,7.024811487579133e-24
20436457564.52218,8.580002771088953e-24,1.8595684686755616e-24,8.580002771088953e-24
22585778568.79699,1.047946782950057e-23,2.271247865351247e-24,1.047946782950057e-23
24961145636.33065,1.2799408854223484e-23,2.774060043527147e-24,1.2799408854223484e-23
27586332239.123497,1.5632890416316166e-23,3.388176046286446e-24,1.5632890416316166e-23
30487612127.051952,1.9093568930120737e-23,4.138230250186555e-24,1.9093568930120737e-23
33694022284.38825,2.332024611610561e-23,5.054307428723741e-24,2.332024611610561e-23
37237653541.6987,2.8482428149825273e-23,6.173147859111299e-24,2.8482428149825273e-23
41153971751.66203,3.478711208805799e-23,7.539618532461376e-24,3.478711208805799e-23
45482172743.2436,4.248706896959198e-23,9.20850891163672e-24,4.248706896959198e-23
50265574606.72573,5.1890944479065363e-23,1.1246720941181902e-23,5.1890944479065363e-23
55552051235.715034,6.337561068884244e-23,1.373594703636591e-23,6.337561068884244e-23
61394511465.1606,7.7401213750121e-23,1.6775933091638384e-23,7.7401213750121e-23
67851428600.75741,9.452955178253674e-23,2.0488463683349923e-23,9.452955178253674e-23
74987425639.44333,1.1544647191056568e-22,2.5022219606812642e-23,1.1544647191056568e-22
82873922038.07294,1.4098921130821895e-22,3.0558707909910555e-23,1.4098921130821895e-22
91589848503.34673,1.7217970791703882e-22,3.7319488130569934e-23,1.7217970791703882e-22
101222436956.85318,2.1026493426976411e-22,4.557492594044168e-23,2.1026493426976411e-22
111868093581.45976,2.5676449056243087e-22,5.565454109827486e-23,2.5676449056243087e-22
123633363686.79436,3.1353017735524813e-22,6.795994542337782e-23,3.1353017735524813e-22
136635998050.51497,3.8281886396611184e-22,8.298067364779211e-23,3.8281886396611184e-22
151006131407.67004,4.673810035468738e-22,1.0131341654228703e-22,4.673810035468738e-22
166887584882.8666,5.705702042694544e-22,1.2368582290917387e-22,5.705702042694544e-22
184439305400.4252,6.964751020967298e-22,1.5098516520419862e-22,6.964751020967298e-22
203836956478.62268,8.50082812040755e-22,1.8429385358838354e-22,8.50082812040755e-22
225274676329.22528,1.0374758179228094e-21,2.249322477016161e-22,1.0374758179228094e-21
248967020857.96426,1.2660734348285473e-21,2.7451115802822315e-22,1.2660734348285473e-21
275151111012.15533,1.5449269630583748e-21,3.34996030569855e-22,1.5449269630583748e-21
304089005966.838,1.885080940070907e-21,4.08785506758289e-22,1.885080940070907e-21
336070325901.0815,2.2999885924518694e-21,4.988020723174815e-22,2.2999885924518694e-21
371415150614.0804,2.8059535761808173e-21,6.085892285665141e-22,2.8059535761808173e-21
410477222991.3682,3.4231508943220915e-21,7.425296363580136e-22,3.4231508943220915e-21
453647489382.51276,4.17587097828829e-21,9.059047676542905e-22,4.17587097828829e-21
501358012323.58405,5.094129886059089e-21,1.1052373448395158e-21,5.094129886059089e-21
554086294764.2375,6.214127707553549e-21,1.3484014907067991e-21,6.214127707553549e-21
612360059077.7261,7.580510639924112e-21,1.6451029217848777e-21,7.580510639924112e-21
676762528683.7882,9.247217904567512e-21,2.0070792442076362e-21,9.247217904567512e-21
747938265144.6593,1.128075997398079e-20,2.4487941497737817e-21,1.128075997398079e-20
826599619153.83,1.3761477315617848e-20,2.9877382898240943e-21,1.3761477315617848e-20
913533859981.2195,1.6788416760038835e-20,3.645458800280944e-21,1.6788416760038835e-20
1009611054728.6342,2.048132479821934e-20,4.448036586686545e-21,2.048132479821934e-20
1115792776253.768,2.498739190282309e-20,5.427507977286745e-21,2.498739190282309e-20
1233141726914.552,3.0485048772309675e-20,6.622753123260382e-21,3.0485048772309675e-20
1362832374451.5447,3.7193631629798215e-20,8.081529489767952e-21,3.7193631629798215e-20
1506162706455.829,4.537900222966415e-20,9.86179574623399e-21,4.537900222966415e-20
1664567221065.0903,5.5367492789024e-20,1.2034640280512634e-20,5.5367492789024e-20
1839631283903.1362,6.755505930559183e-20,1.468642624020798e-20,6.755505930559183e-20
2033106994951.9106,8.24276107464094e-20,1.7923053063090793e-20,8.24276107464094e-20
2246930724157.0234,1.005750326824858e-19,2.1873246993048645e-20,1.005750326824858e-19
2483242491268.9985,1.2272094985334043e-19,2.669478938754236e-20,1.2272094985334043e-19
2744407383880.217,1.4974426949391895e-19,3.257957420202328e-20,1.4974426949391895e-19
3033039228016.4873,1.8272263935480748e-19,3.9762688290505927e-20,1.8272263935480748e-19
3352026748186.433,2.2296575712576144e-19,4.853022545477597e-20,2.2296575712576144e-19
3704562478707.3267,2.7207890718811463e-19,5.923254383943971e-20,2.7207890718811463e-19
4094174715661.575,3.3201399298381636e-19,7.229623636655767e-20,3.3201399298381636e-19
4524762829269.805,4.0516219718302407e-19,8.824344256228726e-20,4.0516219718302407e-19
5000636290098.679,4.944310968321679e-19,1.0770995797051499e-19,4.944310968321679e-19
5526557799690.754,6.03381302686367e-19,1.3147368284469833e-19,6.03381302686367e-19
6107790957282.36,7.363452419324266e-19,1.6048247634780612e-19,7.363452419324266e-19
6750152939673.888,8.986267686360928e-19,1.9589568359464244e-19,8.986267686360928e-19
7460072721490.421,1.0966813864203454e-18,2.39126394587468e-19,1.0966813864203454e-18
8244655418520.668,1.3384102931232075e-18,2.9190258169979814e-19,1.3384102931232075e-18
9111753398103.846,1.633433082411771e-18,3.56331039769266e-19,1.633433082411771e-18
10070044868261.324,1.993521644397831e-18,4.349875670661224e-19,1.993521644397831e-18
11129120732119.34,2.433011682417882e-18,5.310134513395061e-19,2.433011682417882e-18
12299580576891.049,2.9694436070719225e-18,6.482486456718956e-19,2.9694436070719225e-18
13593138758108.092,3.624182156698547e-18,7.913770442273199e-19,3.624182156698547e-18
15022741640827.982,4.423364515460637e-18,9.6612349692488e-19,4.423364515460637e-18
16602697171207.117,5.398829227878775e-18,1.1794716564964397e-18,5.398829227878775e-18
18348818075234.938,6.589519699902219e-18,1.439955671971404e-18,6.589519699902219e-18
20278580117810.426,8.042884080174125e-18,1.7579882934232566e-18,8.042884080174125e-18
22411297006071.133,9.816956086322971e-18,2.1462934896508737e-18,9.816956086322971e-18
24768313687465.64,1.1982451858206692e-17,2.620397854238764e-18,1.1982451858206692e-17
27373219977162.02,1.4625858287785558e-17,3.199273024006076e-18,1.4625858287785558e-17
30252086652846.8,1.7852574906966107e-17,3.906071732514241e-18,1.7852574906966107e-17
33433726379830.79,2.1791500417124838e-17,4.769082520050043e-18,2.1791500417124838e-17
36949982077887.58,2.659973650642439e-17,5.822831199519062e-18,2.659973650642439e-17
40836045615897.73,3.2469402122169594e-17,7.10950044590273e-18,3.2469402122169594e-17
45130810023900.695,3.963467023999676e-17,8.680576640101154e-18,3.963467023999676e-17
49877258747611.95,4.8381893726750526e-17,1.0598961367083555e-17,4.8381893726750526e-17
55122895841195.016,5.90601325596658e-17,1.2941433314053804e-17,5.90601325596658e-17
60920221403801.766,7.209621572196998e-17,1.5801792427101616e-17,7.209621572196998e-17
67327257018211.3,8.80104735431945e-17,1.9294536148544637e-17,8.80104735431945e-17
74408126450331.64,1.0743913247043234e-16,2.3559539852232708e-17,1.0743913247043234e-16
82233697421401.86,1.3115783143645587e-16,2.876754656509409e-17,1.3115783143645587e-16
90882290875965.86,1.6011492037584758e-16,3.5127135216088626e-17,1.6011492037584758e-16
100440464844209.19,1.9546659750566202e-16,4.289291409268076e-17,1.9546659750566202e-16
111003880743819.44,2.3862641429376695e-16,5.237589484143846e-17,2.3862641429376695e-16
122678260791606.61,2.9131776157469853e-16,6.395571629873742e-17,2.9131776157469853e-16
135580446106983.78,3.55647456501369e-16,7.80960874783368e-17,3.55647456501369e-16
149839566097161.1,4.341841220391514e-16,9.536301708600091e-17,4.341841220391514e-16
165598330827656.12,5.300675549711075e-16,1.164478004922519e-16,5.300675549711075e-16
183014459312595.5,6.471257261727337e-16,1.4219419173000755e-16,6.471257261727337e-16
202262258019619.34,7.900371810420284e-16,1.7363259092911907e-16,7.900371810420284e-16
223534365387596.53,9.645055888345108e-16,2.1202051820978265e-16,9.645055888345108e-16
247043679816867.28,1.1775008262313765e-15,2.588934472762564e-16,1.1775008262313765e-15
273025490427993.44,1.4375191801396206e-15,3.1612504153809997e-16,1.4375191801396206e-15
301739831914359.4,1.7549408811786664e-15,3.8600266601399444e-16,1.7549408811786664e-15
333474087056784.0,2.1424175759467197e-15,4.71316933572224e-16,2.1424175759467197e-15
368545862946984.94,2.6154019011734033e-15,5.75473737512048e-16,2.6154019011734033e-15
407306169706101.0,3.1927235923368065e-15,7.026271610587074e-16,3.1927235923368065e-15
450142933511967.0,3.897372488102687e-15,8.578453962546688e-16,3.897372488102687e-15
497484879094685.56,4.757353219708306e-15,1.0473075778310259e-15,4.757353219708306e-15
549805820557826.06,5.806839962996017e-15,1.2785488701790279e-15,5.806839962996017e-15
607629403469228.2,7.08744039307944e-15,1.5607510512466041e-15,7.08744039307944e-15
671534345681844.9,8.649892441070483e-15,1.9051031945632286e-15,8.649892441070483e-15
742160229336533.5,1.0555924886815763e-14,2.325228708093562e-15,1.0555924886815763e-14
820213902015089.6,1.2880737348184237e-14,2.8377132736537646e-15,1.2880737348184237e-14
906476551108425.6,1.571572075812641e-14,3.4627282806790243e-15,1.571572075812641e-14
1001811522202546.9,1.9172054235056077e-14,4.224797514311518e-15,1.9172054235056077e-14
1107172959731350.4,2.3384643592923975e-14,5.153698507431757e-15,2.3384643592923975e-14
1223615356374828.0,2.8517278852341e-14,6.285563032007096e-15,2.8517278852341e-14
1352304106776229.0,3.476825239805307e-14,7.664161541770637e-15,3.476825239805307e-14
1494527171203353.0,4.237762789398587e-14,9.34245520183388e-15,4.237762789398587e-14
1651707965887812.5,5.163507230428343e-14,1.1384385637351902e-14,5.163507230428343e-14
1825419609053093.8,6.28898348559845e-14,1.3867005647920767e-14,6.28898348559845e-14
2017400665210496.8,7.656129868775282e-14,1.6882891443343372e-14,7.656129868775282e-14
2229572545297106.2,9.31521101703443e-14,2.054294288167658e-14,9.31521101703443e-14
2464058736802260.5,1.1326154473765908e-13,2.497944604736819e-14,1.1326154473765908e-13
2723206056344078.0,1.3760147626480165e-13,3.034946671614268e-14,1.3760147626480165e-13
3009608137398948.0,1.6701105236327378e-13,3.683823965100911e-14,1.6701105236327378e-13
3326131388257134.0,2.024721782045213e-13,4.466241215054176e-14,2.024721782045213e-13
3675943680000364.0,2.451150946575458e-13,5.407147329567986e-14,2.451150946575458e-13
4062546051620375.0,2.96217605600744e-13,6.534735696928444e-14,2.96217605600744e-13
4489807749593893.5,3.571504670228999e-13,7.879264697670569e-14,3.571504670228999e-13
