Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
7.755831526343435e-06,7.863490131751179e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.863490131751179e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.863490131751179e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.108219574107559e-21,1.1994149339967574e-18
8.571519448409006e-06,1.6854785640114314e-21,1.6742300824964144e-21,0.0,3.3859904677902886e-26,0.0,1.5638072343491078e-25,0.0,1.6576911715746225e-30,0.0,4.075215112622952e-28,0.0,1.2169835346006295e-56,1.6847654916687006e-21,1.6734666097488087e-21,0.0,3.9220579725002237e-26,0.0,1.784412256925369e-25,0.0,1.9781155894483273e-30,0.0,4.701862383997175e-28,0.0,1.4304293776458657e-56,1.6875420684965311e-21,1.676444622354364e-21,0.0,1.8825611965256532e-26,0.0,9.85296946940825e-26,0.0,8.428800277458226e-31,0.0,2.2919696830491336e-28,0.0,6.483070170806404e-57,1.108219574107559e-21,1.1994149339967574e-18
9.472994018101464e-06,2.229672358540318e-21,2.2145332389806263e-21,0.0,4.8693858024527916e-26,0.0,2.1599003700850517e-25,0.0,2.392683427312667e-30,0.0,5.690562512083013e-28,0.0,1.8823078565270237e-56,2.2287711128885802e-21,2.213564633525273e-21,0.0,5.640493438260571e-26,0.0,2.4692131039996073e-25,0.0,2.8552871157993338e-30,0.0,6.565938818272385e-28,0.0,2.2125578323600103e-56,2.23228243235251e-21,2.2173438972140517e-21,0.0,2.707042231973026e-26,0.0,1.3488155595942814e-25,0.0,1.2164614181174852e-30,0.0,3.199994313404545e-28,0.0,1.002587651691825e-56,1.108219574107559e-21,1.1994149339967574e-18
1.0469277495910291e-05,2.9546521902877983e-21,2.9342697603294848e-21,0.0,7.049514851951606e-26,0.0,3.0072343823566647e-25,0.0,3.4775151298212356e-30,0.0,8.002131915154832e-28,0.0,2.9320617711517145e-56,2.953516382745546e-21,2.9330432868068106e-21,0.0,8.16613795235469e-26,0.0,3.4442396407677198e-25,0.0,4.1500188388880724e-30,0.0,9.23357748311374e-28,0.0,3.4466703688112565e-56,2.957944464148182e-21,2.937830143680683e-21,0.0,3.918660979768474e-26,0.0,1.8613742670399158e-25,0.0,1.7677993649068634e-30,0.0,4.499188565984302e-28,0.0,1.561490303907631e-56,1.108219574107559e-21,1.1994149339967574e-18
1.1570341021743909e-05,3.923363068381858e-21,3.895910708933486e-21,0.0,1.027795515931375e-25,0.0,4.2225220229757215e-25,0.0,5.091280860375373e-30,0.0,1.1336480784622742e-27,0.0,4.601603804790802e-56,3.921935486243788e-21,3.8943600657777306e-21,0.0,1.1906346321707286e-25,0.0,4.844899345263192e-25,0.0,6.0760926359389736e-30,0.0,1.3081737715221102e-27,0.0,5.409520220675393e-56,3.927505233366818e-21,3.900414043929661e-21,0.0,5.712727332200429e-26,0.0,2.5906748374756885e-25,0.0,2.5878690733022823e-30,0.0,6.372950089709702e-28,0.0,2.450243077511761e-56,1.108219574107559e-21,1.1994149339967574e-18
1.2787204409449062e-05,5.22210609554786e-21,5.185115438304288e-21,0.0,1.5096315178792948e-25,0.0,5.981654888753354e-25,0.0,7.511384945669848e-30,0.0,1.6185941052124355e-27,0.0,7.278888360864987e-56,5.220316173490909e-21,5.1831568688936685e-21,0.0,1.7488662356106366e-25,0.0,6.875490828972889e-25,0.0,8.964647688799794e-30,0.0,1.8678761496736838e-27,0.0,8.55731512168715e-56,5.2273055924876536e-21,5.190805951104691e-21,0.0,8.390103742904907e-26,0.0,3.6381317200192323e-25,0.0,3.817575321352177e-30,0.0,9.09774579198677e-28,0.0,3.875239846907858e-56,1.108219574107559e-21,1.1994149339967574e-18
1.4132046436811759e-05,6.969850993574129e-21,6.919983853343915e-21,0.0,2.2345480024325263e-25,0.0,8.55203901771561e-25,0.0,1.1171003925444817e-29,0.0,2.3298812989708714e-27,0.0,1.1608887907538254e-55,6.967611623248002e-21,6.917510847259071e-21,0.0,2.5887403973000406e-25,0.0,9.846948639042862e-25,0.0,1.333277821042734e-29,0.0,2.688850921836588e-27,0.0,1.3648530393019196e-55,6.976364813432957e-21,6.927172275669255e-21,0.0,1.2417882745809647e-25,0.0,5.157020772335145e-25,0.0,5.67693370414373e-30,0.0,1.3093735650488982e-27,0.0,6.179567426193942e-56,1.108219574107559e-21,1.1994149339967574e-18
1.5618326734858958e-05,9.331512345400456e-21,9.26425027031715e-21,0.0,3.334097038944772e-25,0.0,1.2343698209504005e-24,0.0,1.6751957236810891e-29,0.0,3.382149061453427e-27,0.0,1.8672991473801652e-55,9.328715815888513e-21,9.261126207221386e-21,0.0,3.8626853968136864e-25,0.0,1.423654444054864e-24,0.0,1.999440086919299e-29,0.0,3.9034458310041816e-27,0.0,2.195490976660271e-55,9.339659650274951e-21,9.273335363997435e-21,0.0,1.8526786289496858e-25,0.0,7.381029903904539e-25,0.0,8.512232989749201e-30,0.0,1.900453896075016e-27,0.0,9.938393222385435e-56,1.108219574107559e-21,1.1994149339967574e-18
1.726092049636947e-05,1.2536946920859216e-20,1.2446167836723727e-20,0.0,5.015597835307728e-25,0.0,1.799053123235166e-24,0.0,2.533569713745847e-29,0.0,4.9523681906035635e-27,0.0,3.0299404294884016e-55,1.2533459718403434e-20,1.2442215590177382e-20,0.0,5.810921479636791e-25,0.0,2.0782890670993245e-24,0.0,3.024050320534443e-29,0.0,5.7159749278536364e-27,0.0,3.562655467696603e-55,1.2547125447071297e-20,1.245766680774177e-20,0.0,2.7868375281583407e-25,0.0,1.066945357250421e-24,0.0,1.2872712412848932e-29,0.0,2.7823628373520757e-27,0.0,1.6123993362492174e-55,1.108219574107559e-21,1.1994149339967574e-18
1.9076267351803437e-05,1.6908207044553364e-20,1.6785606688753475e-20,0.0,7.608034529124767e-25,0.0,2.6480198144116262e-24,0.0,3.865005777590911e-29,0.0,7.315702524268191e-27,0.0,4.960369013618536e-55,1.6903863171907433e-20,1.6780593697771737e-20,0.0,8.814642195913408e-25,0.0,3.0637915977256925e-24,0.0,4.613370479781425e-29,0.0,8.444126357076602e-27,0.0,5.8327722299379874e-55,1.692091455173688e-20,1.680019884778291e-20,0.0,4.226999267493223e-25,0.0,1.5579121294206575e-24,0.0,1.963587031353176e-29,0.0,4.109557396293195e-27,0.0,2.6393116790374664e-55,1.108219574107559e-21,1.1994149339967574e-18
